name,archival_initial_length,saved_rank2_length,phase_initial_length,best_length,best_rank,phase_gain,solved,witness_file,witness_pointer,witness_prefix_events
aca_70,21,21,19,19,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/70,
aca_71,20,19,17,17,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/71,
aca_72,20,18,17,16,3,1,False,aut_collect_pilot21.json,#/rows/5,2
aca_73,21,21,19,19,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/73,
aca_74,21,21,19,19,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/74,
aca_75,21,21,19,18,3,1,False,aliases_v3_pilot.json,#/rows/6,2
aca_76,21,21,19,19,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/76,
aca_77,21,21,19,19,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/77,
aca_78,21,19,18,18,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/78,
aca_79,21,21,18,17,3,1,False,aut_collect_pilot21.json,#/rows/7,13
aca_80,21,19,17,16,3,1,False,aut_collect_pilot21.json,#/rows/8,3
aca_81,22,18,17,17,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/81,
aca_82,22,22,19,19,3,0,False,../rank_unbounded_20260912/all124.json,observed_remainder.json#/rows/80/best_witness,
aca_83,22,22,20,19,3,1,False,aliases_v3_pilot.json,#/rows/7,2
aca_84,22,22,20,19,3,1,False,aliases_v3_pilot.json,#/rows/8,2
aca_85,22,18,17,17,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/85,
aca_86,22,22,19,19,3,0,False,../rank_unbounded_20260912/all124.json,observed_remainder.json#/rows/84/best_witness,
aca_87,23,20,19,18,3,1,False,aut_collect_pilot21.json,#/rows/11,3
aca_88,23,19,18,17,3,1,False,aut_collect_pilot21.json,#/rows/12,3
aca_89,23,23,19,19,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/89,
aca_90,23,20,18,18,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/90,
aca_91,23,23,19,19,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/91,
aca_92,23,23,19,19,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/92,
aca_93,23,23,19,19,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/93,
aca_94,23,23,19,19,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/94,
aca_95,21,19,18,17,3,1,False,aliases_v3_pilot.json,#/rows/9,2
aca_96,23,23,19,19,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/96,
aca_97,24,19,18,18,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/97,
aca_98,24,19,18,18,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/98,
aca_99,25,19,18,17,3,1,False,aut_collect_pilot21.json,#/rows/14,6
aca_100,25,20,18,18,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/100,
aca_101,25,25,21,20,3,1,False,aliases_v3_pilot.json,#/rows/10,2
aca_102,25,25,20,20,3,0,False,../rank_unbounded_20260912/all124.json,observed_remainder.json#/rows/100/best_witness,
aca_103,25,25,20,20,3,0,False,../rank_unbounded_20260912/all124.json,observed_remainder.json#/rows/101/best_witness,
aca_104,25,25,20,20,3,0,False,../rank_unbounded_20260912/all124.json,observed_remainder.json#/rows/102/best_witness,
aca_105,25,21,19,19,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/105,
aca_106,25,21,20,19,3,1,False,aut_collect_pilot21.json,#/rows/16,2
aca_107,25,22,20,20,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/107,
aca_108,25,24,21,21,3,0,False,../rank_unbounded_20260912/all124.json,observed_remainder.json#/rows/106/best_witness,
aca_109,25,23,20,20,3,0,False,aut_collect_remaining103.json,#/rows/90,3
aca_110,25,22,20,20,3,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/110,
aca_111,25,24,21,20,3,1,False,aut_collect_pilot21.json,#/rows/17,12
aca_112,25,24,21,21,3,0,False,../rank_unbounded_20260912/all124.json,observed_remainder.json#/rows/110/best_witness,
aca_113,25,23,20,20,3,0,False,../rank_unbounded_20260912/all124.json,observed_remainder.json#/rows/111/best_witness,
aca_114,25,23,20,20,3,0,False,../rank_unbounded_20260912/all124.json,observed_remainder.json#/rows/112/best_witness,
aca_115,13,13,13,13,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/115,
aca_116,14,14,14,14,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/116,
aca_117,14,14,14,14,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/117,
aca_118,15,15,15,15,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/118,
aca_119,16,16,16,16,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/119,
aca_120,16,15,15,15,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/120,
aca_121,16,15,15,15,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/121,
aca_122,18,16,16,16,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/122,
aca_123,20,17,17,17,2,0,False,../rank_unbounded_20260912/all124.json,../theory_patterns_20260912/u124_final_table.json#/rows/123,
