id,archival_initial_length,best_known_input_length,best_certified_ordinary_ac_length,best_certified_stable_ac_length,max_stable_rank_used,solved,route_theorem,certificate_status,r1_best,r2_best,r1_initial,r2_initial,n_members,abelian_det_best,exp_r1_best,exp_r2_best,one_occurrence_best,two_block_both_best,bs_mm1_donor_best,bs_m,ms_floor_shape,leftover_10m_observed_min_total,leftover_10m_observed_is_certified,reduce_kind
aca_30,17,17,17,,,unsolved,none,no_certificate,YYXXyx,YYYYYxyXXyX,YYXXyx,YYYYYxyXXyX,2,1,"-1,-1","-2,-3",0,0,0,,,,no,none
aca_31,17,17,17,,,unsolved,none,no_certificate,YYXXyxx,YYYYYXyXyx,YYXXyxx,YYYYYXyXyx,2,-1,"0,-1","-1,-3",0,0,0,,,,no,none
aca_32,17,17,17,,,unsolved,none,no_certificate,YXXYxxyx,YYYYXyxyx,YXXYxxyx,YYYYXyxyx,2,-1,"1,-1","1,-2",0,0,0,,,,no,none
aca_33,17,17,17,,,unsolved,none,no_certificate,YXXXyxYx,YYXyXyxyx,YXXXyxYx,YYXyXyxyx,2,-1,"-1,-1","0,1",0,0,0,,,,no,none
aca_34,18,16,18,16,3,unsolved,ms_template_floor,mu_chain_recorded_pending_orbit_replay,YXXyxYx,YYYYXyyxx,YXXXYxx,YYYYYXyyyyx,2,1,"0,-1","1,-2",0,0,0,,"{""shape"": ""upper"", ""n"": 4, ""delta"": -1}",,no,mu_floor
aca_35,18,18,18,,,unsolved,none,no_certificate,YYXXXyx,YYYxxyxyXyX,YYXXXyx,YYYxxyxyXyX,2,1,"-2,-1","1,0",0,0,0,,,,no,none
aca_36,18,16,18,16,3,unsolved,mu_floor_r8,mu_chain_recorded_pending_orbit_replay,YXXyxYx,YYYxYYXYX,YYXYYXXyX,YYXyxYXXX,2,-1,"0,-1","-1,-6",0,0,0,,,17,no,mu_floor
aca_37,19,19,19,,,unsolved,none,no_certificate,YYXXXYxx,YYYYYXyyyyx,YYXXXYxx,YYYYYXyyyyx,2,1,"-1,-3","0,-1",0,0,1,4,,,no,none
aca_38,19,19,19,,,unsolved,none,no_certificate,YYXXXyxx,YYYYYXyyyyx,YYXXXyxx,YYYYYXyyyyx,2,1,"-1,-1","0,-1",0,0,1,4,,,no,none
aca_39,19,19,19,,,unsolved,none,no_certificate,YXXXYxYx,YYYYYXyyyyx,YXXXYxYx,YYYYYXyyyyx,2,1,"-1,-3","0,-1",0,0,1,4,,,no,none
aca_40,19,19,19,,,unsolved,none,no_certificate,YXXXyxYx,YYYYYxyyyyX,YXXXyxYx,YYYYYxyyyyX,2,1,"-1,-1","0,-1",0,0,1,4,,,no,none
aca_41,19,19,19,,,unsolved,none,no_certificate,YXyXYxxx,YYYYYXyyyyx,YXyXYxxx,YYYYYXyyyyx,2,-1,"1,-1","0,-1",0,0,1,4,,,no,none
aca_42,19,19,19,,,unsolved,none,no_certificate,YXXXyxYx,YYYYYXyyyyx,YXXXyxYx,YYYYYXyyyyx,2,1,"-1,-1","0,-1",0,0,1,4,,,no,none
aca_43,19,18,19,18,3,unsolved,mu_floor_r8,mu_chain_recorded_pending_orbit_replay,YYXXyxx,YYxyXYxyXyX,YXXYxYxxx,YYXyyXXyxx,2,-1,"0,-1","-1,0",0,0,0,,,,no,mu_floor
aca_44,19,18,19,18,3,unsolved,mu_floor_r8,mu_chain_recorded_pending_orbit_replay,YYXXYYx,YXyXYxxYXyx,YYXXXyxx,YYYYYXXyXyx,2,1,"-1,-4","0,-1",0,0,0,,,,no,mu_floor
aca_45,19,19,19,,,unsolved,none,no_certificate,YXXyXYxxx,YYYYXXXYxx,YXXyXYxxx,YYYYXXXYxx,2,-1,"0,-1","-1,-5",0,0,0,,,,no,none
aca_46,19,19,19,,,unsolved,none,no_certificate,YXXYxxyx,YYYYYXyyyyx,YXXYxxyx,YYYYYXyyyyx,2,-1,"1,-1","0,-1",0,0,1,4,,,no,none
aca_47,19,19,19,,,unsolved,none,no_certificate,YXXYxxyX,YYYYYxyyyyX,YXXYxxyX,YYYYYxyyyyX,2,1,"-1,-1","0,-1",0,0,1,4,,,no,none
aca_48,19,19,19,,,unsolved,none,no_certificate,YXXXyxYxx,YYYYXXyxxx,YXXXyxYxx,YYYYXXyxxx,2,1,"0,-1","1,-3",0,0,0,,,,no,none
aca_49,19,19,19,,,unsolved,none,no_certificate,YXXYxxyx,YYYYYxyyyyX,YXXYxxyx,YYYYYxyyyyX,2,-1,"1,-1","0,-1",0,0,1,4,,,no,none
aca_50,19,19,19,,,unsolved,none,no_certificate,YXXYxxyX,YYYYYXyyyyx,YXXYxxyX,YYYYYXyyyyx,2,1,"-1,-1","0,-1",0,0,1,4,,,no,none
aca_51,19,19,19,,,unsolved,none,no_certificate,YXXYxYxx,YYYYYXyyyyx,YXXYxYxx,YYYYYXyyyyx,2,-1,"1,-3","0,-1",0,0,1,4,,,no,none
aca_52,19,19,19,,,unsolved,none,no_certificate,YXXyXyxx,YYYYYXyyyyx,YXXyXyxx,YYYYYXyyyyx,2,1,"-1,1","0,-1",0,0,1,4,,,no,none
aca_53,18,18,18,,,unsolved,none,no_certificate,YXXyxYx,YYXyyXyxyxx,YXXyxYx,YYXyyXyxyxx,2,1,"0,-1","1,2",0,0,0,,,,no,none
aca_54,19,19,19,,,unsolved,none,no_certificate,YYXXXXyxx,YYxxyXXXXX,YYXXXXyxx,YYxxyXXXXX,2,-1,"-2,-1","-3,-1",0,0,0,,,,no,none
aca_55,19,18,19,18,3,unsolved,mu_floor_r8,mu_chain_recorded_pending_orbit_replay,YYXXXyxyx,YYxYXXyyX,YXXXyXYx,YYxyxYXXyyX,2,1,"-1,0","-2,-1",0,0,0,,,18,no,mu_floor
aca_56,19,19,19,,,unsolved,none,no_certificate,YYXXXyxx,YYXYYxxyXXX,YYXXXyxx,YYXYYxxyXXX,2,1,"-1,-1","-2,-3",0,0,0,,,,no,none
aca_57,19,19,19,,,unsolved,none,no_certificate,YYXXXyxx,YYXYYxyXXXX,YYXXXyxx,YYXYYxyXXXX,2,-1,"-1,-1","-4,-3",0,0,0,,,,no,none
aca_58,20,17,20,17,3,unsolved,ms_template_floor,mu_chain_recorded_pending_orbit_replay,YXXyxYx,YYYYYXyyxx,YXXXYxx,YYYYYYXyyyyyx,2,1,"0,-1","1,-3",0,0,0,,"{""shape"": ""upper"", ""n"": 5, ""delta"": -1}",,no,mu_floor
aca_59,20,20,20,,,unsolved,none,no_certificate,YXXYxxyxx,YYYYxxxxxxx,YXXYxxyxx,YYYYxxxxxxx,2,-1,"2,-1","7,-4",0,0,0,,,,no,none
aca_60,20,20,20,,,unsolved,none,no_certificate,YXXXyxYxx,YYYYYXXyxxx,YXXXyxYxx,YYYYYXXyxxx,2,1,"0,-1","1,-4",0,0,0,,,,no,none
aca_61,20,20,20,,,unsolved,none,no_certificate,YXXyXYxxx,YYYYYXXXYxx,YXXyXYxxx,YYYYYXXXYxx,2,-1,"0,-1","-1,-6",0,0,0,,,,no,none
aca_62,21,21,21,,,unsolved,none,no_certificate,YXXXYxYx,YYYYYYXyyyyyx,YXXXYxYx,YYYYYYXyyyyyx,2,1,"-1,-3","0,-1",0,0,1,5,,,no,none
aca_63,21,21,21,,,unsolved,none,no_certificate,YXXXyxYx,YYYYYYxyyyyyX,YXXXyxYx,YYYYYYxyyyyyX,2,1,"-1,-1","0,-1",0,0,1,5,,,no,none
aca_64,21,21,21,,,unsolved,none,no_certificate,YXyXYxxx,YYYYYYXyyyyyx,YXyXYxxx,YYYYYYXyyyyyx,2,-1,"1,-1","0,-1",0,0,1,5,,,no,none
aca_65,21,21,21,,,unsolved,none,no_certificate,YXXXyxYx,YYYYYYXyyyyyx,YXXXyxYx,YYYYYYXyyyyyx,2,1,"-1,-1","0,-1",0,0,1,5,,,no,none
aca_66,21,20,21,20,3,unsolved,mu_floor_r8,mu_chain_recorded_pending_orbit_replay,YYXXXyxxx,YYXyXyxYXyx,YYXXXYxx,YYYYYYxyyyyyX,2,-1,"0,-1","-1,0",0,0,0,,,,no,mu_floor
aca_67,21,20,21,,,unsolved,none,no_certificate,YYXXXyXXX,YYXyxYXyxyX,YYXXXyxx,YYYYYYxyyyyyX,2,-1,"-6,-1","-1,0",0,0,0,,,,no,mu_floor
aca_68,21,21,21,,,unsolved,none,no_certificate,YXXYxxyx,YYYYYYXyyyyyx,YXXYxxyx,YYYYYYXyyyyyx,2,-1,"1,-1","0,-1",0,0,1,5,,,no,none
aca_69,21,21,21,,,unsolved,none,no_certificate,YXXYxxyX,YYYYYYxyyyyyX,YXXYxxyX,YYYYYYxyyyyyX,2,1,"-1,-1","0,-1",0,0,1,5,,,no,none
aca_70,21,21,21,,,unsolved,none,no_certificate,YXXYxxyx,YYYYYYxyyyyyX,YXXYxxyx,YYYYYYxyyyyyX,2,-1,"1,-1","0,-1",0,0,1,5,,,no,none
aca_71,20,19,20,19,3,unsolved,mu_floor_r8,mu_chain_recorded_pending_orbit_replay,YYXXXyxx,YYXyxyXYxyX,YXXXyXyxx,YYYxyyXXXyx,2,-1,"-1,-1","-1,0",0,0,0,,,,no,mu_floor
aca_72,20,18,20,18,3,unsolved,mu_floor_r8,mu_chain_recorded_pending_orbit_replay,YYXXyxx,YYxyXyxyXyX,YXXYxYxxx,YYYxyyXXYxx,2,-1,"0,-1","-1,2",0,0,0,,,,no,mu_floor
aca_73,21,21,21,,,unsolved,none,no_certificate,YXXYxxyX,YYYYYYXyyyyyx,YXXYxxyX,YYYYYYXyyyyyx,2,1,"-1,-1","0,-1",0,0,1,5,,,no,none
aca_74,21,21,21,,,unsolved,none,no_certificate,YXXyXyxx,YYYYYYXyyyyyx,YXXyXyxx,YYYYYYXyyyyyx,2,1,"-1,1","0,-1",0,0,1,5,,,no,none
aca_75,21,21,21,,,unsolved,none,no_certificate,YXXXyxYxx,YYYYYYXXXYxx,YXXXyxYxx,YYYYYYXXXYxx,2,-1,"0,-1","-1,-7",0,0,0,,,,no,none
aca_76,21,21,21,,,unsolved,none,no_certificate,YXXXyxYxx,YYYYYYXXyxxx,YXXXyxYxx,YYYYYYXXyxxx,2,1,"0,-1","1,-5",0,0,0,,,,no,none
aca_77,21,21,21,,,unsolved,none,no_certificate,YXXyXYxxx,YYYYYYXXXYxx,YXXyXYxxx,YYYYYYXXXYxx,2,-1,"0,-1","-1,-7",0,0,0,,,,no,none
aca_78,21,19,21,19,3,unsolved,mu_floor_r8,mu_chain_recorded_pending_orbit_replay,YXXyXyx,YYYXYXyxyyxx,YYXXyx,YYYYYYYXyXyxyXX,2,1,"-2,1","1,-1",0,0,0,,,19,no,mu_floor
aca_79,21,21,21,,,unsolved,none,no_certificate,YYXXXyyxx,YXXXXXyxxYxx,YYXXXyyxx,YXXXXXyxxYxx,2,1,"-1,0","-1,-1",0,0,0,,,,no,none
aca_80,21,19,21,19,3,unsolved,mu_floor_r8,mu_chain_recorded_pending_orbit_replay,YYXXyx,YYYXyXYYYxyXX,YXXXXyxxYx,YXYxYXyxyXX,2,1,"-1,-1","-3,-4",0,0,0,,,,no,mu_floor
aca_81,22,18,22,18,3,unsolved,ms_template_floor,mu_chain_recorded_pending_orbit_replay,YXXyxYx,YYYYYYXyyxx,YXXXYxx,YYYYYYYXyyyyyyx,2,1,"0,-1","1,-4",0,0,0,,"{""shape"": ""upper"", ""n"": 6, ""delta"": -1}",,no,mu_floor
aca_82,22,22,22,,,unsolved,none,no_certificate,YYYXXXXXyyx,YYXyxxyyxYX,YYYXXXXXyyx,YYXyxxyyxYX,2,1,"-4,-1","1,0",0,0,0,,,,no,none
aca_83,22,22,22,,,unsolved,none,no_certificate,YXXyXYxxx,YYYYYYYXXyxxx,YXXyXYxxx,YYYYYYYXXyxxx,2,1,"0,-1","1,-6",0,0,0,,,,no,none
aca_84,22,22,22,,,unsolved,none,no_certificate,YXXXyxYxx,YYYYYYYXXXYxx,YXXXyxYxx,YYYYYYYXXXYxx,2,-1,"0,-1","-1,-8",0,0,0,,,,no,none
aca_85,22,18,22,18,3,unsolved,ms_template_floor,mu_chain_recorded_pending_orbit_replay,YXyXYxx,YYYYYYXXYYx,YXXXyxx,YYYYYYYXyyyyyyx,2,-1,"0,-1","-1,-8",0,0,0,,"{""shape"": ""lower"", ""n"": 6, ""delta"": 1}",,no,mu_floor
aca_86,22,22,22,,,unsolved,none,no_certificate,YYYXXXXXyyX,YYXyxxyyXYx,YYYXXXXXyyX,YYXyxxyyXYx,2,1,"-6,-1","1,0",0,0,0,,,,no,none
aca_87,23,20,23,21,3,unsolved,mu_floor_r8,mu_chain_recorded_pending_orbit_replay,YYXXXyXXX,YYXyxYXyxyx,YYXXXYxx,YYYYYYYXyyyyyyx,2,1,"-6,-1","1,0",0,0,0,,,,no,mu_floor
aca_88,23,19,23,19,3,unsolved,mu_floor_r8,mu_chain_recorded_pending_orbit_replay,YYXXXyXX,YYxyXyxYXyx,YYXXXyxx,YYYYYXXYxyXyXyx,2,1,"-5,-1","1,0",0,0,0,,,21,no,mu_floor
aca_89,23,23,23,,,unsolved,none,no_certificate,YXXYxxyx,YYYYYYYXyyyyyyx,YXXYxxyx,YYYYYYYXyyyyyyx,2,-1,"1,-1","0,-1",0,0,1,6,,,no,none
aca_90,23,20,23,20,3,unsolved,mu_floor_r8,mu_chain_recorded_pending_orbit_replay,YYXXXyxxx,YYXyxYXyxyX,YYXXXyxx,YYYYYYYXyyyyyyx,2,-1,"0,-1","-1,0",0,0,0,,,,no,mu_floor
aca_91,23,23,23,,,unsolved,none,no_certificate,YXXXyxYx,YYYYYYYXyyyyyyx,YXXXyxYx,YYYYYYYXyyyyyyx,2,1,"-1,-1","0,-1",0,0,1,6,,,no,none
aca_92,23,23,23,,,unsolved,none,no_certificate,YXyXYxxx,YYYYYYYXyyyyyyx,YXyXYxxx,YYYYYYYXyyyyyyx,2,-1,"1,-1","0,-1",0,0,1,6,,,no,none
aca_93,23,23,23,,,unsolved,none,no_certificate,YXXXyxYx,YYYYYYYxyyyyyyX,YXXXyxYx,YYYYYYYxyyyyyyX,2,1,"-1,-1","0,-1",0,0,1,6,,,no,none
aca_94,23,23,23,,,unsolved,none,no_certificate,YXXXYxYx,YYYYYYYXyyyyyyx,YXXXYxYx,YYYYYYYXyyyyyyx,2,1,"-1,-3","0,-1",0,0,1,6,,,no,none
aca_95,21,19,21,19,3,unsolved,mu_floor_r8,mu_chain_recorded_pending_orbit_replay,YYXXXyxx,YYxyxyXYxyX,YXXYxYxxx,YYYXyyyXXyxx,2,1,"-1,-1","1,0",0,0,0,,,,no,mu_floor
aca_96,23,23,23,,,unsolved,none,no_certificate,YXXYxxyX,YYYYYYYXyyyyyyx,YXXYxxyX,YYYYYYYXyyyyyyx,2,1,"-1,-1","0,-1",0,0,1,6,,,no,none
aca_97,24,19,24,19,3,unsolved,ms_template_floor,mu_chain_recorded_pending_orbit_replay,YXXyxYx,YYYYYYYXyyxx,YXXXYxx,YYYYYYYYXyyyyyyyx,2,1,"0,-1","1,-5",0,0,0,,"{""shape"": ""upper"", ""n"": 7, ""delta"": -1}",,no,mu_floor
aca_98,24,19,24,19,3,unsolved,ms_template_floor,mu_chain_recorded_pending_orbit_replay,YXyXYxx,YYYYYYYXXYYx,YXXXyxx,YYYYYYYYXyyyyyyyx,2,-1,"0,-1","-1,-9",0,0,0,,"{""shape"": ""lower"", ""n"": 7, ""delta"": 1}",,no,mu_floor
aca_99,25,19,25,19,3,unsolved,mu_floor_r8,mu_chain_recorded_pending_orbit_replay,YYXXyxx,YYYxyXyxyXyX,YYXXXYxx,YYYYYYYYXyyyyyyyx,2,-1,"0,-1","-1,1",0,0,0,,,22,no,mu_floor
aca_100,25,20,25,20,3,unsolved,mu_floor_r8,mu_chain_recorded_pending_orbit_replay,YYXXXXyxx,YYXyxyXYxyX,YYXXXyxx,YYYYYYYXXyXyXyXyx,2,-1,"-2,-1","-1,0",0,0,0,,,22,no,mu_floor
aca_101,25,25,25,,,unsolved,none,no_certificate,YXXXYxYx,YYYYYYYYXyyyyyyyx,YXXXYxYx,YYYYYYYYXyyyyyyyx,2,1,"-1,-3","0,-1",0,0,1,7,,,no,none
aca_102,25,25,25,,,unsolved,none,no_certificate,YXXXyxYx,YYYYYYYYxyyyyyyyX,YXXXyxYx,YYYYYYYYxyyyyyyyX,2,1,"-1,-1","0,-1",0,0,1,7,,,no,none
aca_103,25,25,25,,,unsolved,none,no_certificate,YXyXYxxx,YYYYYYYYXyyyyyyyx,YXyXYxxx,YYYYYYYYXyyyyyyyx,2,-1,"1,-1","0,-1",0,0,1,7,,,no,none
aca_104,25,25,25,,,unsolved,none,no_certificate,YXXXyxYx,YYYYYYYYXyyyyyyyx,YXXXyxYx,YYYYYYYYXyyyyyyyx,2,1,"-1,-1","0,-1",0,0,1,7,,,no,none
aca_105,25,21,25,21,3,unsolved,mu_floor_r8,mu_chain_recorded_pending_orbit_replay,YYXXXXyxxx,YYXyXyxYXyx,YYXXXYxx,YYYYYYYYxyyyyyyyX,2,-1,"-1,-1","-1,0",0,0,0,,,24,no,mu_floor
aca_106,25,21,25,21,3,unsolved,mu_floor_r8,mu_chain_recorded_pending_orbit_replay,YYXXXXyXXX,YYXyxyXYxyX,YYXXXyxx,YYYYYYYYxyyyyyyyX,2,-1,"-7,-1","-1,0",0,0,0,,,24,no,mu_floor
aca_107,25,22,25,22,3,unsolved,mu_floor_r8,mu_chain_recorded_pending_orbit_replay,YXXyXYxxx,YYYYYYYXXXYxx,YXXyXyxx,YYYYYYYYxyyyyyyyX,2,-1,"0,-1","-1,-8",0,0,0,,,22,no,mu_floor
aca_108,25,24,25,24,3,unsolved,mu_floor_r8,mu_chain_recorded_pending_orbit_replay,YXYXyxyXYxx,YYYYYYYxYYXYx,YXXYxxyx,YYYYYYYYXyyyyyyyx,2,1,"0,-1","1,-10",0,0,0,,,,no,mu_floor
aca_109,25,23,25,24,3,unsolved,mu_floor_r8,mu_chain_recorded_pending_orbit_replay,YYXXyxYxxyX,YYYYYYXXXYxx,YXXYxxyX,YYYYYYYYxyyyyyyyX,2,-1,"0,-1","-1,-7",0,0,0,,,23,no,mu_floor
aca_110,25,22,25,22,3,unsolved,mu_floor_r8,mu_chain_recorded_pending_orbit_replay,YXXXyxYxx,YYYYYYYXXyxxx,YXXYxYxx,YYYYYYYYxyyyyyyyX,2,1,"0,-1","1,-6",0,0,0,,,22,no,mu_floor
aca_111,25,24,25,24,3,unsolved,mu_floor_r8,mu_chain_recorded_pending_orbit_replay,YXYXYxxyXyx,YYYYYYYxyXyyx,YXXYxxyx,YYYYYYYYxyyyyyyyX,2,1,"0,-1","1,-4",0,0,0,,,23,no,mu_floor
aca_112,25,24,25,24,3,unsolved,mu_floor_r8,mu_chain_recorded_pending_orbit_replay,YXYxxyXYXyx,YYYYYYYxyyXYx,YXXYxxyX,YYYYYYYYXyyyyyyyx,2,1,"0,-1","1,-6",0,0,0,,,,no,mu_floor
aca_113,25,23,25,23,3,unsolved,mu_floor_r8,mu_chain_recorded_pending_orbit_replay,YXXXyxYxx,YYYYYYYYXXXYxx,YXXYxYxx,YYYYYYYYXyyyyyyyx,2,-1,"0,-1","-1,-9",0,0,0,,,23,no,mu_floor
aca_114,25,23,25,23,3,unsolved,mu_floor_r8,mu_chain_recorded_pending_orbit_replay,YXXyXYxxx,YYYYYYYYXXyxxx,YXXyXyxx,YYYYYYYYXyyyyyyyx,2,1,"0,-1","1,-7",0,0,0,,,23,no,mu_floor
aca_115,13,13,13,,,unsolved,none,no_certificate,YXYxyx,YYYYxxx,YXYxyx,YYYYxxx,1,-1,"1,-1","3,-4",0,0,0,,,,no,none
aca_116,14,14,14,,,unsolved,none,no_certificate,YYYXyyX,YXXXyxx,YYYXyyX,YXXXyxx,1,-1,"-2,-1","-1,0",0,0,1,2,,,no,none
aca_117,14,14,14,,,unsolved,none,no_certificate,YYYXyyx,YXXXyxx,YYYXyyx,YXXXyxx,1,-1,"0,-1","-1,0",0,0,1,2,,,no,none
aca_118,15,15,15,,,unsolved,none,no_certificate,YXXyxYx,YYYYXyxx,YXXyxYx,YYYYXyxx,1,1,"0,-1","1,-3",0,0,0,,,,no,none
aca_119,16,16,16,,,unsolved,none,no_certificate,YXXyxYx,YYYYYXyxx,YXXyxYx,YYYYYXyxx,1,1,"0,-1","1,-4",0,0,0,,,,no,none
aca_120,16,15,16,15,3,unsolved,ms_template_floor,mu_chain_recorded_pending_orbit_replay,YXXyxYx,YYYXyyxx,YXXXYxx,YYYYXyyyx,1,1,"0,-1","1,-1",0,0,0,,"{""shape"": ""upper"", ""n"": 3, ""delta"": -1}",,no,mu_floor
aca_121,16,15,16,15,3,unsolved,ms_template_floor,mu_chain_recorded_pending_orbit_replay,YXyXYxx,YYYXXYYx,YXXXyxx,YYYYXyyyx,1,-1,"0,-1","-1,-5",0,0,0,,"{""shape"": ""lower"", ""n"": 3, ""delta"": 1}",,no,mu_floor
aca_122,18,16,18,16,3,unsolved,ms_template_floor,mu_chain_recorded_pending_orbit_replay,YXyXYxx,YYYYXXYYx,YXXXyxx,YYYYYXyyyyx,1,-1,"0,-1","-1,-6",0,0,0,,"{""shape"": ""lower"", ""n"": 4, ""delta"": 1}",,no,mu_floor
aca_123,20,17,20,17,3,unsolved,ms_template_floor,mu_chain_recorded_pending_orbit_replay,YXyXYxx,YYYYYXXYYx,YXXXyxx,YYYYYYXyyyyyx,1,-1,"0,-1","-1,-7",0,0,0,,"{""shape"": ""lower"", ""n"": 5, ""delta"": 1}",,no,mu_floor
