"name","r1","r2","n_members","members","reduced","reduce_kind","mu_in","mu_out","new_r1","new_r2","n_hops","source","ext_label"
"aca_30","YYXXyx","YYYYYxyXXyX","2","17_31 17_32","no","none","17","none","none","none","none","none","none"
"aca_31","YYXXyxx","YYYYYXyXyx","2","17_34 17_36","no","none","17","none","none","none","none","none","none"
"aca_32","YXXYxxyx","YYYYXyxyx","2","17_37 17_40","no","none","17","none","none","none","none","none","none"
"aca_33","YXXXyxYx","YYXyXyxyx","2","17_38 17_39","no","none","17","none","none","none","none","none","none"
"aca_34","YXXXYxx","YYYYYXyyyyx","2","18_1 18_3","yes","mu_floor","18","16","YXXyxYx","YYYYXyyxx","2","mu_ladder_r256_b64","none"
"aca_35","YYXXXyx","YYYxxyxyXyX","2","18_10 18_8","no","none","18","none","none","none","none","none","none"
"aca_36","YYXYYXXyX","YYXyxYXXX","2","18_4 18_5","yes","mu_floor","18","16","YXXyxYx","YYYxYYXYX","4","mu_ladder_r256_b64","none"
"aca_37","YYXXXYxx","YYYYYXyyyyx","2","19_1 19_22","no","none","19","none","none","none","none","none","none"
"aca_38","YYXXXyxx","YYYYYXyyyyx","2","19_10 19_21","no","none","19","none","none","none","none","none","none"
"aca_39","YXXXYxYx","YYYYYXyyyyx","2","19_11 19_26","no","none","19","none","none","none","none","none","none"
"aca_40","YXXXyxYx","YYYYYxyyyyX","2","19_12 19_25","no","none","19","none","none","none","none","none","none"
"aca_41","YXyXYxxx","YYYYYXyyyyx","2","19_13 19_24","no","none","19","none","none","none","none","none","none"
"aca_42","YXXXyxYx","YYYYYXyyyyx","2","19_14 19_23","no","none","19","none","none","none","none","none","none"
"aca_43","YXXYxYxxx","YYXyyXXyxx","2","19_15 19_28","yes","mu_floor","19","18","YYXXyxx","YYxyXYxyXyX","2","mu_ladder_r256_b64","none"
"aca_44","YYXXXyxx","YYYYYXXyXyx","2","19_16 19_27","yes","mu_floor","19","18","YYXXYYx","YXyXYxxYXyx","2","mu_ladder_r256_b64","none"
"aca_45","YXXyXYxxx","YYYYXXXYxx","2","19_17 19_9","no","none","19","none","none","none","none","none","none"
"aca_46","YXXYxxyx","YYYYYXyyyyx","2","19_18 19_5","no","none","19","none","none","none","none","none","none"
"aca_47","YXXYxxyX","YYYYYxyyyyX","2","19_19 19_8","no","none","19","none","none","none","none","none","none"
"aca_48","YXXXyxYxx","YYYYXXyxxx","2","19_2 19_30","no","none","19","none","none","none","none","none","none"
"aca_49","YXXYxxyx","YYYYYxyyyyX","2","19_20 19_4","no","none","19","none","none","none","none","none","none"
"aca_50","YXXYxxyX","YYYYYXyyyyx","2","19_29 19_6","no","none","19","none","none","none","none","none","none"
"aca_51","YXXYxYxx","YYYYYXyyyyx","2","19_3 19_32","no","none","19","none","none","none","none","none","none"
"aca_52","YXXyXyxx","YYYYYXyyyyx","2","19_31 19_7","no","none","19","none","none","none","none","none","none"
"aca_53","YXXyxYx","YYXyyXyxyxx","2","19_33 19_34","yes","length_only","18","18","YXYXyxx","YYXYxYxxyyX","none","external_len_table","19_33"
"aca_54","YYXXXXyxx","YYxxyXXXXX","2","19_35 19_36","no","none","19","none","none","none","none","none","none"
"aca_55","YXXXyXYx","YYxyxYXXyyX","2","19_39 19_41","yes","mu_floor","19","18","YYXXXyxyx","YYxYXXyyX","7","mu_ladder_r256_b64","none"
"aca_56","YYXXXyxx","YYXYYxxyXXX","2","19_44 19_49","no","none","19","none","none","none","none","none","none"
"aca_57","YYXXXyxx","YYXYYxyXXXX","2","19_45 19_50","no","none","19","none","none","none","none","none","none"
"aca_58","YXXXYxx","YYYYYYXyyyyyx","2","20_1 20_3","yes","mu_floor","20","17","YXXyxYx","YYYYYXyyxx","2","mu_ladder_r256_b64","none"
"aca_59","YXXYxxyxx","YYYYxxxxxxx","2","20_10 20_11","no","none","20","none","none","none","none","none","none"
"aca_60","YXXXyxYxx","YYYYYXXyxxx","2","20_4 20_7","no","none","20","none","none","none","none","none","none"
"aca_61","YXXyXYxxx","YYYYYXXXYxx","2","20_5 20_6","no","none","20","none","none","none","none","none","none"
"aca_62","YXXXYxYx","YYYYYYXyyyyyx","2","21_10 21_24","no","none","21","none","none","none","none","none","none"
"aca_63","YXXXyxYx","YYYYYYxyyyyyX","2","21_11 21_23","no","none","21","none","none","none","none","none","none"
"aca_64","YXyXYxxx","YYYYYYXyyyyyx","2","21_12 21_22","no","none","21","none","none","none","none","none","none"
"aca_65","YXXXyxYx","YYYYYYXyyyyyx","2","21_13 21_21","no","none","21","none","none","none","none","none","none"
"aca_66","YYXXXYxx","YYYYYYxyyyyyX","2","21_14 21_26","yes","mu_floor","21","20","YYXXXyxxx","YYXyXyxYXyx","7","mu_ladder_r256_b64","none"
"aca_67","YYXXXyxx","YYYYYYxyyyyyX","2","21_15 21_25","yes","mu_floor","21","20","YYXXXyXXX","YYXyxYXyxyX","5","mu_ladder_r256_b64","none"
"aca_68","YXXYxxyx","YYYYYYXyyyyyx","2","21_16 21_5","no","none","21","none","none","none","none","none","none"
"aca_69","YXXYxxyX","YYYYYYxyyyyyX","2","21_17 21_8","no","none","21","none","none","none","none","none","none"
"aca_70","YXXYxxyx","YYYYYYxyyyyyX","2","21_18 21_4","no","none","21","none","none","none","none","none","none"
"aca_71","YXXXyXyxx","YYYxyyXXXyx","2","21_19 21_9","yes","mu_floor","20","19","YYXXXyxx","YYXyxyXYxyX","6","mu_ladder_r256_b64","none"
"aca_72","YXXYxYxxx","YYYxyyXXYxx","2","21_2 21_20","yes","mu_floor","20","18","YYXXyxx","YYxyXyxyXyX","2","mu_ladder_r256_b64","none"
"aca_73","YXXYxxyX","YYYYYYXyyyyyx","2","21_27 21_6","no","none","21","none","none","none","none","none","none"
"aca_74","YXXyXyxx","YYYYYYXyyyyyx","2","21_28 21_7","no","none","21","none","none","none","none","none","none"
"aca_75","YXXXyxYxx","YYYYYYXXXYxx","2","21_29 21_3","no","none","21","none","none","none","none","none","none"
"aca_76","YXXXyxYxx","YYYYYYXXyxxx","2","21_30 21_33","no","none","21","none","none","none","none","none","none"
"aca_77","YXXyXYxxx","YYYYYYXXXYxx","2","21_31 21_32","no","none","21","none","none","none","none","none","none"
"aca_78","YYXXyx","YYYYYYYXyXyxyXX","2","21_35 21_38","yes","mu_floor","21","19","YXXyXyx","YYYXYXyxyyxx","7","mu_ladder_r256_b64","none"
"aca_79","YYXXXyyxx","YXXXXXyxxYxx","2","21_39 21_41","no","none","21","none","none","none","none","none","none"
"aca_80","YXXXXyxxYx","YXYxYXyxyXX","2","21_40 21_42","yes","mu_floor","21","19","YYXXyx","YYYXyXYYYxyXX","3","mu_ladder_r256_b64","none"
"aca_81","YXXXYxx","YYYYYYYXyyyyyyx","2","22_1 22_4","yes","mu_floor","22","18","YXXyxYx","YYYYYYXyyxx","2","mu_ladder_r256_b64","none"
"aca_82","YYYXXXXXyyx","YYXyxxyyxYX","2","22_10 22_6","no","none","22","none","none","none","none","none","none"
"aca_83","YXXyXYxxx","YYYYYYYXXyxxx","2","22_11 22_7","no","none","22","none","none","none","none","none","none"
"aca_84","YXXXyxYxx","YYYYYYYXXXYxx","2","22_12 22_5","no","none","22","none","none","none","none","none","none"
"aca_85","YXXXyxx","YYYYYYYXyyyyyyx","2","22_2 22_3","yes","mu_floor","22","18","YXyXYxx","YYYYYYXXYYx","2","mu_ladder_r256_b64","none"
"aca_86","YYYXXXXXyyX","YYXyxxyyXYx","2","22_8 22_9","no","none","22","none","none","none","none","none","none"
"aca_87","YYXXXYxx","YYYYYYYXyyyyyyx","2","23_1 23_13","yes","mu_floor","23","20","YYXXXyXXX","YYXyxYXyxyx","6","mu_ladder_r256_b64","none"
"aca_88","YYXXXyxx","YYYYYXXYxyXyXyx","2","23_10 23_18","yes","mu_floor","23","19","YYXXXyXX","YYxyXyxYXyx","5","mu_ladder_r256_b64","none"
"aca_89","YXXYxxyx","YYYYYYYXyyyyyyx","2","23_11 23_2","no","none","23","none","none","none","none","none","none"
"aca_90","YYXXXyxx","YYYYYYYXyyyyyyx","2","23_12 23_4","yes","mu_floor","23","20","YYXXXyxxx","YYXyxYXyxyX","4","mu_ladder_r256_b64","none"
"aca_91","YXXXyxYx","YYYYYYYXyyyyyyx","2","23_14 23_8","no","none","23","none","none","none","none","none","none"
"aca_92","YXyXYxxx","YYYYYYYXyyyyyyx","2","23_15 23_7","no","none","23","none","none","none","none","none","none"
"aca_93","YXXXyxYx","YYYYYYYxyyyyyyX","2","23_16 23_6","no","none","23","none","none","none","none","none","none"
"aca_94","YXXXYxYx","YYYYYYYXyyyyyyx","2","23_17 23_5","no","none","23","none","none","none","none","none","none"
"aca_95","YXXYxYxxx","YYYXyyyXXyxx","2","23_19 23_9","yes","mu_floor","21","19","YYXXXyxx","YYxyxyXYxyX","2","mu_ladder_r256_b64","none"
"aca_96","YXXYxxyX","YYYYYYYXyyyyyyx","2","23_20 23_3","no","none","23","none","none","none","none","none","none"
"aca_97","YXXXYxx","YYYYYYYYXyyyyyyyx","2","24_1 24_4","yes","mu_floor","24","19","YXXyxYx","YYYYYYYXyyxx","2","mu_ladder_r256_b64","none"
"aca_98","YXXXyxx","YYYYYYYYXyyyyyyyx","2","24_2 24_3","yes","mu_floor","24","19","YXyXYxx","YYYYYYYXXYYx","2","mu_ladder_r256_b64","none"
"aca_99","YYXXXYxx","YYYYYYYYXyyyyyyyx","2","25_1 25_22","yes","mu_floor","25","19","YYXXyxx","YYYxyXyxyXyX","3","mu_ladder_r256_b64","none"
"aca_100","YYXXXyxx","YYYYYYYXXyXyXyXyx","2","25_10 25_21","yes","mu_floor","25","20","YYXXXXyxx","YYXyxyXYxyX","9","mu_ladder_r256_b64","none"
"aca_101","YXXXYxYx","YYYYYYYYXyyyyyyyx","2","25_11 25_26","no","none","25","none","none","none","none","none","none"
"aca_102","YXXXyxYx","YYYYYYYYxyyyyyyyX","2","25_12 25_25","no","none","25","none","none","none","none","none","none"
"aca_103","YXyXYxxx","YYYYYYYYXyyyyyyyx","2","25_13 25_24","no","none","25","none","none","none","none","none","none"
"aca_104","YXXXyxYx","YYYYYYYYXyyyyyyyx","2","25_14 25_23","no","none","25","none","none","none","none","none","none"
"aca_105","YYXXXYxx","YYYYYYYYxyyyyyyyX","2","25_15 25_28","yes","mu_floor","25","21","YYXXXXyxxx","YYXyXyxYXyx","7","mu_ladder_r256_b64","none"
"aca_106","YYXXXyxx","YYYYYYYYxyyyyyyyX","2","25_16 25_27","yes","mu_floor","25","21","YYXXXXyXXX","YYXyxyXYxyX","5","mu_ladder_r256_b64","none"
"aca_107","YXXyXyxx","YYYYYYYYxyyyyyyyX","2","25_17 25_9","yes","mu_floor","25","22","YXXyXYxxx","YYYYYYYXXXYxx","6","mu_ladder_r256_b64","none"
"aca_108","YXXYxxyx","YYYYYYYYXyyyyyyyx","2","25_18 25_5","yes","mu_floor","25","24","YXYXyxyXYxx","YYYYYYYxYYXYx","5","mu_ladder_r256_b64","none"
"aca_109","YXXYxxyX","YYYYYYYYxyyyyyyyX","2","25_19 25_8","yes","mu_floor","25","23","YYXXyxYxxyX","YYYYYYXXXYxx","6","mu_ladder_r256_b64","none"
"aca_110","YXXYxYxx","YYYYYYYYxyyyyyyyX","2","25_2 25_30","yes","mu_floor","25","22","YXXXyxYxx","YYYYYYYXXyxxx","6","mu_ladder_r256_b64","none"
"aca_111","YXXYxxyx","YYYYYYYYxyyyyyyyX","2","25_20 25_4","yes","auto_cov_plus_complete_cov","25","23","YYXyxxyyxYX","YYYXXXXXXyyx","401","wandb_export_2026-08-10T14_39_26.744-07_00.csv","none"
"aca_112","YXXYxxyX","YYYYYYYYXyyyyyyyx","2","25_29 25_6","yes","mu_floor","25","24","YXYxxyXYXyx","YYYYYYYxyyXYx","5","mu_ladder_r256_b64","none"
"aca_113","YXXYxYxx","YYYYYYYYXyyyyyyyx","2","25_3 25_32","yes","mu_floor","25","23","YXXXyxYxx","YYYYYYYYXXXYxx","5","mu_ladder_r256_b64","none"
"aca_114","YXXyXyxx","YYYYYYYYXyyyyyyyx","2","25_31 25_7","yes","mu_floor","25","23","YXXyXYxxx","YYYYYYYYXXyxxx","5","mu_ladder_r256_b64","none"
"aca_115","YXYxyx","YYYYxxx","1","13_1","no","none","13","none","none","none","none","none","none"
"aca_116","YYYXyyX","YXXXyxx","1","14_1","no","none","14","none","none","none","none","none","none"
"aca_117","YYYXyyx","YXXXyxx","1","14_2","no","none","14","none","none","none","none","none","none"
"aca_118","YXXyxYx","YYYYXyxx","1","15_1","no","none","15","none","none","none","none","none","none"
"aca_119","YXXyxYx","YYYYYXyxx","1","16_1","no","none","16","none","none","none","none","none","none"
"aca_120","YXXXYxx","YYYYXyyyx","1","16_2","yes","mu_floor","16","15","YXXyxYx","YYYXyyxx","2","mu_ladder_r256_b64","none"
"aca_121","YXXXyxx","YYYYXyyyx","1","16_3","yes","mu_floor","16","15","YXyXYxx","YYYXXYYx","2","mu_ladder_r256_b64","none"
"aca_122","YXXXyxx","YYYYYXyyyyx","1","18_2","yes","mu_floor","18","16","YXyXYxx","YYYYXXYYx","2","mu_ladder_r256_b64","none"
"aca_123","YXXXyxx","YYYYYYXyyyyyx","1","20_2","yes","mu_floor","20","17","YXyXYxx","YYYYYXXYYx","2","mu_ladder_r256_b64","none"
