cls,k,depth,phi_x,phi_y,r1,r2,start_len,initial_len,best_len
aca_34,20,3,Yxxx,XXy,YXyXXXyXYxxxYxxx,YXyXXyXXyXXyxYxxYxxYxxYxx,41,18,16
aca_34,21,3,xxxy,xxy,YXyxxxyxxxyxxxyX,YXyxxyxxyxxyxYXXYXXYXXYXX,41,18,16
aca_34,22,3,xxyxy,xy,YXYXYXYXYXyxyxyxyx,YXYXyxxyxyxxyxyxxyX,37,18,16
aca_34,23,3,xy,xyxyy,YYYXYXYXYXYX,YYXYXYYXYXYYXYXYYXyxyxyyxyxyyxyxyyxYXYX,51,18,16
aca_34,24,3,xyy,xyyy,YYXYYXYYXYxYX,YYYXYYYXYYYXYYYXyxyyyxyyyxyyyxYX,45,18,16
aca_34,25,3,YYxYx,Xyy,YYxYxYYxyXyXyyXyXyx,YYxYYxYYxYYxYXyyXyyXyyXyx,44,18,16
aca_34,26,3,Yxx,XXyXy,YXyXYxxYxxYxx,YXyXyXXyXyXXyXyXXyxYxYxxYxYxxYxYxxYxYxx,52,18,16
aca_34,27,3,xxy,xxyxy,YYXXYXXYXXYXX,YXYXyxxyxyxxyxyxxyxyxYXXYXYXXYXYXXYXYXX,52,18,16
aca_34,28,3,xyxyy,xyy,YYXYXYYXYXYxyyxYXYX,YYXYYXYYXYYXyxyyxyyxyyxYX,44,18,16
aca_34,29,4,YYYYx,y,YYYYYXyyyyx,YYYYxYYYYxyXyyyyXyx,30,18,16
aca_34,30,4,x,XXXXy,YxYxxxxxx,YXyXXXXyXXXXyXXXXyxYxxxxYxxxxYxxxxYxxxx,48,18,16
aca_34,31,4,x,xxxxy,YXXYXXXXXXX,YXyxxxxyxxxxyxxxxyxYXXXXYXXXXYXXXXYXXXX,50,18,16
aca_34,32,4,xyyyy,y,YYYYYXyyyyx,YYYYXYYYYXYxyyyyxYX,30,18,16
aca_34,33,4,YYYx,Xyyyy,YYYxYYYxYXyyyXYx,YYYYxYYYYxYYYYxYYYYxYXyyyyXyyyyXyyyyXyx,55,18,16
aca_34,34,4,Yx,XyXyXyy,YYYxYxYxYxYx,YYxYxYxYYxYxYxYYxYxYxYYxYxYxYXyyXyXyXyyXyXyXyyXyXyXyx,65,18,16
aca_34,35,4,YxYxYxx,Xy,YXyXyXyXyxYxYxYxYx,YXyXyXyXXyXyXyXYxxYxYxYxx,43,18,16
aca_34,36,4,Yxxxx,XXXy,YXyXXXXyXYxxxxYxxxx,YXyXXXyXXXyXXXyxYxxxYxxxYxxxYxxx,51,18,16
aca_34,37,4,xxxxy,xxxy,YXyxxxxyxxxxyxxxxyX,YXyxxxyxxxyxxxyxYXXXYXXXYXXXYXXX,51,18,16
aca_34,38,4,xxyxyxy,xy,YXYXYXYXYXyxyxyxyx,YXYXYXyxxyxyxyxxyxyxyxxyX,43,18,16
aca_34,39,4,xy,xyxyxyy,YYXYYXYXYXYXYXYX,YYXYXYXYYXYXYXYYXYXYXYYXyxyxyxyyxyxyxyyxyxyxyyxYXYXYX,69,18,16
aca_34,40,4,xyyy,xyyyy,YYYXYYYXYYYXYxYX,YYYYXYYYYXYYYYXYYYYXyxyyyyxyyyyxyyyyxYX,55,18,16
aca_34,41,4,YYx,XyyXyyy,YYxYYxYYxYXYx,YYYxYYxYYYxYYxYYYxYYxYYYxYYxYXyyyXyyXyyyXyyXyyyXyyXyx,66,18,16
aca_34,42,4,YxxYxxx,XXy,YXyXXyXXyXXyxYxxYxxYxxYxx,YXyXXyXXXyXXyXYxxxYxxYxxx,50,18,16
aca_34,43,4,xxxyxxy,xxy,YXyxxyxxyxxyxYXXYXXYXXYXX,YXyxxxyxxyxxxyxxyxxxyXYXX,50,18,16
aca_34,44,4,xyy,xyyxyyy,YYYYXYYXYYXYYXYYX,YYYXYYXYYYXYYXYYYXYYXYYYXyxyyxyyyxyyxyyyxyyxyyyxYXYYX,70,18,16
aca_34,45,4,YYYxYYx,Xyyy,YYYxYYxYYYxyXyyXyyyXyyXyx,YYYxYYYxYYYxYYYxYXyyyXyyyXyyyXyx,57,18,16
aca_34,46,4,YYxYYxYx,Xyy,YYxYYxYYxYYxYXyyXyyXyyXyx,YYxYYxYxYYxYYxyXyXyyXyyXyXyx,53,18,16
aca_34,47,4,Yxx,XXyXXyXy,YYxxYxxYxxYxx,YXyXyXXyXXyXyXXyXXyXyXXyXXyxYxYxxYxxYxYxxYxxYxYxxYxxYxYxxYxx,73,18,16
aca_34,48,4,Yxxx,XXXyXXy,YXyXYxxxYxxxYxxx,YXyXXyXXXyXXyXXXyXXyXXXyxYxxYxxxYxxYxxxYxxYxxxYxxYxxx,69,18,16
aca_34,49,4,xxxy,xxxyxxy,YXYXXXYXXXYXXXYXXX,YXyxxxyxxyxxxyxxyxxxyxxyxYXXXYXXYXXXYXXYXXXYXXYXXXYXX,71,18,16
aca_34,50,4,xxy,xxyxxyxy,YXYXYXXYXXYXXYXXYXX,YXYXyxxyxxyxyxxyxxyxyxxyxxyxyxYXXYXXYXYXXYXXYXYXXYXXYXYXXYXX,79,18,16
aca_36,0,0,x,y,YYXYYXXyX,YYXyxYXXX,18,18,16
aca_36,1,1,Yx,y,YYxYxyxyx,YXyXyXYXyx,19,18,16
aca_36,2,1,x,Xy,YXyxYXXYx,YYxYXXyXYx,19,18,16
aca_36,3,1,x,xy,YXYXyxYXXXX,YXYXXYXYXXyX,23,18,16
aca_36,4,1,xy,y,YYYXYYYXYXX,YYYXyxYXYXYX,23,18,16
aca_36,5,2,YYx,y,YYYxYYxxx,YYxYYxyXYxx,20,18,16
aca_36,6,2,x,XXy,YXYxxYXyx,YXXyXYxxYxYxx,22,18,16
aca_36,7,2,x,xxy,YXyxYXXXXXYXX,YXXYXXyXYXXYXXX,28,18,16
aca_36,8,2,xyy,y,YYYYXYYYYXYYXYX,YYYYXyxYXYYXYYX,30,18,16
aca_36,9,2,Yx,Xyy,YXyXYxYXyx,YYYxYXyXyyXYx,23,18,16
aca_36,10,2,Yxx,Xy,YYXyXXyXyX,YXyXXyXYXyx,21,18,16
aca_36,11,2,xxy,xy,YXYXYXyxYXXYXXYXX,YXYXYXXYXYXYXXYXXX,35,18,16
aca_36,12,2,xy,xyy,YYXYYXyxYXYXYXYX,YYXYYXYXYYXYYXYXX,33,18,16
aca_36,13,3,YYYx,y,YYYYxYYYxYxYx,YYYxYYYxyXYxYx,27,18,16
aca_36,14,3,x,XXXy,YYxxxYXyx,YXXyXYxxxYxxYxxx,25,18,16
aca_36,15,3,x,xxxy,YXyxYXXXXXXYXXX,YXXyXYXXXYXXXXYXXX,33,18,16
aca_36,16,3,xyyy,y,YYYYYXyxYXYYYXYYYX,YYYYYXYYYYYXYYYXYYX,37,18,16
aca_36,17,3,YYx,Xyyy,YYxyXYxyXyx,YYYYxYXyyXyyyXYx,27,18,16
aca_36,18,3,Yx,XyXyy,YXYxYxYXyx,YYxYYxYxYXyXyyXYxYx,29,18,16
aca_36,19,3,YxYxx,Xy,YxYxYxxYxYxxxx,YXyXyXXyXyXXXyx,29,18,16
aca_36,20,3,Yxxx,XXy,YXyXXXyXYXyx,YXyXXXyXXyXYx,25,18,16
aca_36,21,3,xxxy,xxy,YXyxYXXXYXXXYXXXYXXYXX,YXXYXXYXXXYXXYXXYXXXYXXXX,47,18,16
aca_36,22,3,xxyxy,xy,YXYXYXYXyxYXXYXYXXYXYXX,YXYXYXYXXYXYXYXYXXYXYXXYXX,49,18,16
aca_36,23,3,xy,xyxyy,YYXYXYYXyxYXYXYXYXYX,YYXYXYYXYXYXYYXYXYYXYXX,43,18,16
aca_36,24,3,xyy,xyyy,YYYXYYYXyxYXYYXYYXYYX,YYYXYYYXYYXYYYXYYYXYYXYX,45,18,16
aca_36,25,3,YYxYx,Xyy,YYxYYxYxYYxyx,YYxYxYYxyXYxx,26,18,16
aca_36,26,3,Yxx,XXyXy,YXyXYxxYXyx,YXyXXyXyXYxxYxYxYxx,30,18,16
aca_36,27,3,xxy,xxyxy,YXYXyxYXXYXXYXXYXXYXYXX,YXYXXYXYXXYXXYXYXXYXYXXYXXX,50,18,16
aca_36,28,3,xyxyy,xyy,YYXYYXYYXyxYXYXYYXYXYYXYX,YYXYYXYYXYXYYXYYXYYXYXYYXYXYX,54,18,16
aca_36,29,4,YYYYx,y,YYYYYxYYYYxYYxYYx,YYYYxYYYYxyXYxYYx,34,18,16
aca_36,30,4,x,XXXXy,YXyxYxYxxxx,YXXyXYxxxxYxxxYxxxx,30,18,16
aca_36,31,4,x,xxxxy,YXyxYXXXXXXXYXXXX,YXXyXYXXXXYXXXXXYXXXX,38,18,16
aca_36,32,4,xyyyy,y,YYYYYYXyxYXYYYYXYYYYX,YYYYYYXYYYYYYXYYYYXYYYX,44,18,16
aca_36,33,4,YYYx,Xyyyy,YYYxyXYxyXyx,YYYYYxYXyyyXyyyyXYx,31,18,16
aca_36,34,4,Yx,XyXyXyy,YYYxYxYxYXyx,YYxYxYYxYxYxYXyXyyXYxYxYx,37,18,16
aca_36,35,4,YxYxYxx,Xy,YXyXyXyXXyXyXyXXyXXyx,YxYxYxYxxYxYxYxxYxxYxx,43,18,16
aca_36,36,4,Yxxxx,XXXy,YXyXXXXyXYXyx,YXyXXXXyXXXyXYxx,29,18,16
aca_36,37,4,xxxxy,xxxy,YXyxYXXXXYXXXXYXXXXYXXXYXXX,YXXXYXXXYXXXXYXXXYXXXYXXXXYXXXXX,59,18,16
aca_36,38,4,xxyxyxy,xy,YXYXYXYXYXyxYXXYXYXYXXYXYXYXX,YXYXYXYXYXXYXYXYXYXYXXYXYXYXXYXYXX,63,18,16
aca_36,39,4,xy,xyxyxyy,YYXYXYXYYXyxYXYXYXYXYXYX,YYXYXYXYYXYXYXYXYYXYXYXYYXYXX,53,18,16
aca_36,40,4,xyyy,xyyyy,YYYYXYYYYXyxYXYYYXYYYXYYYX,YYYYXYYYYXYYYXYYYYXYYYYXYYYXYYX,57,18,16
aca_36,41,4,YYx,XyyXyyy,YYxYXyxYXYx,YYYxYYYxYYxYXyyXyyyXYxYYx,36,18,16
aca_36,42,4,YxxYxxx,XXy,YXyXXyXXXyXXyXXXXyx,YxxYxxYxxxYxxYxxxxx,38,18,16
aca_36,43,4,xxxyxxy,xxy,YXyxYXXXYXXYXXXYXXYXXXYXXYXXYXX,YXXYXXYXXYXXXYXXYXXYXXYXXXYXXYXXXYXXX,68,18,16
aca_36,44,4,xyy,xyyxyyy,YYYXYYXYYYXyxYXYYXYYXYYXYYX,YYYXYYXYYYXYYXYYXYYYXYYXYYYXYYXYX,60,18,16
aca_36,45,4,YYYxYYx,Xyyy,YYYxYYYxYYxYYYxx,YYYxYYxYYYxyXYxYx,33,18,16
aca_36,46,4,YYxYYxYx,Xyy,YYxYYxYxYYxYYxyXYxYxYx,YYxYYxYYxYxYYxYYxYxYxYx,45,18,16
aca_36,47,4,Yxx,XXyXXyXy,YYxxYxxYXyx,YXyXXyXyXYxxYxxYxYxxYxYxxYxx,39,18,16
aca_36,48,4,Yxxx,XXXyXXy,YXyXYxxxYXyx,YXyXXXyXXyXYxxxYxxYxxYxxx,37,18,16
aca_36,49,4,xxxy,xxxyxxy,YXyxYXXXYXXXYXXXYXXXYXXYXXXYXX,YXXYXXXYXXYXXXYXXXYXXYXXXYXXYXXXYXXXX,67,18,16
aca_36,50,4,xxy,xxyxxyxy,YXYXyxYXXYXXYXXYXXYXXYXYXXYXX,YXYXXYXXYXYXXYXXYXXYXYXXYXXYXYXXYXXX,65,18,16
aca_43,0,0,x,y,YXXYxYxxx,YYXyyXXyxx,19,19,18
aca_43,1,1,Yx,y,YYYxyyXyXYxYx,YYxYxYxYXyXYx,26,19,18
aca_43,2,1,x,Xy,YXYxxYxxxx,YXyXyXXXyxxYx,23,19,18
aca_43,3,1,x,xy,YYxxYXXX,YXYXyxyXyxx,19,19,18
aca_43,4,1,xy,y,YYXyXYXyxyx,YXYXYxxyxyx,22,19,18
aca_43,5,2,YYx,y,YYYYxyyXyyXYxYYx,YYYxYYxYYxYXyyXYx,33,19,18
aca_43,6,2,x,XXy,YYxxxYxxxxx,YXyXXyXXXXyxxYxx,27,19,18
aca_43,7,2,x,xxy,YXYxYXXXX,YYXXYxyxxyXX,21,19,18
aca_43,8,2,xyy,y,YYXYxyyxxyyX,YYXYYXYXyxyyxyX,27,19,18
aca_43,9,2,Yx,Xyy,YYxYxYxYxYXYxYx,YYxYYxyXyyXyXYxYxYx,34,19,18
aca_43,10,2,Yxx,Xy,YXyXYxxYxYxxYxxYxx,YXyXyXyXXyXXyxYxxYx,37,19,18
aca_43,11,2,xxy,xy,YXYXyXYXyxxyx,YXXYXXYxxyxxyx,27,19,18
aca_43,12,2,xy,xyy,YYxyxYXYXYX,YYXyxyXyxyxYX,24,19,18
aca_43,13,3,YYYx,y,YYYYYxyyXyyyXYxYYYx,YYYYxYYYxYYYxYXyyyXYx,40,19,18
aca_43,14,3,x,XXXy,YxYxxxxYxxxxxx,YXyXXXyXXXXXyxxYxxx,33,19,18
aca_43,15,3,x,xxxy,YYXXXXXYXX,YXYXXXYxyxxxyXX,25,19,18
aca_43,16,3,xyyy,y,YYYXYxyyyxyxyyX,YYYXYYYXYYXyxyyyxyX,34,19,18
aca_43,17,3,YYx,Xyyy,YYYxYYxYYxYYxYXYxYYx,YYYxYYYxyXyyyXyyXYxYYxYYx,45,19,18
aca_43,18,3,Yx,XyXyy,YYYxYxYxYYxYxYxYxYx,YYxYxYYxyXyXyyXyXYxYxYxYx,44,19,18
aca_43,19,3,YxYxx,Xy,YXyXyXyXyXXyXyXXyxYxYxxYx,YXyXyXYxxYxYxYxxYxYxxYxYxx,51,19,18
aca_43,20,3,Yxxx,XXy,YXyXYxxxYxxYxxxYxxxYxxx,YXyXXyXXyXXXyXXXyxYxxxYxx,48,19,18
aca_43,21,3,xxxy,xxy,YXyXYXyxxxyxYXX,YXXyxxxyxxxyXYXXX,32,19,18
aca_43,22,3,xxyxy,xy,YXYXyxxyxyxYXYXXX,YXYXXYXYXXYXyxxyxyxxyX,39,19,18
aca_43,23,3,xy,xyxyy,YYXYxYXYXYXYX,YYYXYXYxyyxyxyXYX,30,19,18
aca_43,24,3,xyy,xyyy,YYXYYXYYxyyxYX,YYYXyxyXyxyyxYX,29,19,18
aca_43,25,3,YYxYx,Xyy,YYxYYxYxYYxYxYYxYxYXyyXYxYx,YYxYYxYYxyXyyXyXyyXYxYxYYxYx,55,19,18
aca_43,26,3,Yxx,XXyXy,YYxxYxxYxYxxYxxYxxYxx,YXyXyXXyXyXXyXXyXXyxYxxYxYxx,49,19,18
aca_43,27,3,xxy,xxyxy,YXYxyxYXXYXXYXX,YYXXYxyxyxxyXYXX,31,19,18
aca_43,28,3,xyxyy,xyy,YYXYXYxyyxxyyxyX,YYXYXYYXYXyxyxyyxyxyX,37,19,18
aca_43,29,4,YYYYx,y,YYYYYYxyyXyyyyXYxYYYYx,YYYYYxYYYYxYYYYxYXyyyyXYx,47,19,18
aca_43,30,4,x,XXXXy,YxxYxxxxxYxxxxxxx,YXyXXXXyXXXXXXyxxYxxxx,39,19,18
aca_43,31,4,x,xxxxy,YXYXXXXXXYXXX,YXyxxxxyxxyxxYXXXX,31,19,18
aca_43,32,4,xyyyy,y,YYYYXYxyyyyxyyxyyX,YYYYXYYYYXYYYXyxyyyyxyX,41,19,18
aca_43,33,4,YYYx,Xyyyy,YYYYxYYYxYYYxYYYxYXYxYYYx,YYYYxYYYYxyXyyyyXyyyXYxYYYxYYYx,56,19,18
aca_43,34,4,Yx,XyXyXyy,YYxYYxYxYxYxYYxYxYxYxYxYx,YYxYxYxYYxyXyXyXyyXyXYxYxYxYxYx,56,19,18
aca_43,35,4,YxYxYxx,Xy,YXyXyXyXyXyXXyXyXyXXyxYxYxYxxYx,YXyXyXyXYxxYxYxYxYxxYxYxYxxYxYxYxx,65,19,18
aca_43,36,4,Yxxxx,XXXy,YXyXYxxxxYxxxYxxxxYxxxxYxxxx,YXyXXXyXXXyXXXXyXXXXyxYxxxxYxxx,59,19,18
aca_43,37,4,xxxxy,xxxy,YXyXYXyxxxxyxYXXX,YXXyxxxxyxxxxyXYXXXX,37,19,18
aca_43,38,4,xxyxyxy,xy,YXYXYXyxxyxyxyxYXYXXYXX,YXYXYXXYXYXYXXYXYXyxxyxyxyxxyX,53,19,18
aca_43,39,4,xy,xyxyxyy,YYYXYXYXYXYXYYXYX,YYXYYXYXYXYxyyxyxyxyXYX,40,19,18
aca_43,40,4,xyyy,xyyyy,YYYYXyxyXyxyyyxYX,YYYXYYYXYYxyyyxYX,34,19,18
aca_43,41,4,YYx,XyyXyyy,YYYYxYYxYYxYYYxYYxYYxYYxYYx,YYYxYYxYYYxyXyyXyyyXyyXYxYYxYYxYYx,61,19,18
aca_43,42,4,YxxYxxx,XXy,YXyXXyXXyXXyXXXyXXyXXXyxYxxYxxxYxx,YXyXXyXYxxxYxxYxxYxxxYxxYxxxYxxYxxx,69,19,18
aca_43,43,4,xxxyxxy,xxy,YXyxxxyxxyxYXXYXXXXYXX,YXyxxxyxxyxxxyXYXXYXXXYXXYXXX,51,19,18
aca_43,44,4,xyy,xyyxyyy,YYYXYxYXYYXYYXYYX,YYYYXYYXYxyyyxyyxyXYYX,39,19,18
aca_43,45,4,YYYxYYx,Xyyy,YYYxYYYxYYxYYYxYYxYYYxYYxYXyyyXYxYYx,YYYxYYYxYYYxyXyyyXyyXyyyXYxYYxYYYxYYx,73,19,18
aca_43,46,4,YYxYYxYx,Xyy,YYxYYxYYxYYxyXyyXyXyyXyyXYxYxYYxYYxYx,YYxYYxYYxYxYYxYYxYxYYxYYxYxYXyyXyyXYxYx,76,19,18
aca_43,47,4,Yxx,XXyXXyXy,YxYxYxxYxxYxxYxYxxYxxYxxYxxYxx,YXyXyXXyXXyXyXXyXXyXXyXXyxYxxYxYxxYxx,67,19,18
aca_43,48,4,Yxxx,XXXyXXy,YxYxxxYxxxYxxYxxxYxxxYxxxYxxx,YXyXXyXXXyXXyXXXyXXXyXXXyxYxxxYxxYxxx,66,19,18
aca_43,49,4,xxxy,xxxyxxy,YXyxxyxxxyxxxyxxxyX,YXYXXXYxyxxyxxxyXYXXX,40,19,18
aca_43,50,4,xxy,xxyxxyxy,YYXXYXXYXXYXXYXYXX,YXYXYXXYXXYxyxyxxyxxyXYXX,43,19,18
aca_44,0,0,x,y,YYXXXyxx,YYYYYXXyXyx,19,19,18
aca_44,1,1,Yx,y,YYXyXyXyxYx,YYYYYXyXyyXyx,24,19,18
aca_44,2,1,x,Xy,YXXXyxxYx,YXXyXXyxYxYxYxYx,25,19,18
aca_44,3,1,x,xy,YXYXXXyxx,YYxxyxyxyxyxyX,23,19,18
aca_44,4,1,xy,y,YYYYYXYXXyx,YYXYXYXyxyx,22,19,18
aca_44,5,2,YYx,y,YYXyyXyyXyxYYx,YYYYYXyyXyyyXyx,29,19,18
aca_44,6,2,x,XXy,YXXXyxxYxx,YXXyXXXyxYxxYxxYxxYxx,31,19,18
aca_44,7,2,x,xxy,YXXYXXXyxx,YXYxxyxxyxxyxxyxxyX,29,19,18
aca_44,8,2,xyy,y,YYYYYXYYXYXyx,YYXYYXYYXyxyyx,27,19,18
aca_44,9,2,Yx,Xyy,YYxYXyXyXyxYx,YYxYYxYYxYYxYXyXyyXyXyx,36,19,18
aca_44,10,2,Yxx,Xy,YXyXXyXXyxYxxYx,YXyXXyXyXXyxYxYxYxYx,35,19,18
aca_44,11,2,xxy,xy,YXYXXYXXYXyxxyx,YXYXYXYXYXXYXXyx,31,19,18
aca_44,12,2,xy,xyy,YYXYXYXyxyxYX,YYXYYXYYXYYXYXyyxYX,32,19,18
aca_44,13,3,YYYx,y,YYYYYXyyyXyyyyXyx,YYYxYYYxyyXyyyXYx,34,19,18
aca_44,14,3,x,XXXy,YXXXyxxYxxx,YXXyXXXXyxYxxxYxxxYxxxYxxx,37,19,18
aca_44,15,3,x,xxxy,YXXXYXXXyxx,YXXYxxyxxxyxxxyxxxyxxxyX,35,19,18
aca_44,16,3,xyyy,y,YYYYYXYYYXYYXyx,YYYXYYYXyxyyyxYYX,32,19,18
aca_44,17,3,YYx,Xyyy,YYYxYXyyXyyXyxYYx,YYYxYYYxYYYxYYYxYXyyXyyyXyyXyx,47,19,18
aca_44,18,3,Yx,XyXyy,YYxYxYXyXyXyxYx,YYxYxYYxYxYYxYxYYxYxYXyXyyXyXyXyx,48,19,18
aca_44,19,3,YxYxx,Xy,YXyXyXXyXyXXyxYxYxxYx,YXyXyXXyXyXyXXyxYxYxYxYx,45,19,18
aca_44,20,3,Yxxx,XXy,YXyXXXyXXXyxYxxxYxx,YXyXXXyXXyXXXyxYxxYxxYxxYxx,46,19,18
aca_44,21,3,xxxy,xxy,YXyxxxyxYXXYXXXYXXX,YXXYXXYXXYXXYXXXYXXyx,40,19,18
aca_44,22,3,xxyxy,xy,YXYXYXYXYXXYXYXXYXyx,YXYXyxxyxyxYXYXXYXYXX,41,19,18
aca_44,23,3,xy,xyxyy,YYXYXYXyxyxYXYX,YYXYXYYXYXYYXYXYYXYXyxyyxYXYX,44,19,18
aca_44,24,3,xyy,xyyy,YYYXYYXYYXyxyyxYX,YYYXYYYXYYYXYYYXYYXyyxYX,41,19,18
aca_44,25,3,YYxYx,Xyy,YYxYXyyXyXyyXyXyxYYxYx,YYxYYxYYxYYxYXyyXyXyyXyyXyXyx,51,19,18
aca_44,26,3,Yxx,XXyXy,YXyXXyXXyxYxxYxYxx,YXyXXyXyXXyXXyxYxYxxYxYxxYxYxxYxYxx,53,19,18
aca_44,27,3,xxy,xxyxy,YXYXXYXXYXyxxyxYXX,YXYXXYXYXXYXYXXYXYXXYXyxyxYXX,47,19,18
aca_44,28,3,xyxyy,xyy,YYXYXYYXYXYYXyxyxyyxYX,YYXYYXYYXYYXYXYYXYXyxYX,45,19,18
aca_44,29,4,YYYYx,y,YYYYYXyyyyXyyyyyXyx,YYYYxYYYYxyyXyyyyXYx,39,19,18
aca_44,30,4,x,XXXXy,YXXXyxxYxxxx,YXXyXXXXXyxYxxxxYxxxxYxxxxYxxxx,43,19,18
aca_44,31,4,x,xxxxy,YXXXyxxYXXXX,YXXyxxxyxYXXXXYXXXXYXXXXYXXXX,41,19,18
aca_44,32,4,xyyyy,y,YYYYYXYYYYXYYYXyx,YYYYXYYYYXyxyyyyxYYX,37,19,18
aca_44,33,4,YYYx,Xyyyy,YYYYxYXyyyXyyyXyxYYYx,YYYYxYYYYxYYYYxYYYYxYXyyyXyyyyXyyyXyx,58,19,18
aca_44,34,4,Yx,XyXyXyy,YYxYxYxYXyXyXyxYx,YYxYxYxYYxYxYxYYxYxYxYYxYxYxYXyXyyXyXyXyXyx,60,19,18
aca_44,35,4,YxYxYxx,Xy,YXyXyXyXXyXyXyXXyxYxYxYxxYx,YXyXyXyXXyXyXyXyXXyxYxYxYxYx,55,19,18
aca_44,36,4,Yxxxx,XXXy,YXyXXXXyXXXXyxYxxxxYxxx,YXyXXXXyXXXyXXXXyxYxxxYxxxYxxxYxxx,57,19,18
aca_44,37,4,xxxxy,xxxy,YXyxxxxyxYXXXYXXXXYXXXX,YXXyxYXXXYXXXYXXXYXXXYXXXX,49,19,18
aca_44,38,4,xxyxyxy,xy,YXYXYXYXYXXYXYXYXXYXYXyx,YXYXYXyxxyxyxyxYXYXXYXYXYXX,51,19,18
aca_44,39,4,xy,xyxyxyy,YYXYXYXyxyxYXYXYX,YYXYXYXYYXYXYXYYXYXYXYYXYXyxyxyyxYXYXYX,56,19,18
aca_44,40,4,xyyy,xyyyy,YYYYXYYYXYYYXyxyyyxYX,YYYYXYYYYXYYYYXYYYYXYYYXyyxYX,50,19,18
aca_44,41,4,YYx,XyyXyyy,YYYxYYxYXyyXyyXyxYYx,YYYxYYxYYYxYYxYYYxYYxYYYxYYxYXyyXyyyXyyXyyXyx,65,19,18
aca_44,42,4,YxxYxxx,XXy,YXyXXyXXXyXXyXXXyxYxxYxxxYxx,YXyXXyXXXyXXyXXyXXXyxYxxYxxYxxYxx,61,19,18
aca_44,43,4,xxxyxxy,xxy,YXyxYXXYXXYXXYXXYXXXYXXYXXX,YXyxxxyxxyxYXXYXXXYXXYXXXYXX,55,19,18
aca_44,44,4,xyy,xyyxyyy,YYYXYYXYYXyxyyxYXYYX,YYYXYYXYYYXYYXYYYXYYXYYYXYYXyxyyyxYXYYX,59,19,18
aca_44,45,4,YYYxYYx,Xyyy,YYYxYYxYYYxYXyyyXyyXyyyXyyXyx,YYYxYYYxYYYxYYYxYXyyyXyyXyyyXyyyXyyXyx,67,19,18
aca_44,46,4,YYxYYxYx,Xyy,YYxYYxYxYYxYYxyXyyXyXyyXyyXYxYx,YYxYYxYYxYYxYXyyXyyXyXyyXyyXyyXyXyx,66,19,18
aca_44,47,4,Yxx,XXyXXyXy,YXyXXyXXyxYxxYxYxxYxx,YXyXXyXyXXyXXyXXyxYxYxxYxxYxYxxYxxYxYxxYxxYxYxxYxx,71,19,18
aca_44,48,4,Yxxx,XXXyXXy,YXyXXXyXXXyxYxxxYxxYxxx,YXyXXXyXXyXXXyXXXyxYxxYxxxYxxYxxxYxxYxxxYxxYxxx,70,19,18
aca_44,49,4,xxxy,xxxyxxy,YXyxxxyxYXXXYXXYXXXYXXX,YXyxxyxYXXXYXXYXXXYXXYXXXYXXYXXXYXXYXXX,62,19,18
