name,r1,r2,n_members,members
ac19_10,YXXyx,YYXXXyx,39,41 59 97 98 131 157 741 4522 7852 15505 18018 19874 24018 24402 24486 39152 42159 43236 59919 59927 71203 74784 90627 94242 105178 106445 109249 114108 120240 121060 131109 133587 134480 138426 140929 142106 150660 155128 155133
ac19_11,YXXyx,YYXXyXX,50,42 62 103 104 134 164 1005 5198 7563 11629 14109 16741 17476 20131 29671 34086 36825 37683 38145 41963 44850 54989 58739 60559 60774 63537 66651 67054 70964 75194 75691 80519 87566 87643 95590 104798 107872 110400 110767 117516 120048 128233 131025 136225 138126 138483 144753 152264 154244 156099
ac19_12,YXXyx,YYXXyxx,43,47 61 109 110 133 163 1349 4478 7452 22855 24497 25114 30833 39680 46966 50462 55042 56492 58394 63920 81064 81257 86585 87241 91298 93572 101886 104053 106481 108854 109422 114008 115017 117382 120771 124699 133470 135438 139402 142528 144542 153017 154953
ac19_13,YXXyx,YYXyXXX,68,48 64 113 114 136 166 1801 2446 4720 4927 6924 7148 13581 17141 20156 26555 26570 29263 34914 35292 35976 38878 39303 40998 41087 45220 45823 46100 47821 47900 47938 51539 57600 59223 61869 64506 70804 72935 73181 77638 82979 92033 97572 99508 103824 107786 108435 109208 119157 122629 124416 124794 125044 127673 130007 131115 135486 138961 139602 141162 141834 141950 145697 147393 149886 151126 151656 153568
ac19_14,YXXyx,YYXyxxx,56,49 63 115 116 135 165 5808 7869 13402 20839 21070 23228 23735 25675 28298 32796 33885 36862 37614 39879 50577 51104 54194 56691 62777 65465 66541 71745 71999 74589 74956 75097 80694 88314 90548 92433 94839 95656 96061 96147 97200 99143 101996 110009 110310 111121 115011 131295 131603 132188 134528 136704 141436 143121 144686 147443
ac19_15,YXXyx,YYYXXyyX,18,72 138 4656 11896 42109 43332 65959 77724 82025 89854 100668 112717 113844 121126 121598 129016 129021 137518
ac19_16,YXXyx,YYXYXyyX,69,73 146 8489 12066 17203 18657 26537 27131 27184 27405 27891 29842 32396 33430 35620 36311 39290 40339 40718 40886 41925 45938 51449 53260 56236 56485 59258 64960 67333 69719 72976 73627 75455 75593 75763 78298 79621 79765 83329 84389 85928 86029 86321 87185 94347 96738 97362 99177 99906 102416 108586 113165 113961 116737 120267 129397 131531 134272 135072 140594 143767 146585 146906 146976 147652 147788 148930 149669 152383
ac19_17,YXXyx,YYXyyXYX,49,74 150 1899 2913 7874 11100 12738 19259 26232 31045 32417 39983 46837 48409 57293 62326 62440 63146 65598 66437 69437 69877 70726 72247 75774 79249 81107 86222 87307 91293 91737 93633 95505 103280 103498 107029 110070 110780 112281 115787 116457 118462 122672 128238 134181 134981 147405 149087 154042
ac19_18,YXXyx,YYXyyXYx,48,75 130 1146 3919 4209 8428 15398 25673 27105 32033 32106 35482 38260 44411 46486 51040 54176 56580 56848 61276 70072 76457 86761 90541 94348 94948 96344 106501 108556 109369 110151 111210 116568 118638 118837 118889 120242 120310 127200 131812 134809 140731 142440 143295 143597 145815 151045 156638
ac19_19,YXXyx,YYXYxyyx,84,76 128 706 1020 8017 8306 9974 10472 12723 20318 20652 24580 25982 29342 30500 31344 33600 34019 34703 36918 36959 41172 43348 46036 49033 50310 52896 58260 58290 59402 65301 66821 68104 68128 68387 69682 75795 76324 76354 80916 83146 83547 84771 86367 88483 90323 91511 92805 95005 96925 105970 107022 107470 109025 109176 110221 110298 110369 111150 117913 120301 121767 122314 124624 124684 125887 127010 127399 130827 134489 134692 134870 135756 135789 136606 141318 142268 144890 145540 146795 146932 147523 151930 156296
ac19_20,YXXyx,YYXYxyyX,78,77 145 752 4373 9948 12595 13009 14117 22895 26793 29938 30359 30525 30767 36541 36624 39257 40156 43040 45303 46069 46586 46953 47495 49141 50389 54727 56956 57078 58715 58944 60344 62092 64734 65841 66139 67294 69699 70505 70515 70847 71678 72280 83113 91379 94429 95587 95807 101966 102545 102961 103891 104010 114526 120032 124798 127168 129266 129673 129950 131116 131971 136240 136613 136739 137809 139100 140804 140805 144556 146086 147189 148696 149587 152336 155578 156297 156749
ac19_21,YXXyx,YYXyyxYx,56,78 149 1286 4699 5516 5633 14501 17370 22140 22995 23888 32718 43572 43638 47096 48767 51252 51453 58963 59123 66657 67267 68275 77577 80551 82223 87427 89327 90517 90751 98374 98770 99278 99878 101045 102829 104039 105613 107027 108146 109191 109514 109869 115582 116793 121233 128024 128259 131711 135574 136305 136952 142697 145364 153284 153834
ac19_22,YXXyx,YYXyyXyx,41,79 129 3895 9438 24560 32356 35939 37834 37864 37931 40596 54621 63539 63930 65576 66598 69356 69977 88904 89230 94371 96598 98063 100770 102916 108403 108899 110593 113862 117960 120571 128511 129537 131499 134560 142422 147697 148039 152006 152959 154458
ac19_23,YXXyx,YYXYXyyx,28,80 127 8225 10203 13484 21801 27929 34923 41484 45604 46323 47438 50533 68603 76861 79798 79966 86711 93349 99585 103591 113742 117144 125328 129326 136221 148726 151782
ac19_24,YXXyx,YYYXXyyx,17,81 137 8245 17690 22134 59100 75607 77925 90505 92250 108747 117303 117734 122096 129830 137258 140946
ac19_25,YXXyx,YYYXyXyX,47,82 142 3350 3899 5842 12514 14256 15327 15989 19133 21233 24700 37078 38453 41885 47090 48713 48905 55895 56064 67215 67494 67934 71333 74296 83586 83867 86586 92300 104682 107664 116948 119502 121577 126359 131331 136022 136080 146399 146937 147078 150607 150876 151359 152088 153087 155092
ac19_26,YXXyx,YYYXyxyx,74,83 141 1127 6184 8233 8879 15245 15572 18316 19013 21082 21604 21874 23930 26853 29737 29766 30662 31971 38570 39199 41489 43468 44024 47084 48995 53924 54128 54885 57948 58210 60241 61674 65417 66288 69695 72980 73321 73851 74390 74769 75838 76040 79304 82005 83998 90297 91635 96097 99839 99876 107244 109551 110062 110839 111203 111271 111362 111768 114342 115819 118543 118625 120682 122132 130293 131724 133819 135540 144206 151271 152947 156123 156761
ac19_27,YXXyx,YYXXXXyX,38,84 148 2758 4461 11221 21075 21785 28637 35183 53244 53629 55065 62120 66412 67533 70310 79702 80918 86723 91634 96450 98169 99057 103902 108917 111399 111488 116767 117004 123857 126981 128833 130739 132593 137770 148670 149070 156073
ac19_28,YXXYx,YYYXYxyX,52,91 140 2118 9066 17972 19719 22000 25582 29857 32237 32350 35776 38225 41328 42096 42702 42801 43628 50971 55002 55358 60198 61789 75414 83265 86781 87516 89206 91181 93259 95527 100123 102250 102445 103324 107718 107756 109535 112239 118208 121734 121809 125180 130297 132137 133149 135295 136680 141775 141827 148125 149014
ac19_29,YXXyx,YYYXyXyx,29,92 139 1651 5923 19565 25822 28353 42161 44285 51557 58494 60896 63140 65263 68598 72195 72797 75806 82647 89373 104037 113139 126444 128902 129301 139117 151485 152297 155927
ac19_30,YXXyx,YYXXXXyx,24,99 147 6145 19592 22174 27673 28940 29208 29264 29307 32333 52010 56146 64620 68083 79417 85474 95748 125081 139959 142076 145994 150697 154777
ac19_31,YXXyx,YYYXyyXX,37,100 144 4992 22578 24814 24901 25475 32092 34931 38049 41036 42569 48685 51296 58613 61547 69289 86375 87216 88468 88910 88936 89574 101384 112137 116657 118146 118299 118482 119338 128865 133557 133872 137524 146561 151932 153048
ac19_32,YXXyx,YYYXyyxx,31,101 143 2855 25548 25919 26527 33411 33831 41872 43552 44164 47255 51622 52382 61060 73764 75122 80357 85569 86600 89817 92215 92448 97120 98641 100233 122215 124267 136442 145316 150343
ac19_33,YXXyx,YYXXXyXX,35,102 152 2365 7220 16181 20201 20244 33472 43639 49702 53446 53585 55394 60365 60994 64881 69567 71608 80822 91820 109531 120445 121090 123950 125109 129599 132256 133536 134243 135338 138412 142014 146103 150554 154537
ac19_34,YXXyx,YYXXXyxx,25,111 151 9573 14062 14957 21641 23554 36742 43683 54827 63724 68242 70465 71046 76802 76803 99940 111047 113491 122982 128683 139623 140745 148202 148829
ac19_35,YXXyx,YYXXyXXX,29,112 154 2050 8525 11579 15776 18536 24354 24926 27772 28378 31259 34279 47828 58791 75235 80386 87778 88727 91860 94656 105720 107110 111716 114752 124282 133241 135667 150075
ac19_36,YXXyx,YYXXyxxx,26,117 153 2229 8909 10233 10694 19709 23185 27024 29574 31202 36213 43413 45441 48936 65634 76084 95729 114110 114352 116352 116441 132235 136007 138057 142933
ac19_37,YXXyx,YYXyXXXX,45,118 156 3911 8020 10734 11375 17856 26040 26075 30018 30470 31379 38812 40359 43166 48291 55825 56105 56355 59304 70388 73032 80010 90222 91526 111346 113557 122267 122499 125933 129219 130249 131593 132030 137909 138299 142022 142385 142727 143574 147863 148074 148263 148827 155976
ac19_38,YXXyx,YYXyxxxx,40,119 155 5615 6791 6990 10762 11190 12501 24136 24176 28015 30884 32870 33288 43435 48821 50296 50489 62151 64513 69805 70913 74023 74721 80130 93479 103222 105847 110937 116175 120161 124075 129364 134547 136778 140952 144157 153831 156276 156631
ac19_39,X,YYYXyyx,70,170 171 172 173 174 175 178 181 190 199 218 237 272 307 2626 7797 11054 12819 20705 24196 24611 32284 33129 34878 35142 37910 40625 41263 45221 46931 49762 53918 58349 59373 62335 66839 68732 72839 84861 85589 87843 91616 91763 91934 92187 93650 98197 100813 103743 104392 106411 108094 108323 109911 112699 115433 117400 118775 121094 122962 125062 129000 130965 135259 141015 145669 148467 149672 152527 152675
ac19_40,YXXYx,YYYXyyx,98,176 180 183 184 192 198 203 204 220 233 243 244 274 298 3968 4963 8862 10616 11503 14828 22059 23040 24715 25158 26663 28115 28119 32132 34352 36000 36074 43042 43659 43826 44009 45703 47885 48356 49183 49231 50082 52434 59185 60842 64330 64915 65717 66678 67120 67156 69610 71289 75205 78799 79880 83485 84125 86108 86873 88356 91577 92890 93473 95613 96321 101044 101520 101961 107633 109307 110498 110924 111157 112159 112891 115675 117416 118040 118325 121971 123271 124376 131911 134227 134535 136692 138525 141468 141516 144351 145431 146708 147522 153095 153705 153904 154645 154905
ac19_41,YYXXYx,YYYXyyx,69,182 194 201 202 222 234 241 242 276 299 1607 4192 6739 8148 13237 14346 16559 16982 22127 23623 28063 28241 35126 35713 36743 39686 40206 40595 46794 51955 52297 52336 55715 61531 62495 63738 63794 65511 68453 69750 70548 74131 74251 74367 75698 81055 85614 90028 91450 94147 98440 100304 102209 111500 112057 113425 122284 123349 131035 133706 135051 135079 138771 139715 143736 144893 145304 155378 156511
ac19_42,YYXXyx,YXXXyxx,62,187 193 207 208 221 231 247 248 275 296 1290 5880 6428 8881 14313 15308 15633 22147 23052 25616 28740 32276 42071 46394 46910 48665 49789 51284 51717 55249 60996 61538 65488 69524 70375 70457 74150 76695 78241 79356 81525 92446 104348 106433 108044 114176 115188 121677 126006 128689 128757 130268 132194 135657 140253 141759 145824 146682 148883 149822 152038 152127
ac19_43,YYXXYx,YYYxyyX,53,188 196 211 212 224 236 257 258 278 306 684 5449 7182 8945 10578 13647 21057 28123 29944 32896 42840 43680 50186 50248 50880 60973 69876 71424 71428 72158 73826 81135 86318 86612 88039 90833 96532 97705 104323 104885 106171 109616 115707 117041 134803 143973 144295 144615 145987 147125 147860 152650 153805
ac19_44,YYXXyx,YXXyxxx,42,189 195 213 214 223 235 259 260 277 305 3571 7054 9495 9676 14347 15224 15650 17676 24874 25414 26319 30800 46031 46049 46911 49548 56732 59057 61245 64720 66098 68612 79101 84296 95562 112529 117306 129791 134189 143711 147854 156340
ac19_45,YYXXXyX,YXXXyxx,25,200 226 239 240 280 300 4016 6630 16037 43211 52158 66518 69339 76165 76995 81141 93532 96783 99253 103715 105424 110011 139991 145050 150986
ac19_46,YYXXXyx,YXXXyxx,24,209 225 249 250 279 295 20968 31672 44036 47181 51386 63225 66932 89912 92922 97685 107527 107553 114644 116965 121275 128731 136304 141820
ac19_47,YYXXyXX,YXXXyxx,40,210 228 255 256 282 302 11791 13163 13250 15185 19461 20631 21371 22312 25103 29231 41422 44635 50413 50688 60540 60763 63153 70687 74866 75191 78111 78444 87382 88327 94738 103790 115614 119766 121945 122710 128964 132883 137350 142954
ac19_48,YYXXyxx,YXXXyxx,26,215 227 261 262 281 301 2827 9019 15734 44230 47197 59017 63376 64199 71647 77432 81757 91021 100900 106178 106712 125428 130366 139239 139320 148427
ac19_49,YYXXXyX,YXXyxxx,75,216 230 265 266 284 304 991 2141 4640 8538 9842 13292 14985 16554 28360 32576 33092 42178 45372 45434 47466 51323 51875 58742 59503 59646 61558 68157 70282 72334 73740 73975 74565 78818 82705 83997 87997 89795 92388 94029 94116 95860 97420 99389 99765 103733 105024 105446 105597 106461 117627 119658 120157 121110 124737 126199 126303 127272 127790 127856 129287 133638 134071 135060 136813 138102 140730 144461 145699 145950 146193 146360 147956 148045 152786
ac19_50,YYXXXyx,YXXyxxx,43,217 229 267 268 283 303 3741 5317 7785 9735 10719 32905 37231 37381 38702 40528 42090 43297 52379 54665 57843 59485 64128 64387 67380 68854 69438 71434 75859 81489 88528 89538 103535 107478 111489 118115 120509 120966 139970 140109 140282 145265 145576
ac19_51,YXXXyxx,YYXXXXyX,50,238 288 1077 2371 4775 5838 8502 9494 9775 15975 16685 19135 19429 29558 31196 36629 37685 45573 46828 55455 57249 60552 63996 64564 66845 67142 70521 77187 80315 83100 84846 89816 90034 94362 95054 100773 107355 110984 117360 119287 120339 120722 131510 133272 137272 140467 140795 142967 146391 148431
ac19_52,YXXXyxx,YYXXXXyx,28,251 287 7068 8636 10094 14246 22193 26449 30540 30541 37707 46257 48934 68122 85642 87017 87635 88738 94075 112369 113424 121492 122845 131388 133505 134887 143704 156024
ac19_53,YXXXyxx,YYYXyyXX,7,252 286 35217 85127 123727 142468 146915
ac19_54,YXXXyxx,YYYXyyxx,8,253 285 12052 32085 34053 53854 82817 147312
ac19_55,YXXXyxx,YYXXXyXX,13,254 290 1711 23488 28625 77207 78232 86578 99611 101255 127613 138062 155408
ac19_56,YXXXyxx,YYXXXyxx,13,263 289 1325 5681 15480 18006 39951 55120 64621 87271 101351 107915 113997
ac19_57,YXXXyxx,YYXXyXXX,26,264 292 4955 6595 21920 22112 36459 46872 50759 60174 60887 61099 62268 63753 74027 77674 83497 93381 104998 106202 130391 137198 138037 144158 148798 156078
ac19_58,YXXXyxx,YYXXyxxx,31,269 291 7511 11444 15811 16345 19420 22524 23458 26382 27654 33941 39973 54497 60360 66425 71057 71981 74241 80001 95341 96065 99930 108766 113848 125798 127117 136113 145067 149614 153144
ac19_59,YXXXyxx,YYXyXXXX,31,270 294 1800 2426 14426 27370 28285 37745 44278 47376 68711 69804 78377 81420 92007 107988 110525 110982 112318 116794 120947 121932 129939 130272 133032 138502 140014 141719 145577 154203 154441
ac19_60,YXXXyxx,YYXyxxxx,28,271 293 8055 15420 16456 17984 19157 21046 22392 25623 33594 39885 48283 53448 68731 71020 73220 79754 87996 92483 102704 103555 117015 130688 137839 140737 142545 154879
ac19_61,X,YYYYXyyyx,38,308 309 310 311 312 313 315 317 323 329 343 357 381 405 1973 3218 7229 12099 26978 27873 28480 30931 38316 44306 52346 53185 54748 55940 75320 77042 85158 94742 117418 119198 120160 131700 132857 150958
ac19_62,YXXyx,YYYYXyyyx,69,314 316 319 320 324 328 333 334 344 354 362 363 382 398 1344 3027 4105 4790 7191 7205 12617 13734 16693 19804 20490 23610 30360 33818 35284 35532 40374 40909 44964 46734 47188 51422 56920 57904 58274 59637 60526 60690 61928 62274 63405 64791 68014 69135 75985 78924 79046 83995 84940 94845 95949 97594 102894 107569 113248 113285 115938 117227 119990 121732 128859 130682 143046 145686 152708
ac19_63,YYXXYx,YYYYXyyyx,27,318 326 331 332 346 355 360 361 384 399 2339 11777 14735 41494 51563 56397 58940 69826 78155 94608 97194 104462 108997 124686 135061 139245 151397
ac19_64,YYXXyx,YXXXXyxxx,27,321 325 335 336 345 353 364 365 383 397 16029 18340 25737 35006 56790 76429 79892 81673 90051 98052 113277 113456 114251 115085 123946 151456 153670
ac19_65,YYXXYx,YYYYxyyyX,52,322 327 338 339 347 356 369 370 385 404 3176 3604 7015 10388 13526 14683 16150 17449 25644 25882 29764 31040 31341 33826 44784 46562 51404 60881 62783 72934 81087 94544 95601 107208 110244 113240 120123 121551 126133 126518 134009 136496 138547 139223 144326 145616 148223 148693 148777 153061 154157 155893
ac19_66,YYXXXyX,YXXXXyxxx,41,330 348 359 386 533 534 11132 11563 11566 13648 28148 28724 31243 31290 44811 46104 49472 51362 56305 57172 59290 59683 65149 75571 80316 80466 84888 88577 88673 104038 106286 110014 111442 113486 113852 121422 128681 129742 129962 150884 151883
ac19_67,YYXXYYx,YYYYXyyyx,20,337 350 367 368 388 401 12311 49442 52536 55390 55524 80483 88440 89126 90934 91783 112750 121895 151463 152148
ac19_68,YYXXyxx,YXXXXyxxx,18,340 349 371 372 387 400 7145 12438 47529 56419 57040 73406 73779 74755 86394 94052 101790 137512
ac19_69,YYXXXyX,YXXXyxxxx,16,341 352 375 376 390 403 20284 31896 39853 57057 73684 76270 94493 135156 144586 145432
ac19_70,YYXXXyx,YXXXyxxxx,16,342 351 377 378 389 402 1122 8558 10348 43609 91342 95133 128469 130021 141238 156495
ac19_71,YYXXXXyX,YXXXXyxxx,7,358 392 66939 126871 136483 139913 144263
ac19_72,YYXXXXyx,YXXXXyxxx,7,366 391 5733 7176 44539 62196 93806
ac19_73,YYXXXyxx,YXXXXyxxx,11,373 393 1440 10321 51589 55034 101204 134426 136622 152047 153012
ac19_74,YYXXXyXX,YXXXyxxxx,8,374 395 8492 48475 52259 96271 143919 144207
ac19_75,YYXXXyxx,YXXXyxxxx,7,379 394 13568 19516 27699 104989 145023
ac19_76,YYXXXXyx,YXXXyxxxx,32,380 396 1452 4579 9411 11674 12237 14893 17194 29316 40131 43036 47265 51822 53153 58465 61122 73179 86404 92065 95237 95984 107576 109705 111773 114979 115738 117634 124471 129854 131871 140985
ac19_77,X,YYYYYXyyyyx,14,406 407 408 409 410 411 413 415 419 423 430 437 447 457
ac19_78,YXXyx,YYYYYXyyyyx,27,412 414 416 417 420 422 424 431 537 541 544 545 551 554 2158 5265 20703 25130 26938 41672 74034 83587 112237 114175 122152 130731 150529
ac19_79,YYXXyx,YXXXXyxxxxx,43,418 421 427 428 432 436 441 448 548 557 11430 14743 33497 34057 43397 44570 51312 51508 54832 55150 56696 66401 70121 74548 74829 80895 87760 93914 95294 96587 112407 117000 117659 118329 119835 123356 123841 126584 132917 137620 142995 146270 148087
ac19_80,YYXXYYx,YYYYYXyyyyx,11,425 435 439 451 546 555 26934 85568 115356 142879 148987
ac19_81,YYXXYx,YYYYYxyyyyX,39,426 433 440 449 535 536 538 542 547 558 865 1055 3353 15728 22482 43056 46358 49867 52045 56923 57234 63017 69349 70268 74577 87452 89519 95060 99110 100117 100337 105040 110804 113325 122721 135625 143318 147028 150680
ac19_82,YYXXyxx,YXXXXXyxxxx,15,429 434 442 443 450 456 10163 35073 66823 81235 115991 119370 121124 127373 146123
ac19_83,YYXXXyXX,YXXXXXyxxxx,5,438 453 123885 145772 153714
ac19_84,YYXXXyxx,YXXXXXyxxxx,4,444 452 20311 63006
ac19_85,YYXXXXyX,YXXXXyxxxxx,3,445 455 45837
ac19_86,YYXXXXyx,YXXXXyxxxxx,3,446 454 120578
ac19_87,X,YYYYYYXyyyyyx,14,458 459 460 461 462 463 465 467 468 469 473 477 484 492
ac19_88,YXXyx,YYYYYYXyyyyyx,20,464 466 559 560 562 564 565 566 569 572 575 576 582 588 18756 42582 80564 95063 95680 130078
ac19_89,YYXXXyX,YXXXXXXyxxxxx,6,470 475 478 486 574 589
ac19_90,YYXXXyx,YXXXXXXyxxxxx,6,471 474 479 480 485 490
ac19_91,YYXXyxx,YXXXXXXyxxxxx,6,472 476 481 482 487 491
ac19_92,YYXXXyxx,YXXXXXXyxxxxx,2,483 488
ac19_93,YYXXXyXX,YXXXXXXyxxxxx,2,489 579
ac19_94,X,YYYYYYYXyyyyyyx,14,493 494 495 496 497 498 499 500 501 502 504 506 511 516
ac19_95,YYXXyxx,YXXXXXXXyxxxxxx,6,503 505 507 508 512 515
ac19_96,YYXXXyx,YXXXXXXyxxxxxxx,6,509 513 599 601 609 614
ac19_97,YYXXXyxx,YXXXXXXyxxxxxxx,2,510 514
ac19_98,X,YYYYYYYYXyyyyyyyx,14,517 518 519 520 521 522 523 524 525 526 528 530 531 532
ac19_99,YYXXyxx,YXXXXXXXXyxxxxxxx,6,527 529 628 629 630 633
ac19_100,YYXXXyX,YXXXXyxxxxx,13,539 540 549 550 552 556 50416 79095 113032 117204 124797 128356 131135
ac19_101,YYXXXXyX,YXXXXXyxxxx,17,543 553 16761 20013 20339 31230 36085 43400 68070 84511 102010 108585 136836 137725 143495 144995 145955
ac19_102,YYXXyx,YXXXXXXyxxxxx,25,561 563 567 568 570 571 577 578 583 587 11472 11834 14204 21343 24188 35475 49465 50731 73750 75659 86012 100133 106665 138840 147941
ac19_103,YYXXXXyX,YXXXXXXyxxxxx,9,573 584 27118 45332 45525 82259 113134 138359 151580
ac19_104,YYXXXyXX,YXXXXXyxxxxxx,2,580 585
ac19_105,YYXXXXyX,YXXXXXyxxxxxx,6,581 586 60449 71264 98145 132273
