name,r1,r2,level,source,form,orbit,pair_id,greedy_nodes,s20_nodes
ac19x_86209,YYXyxYXXyx,YXXyXYxYx,2,ac19,original,ac19_49095,ac19_49095,1839,
ac19x_91095,YXXyXYxYx,YXyXXyXXYxxYxx,2,ac19,original,ac19_51034,ac19_51034,1839,
ac19_16660,YXXXyXYx,YYXXyXYxxxyXX,3,ac19,autmin,ac19_16660,,13027,1839
ac19_20653,YXXyXyx,YYXyxYYxxyx,3,ac19,autmin,ac19_20653,,16651,3177
ac19_28227,YXyXYxx,YYYXyXXyxyxxx,3,ac19,autmin,ac19_28227,,10008,999
ac19_28889,YXYxxYxyx,YYxyxYYxyxYx,3,ac19,autmin,ac19_28889,,25481,9022
ac19_39368,YXXYxYxxx,YYXXyXyyxx,3,ac19,autmin,ac19_39368,,18228,8663
ac19_39855,YXXXyXXYx,YXyxYXXXXX,3,ac19,autmin,ac19_39855,,31607,14690
ac19_41610,YXXXYxx,YYxyXXYXyx,3,ac19,autmin,ac19_41610,,11455,5682
ac19_46939,YYXXXXX,YXYxYXyXXyx,3,ac19,autmin,ac19_46939,,20006,2713
ac19_7436,YXyXXyx,YYxYxxYXyxxyxyXYX,3,ac19,autmin,ac19_7436,,14493,10885
ms_573,YYYYYYXyyyyyx,YYYYXYxx,3,ms640,ms_raw,,,13393,
ms_578,YYYYYYXyyyyyx,YYXYYXyx,3,ms640,ms_raw,,,15873,
ms_583,YYYYYYXyyyyyx,YYXyxYYx,3,ms640,ms_raw,,,16111,
ms_588,YYYYYYXyyyyyx,YYYXYxyX,3,ms640,ms_raw,,,14054,
ms_616,YYYYYYYYXyyyyyyyx,YXXyx,3,ms640,ms_raw,,,18320,
ms_618,YYYYYYYYXyyyyyyyx,YXyXyx,3,ms640,ms_raw,,,15389,
ms_620,YYYYYYYYXyyyyyyyx,YXyxYx,3,ms640,ms_raw,,,14415,
ms_630,YYYYYYYYXyyyyyyyx,YYXyyxYx,3,ms640,ms_raw,,,12429,
ms_633,YYYYYYYYXyyyyyyyx,YYXyyxyx,3,ms640,ms_raw,,,26838,
ac19x_101025,YYXYXYXyxyxyxyXYX,YXYXyxYXyxyxYX,3,ac19,original,ac19_7284,ac19_7284,28012,
ac19x_8769,YYxYxYxyXyXyXyxYx,YXyXyXyxYxYXyx,3,ac19,original,ac19_7284,ac19_7284,28019,
ac19_13642,YXXyXyx,YYYxxyXyxx,4,ac19,autmin,ac19_13642,,31697,2774
ac19_39344,YXXyXYx,YYXXXyxyxxx,4,ac19,autmin,ac19_39344,,99536,2358
ac19_54212,YYXXYYx,YYXXyxYxYX,4,ac19,autmin,ac19_54212,,38885,1812
ac19_57917,YXXYxxyx,YYYxxYxxyXXYx,4,ac19,autmin,ac19_57917,,33336,4395
ac19_58079,YYYXXXyyxx,YYYYXYxyyyXXYYX,4,ac19,autmin,ac19_58079,,43096,6876
ac19_58768,YYXXyxxxxyX,YYXXXXYXXyyX,4,ac19,autmin,ac19_58768,,65680,1774
ac19_70845,YYXYXyXXyX,YXYXyXYXXyX,4,ac19,autmin,ac19_70845,,55530,6085
ms_604,YYYYYYYXyyyyyyx,YYYxyXYx,4,ms640,ms_raw,,,46491,
ms_610,YYYYYYYXyyyyyyx,YYYxYXyx,4,ms640,ms_raw,,,61366,
ms_613,YYYYYYYXyyyyyyx,YYYXYxyX,4,ms640,ms_raw,,,46481,
ms_622,YYYYYYYYXyyyyyyyx,YYxyXYx,4,ms640,ms_raw,,,78774,
ms_623,YYYYYYYYXyyyyyyyx,YYXyxYX,4,ms640,ms_raw,,,59710,
ms_624,YYYYYYYYXyyyyyyyx,YYxYXyx,4,ms640,ms_raw,,,59971,
ac19x_107601,YXYxyxxxyxxxxYXX,YXXXYxyxxxyXX,4,ac19,original,ac19_56970,ac19_56970,43242,
ac19x_120061,YXXYxyxxxyxxYxxx,YXXXYxyxxxyXX,4,ac19,original,ac19_61253,ac19_61253,43120,
ac19x_139445,YYxYXXYxYx,YYxxyXX,4,ac19,original,ac19_50841,ac19_50841,50800,
ac19x_141054,YXYxxyxxxyxxYXX,YXXXYxyxxxyXX,4,ac19,original,ac19_67987,ac19_67987,45868,
ac19x_151459,YXXYxxyXXXXyxxx,YXXXXyXXYxxxx,4,ac19,original,ac19_27187,ac19_27187,40570,
ac19x_19903,YXXXYxyxxxyXX,YXyXXXyXXXX,4,ac19,original,ac19_15507,ac19_15507,43117,
ac19x_31848,YXYxxxyx,YXXXYxyxxxyXX,4,ac19,original,ac19_23156,ac19_23156,47428,
ac19x_38929,YXXYxxxyXXXXyxx,YXXyXXXXYxxxx,4,ac19,original,ac19_27187,ac19_27187,40420,
ac19x_41313,YXXYxxyxxxxxx,YXXXYxyxxxyXX,4,ac19,original,ac19_28510,ac19_28510,43148,
ac19x_74462,YYxxyXX,YXXXXXyxYxxx,4,ac19,original,ac19_44381,ac19_44381,36225,
ac19x_79238,YYYXyyyxx,YYYxyxyxyyxx,4,ac19,original,ac19_46363,ac19_46363,52143,
ac19x_90583,YYXYXYxxYX,YYxxyXX,4,ac19,original,ac19_50841,ac19_50841,50621,
ac19x_90721,YXXyXXYXyxxxxxx,YXXyXXXXYxxxx,4,ac19,original,ac19_50892,ac19_50892,40419,
ac19_1062,YXXYx,YYXYYXyxYYxyyX,5,ac19,autmin,ac19_1062,,283025,2948
ac19_14888,YXXYx,YYYYXXyxYYXyyyXYx,5,ac19,autmin,ac19_14888,,254691,602
ac19_18844,YYXXXyX,YXyXXYxxxyx,5,ac19,autmin,ac19_18844,,204709,2872
ac19_24446,YXXYx,YYYXYxyXYYxyyX,5,ac19,autmin,ac19_24446,,253997,605
ac19_26044,YYXXXXyx,YYXYXXXyX,5,ac19,autmin,ac19_26044,,195215,13967
ac19_27082,YXXYx,YYXYYXyyxYYXyx,5,ac19,autmin,ac19_27082,,226362,500
ac19_30155,YXXYx,YYXYxyXYxyXYxyyX,5,ac19,autmin,ac19_30155,,233565,501
ac19_31653,YXXYx,YYYXYxyyXYXyyx,5,ac19,autmin,ac19_31653,,310069,610
ac19_50154,YXXYx,YYYXYYXyxYXyyx,5,ac19,autmin,ac19_50154,,238766,3224
ac19_55217,YXXXyXXYx,YXyxxxxxyx,5,ac19,autmin,ac19_55217,,104005,14702
ac19_58411,YYXXyx,YYXXXXYxxxYXX,5,ac19,autmin,ac19_58411,,142175,5266
ac19_5879,YXYXYx,YYYXyyyXyxYYXXYxYYx,5,ac19,autmin,ac19_5879,,199629,2152
ac19_61807,YXXYx,YYXYXyyXYXYxxyyx,5,ac19,autmin,ac19_61807,,210328,323
ac19_66560,YXXYx,YYYXyyyXYYxyx,5,ac19,autmin,ac19_66560,,293168,610
ac19_69707,YYXXXYx,YYxxyXXYX,5,ac19,autmin,ac19_69707,,238045,10880
ac19_71847,YXyXXXXyx,YYxyxyXYXyXYxyX,5,ac19,autmin,ac19_71847,,132641,53533
ms_636,YYYYYYYYXyyyyyyyx,YYYXYxyX,5,ms640,ms_raw,,,213882,
ms_637,YYYYYYYYXyyyyyyyx,YYYXyxYX,5,ms640,ms_raw,,,271866,
ms_638,YYYYYYYYXyyyyyyyx,YYYxyXYx,5,ms640,ms_raw,,,213878,
ms_639,YYYYYYYYXyyyyyyyx,YYYxYXyx,5,ms640,ms_raw,,,272953,
ac19_12445,YYXXYx,YYYxyyxyXyX,9,ac19,autmin,ac19_12445,ac19_12445,10000000,1297772
ac19_15507,YYXXyxx,YYYYYYXYxYYYYX,9,ac19,autmin,ac19_15507,ac19_15507,10000000,4944
ac19_16286,YYXXXXyx,YYXXXYXXyXX,9,ac19,autmin,ac19_16286,ac19_16286,10000000,10000000
ac19_20270,YYXXXYxx,YYYXXXyxyyxyx,9,ac19,autmin,ac19_20270,ac19_20270,10000000,229165
ac19_23156,YYXXyxx,YYYxYXYYX,9,ac19,autmin,ac19_23156,ac19_23156,10000000,6112
ac19_27187,YYXXXXyXX,YYXXyxxxxxxyXXX,9,ac19,autmin,ac19_27187,ac19_27187,10000000,22091
ac19_27254,YXXXyXYx,YXXyxxxxyxx,9,ac19,autmin,ac19_27254,ac19_27254,10000000,10000000
ac19_28131,YYXXXXyx,YXXyXXXYx,9,ac19,autmin,ac19_28131,ac19_28131,10000000,10000000
ac19_28510,YYXXyxx,YYYYYYXYXYYx,9,ac19,autmin,ac19_28510,ac19_28510,10000000,5306
ac19_31298,YYXXYx,YYYXYYxYXyX,9,ac19,autmin,ac19_31298,ac19_31298,10000000,1299594
ac19_36350,YYXXXYxx,YYYYXXXyxyxYYYX,9,ac19,autmin,ac19_36350,ac19_36350,10000000,230141
ac19_40312,YXXXXyXyx,YXXYxxxyxx,9,ac19,autmin,ac19_40312,ac19_40312,10000000,816736
ac19_44381,YXXYXXyxx,YXyXyxxxxx,9,ac19,autmin,ac19_44381,ac19_44381,10000000,10000000
ac19_46363,YXXXyXyxxx,YYYXYxYxxxx,9,ac19,autmin,ac19_46363,ac19_46363,10000000,756582
ac19_50841,YXXyXyxx,YYYxxxYYx,9,ac19,autmin,ac19_50841,ac19_50841,10000000,10000000
ac19_50892,YYXXXXyXX,YXXyXXYxxxxxxyX,9,ac19,autmin,ac19_50892,ac19_50892,10000000,22068
ac19_51034,YYXXXXYX,YYYXYXyyX,9,ac19,autmin,ac19_51034,ac19_51034,10000000,10000000
ac19_54835,YYXXYx,YYYXYxxyXyX,9,ac19,autmin,ac19_54835,ac19_54835,10000000,1297409
ac19_55019,YXXXXyxYx,YXXYXXyXYxYXXX,9,ac19,autmin,ac19_55019,ac19_55019,10000000,770382
ac19_56970,YYXXyxx,YYYYXXYxYYxYx,9,ac19,autmin,ac19_56970,ac19_56970,10000000,5883
ac19_57992,YYXXXYxx,YYYXYYXXyyxyx,9,ac19,autmin,ac19_57992,ac19_57992,10000000,229844
ac19_59576,YYXXXXyx,YXyxxxYXXyx,9,ac19,autmin,ac19_59576,ac19_59576,10000000,10000000
ac19_61253,YYXXyxx,YYYYYYXYXYxxYYX,9,ac19,autmin,ac19_61253,ac19_61253,10000000,4949
ac19_65206,YYXXXYxx,YYXYYxxyXYX,9,ac19,autmin,ac19_65206,ac19_65206,10000000,228598
ac19_65753,YXXYxYxxx,YYYYXyXyxxx,9,ac19,autmin,ac19_65753,ac19_65753,10000000,10000000
ac19_67055,YYXXXyx,YXyxxxxxyXyxx,9,ac19,autmin,ac19_67055,ac19_67055,10000000,793117
ac19_67987,YYXXyxx,YYXXYYxYYxYx,9,ac19,autmin,ac19_67987,ac19_67987,10000000,6073
ac19_7284,YYXXXyXX,YXyxYXXXyxx,9,ac19,autmin,ac19_7284,ac19_7284,10000000,10000000
