orbit_id,kind,source_side,rep_r1,rep_r2,mu,n_parents,L,K,MK,S,xyimb
orb_0092,moved_cov,solved,YXXYx,YYXyxYXyx,14,3,14.0,6.0,4.0,1.1666666666666667,0.0
orb_0093,moved_cov,unsolved,YXXYx,YYYYXyyyx,14,1,14.0,4.0,2.0,1.25,0.2857142857142857
orb_0094,moved_cov,solved,YXXyx,YYXXXXXyX,14,1,14.0,4.0,2.0,1.25,0.2857142857142857
orb_0095,moved_cov,solved,YXXyx,YYXXXXyXX,14,1,14.0,4.0,2.0,1.25,0.2857142857142857
orb_0096,moved_cov,solved,YXXyx,YYXXXyXXX,14,1,14.0,4.0,2.0,1.25,0.2857142857142857
orb_0097,moved_cov,solved,YXXyx,YYXYxyXyX,14,2,14.0,6.0,4.0,1.1666666666666667,0.0
orb_0098,moved_cov,solved,YXXyx,YYXYxyXyx,14,2,14.0,6.0,4.0,1.1666666666666667,0.0
orb_0099,moved_cov,solved,YXXyx,YYXYxyyXX,14,1,14.0,5.0,3.0,1.4,0.0
orb_0100,moved_cov,solved,YXXyx,YYXYxyyxx,14,1,14.0,5.0,3.0,1.4,0.0
orb_0101,moved_cov,solved,YXXyx,YYXyxYXyx,14,2,14.0,6.0,4.0,1.1666666666666667,0.0
orb_0102,moved_cov,solved,YXXyx,YYXyxxxxx,14,1,14.0,4.0,2.0,1.25,0.2857142857142857
orb_0103,moved_cov,solved,YXXyx,YYXyxxyyX,14,1,14.0,5.0,3.0,1.4,0.0
orb_0104,moved_cov,solved,YXXyx,YYXyxxyyx,14,1,14.0,5.0,3.0,1.4,0.0
orb_0105,moved_cov,solved,YXXyx,YYXyxyXYx,14,1,14.0,6.0,4.0,1.1666666666666667,0.0
orb_0106,moved_cov,solved,YXXyx,YYXyxyXyX,14,1,14.0,6.0,4.0,1.1666666666666667,0.0
orb_0107,moved_cov,solved,YXXyx,YYXyxyXyx,14,1,14.0,6.0,4.0,1.1666666666666667,0.0
orb_0108,moved_cov,solved,YXXyx,YYXyxyxYx,14,1,14.0,6.0,4.0,1.1666666666666667,0.0
orb_0109,moved_cov,solved,YXXyx,YYXyyXXyX,14,1,14.0,5.0,3.0,1.4,0.0
orb_0110,moved_cov,solved,YXXyx,YYXyyxYxx,14,1,14.0,5.0,3.0,1.4,0.0
orb_0111,moved_cov,solved,YXXyx,YYYXyXXyX,14,1,14.0,5.0,3.0,1.4,0.0
orb_0112,moved_cov,solved,YXXyx,YYYXyxxyx,14,1,14.0,5.0,3.0,1.4,0.0
orb_0113,moved_cov,solved,YXXyx,YYYXyxyXX,14,1,14.0,5.0,3.0,1.4,0.0
orb_0114,moved_cov,solved,YXXyx,YYYXyxyxx,14,1,14.0,5.0,3.0,1.4,0.0
orb_0115,moved_cov,solved,YXXyx,YYYYXyyyX,14,1,14.0,4.0,2.0,1.25,0.2857142857142857
orb_0116,seed,solved,YXXyx,YYYYXyyyx,14,6,14.0,4.0,2.0,1.25,0.2857142857142857
orb_0117,seed,solved,YYXXXyX,YXXXyxx,14,2,14.0,4.0,2.0,1.25,0.2857142857142857
orb_0118,seed,solved,YYXXXyX,YXXyxxx,14,4,14.0,4.0,2.0,1.25,0.2857142857142857
orb_0119,moved_cov,solved,YYXXXyX,YYxyXyx,14,1,14.0,5.0,3.0,1.4,0.0
orb_0120,moved_cov,solved,YYXXXyX,YYxyxyX,14,1,14.0,5.0,3.0,1.4,0.0
orb_0121,moved_cov,solved,YYXXXyx,YXXXXYx,14,2,14.0,4.0,2.0,1.25,0.2857142857142857
orb_0122,seed,solved,YYXXXyx,YXXXyxx,14,2,14.0,4.0,2.0,1.25,0.2857142857142857
orb_0123,seed,solved,YYXXXyx,YXXyxxx,14,4,14.0,4.0,2.0,1.25,0.2857142857142857
orb_0124,moved_cov,solved,YYXXXyx,YYxyXyx,14,1,14.0,5.0,3.0,1.4,0.0
orb_0125,seed,solved,YYXXyXX,YXXXyxx,14,3,14.0,4.0,2.0,1.25,0.2857142857142857
orb_0126,seed,solved,YYXXyxx,YXXXyxx,14,2,14.0,4.0,2.0,1.25,0.2857142857142857
orb_0127,moved_cov,solved,YYXYXyx,YXyXYxx,14,1,14.0,6.0,3.0,1.1666666666666667,0.0
orb_0128,seed,unsolved,YYYXyyX,YXXXyxx,14,1,14.0,4.0,2.0,1.75,0.0
orb_0129,seed,unsolved,YYYXyyx,YXXXyxx,14,1,14.0,4.0,2.0,1.75,0.0
orb_0130,moved_cov,solved,X,YYYYYYXyxyyyyX,15,2,15.0,3.0,3.0,1.0,0.4666666666666667
orb_0131,moved_cov,solved,X,YYYYYYXyyxyyyX,15,2,15.0,3.0,3.0,1.0,0.4666666666666667
orb_0132,moved_cov,solved,YXXX,YYXyXYYXXyX,15,1,15.0,5.0,4.0,1.4,0.06666666666666667
orb_0133,seed,solved,YXXXyxx,YYXXXXyX,15,3,15.0,4.0,2.0,1.25,0.3333333333333333
orb_0134,seed,solved,YXXXyxx,YYXXXXyx,15,3,15.0,4.0,2.0,1.25,0.3333333333333333
orb_0135,seed,solved,YXXXyxx,YYXXXyXX,15,1,15.0,4.0,2.0,1.25,0.3333333333333333
orb_0136,seed,solved,YXXXyxx,YYXXXyxx,15,1,15.0,4.0,2.0,1.25,0.3333333333333333
orb_0137,seed,solved,YXXXyxx,YYXXyXXX,15,2,15.0,4.0,2.0,1.25,0.3333333333333333
orb_0138,seed,solved,YXXXyxx,YYXXyxxx,15,3,15.0,4.0,2.0,1.25,0.3333333333333333
orb_0139,seed,unsolved,YXXXyxx,YYXYXyyX,15,1,15.0,5.0,3.0,1.4,0.06666666666666667
orb_0140,seed,unsolved,YXXXyxx,YYXYxyyX,15,1,15.0,5.0,3.0,1.4,0.06666666666666667
orb_0141,seed,solved,YXXXyxx,YYXyXXXX,15,1,15.0,4.0,2.0,1.25,0.3333333333333333
orb_0142,seed,solved,YXXXyxx,YYXyxxxx,15,2,15.0,4.0,2.0,1.25,0.3333333333333333
orb_0143,seed,unsolved,YXXXyxx,YYYXXyyX,15,1,15.0,4.0,2.0,1.75,0.06666666666666667
orb_0144,seed,unsolved,YXXXyxx,YYYXyxyx,15,1,15.0,5.0,3.0,1.4,0.06666666666666667
orb_0145,seed,solved,YXXXyxx,YYYXyyXX,15,1,15.0,4.0,2.0,1.75,0.06666666666666667
orb_0146,seed,solved,YXXXyxx,YYYXyyxx,15,1,15.0,4.0,2.0,1.75,0.06666666666666667
orb_0147,moved_cov,solved,YXXYx,YYYXyyxyyx,15,1,15.0,5.0,3.0,1.2,0.2
orb_0148,moved_cov,solved,YXXyXYx,YXXYXXyx,15,1,15.0,6.0,3.0,1.0,0.2
orb_0149,moved_cov,solved,YXXyXYx,YXXYxxyX,15,3,15.0,6.0,3.0,1.0,0.2
orb_0150,moved_cov,solved,YXXyXYx,YXyxxxyx,15,2,15.0,6.0,3.0,1.0,0.2
orb_0151,moved_cov,solved,YXXyXYx,YYXXYXXX,15,1,15.0,5.0,3.0,1.2,0.2
orb_0152,moved_cov,solved,YXXyXyx,YYXYxyyx,15,1,15.0,6.0,3.0,1.1666666666666667,0.06666666666666667
orb_0153,seed,unsolved,YXXyXyx,YYYXyyxx,15,1,15.0,5.0,3.0,1.4,0.06666666666666667
orb_0154,moved_cov,solved,YXXyx,YYXYxyXyxx,15,1,15.0,6.0,4.0,1.1666666666666667,0.06666666666666667
orb_0155,moved_cov,solved,YXXyx,YYXyxyXXYx,15,1,15.0,6.0,4.0,1.1666666666666667,0.06666666666666667
orb_0156,moved_cov,solved,YXXyx,YYXyxyXyxx,15,1,15.0,6.0,4.0,1.1666666666666667,0.06666666666666667
orb_0157,moved_cov,solved,YXXyx,YYYXYxyyyx,15,2,15.0,5.0,3.0,1.2,0.2
orb_0158,moved_cov,solved,YXXyx,YYYYXyyyxx,15,1,15.0,4.0,2.0,1.5,0.2
orb_0159,moved_cov,solved,YXXyxYx,YYYYXYxx,15,1,15.0,5.0,3.0,1.4,0.06666666666666667
orb_0160,seed,unsolved,YXXyxYx,YYYYXyxx,15,1,15.0,5.0,3.0,1.4,0.06666666666666667
orb_0161,moved_cov,solved,YXYXXYx,YXXXyxYx,15,1,15.0,6.0,3.0,1.0,0.2
orb_0162,moved_cov,solved,YXYXXYx,YYYXXyyx,15,1,15.0,5.0,3.0,1.4,0.06666666666666667
orb_0163,seed,unsolved,YXyXYxx,YYXYXyyx,15,1,15.0,6.0,3.0,1.1666666666666667,0.06666666666666667
orb_0164,moved_cov,solved,YXyXYxx,YYYYXXYx,15,1,15.0,5.0,3.0,1.4,0.06666666666666667
orb_0165,moved_cov,solved,YXyXYxx,YYYYXXyx,15,1,15.0,5.0,3.0,1.4,0.06666666666666667
orb_0166,moved_cov,solved,YYXXXYx,YYYXYYXX,15,1,15.0,4.0,2.0,1.75,0.06666666666666667
orb_0167,moved_cov,solved,YYXXXyX,YYYXXyyX,15,2,15.0,4.0,2.0,1.75,0.06666666666666667
orb_0168,moved_cov,solved,YYXXXyX,YYxyXXXX,15,2,15.0,4.0,2.0,1.5,0.2
orb_0169,moved_cov,solved,YYXXXyx,YYYXXyyx,15,2,15.0,4.0,2.0,1.75,0.06666666666666667
orb_0170,moved_cov,unsolved,YYXXXyx,YYYXyxyX,15,1,15.0,5.0,3.0,1.4,0.06666666666666667
orb_0171,moved_cov,solved,YYXXYx,YXYxYXXyx,15,1,15.0,6.0,4.0,1.1666666666666667,0.06666666666666667
orb_0172,moved_cov,solved,YYXXYx,YXYxxYXyX,15,1,15.0,6.0,4.0,1.1666666666666667,0.06666666666666667
orb_0173,seed,solved,YYXXYx,YYYYXyyyx,15,3,15.0,4.0,2.0,1.25,0.3333333333333333
orb_0174,moved_cov,solved,YYXXYx,YYYYYxyXX,15,1,15.0,4.0,2.0,1.5,0.2
orb_0175,moved_cov,solved,YYXXYx,YYYYxyyXX,15,1,15.0,4.0,2.0,1.5,0.2
orb_0176,seed,solved,YYXXYx,YYYYxyyyX,15,3,15.0,4.0,2.0,1.25,0.3333333333333333
orb_0177,moved_cov,solved,YYXXYx,YYxYXyxyX,15,1,15.0,6.0,4.0,1.1666666666666667,0.06666666666666667
orb_0178,moved_cov,solved,YYXXYx,YYxyXyxYX,15,1,15.0,6.0,4.0,1.1666666666666667,0.06666666666666667
orb_0179,seed,solved,YYXXyx,YXXXXyxxx,15,4,15.0,4.0,2.0,1.25,0.3333333333333333
orb_0180,moved_cov,solved,YYXXyx,YXyXXYxyx,15,1,15.0,6.0,4.0,1.1666666666666667,0.06666666666666667
orb_0181,moved_cov,solved,YYXXyx,YXyXYxyxx,15,1,15.0,6.0,4.0,1.1666666666666667,0.06666666666666667
orb_0182,moved_cov,solved,YYXXyx,YXyxYXXYx,15,1,15.0,6.0,4.0,1.1666666666666667,0.06666666666666667
orb_0183,moved_cov,solved,YYXXyx,YXyxYXyxx,15,1,15.0,6.0,4.0,1.1666666666666667,0.06666666666666667
orb_0184,moved_cov,solved,YYXXyx,YYYYxyyXX,15,1,15.0,4.0,2.0,1.5,0.2
orb_0185,moved_cov,solved,YYXXyxx,YYXYYXyx,15,1,15.0,5.0,3.0,1.4,0.06666666666666667
orb_0186,moved_cov,solved,YYXXyxx,YYXYxyyx,15,1,15.0,5.0,3.0,1.4,0.06666666666666667
orb_0187,seed,unsolved,YYXXyxx,YYYxyXyX,15,1,15.0,5.0,3.0,1.4,0.06666666666666667
orb_0188,moved_cov,solved,YYXXyxx,YYxxxyXX,15,2,15.0,4.0,2.0,1.5,0.2
orb_0189,moved_cov,solved,X,YYYXyyyxYYXyyyx,16,1,16.0,4.0,4.0,1.0,0.375
orb_0190,seed,solved,X,YYYYYYYXyyyyyyx,16,1,16.0,2.0,2.0,1.0,0.625
orb_0191,moved_cov,solved,YXXXYxx,YYXyxYXyx,16,1,16.0,6.0,4.0,1.1666666666666667,0.125
orb_0192,seed,unsolved,YXXXYxx,YYYYXyyyx,16,1,16.0,4.0,2.0,1.75,0.125
orb_0193,moved_cov,solved,YXXXyxx,YYXXXXXyX,16,1,16.0,4.0,2.0,1.25,0.375
orb_0194,moved_cov,solved,YXXXyxx,YYXXXXXyx,16,1,16.0,4.0,2.0,1.25,0.375
orb_0195,moved_cov,solved,YXXXyxx,YYXXXXyXX,16,1,16.0,4.0,2.0,1.25,0.375
orb_0196,moved_cov,solved,YXXXyxx,YYXXyXXXX,16,1,16.0,4.0,2.0,1.25,0.375
orb_0197,moved_cov,solved,YXXXyxx,YYXXyxxxx,16,2,16.0,4.0,2.0,1.25,0.375
orb_0198,moved_cov,unsolved,YXXXyxx,YYXYxxyyx,16,1,16.0,5.0,3.0,1.4,0.125
orb_0199,moved_cov,solved,YXXXyxx,YYXyxxxxx,16,1,16.0,4.0,2.0,1.25,0.375
orb_0200,moved_cov,unsolved,YXXXyxx,YYXyxxyyx,16,1,16.0,5.0,3.0,1.4,0.125
orb_0201,moved_cov,unsolved,YXXXyxx,YYYXXyxyX,16,1,16.0,5.0,3.0,1.4,0.125
orb_0202,moved_cov,unsolved,YXXXyxx,YYYXyxxyx,16,1,16.0,5.0,3.0,1.4,0.125
orb_0203,seed,unsolved,YXXXyxx,YYYYXyyyx,16,1,16.0,4.0,2.0,1.75,0.125
orb_0204,moved_cov,solved,YXXYx,YYXyyxYXyyx,16,2,16.0,6.0,4.0,1.1666666666666667,0.125
orb_0205,moved_cov,solved,YXXyXyx,YYYXyxyyX,16,1,16.0,6.0,3.0,1.1666666666666667,0.125
orb_0206,seed,unsolved,YXXyXyx,YYYXyyyxx,16,1,16.0,5.0,3.0,1.4,0.125
orb_0207,moved_cov,solved,YXXyx,YYXyxxYXyxx,16,1,16.0,6.0,4.0,1.1666666666666667,0.125
orb_0208,moved_cov,solved,YXXyx,YYXyyxYXyyx,16,2,16.0,6.0,4.0,1.1666666666666667,0.125
orb_0209,seed,solved,YXXyx,YYYYYXyyyyx,16,3,16.0,4.0,2.0,1.25,0.375
orb_0210,moved_cov,unsolved,YXXyxYx,YYXYYXYYx,16,1,16.0,6.0,3.0,1.1666666666666667,0.125
orb_0211,seed,unsolved,YXXyxYx,YYYYYXyxx,16,1,16.0,5.0,3.0,1.4,0.125
orb_0212,moved_cov,unsolved,YXyXYxx,YYXXXyxyx,16,1,16.0,6.0,3.0,1.1666666666666667,0.125
orb_0213,seed,solved,YYXXXyX,YXXXXyxxx,16,4,16.0,4.0,2.0,1.25,0.375
orb_0214,seed,solved,YYXXXyX,YXXXyxxxx,16,1,16.0,4.0,2.0,1.25,0.375
orb_0215,seed,solved,YYXXXyx,YXXXyxxxx,16,1,16.0,4.0,2.0,1.25,0.375
orb_0216,moved_cov,solved,YYXXXyx,YXyxYXyxx,16,1,16.0,6.0,4.0,1.1666666666666667,0.125
orb_0217,moved_cov,solved,YYXXXyx,YYXXYXXyX,16,1,16.0,5.0,3.0,1.4,0.125
orb_0218,seed,unsolved,YYXXYYx,YXXXyxxYx,16,1,16.0,5.0,3.0,1.4,0.125
orb_0219,seed,solved,YYXXYYx,YYYYXyyyx,16,3,16.0,4.0,2.0,1.25,0.375
orb_0220,seed,solved,YYXXyxx,YXXXXyxxx,16,4,16.0,4.0,2.0,1.25,0.375
orb_0221,seed,unsolved,YYXXyxx,YYYYxYXYX,16,1,16.0,5.0,3.0,1.4,0.125
orb_0222,seed,unsolved,YXXXYxYx,YYYYXyyyx,17,1,17.0,5.0,3.0,1.4,0.17647058823529413
orb_0223,moved_cov,unsolved,YXXXYxx,YYXXYxxyyX,17,1,17.0,5.0,3.0,1.4,0.17647058823529413
orb_0224,moved_cov,unsolved,YXXXYxx,YYXyyXyxxx,17,1,17.0,5.0,3.0,1.4,0.17647058823529413
orb_0225,moved_cov,unsolved,YXXXYxx,YYYXXYxxyX,17,1,17.0,5.0,3.0,1.4,0.17647058823529413
orb_0226,moved_cov,unsolved,YXXXYxx,YYYxYXXXyx,17,1,17.0,5.0,3.0,1.4,0.17647058823529413
orb_0227,moved_cov,solved,YXXXyXYx,YXyxxxxyx,17,2,17.0,6.0,3.0,1.0,0.29411764705882354
orb_0228,moved_cov,solved,YXXXyXYx,YYYXXyXyx,17,1,17.0,6.0,3.0,1.3333333333333333,0.058823529411764705
orb_0229,moved_cov,solved,YXXXyXYx,YYYXyXyyx,17,1,17.0,6.0,3.0,1.3333333333333333,0.058823529411764705
orb_0230,moved_cov,solved,YXXXyXyx,YYYxxyXyx,17,1,17.0,6.0,3.0,1.3333333333333333,0.058823529411764705
orb_0231,moved_cov,solved,YXXXyXyx,YYYxyXyyx,17,1,17.0,6.0,3.0,1.3333333333333333,0.058823529411764705
orb_0232,moved_cov,solved,YXXXyxYx,YXYXXXYxx,17,1,17.0,6.0,3.0,1.0,0.29411764705882354
orb_0233,moved_cov,unsolved,YXXXyxYx,YYXXyxxyx,17,1,17.0,6.0,3.0,1.1666666666666667,0.17647058823529413
orb_0234,seed,unsolved,YXXXyxYx,YYXyXyxyx,17,1,17.0,7.0,4.0,1.1428571428571428,0.058823529411764705
orb_0235,seed,unsolved,YXXXyxYx,YYYYXyyyx,17,1,17.0,5.0,3.0,1.4,0.17647058823529413
orb_0236,seed,unsolved,YXXXyxYx,YYYYxyyyX,17,1,17.0,5.0,3.0,1.4,0.17647058823529413
orb_0237,moved_cov,solved,YXXXyxYx,YYxyXYxyX,17,1,17.0,7.0,4.0,1.1428571428571428,0.058823529411764705
