pres_id,bin,aut_class,start_length,r1,r2,cov_z,cov_iso_gen,cov_iso_index,cov_class,cov_cap,cov_found_at_budget,cov_r1,cov_r2,cov_n_tied_starts,b1k_greedy_solved,b1k_greedy_nodes,b1k_greedy_path,b1k_heur_solved,b1k_heur_nodes,b1k_heur_path,b1k_covgreedy_solved,b1k_covgreedy_nodes,b1k_covgreedy_path,b1k_covheur_solved,b1k_covheur_nodes,b1k_covheur_path
625,8,106,24,YYYYYYYYXyyyyyyyx,YYXYxyX,xyyyy,x,0,relabel,34,20000,XXXXXXYXyxYxxxxxxx,YXXXXXXXyxxxxxxxx,1,False,1000,,False,1000,,False,1000,,False,1000,
628,7,110,25,YYYYYYYYXyyyyyyyx,YYXyXyyx,YYYYYYYxyyyyyyy,y,0,relabel,46,10000,XyXyXYYxYxx,YXyXyXyXyXyXyXyxYxYxYxYxYxYxYx,3,False,1000,,True,106,36,True,158,51,True,58,40
632,6,111,25,YYYYYYYYXyyyyyyyx,YYYYXXYx,YYxyyyyyyyy,x,0,relabel,33,10000,XXXXYxxxxxYXy,YXXXXXXXyxxxxxxxx,7,False,1000,,True,831,57,True,39,22,True,31,20
633,7,110,25,YYYYYYYYXyyyyyyyx,YYXyyxyx,XYYxyy,y,1,relabel,46,10000,xYxYxYxYxYxYxYxYXyXyXyXyXyXyXy,YYxYxyXyX,4,False,1000,,True,107,36,True,158,51,True,58,40
634,9,108,23,YYYYYYYXyyyyyyx,YYYXyyxx,YYxyy,y,1,moved,43,10000,XXyXXyXXyXXyXXYxxYxxYxxYxxx,YXXyXXyxYxxYxx,1,False,1000,,False,1000,,True,410,38,False,1000,
635,9,108,23,YYYYYYYXyyyyyyx,YYYXXyyx,yyxYY,y,1,moved,39,10000,xxYxxYxxYxxYXyXXyXXyXXy,YXXyXXyxYxxYxx,1,False,1000,,False,1000,,True,410,38,False,1000,
636,9,106,25,YYYYYYYYXyyyyyyyx,YYYXYxyX,xyyyyy,x,0,relabel,34,20000,XXXXXXYXyxYxxxxxxx,YXXXXXXXyxxxxxxxx,1,False,1000,,False,1000,,False,1000,,False,1000,
637,9,106,25,YYYYYYYYXyyyyyyyx,YYYXyxYX,xyyy,x,0,moved,33,20000,YXXXXXXyXYxxxxxxx,YXXXXXXXyxxxxxxxx,1,False,1000,,False,1000,,False,1000,,False,1000,
638,9,106,25,YYYYYYYYXyyyyyyyx,YYYxyXYx,xyX,x,1,relabel,39,20000,XXXXXXXXXXXyxxxxxxxYxxx,YxYxyX,1,False,1000,,False,1000,,False,1000,,False,1000,
639,9,106,25,YYYYYYYYXyyyyyyyx,YYYxYXyx,yyyX,x,0,moved,33,20000,YxxxxxxxYXyXXXXXX,YxxxxxxxxyXXXXXXX,1,False,1000,,False,1000,,False,1000,,False,1000,
