pres_id,beam_k,mu_in,best_mu,hits_stop,descended,best_rep,best_chain,chain_len,n_orbits_seen,stopped_reason,n_aut_canon,n_expanded,n_rungs,rungs_cap,stop_mu
575,1,18,17,False,True,"[""YXXyx"", ""YYYYYXyyyyxx""]","[""yX""]",1,124,closed,230,26,26,256,12
568,1,19,12,True,True,"[""YXXyx"", ""YYYXyyX""]","[""xx"", ""yxY"", ""yxY"", ""xx"", ""Xy"", ""xyy"", ""xxyX"", ""Xyx"", ""yx"", ""xy""]",10,42,stop_mu,73,10,10,256,12
578,1,19,12,True,True,"[""YXXyx"", ""YYYXyyX""]","[""xx"", ""yxY"", ""yxY"", ""xx"", ""Xy"", ""xyy"", ""xxyX"", ""Xyx"", ""yx"", ""xy""]",10,42,stop_mu,73,10,10,256,12
583,1,19,12,True,True,"[""YXXyx"", ""YYYXyyX""]","[""xx"", ""yxY"", ""yxY"", ""xx"", ""Xy"", ""xyy"", ""xxyX"", ""Xyx"", ""yx"", ""xy""]",10,42,stop_mu,73,10,10,256,12
628,1,24,21,False,True,"[""YYXXyxx"", ""YYxxxxxxyXXXXX""]","[""XXyx""]",1,87,closed,700,29,29,256,12
633,1,24,21,False,True,"[""YYXXyxx"", ""YYxxxxxxyXXXXX""]","[""XXyx""]",1,87,closed,700,29,29,256,12
596,1,20,18,False,True,"[""YXyXXyx"", ""YYYXXyyxyxx""]","[""yX"", ""xy"", ""yX"", ""yx"", ""xy"", ""xy"", ""xyX"", ""xx"", ""xx"", ""yx"", ""Xyx"", ""Xy"", ""xxy"", ""yX"", ""yX"", ""XXy"", ""xy"", ""yx"", ""xx"", ""yxy"", ""xyx""]",21,162,closed,308,36,36,256,12
605,1,20,18,False,True,"[""YXyXXyx"", ""YYYXXyyxyxx""]","[""yX"", ""xy"", ""yX"", ""yx"", ""xy"", ""xy"", ""xyX"", ""xx"", ""xx"", ""yx"", ""Xyx"", ""Xy"", ""xxy"", ""yX"", ""yX"", ""XXy"", ""xy"", ""yx"", ""xx"", ""yxy"", ""xyx""]",21,162,closed,308,36,36,256,12
610,1,20,18,False,True,"[""YXyXXyx"", ""YYYXXyyxyxx""]","[""yX"", ""xy"", ""yX"", ""yx"", ""xy"", ""xy"", ""xyX"", ""xx"", ""xx"", ""yx"", ""Xyx"", ""Xy"", ""xxy"", ""yX"", ""yX"", ""XXy"", ""xy"", ""yx"", ""xx"", ""yxy"", ""xyx""]",21,162,closed,308,36,36,256,12
625,1,22,19,False,True,"[""YXyXXyx"", ""YYYXYxyyxyxx""]","[""yX"", ""xy"", ""yX"", ""yx"", ""xy"", ""xy"", ""xyX"", ""xx"", ""xx"", ""yx"", ""Xyx"", ""Xy"", ""xxy"", ""yX"", ""yX"", ""XXy"", ""xy"", ""yx"", ""xx"", ""Yxy"", ""Yxy"", ""xyx"", ""yxy"", ""Yxy"", ""Yxy"", ""yX"", ""xyX"", ""Xyx"", ""yX"", ""xy"", ""xx"", ""xx"", ""yX"", ""xxy"", ""yxy"", ""yx"", ""Xyx"", ""Xy"", ""xy"", ""xxYx"", ""Yxy"", ""yX"", ""yx"", ""xyX"", ""xyX"", ""yxy"", ""yxy"", ""Xy"", ""xy"", ""Yxy"", ""yxy"", ""yx"", ""Xyx"", ""yxY"", ""xy"", ""Xyx"", ""xy"", ""yX"", ""yX"", ""xxy"", ""Xy"", ""Xyx"", ""yX"", ""xx"", ""xyx"", ""xyx"", ""Xy"", ""yx"", ""yxY"", ""xyx"", ""yxy"", ""yxY"", ""Xy"", ""xxy"", ""xyx"", ""Xy"", ""Xy"", ""xxYx"", ""Yxy""]",79,889,rungs_exhausted,2130,256,256,256,12
622,1,22,19,False,True,"[""YXyXXyx"", ""YYYXYxyyxyxx""]","[""yX"", ""xy"", ""yX"", ""yx"", ""xy"", ""xy"", ""xyX"", ""xx"", ""xx"", ""yx"", ""Xyx"", ""Xy"", ""xxy"", ""yX"", ""yX"", ""XXy"", ""xy"", ""yx"", ""xx"", ""Yxy"", ""Yxy"", ""xyx"", ""yxy"", ""Yxy"", ""Yxy"", ""yX"", ""xyX"", ""Xyx"", ""yX"", ""xy"", ""xx"", ""xx"", ""yX"", ""xxy"", ""yxy"", ""yx"", ""Xyx"", ""Xy"", ""xy"", ""xxYx"", ""Yxy"", ""yX"", ""yx"", ""xyX"", ""xyX"", ""yxy"", ""yxy"", ""Xy"", ""xy"", ""Yxy"", ""yxy"", ""yx"", ""Xyx"", ""yxY"", ""xy"", ""Xyx"", ""xy"", ""yX"", ""yX"", ""xxy"", ""Xy"", ""Xyx"", ""yX"", ""xx"", ""xyx"", ""xyx"", ""Xy"", ""yx"", ""yxY"", ""xyx"", ""yxy"", ""yxY"", ""Xy"", ""xxy"", ""xyx"", ""Xy"", ""Xy"", ""xxYx"", ""Yxy""]",79,889,rungs_exhausted,2130,256,256,256,12
624,1,22,19,False,True,"[""YXyXXyx"", ""YYYXYxyyxyxx""]","[""yX"", ""xy"", ""yX"", ""yx"", ""xy"", ""xy"", ""xyX"", ""xx"", ""xx"", ""yx"", ""Xyx"", ""Xy"", ""xxy"", ""yX"", ""yX"", ""XXy"", ""xy"", ""yx"", ""xx"", ""Yxy"", ""Yxy"", ""xyx"", ""yxy"", ""Yxy"", ""Yxy"", ""yX"", ""xyX"", ""Xyx"", ""yX"", ""xy"", ""xx"", ""xx"", ""yX"", ""xxy"", ""yxy"", ""yx"", ""Xyx"", ""Xy"", ""xy"", ""xxYx"", ""Yxy"", ""yX"", ""yx"", ""xyX"", ""xyX"", ""yxy"", ""yxy"", ""Xy"", ""xy"", ""Yxy"", ""yxy"", ""yx"", ""Xyx"", ""yxY"", ""xy"", ""Xyx"", ""xy"", ""yX"", ""yX"", ""xxy"", ""Xy"", ""Xyx"", ""yX"", ""xx"", ""xyx"", ""xyx"", ""Xy"", ""yx"", ""yxY"", ""xyx"", ""yxy"", ""yxY"", ""Xy"", ""xxy"", ""xyx"", ""Xy"", ""Xy"", ""xxYx"", ""Yxy""]",79,889,rungs_exhausted,2130,256,256,256,12
623,1,22,19,False,True,"[""YXyXXyx"", ""YYYXYxyyxyxx""]","[""yX"", ""xy"", ""yX"", ""yx"", ""xy"", ""xy"", ""xyX"", ""xx"", ""xx"", ""yx"", ""Xyx"", ""Xy"", ""xxy"", ""yX"", ""yX"", ""XXy"", ""xy"", ""yx"", ""xx"", ""Yxy"", ""Yxy"", ""xyx"", ""yxy"", ""Yxy"", ""Yxy"", ""yX"", ""xyX"", ""Xyx"", ""yX"", ""xy"", ""xx"", ""xx"", ""yX"", ""xxy"", ""yxy"", ""yx"", ""Xyx"", ""Xy"", ""xy"", ""xxYx"", ""Yxy"", ""yX"", ""yx"", ""xyX"", ""xyX"", ""yxy"", ""yxy"", ""Xy"", ""xy"", ""Yxy"", ""yxy"", ""yx"", ""Xyx"", ""yxY"", ""xy"", ""Xyx"", ""xy"", ""yX"", ""yX"", ""xxy"", ""Xy"", ""Xyx"", ""yX"", ""xx"", ""xyx"", ""xyx"", ""Xy"", ""yx"", ""yxY"", ""xyx"", ""yxy"", ""yxY"", ""Xy"", ""xxy"", ""xyx"", ""Xy"", ""Xy"", ""xxYx"", ""Yxy""]",79,889,rungs_exhausted,2130,256,256,256,12
634,1,23,16,False,True,"[""YYXXyxx"", ""YYYXYYxyx""]","[""xx"", ""Yxxy"", ""Xyxx""]",3,44,closed,147,17,17,256,12
635,1,23,16,False,True,"[""YYXXyxx"", ""YYYXYYxyx""]","[""xx"", ""Yxxy"", ""Xyxx""]",3,44,closed,147,17,17,256,12
637,1,22,19,False,True,"[""YXyXXyx"", ""YYYXYxyyxyxx""]","[""yX"", ""xy"", ""yX"", ""yx"", ""xy"", ""xy"", ""xyX"", ""xx"", ""xx"", ""yx"", ""Xyx"", ""Xy"", ""xxy"", ""yX"", ""yX"", ""XXy"", ""xy"", ""yx"", ""xx"", ""Yxy"", ""Yxy"", ""xyx"", ""yxy"", ""Yxy"", ""Yxy"", ""yX"", ""xyX"", ""Xyx"", ""yX"", ""xy"", ""xx"", ""xx"", ""yX"", ""xxy"", ""yxy"", ""yx"", ""Xyx"", ""Xy"", ""xy"", ""xxYx"", ""Yxy"", ""yX"", ""yx"", ""xyX"", ""xyX"", ""yxy"", ""yxy"", ""Xy"", ""xy"", ""Yxy"", ""yxy"", ""yx"", ""Xyx"", ""yxY"", ""xy"", ""Xyx"", ""xy"", ""yX"", ""yX"", ""xxy"", ""Xy"", ""Xyx"", ""yX"", ""xx"", ""xyx"", ""xyx"", ""Xy"", ""yx"", ""yxY"", ""xyx"", ""yxy"", ""yxY"", ""Xy"", ""xxy"", ""xyx"", ""Xy"", ""Xy"", ""xxYx"", ""Yxy""]",79,889,rungs_exhausted,2130,256,256,256,12
639,1,22,19,False,True,"[""YXyXXyx"", ""YYYXYxyyxyxx""]","[""yX"", ""xy"", ""yX"", ""yx"", ""xy"", ""xy"", ""xyX"", ""xx"", ""xx"", ""yx"", ""Xyx"", ""Xy"", ""xxy"", ""yX"", ""yX"", ""XXy"", ""xy"", ""yx"", ""xx"", ""Yxy"", ""Yxy"", ""xyx"", ""yxy"", ""Yxy"", ""Yxy"", ""yX"", ""xyX"", ""Xyx"", ""yX"", ""xy"", ""xx"", ""xx"", ""yX"", ""xxy"", ""yxy"", ""yx"", ""Xyx"", ""Xy"", ""xy"", ""xxYx"", ""Yxy"", ""yX"", ""yx"", ""xyX"", ""xyX"", ""yxy"", ""yxy"", ""Xy"", ""xy"", ""Yxy"", ""yxy"", ""yx"", ""Xyx"", ""yxY"", ""xy"", ""Xyx"", ""xy"", ""yX"", ""yX"", ""xxy"", ""Xy"", ""Xyx"", ""yX"", ""xx"", ""xyx"", ""xyx"", ""Xy"", ""yx"", ""yxY"", ""xyx"", ""yxy"", ""yxY"", ""Xy"", ""xxy"", ""xyx"", ""Xy"", ""Xy"", ""xxYx"", ""Yxy""]",79,889,rungs_exhausted,2130,256,256,256,12
638,1,22,19,False,True,"[""YXyXXyx"", ""YYYXYxyyxyxx""]","[""yX"", ""xy"", ""yX"", ""yx"", ""xy"", ""xy"", ""xyX"", ""xx"", ""xx"", ""yx"", ""Xyx"", ""Xy"", ""xxy"", ""yX"", ""yX"", ""XXy"", ""xy"", ""yx"", ""xx"", ""Yxy"", ""Yxy"", ""xyx"", ""yxy"", ""Yxy"", ""Yxy"", ""yX"", ""xyX"", ""Xyx"", ""yX"", ""xy"", ""xx"", ""xx"", ""yX"", ""xxy"", ""yxy"", ""yx"", ""Xyx"", ""Xy"", ""xy"", ""xxYx"", ""Yxy"", ""yX"", ""yx"", ""xyX"", ""xyX"", ""yxy"", ""yxy"", ""Xy"", ""xy"", ""Yxy"", ""yxy"", ""yx"", ""Xyx"", ""yxY"", ""xy"", ""Xyx"", ""xy"", ""yX"", ""yX"", ""xxy"", ""Xy"", ""Xyx"", ""yX"", ""xx"", ""xyx"", ""xyx"", ""Xy"", ""yx"", ""yxY"", ""xyx"", ""yxy"", ""yxY"", ""Xy"", ""xxy"", ""xyx"", ""Xy"", ""Xy"", ""xxYx"", ""Yxy""]",79,889,rungs_exhausted,2130,256,256,256,12
636,1,22,19,False,True,"[""YXyXXyx"", ""YYYXYxyyxyxx""]","[""yX"", ""xy"", ""yX"", ""yx"", ""xy"", ""xy"", ""xyX"", ""xx"", ""xx"", ""yx"", ""Xyx"", ""Xy"", ""xxy"", ""yX"", ""yX"", ""XXy"", ""xy"", ""yx"", ""xx"", ""Yxy"", ""Yxy"", ""xyx"", ""yxy"", ""Yxy"", ""Yxy"", ""yX"", ""xyX"", ""Xyx"", ""yX"", ""xy"", ""xx"", ""xx"", ""yX"", ""xxy"", ""yxy"", ""yx"", ""Xyx"", ""Xy"", ""xy"", ""xxYx"", ""Yxy"", ""yX"", ""yx"", ""xyX"", ""xyX"", ""yxy"", ""yxy"", ""Xy"", ""xy"", ""Yxy"", ""yxy"", ""yx"", ""Xyx"", ""yxY"", ""xy"", ""Xyx"", ""xy"", ""yX"", ""yX"", ""xxy"", ""Xy"", ""Xyx"", ""yX"", ""xx"", ""xyx"", ""xyx"", ""Xy"", ""yx"", ""yxY"", ""xyx"", ""yxy"", ""yxY"", ""Xy"", ""xxy"", ""xyx"", ""Xy"", ""Xy"", ""xxYx"", ""Yxy""]",79,889,rungs_exhausted,2130,256,256,256,12
0,2,6,6,True,False,"[""X"", ""YYXyx""]",[],0,1,stop_mu,1,0,0,256,12
496,2,16,16,False,False,"[""X"", ""YYYYYYYXyyyyyyx""]",[],0,4,closed,18,3,2,256,12
521,2,18,18,False,False,"[""X"", ""YYYYYYYYXyyyyyyyx""]",[],0,4,closed,19,4,3,256,12
323,2,10,10,True,False,"[""X"", ""YYYYXyyyx""]",[],0,1,stop_mu,1,0,0,256,12
228,2,14,8,True,True,"[""X"", ""YYYXyyx""]","[""yX""]",1,6,stop_mu,12,1,1,256,12
455,2,19,12,True,True,"[""X"", ""YYYYYXyyyyx""]","[""Xy""]",1,9,stop_mu,20,1,1,256,12
77,2,13,11,True,True,"[""YXXyx"", ""YYXyxx""]","[""yX""]",1,9,stop_mu,14,1,1,256,12
43,2,11,11,True,False,"[""YXXyx"", ""YYXyXX""]",[],0,1,stop_mu,1,0,0,256,12
141,2,13,11,True,True,"[""YXXyx"", ""YYXyXX""]","[""yx""]",1,8,stop_mu,11,1,1,256,12
48,2,12,12,True,False,"[""YXXyx"", ""YYXyXXX""]",[],0,1,stop_mu,1,0,0,256,12
155,2,13,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""Xy""]",1,6,stop_mu,10,1,1,256,12
505,2,22,6,True,True,"[""X"", ""YYXyx""]","[""XXyx"", ""xx"", ""yX"", ""yX"", ""Xyx"", ""yx"", ""yx"", ""xx""]",8,66,stop_mu,167,15,8,256,12
247,2,13,11,True,True,"[""YXXyx"", ""YYXyxx""]","[""XXy""]",1,8,stop_mu,15,1,1,256,12
217,2,14,12,True,True,"[""YXXyx"", ""YYYXyyx""]","[""xy""]",1,7,stop_mu,13,1,1,256,12
201,2,13,12,True,True,"[""YXXyx"", ""YYYXyyx""]","[""xy""]",1,9,stop_mu,12,1,1,256,12
288,2,15,12,True,True,"[""YXXYx"", ""YYYXyyx""]","[""xy""]",1,7,stop_mu,12,1,1,256,12
367,2,16,11,True,True,"[""YXXyx"", ""YYXyxx""]","[""yx"", ""XXy"", ""yy""]",3,23,stop_mu,58,5,3,256,12
331,2,15,10,True,True,"[""YYXyX"", ""YXXyx""]","[""yy"", ""yx""]",2,20,stop_mu,42,3,2,256,12
203,2,12,12,True,False,"[""YXXYx"", ""YYYXyyx""]",[],0,1,stop_mu,1,0,0,256,12
265,2,14,12,True,True,"[""YXXYx"", ""YYYXyyx""]","[""xy""]",1,7,stop_mu,10,1,1,256,12
579,2,21,11,True,True,"[""YXXX"", ""YYYXyyX""]","[""xy"", ""XXXyx"", ""Yxxxy"", ""Xy""]",4,28,stop_mu,121,7,4,256,12
327,2,15,12,True,True,"[""YXXyx"", ""YYXyxxx""]","[""xy"", ""yX"", ""yX"", ""yX""]",4,33,stop_mu,73,7,4,256,12
333,2,14,12,True,True,"[""YXXyx"", ""YYXyxxx""]","[""yX"", ""yX"", ""yX""]",3,23,stop_mu,47,5,3,256,12
380,2,17,12,True,True,"[""YXXyx"", ""YYXyxxx""]","[""xy"", ""yX"", ""yX"", ""yX""]",4,32,stop_mu,71,7,4,256,12
546,2,18,11,True,True,"[""YXXX"", ""YYYXyyX""]","[""yx"", ""XXyx"", ""yxxY"", ""Xy""]",4,26,stop_mu,92,7,4,256,12
548,2,17,12,True,True,"[""YXXyx"", ""YYYXyyX""]","[""XXy"", ""xyy"", ""xy""]",3,26,stop_mu,51,5,3,256,12
533,2,16,12,True,True,"[""YXXyx"", ""YYXyxxx""]","[""xy"", ""yX"", ""yX"", ""yX""]",4,31,stop_mu,66,7,4,256,12
589,2,20,11,True,True,"[""YXXyx"", ""YYXyXX""]","[""xxxy"", ""xy"", ""yx""]",3,27,stop_mu,59,5,3,256,12
580,2,21,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""xy"", ""XXyx"", ""xx"", ""xyX"", ""yx"", ""yX""]",6,48,stop_mu,121,11,6,256,12
609,2,22,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""XXXy"", ""XXXy"", ""xy"", ""yX"", ""yx"", ""yX""]",6,49,stop_mu,117,11,6,256,12
538,2,17,11,True,True,"[""YXXyx"", ""YYXyxx""]","[""xyy"", ""xy"", ""yX""]",3,30,stop_mu,58,5,3,256,12
606,2,23,11,True,True,"[""YXXyx"", ""YYXyXX""]","[""xy"", ""XXXyx"", ""Yxxxy"", ""XXyxx"", ""yx"", ""xx""]",6,42,stop_mu,135,11,6,256,12
544,2,16,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""yX"", ""yX"", ""yX"", ""yX"", ""Xyx"", ""yx"", ""yx"", ""yx"", ""yx""]",9,75,stop_mu,140,17,9,256,12
549,2,18,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""xy"", ""yX"", ""yX"", ""yX"", ""yX"", ""Xyx"", ""yx"", ""yx"", ""yx"", ""yx""]",10,86,stop_mu,170,19,10,256,12
543,2,19,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""xy"", ""yX"", ""yX"", ""yX"", ""yX"", ""Xyx"", ""yx"", ""yx"", ""yx"", ""yx""]",10,84,stop_mu,163,19,10,256,12
565,2,18,17,False,True,"[""YXXyx"", ""YYYYYXyyyyxx""]","[""yX""]",1,354,closed,985,120,61,256,12
602,2,22,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""xxxy"", ""xy"", ""yx"", ""yx"", ""yX""]",5,46,stop_mu,95,9,5,256,12
632,2,25,12,True,True,"[""YXXyx"", ""YYXyXXX""]","[""xxxx"", ""yXy"", ""xy"", ""yX"", ""yx"", ""yX""]",6,51,stop_mu,116,11,6,256,12
573,2,21,12,True,True,"[""YXXyx"", ""YYYXyyX""]","[""xxxxy"", ""xx"", ""Xy"", ""xyy"", ""Xyx"", ""Xyx"", ""yx"", ""xy""]",8,56,stop_mu,107,15,8,256,12
586,2,21,17,False,True,"[""YXXyx"", ""YYYYYXyyyyxx""]","[""xy"", ""yX""]",2,365,closed,1018,122,62,256,12
581,2,21,17,False,True,"[""YXXyx"", ""YYYYYXyyyyxx""]","[""xy"", ""yX""]",2,365,closed,1018,122,62,256,12
575,2,18,17,False,True,"[""YXXyx"", ""YYYYYXyyyyxx""]","[""yX""]",1,354,closed,985,120,61,256,12
568,2,19,12,True,True,"[""YXXyx"", ""YYYXyyX""]","[""xx"", ""yxY"", ""yxY"", ""XXy"", ""xx"", ""Xyx"", ""yx"", ""xy""]",8,54,stop_mu,101,15,8,256,12
578,2,19,12,True,True,"[""YXXyx"", ""YYYXyyX""]","[""xx"", ""yxY"", ""yxY"", ""XXy"", ""xx"", ""Xyx"", ""yx"", ""xy""]",8,54,stop_mu,101,15,8,256,12
583,2,19,12,True,True,"[""YXXyx"", ""YYYXyyX""]","[""xx"", ""yxY"", ""yxY"", ""XXy"", ""xx"", ""Xyx"", ""yx"", ""xy""]",8,54,stop_mu,101,15,8,256,12
628,2,24,21,False,True,"[""YYXXyxx"", ""YYxxxxxxyXXXXX""]","[""XXyx""]",1,310,closed,1302,134,70,256,12
633,2,24,21,False,True,"[""YYXXyxx"", ""YYxxxxxxyXXXXX""]","[""XXyx""]",1,310,closed,1302,134,70,256,12
596,2,20,17,False,True,"[""YXyXYxx"", ""YYYYYYXXYx""]","[""yX"", ""yX"", ""yx"", ""xy"", ""xy"", ""yx"", ""xx"", ""Xyx"", ""xy"", ""xx"", ""Xyx"", ""Xy"", ""yx"", ""Xyx"", ""yx"", ""Xy"", ""xy"", ""xyX"", ""xy"", ""Xy"", ""yX"", ""xx"", ""yx"", ""Xy"", ""Xy"", ""xx"", ""xx"", ""yx"", ""Xy"", ""Xyxy"", ""yXYXy"", ""yxY"", ""xxxxxxyx""]",33,231,closed,582,69,35,256,12
605,2,20,17,False,True,"[""YXyXYxx"", ""YYYYYYXXYx""]","[""yX"", ""yX"", ""yx"", ""xy"", ""xy"", ""yx"", ""xx"", ""Xyx"", ""xy"", ""xx"", ""Xyx"", ""Xy"", ""yx"", ""Xyx"", ""yx"", ""Xy"", ""xy"", ""xyX"", ""xy"", ""Xy"", ""yX"", ""xx"", ""yx"", ""Xy"", ""Xy"", ""xx"", ""xx"", ""yx"", ""Xy"", ""Xyxy"", ""yXYXy"", ""yxY"", ""xxxxxxyx""]",33,231,closed,582,69,35,256,12
610,2,20,17,False,True,"[""YXyXYxx"", ""YYYYYYXXYx""]","[""yX"", ""yX"", ""yx"", ""xy"", ""xy"", ""yx"", ""xx"", ""Xyx"", ""xy"", ""xx"", ""Xyx"", ""Xy"", ""yx"", ""Xyx"", ""yx"", ""Xy"", ""xy"", ""xyX"", ""xy"", ""Xy"", ""yX"", ""xx"", ""yx"", ""Xy"", ""Xy"", ""xx"", ""xx"", ""yx"", ""Xy"", ""Xyxy"", ""yXYXy"", ""yxY"", ""xxxxxxyx""]",33,231,closed,582,69,35,256,12
