pres_id,bin,aut_class,cov_class,cov_z,r1,r2,cov_r1,cov_r2,L_orig,L_cov,d_L,K_orig,K_cov,d_K,MK_orig,MK_cov,d_MK,K_den_orig,K_den_cov,d_K_den,MK_den_orig,MK_den_cov,d_MK_den,S_orig,S_cov,d_S,mu_orig,mu_cov,same_aut_orbit,L_orig_autmin,L_cov_autmin,d_L_autmin,K_orig_autmin,K_cov_autmin,d_K_autmin,MK_orig_autmin,MK_cov_autmin,d_MK_autmin,K_den_orig_autmin,K_den_cov_autmin,d_K_den_autmin,MK_den_orig_autmin,MK_den_cov_autmin,d_MK_den_autmin,S_orig_autmin,S_cov_autmin,d_S_autmin
247,2,23,relabel,XyyXy,YYYXyyx,YYXyyXyx,XXXXXyxxYxx,YXXyyx,15.0,17.0,2.0,5.0,4.0,-1.0,3.0,2.0,-1.0,0.3333333333333333,0.23529411764705882,-0.0980392156862745,0.375,0.3333333333333333,-0.041666666666666685,1.0,1.25,0.25,,,,,,,,,,,,,,,,,,,,,
265,3,49,relabel,xyX,YYYXyyx,YYYxYxYX,XXXXYxxyx,YxxxyxYXXX,15.0,19.0,4.0,5.0,5.0,0.0,3.0,3.0,0.0,0.3333333333333333,0.2631578947368421,-0.07017543859649122,0.375,0.3,-0.07500000000000001,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
288,2,55,relabel,Xyx,YYYYXXYx,YYYXyyx,xyxxYXXXX,YxxxxyxYXXXX,15.0,21.0,6.0,4.0,5.0,1.0,2.0,3.0,1.0,0.26666666666666666,0.23809523809523808,-0.02857142857142858,0.2857142857142857,0.25,-0.0357142857142857,1.25,1.0,-0.25,,,,,,,,,,,,,,,,,,,,,
323,0,2,relabel,Xyyy,YYYYYx,YYYYXyyyx,XXY,YXXXXyxxx,15.0,12.0,-3.0,3.0,3.0,0.0,2.0,2.0,0.0,0.2,0.25,0.04999999999999999,0.2222222222222222,0.3333333333333333,0.1111111111111111,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
327,3,66,relabel,yyyx,YYYYXyyyx,YYxYXX,XXyXYxxxxY,YxxxyXXXX,15.0,19.0,4.0,4.0,5.0,1.0,2.0,3.0,1.0,0.26666666666666666,0.2631578947368421,-0.0035087719298245723,0.3333333333333333,0.3,-0.033333333333333326,1.25,1.0,-0.25,,,,,,,,,,,,,,,,,,,,,
331,2,65,relabel,Xyx,YYYYXyyyx,YYXYxYx,XXXXXXYxxxyxx,YXXYxyxx,16.0,21.0,5.0,5.0,5.0,0.0,3.0,3.0,0.0,0.3125,0.23809523809523808,-0.07440476190476192,0.42857142857142855,0.375,-0.05357142857142855,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
333,3,54,relabel,YYXyyy,YYYYXyyyx,YYxyXYx,XXYxyXYxx,YXXXXyxxx,16.0,18.0,2.0,5.0,5.0,0.0,3.0,3.0,0.0,0.3125,0.2777777777777778,-0.03472222222222221,0.42857142857142855,0.3333333333333333,-0.09523809523809523,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
367,2,72,relabel,Xyyy,YYYYXyyyx,YYXYYxYx,XXXXXXyXXYxxxYxxxx,YXXXXyxxx,17.0,27.0,10.0,5.0,5.0,0.0,3.0,3.0,0.0,0.29411764705882354,0.18518518518518517,-0.10893246187363836,0.375,0.2222222222222222,-0.1527777777777778,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
380,3,77,moved,Xyyy,YYYYXyyyx,YYYYxxyX,XYYxy,YXXXXyxxx,17.0,14.0,-3.0,4.0,4.0,0.0,2.0,2.0,0.0,0.23529411764705882,0.2857142857142857,0.05042016806722688,0.25,0.4,0.15000000000000002,1.25,1.25,0.0,17,14,false,17.0,14.0,-3.0,4.0,4.0,0.0,2.0,2.0,0.0,0.23529411764705882,0.2857142857142857,0.05042016806722688,0.25,0.4,0.15000000000000002,1.25,1.25,0.0
455,0,89,moved,yyyyx,YYYYYXyyyyx,YYYYxYXX,XY,YxxxxyXXXXX,19.0,13.0,-6.0,4.0,3.0,-1.0,2.0,2.0,0.0,0.21052631578947367,0.23076923076923078,0.02024291497975711,0.25,0.5,0.25,1.25,1.0,-0.25,19,12,false,19.0,12.0,-7.0,4.0,2.0,-2.0,2.0,2.0,0.0,0.21052631578947367,0.16666666666666666,-0.043859649122807015,0.25,0.18181818181818182,-0.06818181818181818,1.25,1.0,-0.25
496,0,68,relabel,YYYYYxyyyyyyy,YYYYYYYXyyyyyyx,YYX,XXYx,YXXXXXXyxxxxxxx,18.0,19.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0,0.16666666666666666,0.15789473684210525,-0.008771929824561403,0.3333333333333333,0.25,-0.08333333333333331,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
505,1,105,moved,Yxyy,YYYYYYYXyyyyyyx,YYXyyxx,xxYxxYxxYxxYxxYXXyXXyXXyXXyX,YxxYxyXXyXX,22.0,39.0,17.0,4.0,13.0,9.0,2.0,9.0,7.0,0.18181818181818182,0.3333333333333333,0.1515151515151515,0.2857142857142857,0.36363636363636365,0.07792207792207795,1.25,1.0,-0.25,22,19,false,22.0,19.0,-3.0,4.0,4.0,0.0,2.0,2.0,0.0,0.18181818181818182,0.21052631578947367,0.02870813397129185,0.2857142857142857,0.2857142857142857,0.0,1.25,1.5,0.25
521,0,83,relabel,YXyy,YYYYYYYYXyyyyyyyx,YYYx,XXXXXXXXYxxxxxxx,YXXXXXXXXyxxxxxxx,21.0,33.0,12.0,3.0,3.0,0.0,2.0,2.0,0.0,0.14285714285714285,0.09090909090909091,-0.05194805194805194,0.25,0.11764705882352941,-0.1323529411764706,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
533,4,69,relabel,Xyyy,YYYYXyyyx,YYYXYxYx,XXXXXXXyXYxxxYxxxx,YXXXXyxxx,17.0,27.0,10.0,5.0,5.0,0.0,3.0,3.0,0.0,0.29411764705882354,0.18518518518518517,-0.10893246187363836,0.375,0.2222222222222222,-0.1527777777777778,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
538,5,81,relabel,Xyyy,YYYYYXyyyyx,YYxYxYX,XXXYxxxYXyx,YXXXXXyxxxx,18.0,22.0,4.0,5.0,5.0,0.0,3.0,3.0,0.0,0.2777777777777778,0.22727272727272727,-0.050505050505050525,0.42857142857142855,0.2727272727272727,-0.15584415584415584,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
543,5,88,relabel,Xyx,YYYYYXyyyyx,YYYYXYxx,XXXXXXXXXYxxxxyxxxx,YXXXXYxyxxxx,19.0,31.0,12.0,4.0,5.0,1.0,2.0,3.0,1.0,0.21052631578947367,0.16129032258064516,-0.049235993208828516,0.25,0.25,0.0,1.25,1.0,-0.25,,,,,,,,,,,,,,,,,,,,,
544,5,74,relabel,xYXy,YYYYYXyyyyx,YYYxyXYx,XXXXXXXYxxxxyxx,YxyXY,19.0,20.0,1.0,5.0,4.0,-1.0,3.0,2.0,-1.0,0.2631578947368421,0.2,-0.06315789473684208,0.375,0.4,0.025000000000000022,1.0,1.25,0.25,,,,,,,,,,,,,,,,,,,,,
546,4,85,relabel,Xyyyy,YYYYYXyyyyx,YYXYYxYx,XXXXXXXyXXYxxxxYxxxxx,YXXXXXyxxxx,19.0,32.0,13.0,5.0,5.0,0.0,3.0,3.0,0.0,0.2631578947368421,0.15625,-0.10690789473684209,0.375,0.18181818181818182,-0.19318181818181818,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
548,4,82,relabel,Xyyy,YYYYYXyyyyx,YYxYYxyX,XXXYxxYxyx,YXXXXXyxxxx,19.0,21.0,2.0,5.0,5.0,0.0,3.0,3.0,0.0,0.2631578947368421,0.23809523809523808,-0.02506265664160401,0.375,0.3,-0.07500000000000001,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
549,5,84,moved,Xyyy,YYYYYXyyyyx,YYYxYxYX,YXXYXyx,YXXXXXyxxxx,19.0,18.0,-1.0,5.0,5.0,0.0,3.0,3.0,0.0,0.2631578947368421,0.2777777777777778,0.0146198830409357,0.375,0.42857142857142855,0.05357142857142855,1.0,1.0,0.0,18,16,false,18.0,16.0,-2.0,4.0,4.0,0.0,2.0,2.0,0.0,0.2222222222222222,0.25,0.02777777777777779,0.2857142857142857,0.4,0.11428571428571432,1.25,1.25,0.0
565,5,87,relabel,xYXy,YYYYYYXyyyyyx,YYxyXYx,XXXXXXXYxxxxxyx,YxyXY,20.0,20.0,0.0,5.0,4.0,-1.0,3.0,2.0,-1.0,0.25,0.2,-0.04999999999999999,0.42857142857142855,0.4,-0.028571428571428525,1.0,1.25,0.25,,,,,,,,,,,,,,,,,,,,,
568,7,93,relabel,XYxy,YYYYYYXyyyyyx,YYXYXyx,XXXXyxxxxxYXX,YxxyXYX,20.0,20.0,0.0,5.0,5.0,0.0,3.0,3.0,0.0,0.25,0.25,0.0,0.42857142857142855,0.42857142857142855,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
573,6,98,relabel,Xyyy,YYYYYYXyyyyyx,YYYYXYxx,XXXXXXXXXXyXYxxxxYxxxxxx,YXXXXXXyxxxxx,21.0,37.0,16.0,4.0,5.0,1.0,2.0,3.0,1.0,0.19047619047619047,0.13513513513513514,-0.05534105534105532,0.25,0.15384615384615385,-0.09615384615384615,1.25,1.0,-0.25,,,,,,,,,,,,,,,,,,,,,
575,6,87,relabel,xYXy,YYYYYYXyyyyyx,YYYxyXYx,XXXXXXXXYxxxxxyxx,YxyXY,21.0,22.0,1.0,5.0,4.0,-1.0,3.0,2.0,-1.0,0.23809523809523808,0.18181818181818182,-0.05627705627705626,0.375,0.4,0.025000000000000022,1.0,1.25,0.25,,,,,,,,,,,,,,,,,,,,,
578,7,93,relabel,XYxy,YYYYYYXyyyyyx,YYXYYXyx,XXXXyxxxxxYXX,YxxyXYX,21.0,20.0,-1.0,5.0,5.0,0.0,3.0,3.0,0.0,0.23809523809523808,0.25,0.011904761904761918,0.375,0.42857142857142855,0.05357142857142855,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
579,3,100,relabel,Xyyy,YYYYYYXyyyyyx,YYYXYYxx,XXXXXXXXXyXXYxxxxYxxxxxx,YXXXXXXyxxxxx,21.0,37.0,16.0,4.0,5.0,1.0,2.0,3.0,1.0,0.19047619047619047,0.13513513513513514,-0.05534105534105532,0.25,0.15384615384615385,-0.09615384615384615,1.25,1.0,-0.25,,,,,,,,,,,,,,,,,,,,,
580,4,101,relabel,Xyyyyy,YYYYYYXyyyyyx,YYYxxYYX,XXXYxxxxxxYXXy,YXXXXXXyxxxxx,21.0,27.0,6.0,4.0,5.0,1.0,2.0,3.0,1.0,0.19047619047619047,0.18518518518518517,-0.005291005291005291,0.25,0.21428571428571427,-0.035714285714285726,1.25,1.0,-0.25,,,,,,,,,,,,,,,,,,,,,
581,6,99,relabel,Xyyyyy,YYYYYYXyyyyyx,YYYYxxYX,XXXXYxxxxxxYXy,YXXXXXXyxxxxx,21.0,27.0,6.0,4.0,5.0,1.0,2.0,3.0,1.0,0.19047619047619047,0.18518518518518517,-0.005291005291005291,0.25,0.21428571428571427,-0.035714285714285726,1.25,1.0,-0.25,,,,,,,,,,,,,,,,,,,,,
583,7,93,relabel,XYxy,YYYYYYXyyyyyx,YYXyxYYx,XXXXXXXYxxxxxyx,YXYXyxx,21.0,22.0,1.0,5.0,5.0,0.0,3.0,3.0,0.0,0.23809523809523808,0.22727272727272727,-0.010822510822510817,0.375,0.42857142857142855,0.05357142857142855,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
586,6,99,relabel,yyyyyx,YYYYYYXyyyyyx,YYYYxYXX,XXXXyXYxxxxxxY,YxxxxxyXXXXXX,21.0,27.0,6.0,4.0,5.0,1.0,2.0,3.0,1.0,0.19047619047619047,0.18518518518518517,-0.005291005291005291,0.25,0.21428571428571427,-0.035714285714285726,1.25,1.0,-0.25,,,,,,,,,,,,,,,,,,,,,
589,4,94,relabel,xyyyyyy,YYYYYYXyyyyyx,YYYXYXYx,XXXYxxxxYXy,YXXXXXyxxxxxx,21.0,24.0,3.0,5.0,5.0,0.0,3.0,3.0,0.0,0.23809523809523808,0.20833333333333334,-0.02976190476190474,0.375,0.2727272727272727,-0.10227272727272729,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
596,7,97,relabel,xYXy,YYYYYYYXyyyyyyx,YYxyXYx,XXXXXXXXYxxxxxxyx,YxyXY,22.0,22.0,0.0,5.0,4.0,-1.0,3.0,2.0,-1.0,0.22727272727272727,0.18181818181818182,-0.04545454545454544,0.42857142857142855,0.4,-0.028571428571428525,1.0,1.25,0.25,,,,,,,,,,,,,,,,,,,,,
602,6,103,relabel,YYxyyyyyyy,YYYYYYYXyyyyyyx,YYYxYXX,XXXXXXXyXYxxxxYxxxx,YXXXXXXyxxxxxxx,22.0,34.0,12.0,4.0,5.0,1.0,2.0,3.0,1.0,0.18181818181818182,0.14705882352941177,-0.034759358288770054,0.2857142857142857,0.15789473684210525,-0.12781954887218044,1.25,1.0,-0.25,,,,,,,,,,,,,,,,,,,,,
605,8,97,relabel,YYYxyyyyyyy,YYYYYYYXyyyyyyx,YYYXyxYX,XXXYxyXYxxx,YXXXXXXyxxxxxxx,23.0,26.0,3.0,5.0,5.0,0.0,3.0,3.0,0.0,0.21739130434782608,0.19230769230769232,-0.025083612040133763,0.375,0.2727272727272727,-0.10227272727272729,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
606,5,107,relabel,Xyyyyy,YYYYYYYXyyyyyyx,YYYxxYYX,XXXXYxxxxxxYXXyx,YXXXXXXXyxxxxxx,23.0,31.0,8.0,4.0,5.0,1.0,2.0,3.0,1.0,0.17391304347826086,0.16129032258064516,-0.012622720897615708,0.25,0.1875,-0.0625,1.25,1.0,-0.25,,,,,,,,,,,,,,,,,,,,,
609,4,104,moved,Xyyy,YYYYYYYXyyyyyyx,YYYxYxyX,YXXXXYxyxxx,YXXXXXXXyxxxxxx,23.0,26.0,3.0,5.0,5.0,0.0,3.0,3.0,0.0,0.21739130434782608,0.19230769230769232,-0.025083612040133763,0.375,0.2727272727272727,-0.10227272727272729,1.0,1.0,0.0,22,22,false,22.0,22.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.2857142857142857,0.2857142857142857,0.0,1.25,1.25,0.0
610,8,97,relabel,XYxy,YYYYYYYXyyyyyyx,YYYxYXyx,XXXXXXXYxxxxxxy,YYXyx,23.0,20.0,-3.0,5.0,4.0,-1.0,3.0,2.0,-1.0,0.21739130434782608,0.2,-0.01739130434782607,0.375,0.4,0.025000000000000022,1.0,1.25,0.25,,,,,,,,,,,,,,,,,,,,,
622,8,106,relabel,xyX,YYYYYYYYXyyyyyyyx,YYxyXYx,XXXXXXXXXXyxxxxxxxYxx,YxYxyX,24.0,27.0,3.0,5.0,5.0,0.0,3.0,3.0,0.0,0.20833333333333334,0.18518518518518517,-0.023148148148148168,0.42857142857142855,0.5,0.07142857142857145,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
623,8,106,moved,yx,YYYYYYYYXyyyyyyyx,YYXyxYX,XXXXXXXyxYxxxxxxy,YxyXYX,24.0,23.0,-1.0,5.0,6.0,1.0,3.0,3.0,0.0,0.20833333333333334,0.2608695652173913,0.052536231884057955,0.42857142857142855,0.5,0.07142857142857145,1.0,1.0,0.0,22,23,false,22.0,23.0,1.0,4.0,6.0,2.0,2.0,3.0,1.0,0.18181818181818182,0.2608695652173913,0.07905138339920947,0.4,0.2727272727272727,-0.12727272727272732,1.25,1.0,-0.25
624,8,106,moved,Xy,YYYYYYYYXyyyyyyyx,YYxYXyx,XXXXXXXXyxxxxxxYxyx,YXYXyx,24.0,25.0,1.0,5.0,6.0,1.0,3.0,3.0,0.0,0.20833333333333334,0.24,0.03166666666666665,0.42857142857142855,0.5,0.07142857142857145,1.0,1.0,0.0,22,23,false,22.0,23.0,1.0,4.0,6.0,2.0,2.0,3.0,1.0,0.18181818181818182,0.2608695652173913,0.07905138339920947,0.4,0.2727272727272727,-0.12727272727272732,1.25,1.0,-0.25
625,8,106,relabel,xyyyy,YYYYYYYYXyyyyyyyx,YYXYxyX,XXXXXXYXyxYxxxxxxx,YXXXXXXXyxxxxxxxx,24.0,35.0,11.0,5.0,5.0,0.0,3.0,3.0,0.0,0.20833333333333334,0.14285714285714285,-0.0654761904761905,0.42857142857142855,0.16666666666666666,-0.26190476190476186,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
628,7,110,relabel,YYYYYYYxyyyyyyy,YYYYYYYYXyyyyyyyx,YYXyXyyx,XyXyXYYxYxx,YXyXyXyXyXyXyXyxYxYxYxYxYxYxYx,25.0,41.0,16.0,5.0,19.0,14.0,3.0,15.0,12.0,0.2,0.4634146341463415,0.2634146341463415,0.375,0.5,0.125,1.0,1.0526315789473684,0.05263157894736836,,,,,,,,,,,,,,,,,,,,,
632,6,111,relabel,YYxyyyyyyyy,YYYYYYYYXyyyyyyyx,YYYYXXYx,XXXXYxxxxxYXy,YXXXXXXXyxxxxxxxx,25.0,30.0,5.0,4.0,5.0,1.0,2.0,3.0,1.0,0.16,0.16666666666666666,0.006666666666666654,0.25,0.23076923076923078,-0.019230769230769218,1.25,1.0,-0.25,,,,,,,,,,,,,,,,,,,,,
633,7,110,relabel,XYYxyy,YYYYYYYYXyyyyyyyx,YYXyyxyx,xYxYxYxYxYxYxYxYXyXyXyXyXyXyXy,YYxYxyXyX,25.0,39.0,14.0,5.0,19.0,14.0,3.0,15.0,12.0,0.2,0.48717948717948717,0.28717948717948716,0.375,0.5,0.125,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
634,9,108,moved,YYxyy,YYYYYYYXyyyyyyx,YYYXyyxx,XXyXXyXXyXXyXXYxxYxxYxxYxxx,YXXyXXyxYxxYxx,23.0,41.0,18.0,4.0,13.0,9.0,2.0,8.0,6.0,0.17391304347826086,0.3170731707317073,0.14316012725344646,0.25,0.35714285714285715,0.10714285714285715,1.25,1.0,-0.25,23,19,false,23.0,19.0,-4.0,4.0,4.0,0.0,2.0,2.0,0.0,0.17391304347826086,0.21052631578947367,0.03661327231121281,0.25,0.25,0.0,1.25,1.5,0.25
635,9,108,moved,yyxYY,YYYYYYYXyyyyyyx,YYYXXyyx,xxYxxYxxYxxYXyXXyXXyXXy,YXXyXXyxYxxYxx,23.0,37.0,14.0,4.0,13.0,9.0,2.0,8.0,6.0,0.17391304347826086,0.35135135135135137,0.1774383078730905,0.25,0.35714285714285715,0.10714285714285715,1.25,1.0,-0.25,23,19,false,23.0,19.0,-4.0,4.0,4.0,0.0,2.0,2.0,0.0,0.17391304347826086,0.21052631578947367,0.03661327231121281,0.25,0.25,0.0,1.25,1.5,0.25
636,9,106,relabel,xyyyyy,YYYYYYYYXyyyyyyyx,YYYXYxyX,XXXXXXYXyxYxxxxxxx,YXXXXXXXyxxxxxxxx,25.0,35.0,10.0,5.0,5.0,0.0,3.0,3.0,0.0,0.2,0.14285714285714285,-0.05714285714285716,0.375,0.16666666666666666,-0.20833333333333334,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
637,9,106,moved,xyyy,YYYYYYYYXyyyyyyyx,YYYXyxYX,YXXXXXXyXYxxxxxxx,YXXXXXXXyxxxxxxxx,25.0,34.0,9.0,5.0,5.0,0.0,3.0,3.0,0.0,0.2,0.14705882352941177,-0.05294117647058824,0.375,0.17647058823529413,-0.19852941176470587,1.0,1.0,0.0,22,27,false,22.0,27.0,5.0,4.0,4.0,0.0,2.0,2.0,0.0,0.18181818181818182,0.14814814814814814,-0.03367003367003368,0.4,0.2,-0.2,1.25,1.25,0.0
638,9,106,relabel,xyX,YYYYYYYYXyyyyyyyx,YYYxyXYx,XXXXXXXXXXXyxxxxxxxYxxx,YxYxyX,25.0,29.0,4.0,5.0,5.0,0.0,3.0,3.0,0.0,0.2,0.1724137931034483,-0.027586206896551724,0.375,0.5,0.125,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
639,9,106,moved,yyyX,YYYYYYYYXyyyyyyyx,YYYxYXyx,YxxxxxxxYXyXXXXXX,YxxxxxxxxyXXXXXXX,25.0,34.0,9.0,5.0,5.0,0.0,3.0,3.0,0.0,0.2,0.14705882352941177,-0.05294117647058824,0.375,0.17647058823529413,-0.19852941176470587,1.0,1.0,0.0,22,27,false,22.0,27.0,5.0,4.0,4.0,0.0,2.0,2.0,0.0,0.18181818181818182,0.14814814814814814,-0.03367003367003368,0.4,0.2,-0.2,1.25,1.25,0.0
