class_id,side,example
sol_061,solved,XYYYxYY@2
sol_062,solved,XYYYxyy@2
sol_063,solved,XYYYYxY@2
sol_064,solved,XYYYYxy@2
sol_065,solved,XXYYxxY@2
sol_066,solved,XXYYxxy@2
sol_067,solved,XXYxyxY@1
sol_068,solved,XYxYYYY@1
sol_069,solved,XYxyyyy@1
sol_070,solved,XYYxYYY@1
sol_071,solved,XYYxyyy@1
sol_072,solved,XYYYxYY@1
sol_073,solved,XYYYxyy@1
sol_074,solved,XYxxYXY@1
sol_075,solved,yXXYxxy@1
sol_076,solved,XYxxyXY@1
sol_077,solved,yXXYxxY@1
sol_078,solved,XYYYYxY@1
sol_079,solved,XYYYYxy@1
sol_080,solved,XYXYxxY@1
sol_081,solved,yXYxxYX@1
sol_082,solved,yXYxxyX@1
sol_083,solved,XYXYxxy@1
sol_084,solved,XXYxxYY@1
sol_085,solved,XXYxxyy@1
sol_086,solved,XXYxYxY@1
sol_087,solved,XXYxyxy@1
sol_088,solved,XXYxYxy@1
sol_089,solved,XXYxxY@1
sol_090,solved,XXYYxxY@1
sol_091,solved,XXYYxxy@1
sol_092,solved,XYxYYYY@7
sol_093,solved,XYxYYYY@5
sol_094,solved,XYxYYYY@4
sol_095,solved,XYYYYxY@5
sol_096,solved,XYxYYYY@3
sol_097,solved,XYYYYxY@4
sol_098,solved,XYxyyyy@7
sol_099,solved,XYxyyyy@3
sol_100,solved,XYYYYxy@4
sol_101,solved,XYYYYxy@3
sol_102,solved,XYYxYYY@5
sol_103,solved,XYYYxYY@6
sol_104,solved,XYYxYYY@4
sol_105,solved,XYYYxYY@5
sol_106,solved,XYYYxYY@3
sol_107,solved,XYYxyyy@6
sol_108,solved,XYYxyyy@5
sol_109,solved,XYYYxyy@6
sol_110,solved,XYYxyyy@4
sol_111,solved,XYYxyyy@3
sol_112,solved,XYYYxyy@3
