category,from_class,from_side,to_class,to_side,z,iso_gen,iso_index,n_subs,out_r1,out_r2,to_rep_r1,to_rep_r2
solved_to_solved,sol_021,solved,sol_081,solved,yy,y,0,4,YYXyxYX,YxYXYXX,YXXyx,YYXyyXYx
solved_to_solved,sol_021,solved,sol_026,solved,xyy,x,1,2,YXXYXyxx,YXXXyxxxx,YYXXyx,YXXXXyxxx
solved_to_solved,sol_022,solved,sol_027,solved,xy,x,1,2,XYXXXYXyxxx,YXXXXXyxxxx,YYXXyx,YXXXXyxxxxx
solved_to_solved,sol_022,solved,sol_027,solved,xyy,x,1,2,YXXYXyxx,YXXXXXyxxxx,YYXXyx,YXXXXyxxxxx
solved_to_solved,sol_023,solved,sol_009,solved,xy,x,1,2,XYXXYXyxx,YXXXXyxxx,YXXyx,YYYYXyyyx
solved_to_solved,sol_023,solved,sol_111,solved,yx,x,1,2,xYXXXYxxxyXXX,YxxxxyXXX,YYXXXyxx,YXXXXyxxx
solved_to_solved,sol_023,solved,sol_009,solved,xyy,x,1,2,YXYXyx,YXXXXyxxx,YXXyx,YYYYXyyyx
solved_to_solved,sol_024,solved,sol_002,solved,xy,x,1,2,XYXYXyx,YXXXyxx,X,YYYXyyx
solved_to_solved,sol_024,solved,sol_002,solved,yX,x,1,2,XXyXXXX,YxxyXXX,X,YYYXyyx
solved_to_solved,sol_024,solved,sol_056,solved,yx,x,1,2,YXXYxxyXX,YxxxyXX,YYXXyxx,YXXXyxx
solved_to_solved,sol_024,solved,sol_002,solved,xyy,x,1,2,YYXy,YXXXyxx,X,YYYXyyx
solved_to_solved,sol_024,solved,sol_002,solved,yyX,x,1,2,XXXyXXXX,YxxyXXX,X,YYYXyyx
solved_to_solved,sol_025,solved,sol_093,solved,xy,y,1,2,xxxxxYXXXXXYxxxxyXXXX,YxxxxxxyXXXXX,YYXXXXyX,YXXXXXXyxxxxx
solved_to_solved,sol_025,solved,sol_093,solved,xxy,y,1,2,xxxxxYXXXXYxxxxyXXXX,YxxxxxxyXXXXX,YYXXXXyX,YXXXXXXyxxxxx
solved_to_solved,sol_026,solved,sol_055,solved,Xy,y,1,2,XXXYYxxyx,YXXXXyxxx,YYXXyxx,YXXXXyxxx
solved_to_solved,sol_026,solved,sol_021,solved,xy,y,1,2,xxxYXXXYxxyXX,YxxxxyXXX,YYXXYx,YYYYXyyyx
solved_to_solved,sol_026,solved,sol_048,solved,yX,y,1,2,YxxYXXyXX,YxxxxyXXX,YYXXYYx,YYYYXyyyx
solved_to_solved,sol_026,solved,sol_055,solved,yx,y,1,2,XXYxxYxxy,YXXXXyxxx,YYXXyxx,YXXXXyxxx
solved_to_solved,sol_026,solved,sol_055,solved,XXy,y,1,2,XXXYXYxxyx,YXXXXyxxx,YYXXyxx,YXXXXyxxx
solved_to_solved,sol_026,solved,sol_055,solved,Xyx,y,1,2,XXYxYxxy,YXXXXyxxx,YYXXyxx,YXXXXyxxx
solved_to_solved,sol_026,solved,sol_021,solved,xxy,y,1,2,xxxYXXYxxyXX,YxxxxyXXX,YYXXYx,YYYYXyyyx
solved_to_solved,sol_026,solved,sol_055,solved,XXyx,y,1,2,XXYYxxy,YXXXXyxxx,YYXXyxx,YXXXXyxxx
solved_to_solved,sol_027,solved,sol_022,solved,xy,y,1,2,xxxxxYXXXYxxyXXXX,YxxxxyXXXXX,YYXXYx,YYYYYxyyyyX
solved_to_solved,sol_027,solved,sol_022,solved,xxy,y,1,2,xxxxxYXXYxxyXXXX,YxxxxyXXXXX,YYXXYx,YYYYYxyyyyX
solved_to_solved,sol_028,solved,sol_000,solved,Xy,y,1,2,XXYYxyx,YXXXyxx,YXXyx,YYYXyyx
solved_to_solved,sol_028,solved,sol_008,solved,xy,y,1,2,xxYXXYxyX,YxxxyXX,YXXYx,YYYXyyx
solved_to_solved,sol_028,solved,sol_020,solved,yX,y,1,2,YxYXXyX,YxxxyXX,YYXXYx,YYYXyyx
solved_to_solved,sol_028,solved,sol_000,solved,yx,y,1,2,XYxxYxy,YXXXyxx,YXXyx,YYYXyyx
solved_to_solved,sol_028,solved,sol_019,solved,XXy,x,0,2,XXXyxxYxx,YXXyXXyx,YXXyx,YYXyxx
solved_to_solved,sol_028,solved,sol_000,solved,XXy,y,1,2,XXYXYxyx,YXXXyxx,YXXyx,YYYXyyx
solved_to_solved,sol_028,solved,sol_019,solved,Xyx,x,0,2,xYxxyXX,YxxYxyXX,YXXyx,YYXyxx
solved_to_solved,sol_028,solved,sol_000,solved,Xyx,y,1,2,XYxYxy,YXXXyxx,YXXyx,YYYXyyx
solved_to_solved,sol_028,solved,sol_008,solved,xxy,y,1,2,xxYXYxyX,YxxxyXX,YXXYx,YYYXyyx
solved_to_solved,sol_028,solved,sol_000,solved,XXyx,y,1,2,XYYxy,YXXXyxx,YXXyx,YYYXyyx
solved_to_solved,sol_029,solved,sol_002,solved,Xy,y,1,2,XXXYX,YXXyxxx,X,YYYXyyx
solved_to_solved,sol_029,solved,sol_002,solved,xy,y,1,2,xxxYXXX,YxxyXXX,X,YYYXyyx
solved_to_solved,sol_029,solved,sol_050,solved,yX,y,1,2,YxxYXXyXX,YxxyXXX,YYXXyXX,YXXXyxx
solved_to_solved,sol_029,solved,sol_002,solved,yx,y,1,2,XXY,YXXyxxx,X,YYYXyyx
solved_to_solved,sol_029,solved,sol_002,solved,XXy,y,1,2,XXXYXX,YXXyxxx,X,YYYXyyx
solved_to_solved,sol_029,solved,sol_002,solved,Xyx,y,1,2,XXYX,YXXyxxx,X,YYYXyyx
solved_to_solved,sol_029,solved,sol_002,solved,xxy,y,1,2,xxxYXX,YxxyXXX,X,YYYXyyx
solved_to_solved,sol_029,solved,sol_002,solved,XXyx,y,1,2,XXYXX,YXXyxxx,X,YYYXyyx
solved_to_solved,sol_030,solved,sol_018,solved,Xy,y,0,2,XYYXyX,YXXyx,YXXyx,YYXyXX
solved_to_solved,sol_030,solved,sol_014,solved,xx,x,0,2,XXYXYxYx,YXyyx,YYXyX,YXXyx
solved_to_solved,sol_030,solved,sol_014,solved,xy,y,0,2,xYXYXyXX,YxxyX,YYXyX,YXXyx
solved_to_solved,sol_030,solved,sol_001,solved,yX,y,0,2,YXXYXXXXXy,YxxyX,X,YYXyx
solved_to_solved,sol_030,solved,sol_001,solved,yx,y,0,2,YYXXXy,YXXyx,X,YYXyx
solved_to_solved,sol_030,solved,sol_018,solved,XXy,x,0,2,XXXyyXy,YXyXyx,YXXyx,YYXyXX
solved_to_solved,sol_030,solved,sol_018,solved,XXy,y,0,2,XYXYXyX,YXXyx,YXXyx,YYXyXX
solved_to_solved,sol_030,solved,sol_014,solved,xxy,x,0,2,XYYxxYx,YXyXyx,YYXyX,YXXyx
solved_to_solved,sol_030,solved,sol_014,solved,xxy,y,0,2,xYYXyXX,YxxyX,YYXyX,YXXyx
solved_to_solved,sol_031,solved,sol_001,solved,Xy,y,0,2,XYYXyx,YXXyx,X,YYXyx
solved_to_solved,sol_031,solved,sol_015,solved,xx,x,0,2,XXYXYxyx,YXyyx,YYXyx,YXXyx
solved_to_solved,sol_031,solved,sol_015,solved,xy,y,0,2,xYXYXy,YxxyX,YYXyx,YXXyx
solved_to_solved,sol_031,solved,sol_001,solved,yX,y,0,2,YYXXXy,YxxyX,X,YYXyx
solved_to_solved,sol_031,solved,sol_001,solved,yx,y,0,2,YxxYXy,YXXyx,X,YYXyx
solved_to_solved,sol_031,solved,sol_001,solved,XXy,x,0,2,XXXyx,YXyXyx,X,YYXyx
solved_to_solved,sol_031,solved,sol_001,solved,XXy,y,0,2,XYXYXyx,YXXyx,X,YYXyx
solved_to_solved,sol_031,solved,sol_001,solved,Xyx,x,0,2,XYx,YxYxyX,X,YYXyx
solved_to_solved,sol_031,solved,sol_001,solved,Xyx,y,0,2,YxYXy,YXXyx,X,YYXyx
solved_to_solved,sol_031,solved,sol_015,solved,xxy,x,0,2,XYYxy,YXyXyx,YYXyx,YXXyx
solved_to_solved,sol_031,solved,sol_015,solved,xxy,y,0,2,xYYXy,YxxyX,YYXyx,YXXyx
solved_to_solved,sol_032,solved,sol_001,solved,Xy,y,0,2,XYXX,YXXyx,X,YYXyx
solved_to_solved,sol_032,solved,sol_014,solved,xx,x,0,3,XXYxY,YXyyx,YYXyX,YXXyx
solved_to_solved,sol_032,solved,sol_001,solved,xy,y,0,2,xYXXXX,YxxyX,X,YYXyx
solved_to_solved,sol_032,solved,sol_068,solved,yX,y,0,2,YXXYXXXXyX,YxxyX,YXXyx,YYXXXXyX
solved_to_solved,sol_032,solved,sol_016,solved,yx,y,0,2,YYXXyX,YXXyx,YXXyx,YYXXyX
solved_to_solved,sol_032,solved,sol_001,solved,XXy,x,0,2,XXyXyXy,YXyXyx,X,YYXyx
solved_to_solved,sol_032,solved,sol_001,solved,XXy,y,0,2,XYXXX,YXXyx,X,YYXyx
solved_to_solved,sol_032,solved,sol_001,solved,xxy,x,0,2,XYxYxYx,YXyXyx,X,YYXyx
solved_to_solved,sol_032,solved,sol_001,solved,xxy,y,0,2,xYXXX,YxxyX,X,YYXyx
solved_to_solved,sol_033,solved,sol_001,solved,Xy,y,0,2,XYxx,YXXyx,X,YYXyx
solved_to_solved,sol_033,solved,sol_015,solved,xx,x,0,3,XXYxy,YXyyx,YYXyx,YXXyx
solved_to_solved,sol_033,solved,sol_001,solved,xy,y,0,2,xY,YxxyX,X,YYXyx
solved_to_solved,sol_033,solved,sol_017,solved,yX,y,0,2,YYXXyx,YxxyX,YXXyx,YYXXyx
solved_to_solved,sol_033,solved,sol_001,solved,yx,y,0,2,Yxxx,YXXyx,X,YYXyx
solved_to_solved,sol_033,solved,sol_001,solved,XXy,x,0,2,XYx,YXyXyx,X,YYXyx
solved_to_solved,sol_033,solved,sol_001,solved,XXy,y,0,2,XYx,YXXyx,X,YYXyx
solved_to_solved,sol_033,solved,sol_001,solved,Xyx,x,0,2,XyX,YxYxyX,X,YYXyx
solved_to_solved,sol_033,solved,sol_001,solved,Xyx,y,0,2,Yxx,YXXyx,X,YYXyx
solved_to_solved,sol_033,solved,sol_001,solved,xxy,x,0,2,XXy,YXyXyx,X,YYXyx
solved_to_solved,sol_033,solved,sol_001,solved,xxy,y,0,2,xYx,YxxyX,X,YYXyx
solved_to_solved,sol_034,solved,sol_079,solved,Xy,y,0,2,XYYxyXXX,YXXyx,YXXyx,YYXyxxxx
solved_to_solved,sol_034,solved,sol_080,solved,xx,x,0,2,XXXYxxYXYx,YXyyx,YXXyx,YYXyyXYX
solved_to_solved,sol_034,solved,sol_035,solved,xy,y,0,2,xYXYxyXXXX,YxxyX,YXXyx,YYXyxxx
solved_to_solved,sol_034,solved,sol_070,solved,yX,y,0,2,YXXYXXXyXX,YxxyX,YXXyx,YYXXXyXX
solved_to_solved,sol_034,solved,sol_018,solved,yx,y,0,2,YYXyXX,YXXyx,YXXyx,YYXyXX
solved_to_solved,sol_035,solved,sol_018,solved,Xy,y,0,2,XYYxyxxx,YXXyx,YXXyx,YYXyXX
solved_to_solved,sol_035,solved,sol_083,solved,xx,x,0,2,XXXYxxyXyx,YXyyx,YXXyx,YYXyyxYx
solved_to_solved,sol_035,solved,sol_034,solved,xy,y,0,2,xYXYxyxx,YxxyX,YXXyx,YYXyXXX
solved_to_solved,sol_035,solved,sol_019,solved,yX,y,0,2,YYXyxx,YxxyX,YXXyx,YYXyxx
solved_to_solved,sol_035,solved,sol_018,solved,yx,y,0,2,YxxYxyxx,YXXyx,YXXyx,YYXyXX
solved_to_solved,sol_035,solved,sol_018,solved,Xyx,x,0,2,XXyyXyX,YxYxyX,YXXyx,YYXyXX
solved_to_solved,sol_035,solved,sol_018,solved,Xyx,y,0,2,YxYxyxx,YXXyx,YXXyx,YYXyXX
solved_to_solved,sol_036,solved,sol_043,solved,xy,y,1,2,xxxxxYXXXXXYxxxyXXXXXX,YxxxxxxyXXXXX,YYXXXyx,YXXXXXXyxxxxx
solved_to_solved,sol_036,solved,sol_043,solved,xxy,y,1,2,xxxxxYXXXXYxxxyXXXXXX,YxxxxxxyXXXXX,YYXXXyx,YXXXXXXyxxxxx
solved_to_solved,sol_036,solved,sol_043,solved,xxxy,y,1,2,xxxxxYXXXYxxxyXXXXXX,YxxxxxxyXXXXX,YYXXXyx,YXXXXXXyxxxxx
solved_to_solved,sol_037,solved,sol_044,solved,xy,y,1,2,xxxxxxxYXXXXXYxxxyXXXXXXXX,YxxxxxxyXXXXXXX,YYXXXyx,YXXXXXXyxxxxxxx
solved_to_solved,sol_037,solved,sol_044,solved,xxy,y,1,2,xxxxxxxYXXXXYxxxyXXXXXXXX,YxxxxxxyXXXXXXX,YYXXXyx,YXXXXXXyxxxxxxx
solved_to_solved,sol_037,solved,sol_044,solved,xxxy,y,1,2,xxxxxxxYXXXYxxxyXXXXXXXX,YxxxxxxyXXXXXXX,YYXXXyx,YXXXXXXyxxxxxxx
solved_to_solved,sol_038,solved,sol_101,solved,Xy,y,1,2,XXXYYxyX,YXXXXyxxx,YYXXXXyx,YXXXyxxxx
solved_to_solved,sol_038,solved,sol_009,solved,xy,y,1,2,xxxYXXXYxyXXXX,YxxxxyXXX,YXXyx,YYYYXyyyx
solved_to_solved,sol_038,solved,sol_111,solved,yx,y,1,2,YXXYXXXyxx,YXXXXyxxx,YYXXXyxx,YXXXXyxxx
solved_to_solved,sol_038,solved,sol_101,solved,XXy,y,1,2,XXXYXYxyX,YXXXXyxxx,YYXXXXyx,YXXXyxxxx
solved_to_solved,sol_038,solved,sol_009,solved,xxy,y,1,2,xxxYXXYxyXXXX,YxxxxyXXX,YXXyx,YYYYXyyyx
solved_to_solved,sol_038,solved,sol_101,solved,XXXy,y,1,2,XXXYXXYxyX,YXXXXyxxx,YYXXXXyx,YXXXyxxxx
solved_to_solved,sol_038,solved,sol_009,solved,xxxy,y,1,2,xxxYXYxyXXXX,YxxxxyXXX,YXXyx,YYYYXyyyx
solved_to_solved,sol_039,solved,sol_010,solved,xy,y,1,2,xxxxxYXXXYxyXXXXXX,YxxxxyXXXXX,YXXyx,YYYYYXyyyyx
solved_to_solved,sol_039,solved,sol_010,solved,xxy,y,1,2,xxxxxYXXYxyXXXXXX,YxxxxyXXXXX,YXXyx,YYYYYXyyyyx
solved_to_solved,sol_039,solved,sol_010,solved,xxxy,y,1,2,xxxxxYXYxyXXXXXX,YxxxxyXXXXX,YXXyx,YYYYYXyyyyx
solved_to_solved,sol_040,solved,sol_002,solved,Xy,y,1,2,XXYX,YXXXyxx,X,YYYXyyx
solved_to_solved,sol_040,solved,sol_002,solved,xy,y,1,2,xxYXXXXX,YxxxyXX,X,YYYXyyx
solved_to_solved,sol_040,solved,sol_045,solved,yx,y,1,2,YXYXXXyx,YXXXyxx,YYXXXyx,YXXXyxx
solved_to_solved,sol_040,solved,sol_002,solved,XXy,y,1,2,XXYXX,YXXXyxx,X,YYYXyyx
solved_to_solved,sol_040,solved,sol_002,solved,xxy,y,1,2,xxYXXXX,YxxxyXX,X,YYYXyyx
solved_to_solved,sol_040,solved,sol_002,solved,XXXy,y,1,2,XXYXXX,YXXXyxx,X,YYYXyyx
solved_to_solved,sol_040,solved,sol_002,solved,xxxy,y,1,2,xxYXXX,YxxxyXX,X,YYYXyyx
solved_to_solved,sol_041,solved,sol_003,solved,Xy,y,1,2,XXXXYXXX,YXXXyxxxx,X,YYYYXyyyx
solved_to_solved,sol_041,solved,sol_003,solved,xy,y,1,2,xxxxYXXXXXXX,YxxxyXXXX,X,YYYYXyyyx
solved_to_solved,sol_041,solved,sol_003,solved,XXy,y,1,2,XXXXYXXXX,YXXXyxxxx,X,YYYYXyyyx
solved_to_solved,sol_041,solved,sol_003,solved,xxy,y,1,2,xxxxYXXXXXX,YxxxyXXXX,X,YYYYXyyyx
solved_to_solved,sol_041,solved,sol_003,solved,XXXy,y,1,2,XXXXYXXXXX,YXXXyxxxx,X,YYYYXyyyx
solved_to_solved,sol_041,solved,sol_003,solved,xxxy,y,1,2,xxxxYXXXXX,YxxxyXXXX,X,YYYYXyyyx
solved_to_solved,sol_042,solved,sol_057,solved,Xy,y,1,2,XXXYXXYXyX,YXXyxxx,YXXXyxx,YYXXXXyX
solved_to_solved,sol_042,solved,sol_008,solved,xy,y,1,2,xxxYXYXyXXXX,YxxyXXX,YXXYx,YYYXyyx
solved_to_solved,sol_042,solved,sol_062,solved,yx,y,1,2,YXXYXXXyxx,YXXyxxx,YXXXyxx,YYXXyxxx
solved_to_solved,sol_042,solved,sol_057,solved,XXy,y,1,2,XXXYXXXYXyX,YXXyxxx,YXXXyxx,YYXXXXyX
solved_to_solved,sol_042,solved,sol_008,solved,xxy,y,1,2,xxxYYXyXXXX,YxxyXXX,YXXYx,YYYXyyx
solved_to_solved,sol_043,solved,sol_036,solved,xy,y,1,2,xxxxxYXXXXXYxxxyXXXX,YxxxxxxyXXXXX,YYXXXyX,YXXXXXXyxxxxx
solved_to_solved,sol_043,solved,sol_036,solved,xxy,y,1,2,xxxxxYXXXXYxxxyXXXX,YxxxxxxyXXXXX,YYXXXyX,YXXXXXXyxxxxx
solved_to_solved,sol_043,solved,sol_036,solved,xxxy,y,1,2,xxxxxYXXXYxxxyXXXX,YxxxxxxyXXXXX,YYXXXyX,YXXXXXXyxxxxx
solved_to_solved,sol_044,solved,sol_037,solved,xy,y,1,2,xxxxxxxYXXXXXYxxxyXXXXXX,YxxxxxxyXXXXXXX,YYXXXyX,YXXXXXXyxxxxxxx
solved_to_solved,sol_044,solved,sol_037,solved,xxy,y,1,2,xxxxxxxYXXXXYxxxyXXXXXX,YxxxxxxyXXXXXXX,YYXXXyX,YXXXXXXyxxxxxxx
solved_to_solved,sol_044,solved,sol_037,solved,xxxy,y,1,2,xxxxxxxYXXXYxxxyXXXXXX,YxxxxxxyXXXXXXX,YYXXXyX,YXXXXXXyxxxxxxx
solved_to_solved,sol_045,solved,sol_002,solved,Xy,y,1,2,XXYx,YXXXyxx,X,YYYXyyx
