from_class,from_side,parent_r1,parent_r2,z,iso_gen,iso_index,n_subs,out_r1,out_r2,to_orbit_id,to_rep_r1,to_rep_r2,to_mu,category
sol_010,solved,YXXyx,YYYYYXyyyyx,xy,x,1,2,YXXXXYxyxxxx,YXXXXyxxxxx,orb_0444,YYXXXXyX,YXXXXXyxxxx,19,solved_to_solved
sol_010,solved,YXXyx,YYYYYXyyyyx,xy,y,0,2,xYYYYXYxyyyy,YxxyX,orb_0276,YXXyx,YYYYXYxyyyyx,17,
sol_010,solved,YXXyx,YYYYYXyyyyx,yX,x,1,2,YxxxxyyXXX,YxxxxxyXXXX,orb_0606,YYXXXXyxxx,YXXXXXyxxxx,21,
sol_010,solved,YXXyx,YYYYYXyyyyx,yX,y,0,2,YYXXYXXYXXYXyxxyxxyxxy,YxxyX,orb_0158,YXXyx,YYYYXyyyxx,15,
sol_010,solved,YXXyx,YYYYYXyyyyx,yx,x,1,2,xxxxYxxYXXXy,YxxxxyXXXXX,orb_0606,YYXXXXyxxx,YXXXXXyxxxx,21,
sol_010,solved,YXXyx,YYYYYXyyyyx,yx,y,0,2,YxxYxxYxxYxxYXyXXyXXyy,YXXyx,orb_0158,YXXyx,YYYYXyyyxx,15,
sol_010,solved,YXXyx,YYYYYXyyyyx,yy,y,1,4,yyXYYXXyyxYYx,YXyyxYYXyyxYY,orb_0981,YYXXYxxyXXyxx,YXXyxxYXXXyxx,26,
sol_010,solved,YXXyx,YYYYYXyyyyx,yxY,x,1,2,yxxxxYxYXXX,YxxxxyXXXXX,orb_0606,YYXXXXyxxx,YXXXXXyxxxx,21,
sol_010,solved,YXXyx,YYYYYXyyyyx,yyyy,y,1,2,yXYXXyxYx,YXyxYXyxYXyxYXyxY,orb_0971,YXyXXYxyx,YYXyxYXyxYXyxYXyx,26,
sol_011,solved,YXXyx,YYYYYYXyyyyyx,Xy,x,1,2,XXXXXXXyxxxxyXXXXYxxxxxx,YXXXXXXyxxxxx,orb_0603,YYXXXXyX,YXXXXXyxxxxxx,21,solved_to_solved
sol_011,solved,YXXyx,YYYYYYXyyyyyx,Xy,y,0,2,XYYYYYYxyXyyyyxx,YXXyx,orb_0378,YXXXXyXYx,YXyxxxxxyx,19,
sol_011,solved,YXXyx,YYYYYYXyyyyyx,xy,x,1,2,YXXXXXYxyxxxxx,YXXXXXyxxxxxx,orb_0690,YYXXXXXyX,YXXXXXXyxxxxx,22,
sol_011,solved,YXXyx,YYYYYYXyyyyyx,xy,y,0,2,xYYYYYXYxyyyyy,YxxyX,orb_0429,YXXyx,YYYYYXYxyyyyyx,19,
sol_011,solved,YXXyx,YYYYYYXyyyyyx,yX,x,1,2,YxxxxxyyXXXX,YxxxxxxyXXXXX,orb_0919,YYXXXXXyxxxx,YXXXXXXyxxxxx,25,
sol_011,solved,YXXyx,YYYYYYXyyyyyx,yX,y,0,2,YYXXYXXYXXYXXYXyxxyxxyxxyxxy,YxxyX,orb_0277,YXXyx,YYYYYXyyyyxx,17,
sol_011,solved,YXXyx,YYYYYYXyyyyyx,yx,x,1,2,xxxxxYxxYXXXXy,YxxxxxyXXXXXX,orb_0919,YYXXXXXyxxxx,YXXXXXXyxxxxx,25,
sol_011,solved,YXXyx,YYYYYYXyyyyyx,yx,y,0,2,YxxYxxYxxYxxYxxYXyXXyXXyXXyy,YXXyx,orb_0277,YXXyx,YYYYYXyyyyxx,17,
sol_011,solved,YXXyx,YYYYYYXyyyyyx,yy,y,1,5,xYYYXyyXXYYxyyy,YYYxyyyXYYxyyyX,orb_1163,YYXXYxxxyXXXyxx,YXXXyxxYXXXyxxx,30,
sol_011,solved,YXXyx,YYYYYYXyyyyyx,yxY,x,1,2,yxxxxxYxYXXXX,YxxxxxyXXXXXX,orb_0919,YYXXXXXyxxxx,YXXXXXXyxxxxx,25,
sol_011,solved,YXXyx,YYYYYYXyyyyyx,yyyyy,y,1,2,yXYXXyxYx,YXyxYXyxYXyxYXyxYXyxY,orb_1153,YXyXXYxyx,YYXyxYXyxYXyxYXyxYXyx,30,
sol_012,solved,YXXyx,YYYYYYYXyyyyyyx,Xy,x,1,2,XXXXXXXXyxxxxxyXXXXXYxxxxxxx,YXXXXXXXyxxxxxx,orb_0837,YYXXXXXyX,YXXXXXXyxxxxxxx,24,
sol_012,solved,YXXyx,YYYYYYYXyyyyyyx,Xy,y,0,2,XYYYYYYYxyXyyyyyxx,YXXyx,orb_0531,YXXXXXyXYx,YXyxxxxxxyx,21,
sol_012,solved,YXXyx,YYYYYYYXyyyyyyx,xy,x,1,2,YXXXXXXYxyxxxxxx,YXXXXXXyxxxxxxx,orb_0914,YYXXXXXXyX,YXXXXXXXyxxxxxx,25,
sol_012,solved,YXXyx,YYYYYYYXyyyyyyx,xy,y,0,2,xYYYYYYXYxyyyyyy,YxxyX,orb_0590,YXXyx,YYYYYYXYxyyyyyyx,21,
sol_012,solved,YXXyx,YYYYYYYXyyyyyyx,yX,x,1,2,YxxxxxxyyXXXXX,YxxxxxxxyXXXXXX,orb_1122,YYXXXXXXyxxxxx,YXXXXXXXyxxxxxx,29,
sol_012,solved,YXXyx,YYYYYYYXyyyyyyx,yX,y,0,2,YYXXYXXYXXYXXYXXYXyxxyxxyxxyxxyxxy,YxxyX,orb_0430,YXXyx,YYYYYYXyyyyyxx,19,
sol_012,solved,YXXyx,YYYYYYYXyyyyyyx,yx,x,1,2,xxxxxxYxxYXXXXXy,YxxxxxxyXXXXXXX,orb_1122,YYXXXXXXyxxxxx,YXXXXXXXyxxxxxx,29,
sol_012,solved,YXXyx,YYYYYYYXyyyyyyx,yx,y,0,2,YxxYxxYxxYxxYxxYxxYXyXXyXXyXXyXXyy,YXXyx,orb_0430,YXXyx,YYYYYYXyyyyyxx,19,
sol_012,solved,YXXyx,YYYYYYYXyyyyyyx,yy,y,1,6,yyyXYYYXXyyyxYYYx,YXyyyxYYYXyyyxYYY,orb_1280,YYXXXYxxxyXXXyxxx,YXXXyxxxYXXXXyxxx,34,
sol_012,solved,YXXyx,YYYYYYYXyyyyyyx,yxY,x,1,2,yxxxxxxYxYXXXXX,YxxxxxxyXXXXXXX,orb_1122,YYXXXXXXyxxxxx,YXXXXXXXyxxxxxx,29,
sol_012,solved,YXXyx,YYYYYYYXyyyyyyx,yyy,y,1,4,yyXYYXXyyxYYx,YXyyxYYXyyxYYXyyxYY,orb_1226,YYXXYxxyXXyxx,YXXyxxYXXyxxYXXXyxx,32,
sol_012,solved,YXXyx,YYYYYYYXyyyyyyx,yyyyyy,y,1,2,yXYXXyxYx,YXyxYXyxYXyxYXyxYXyxYXyxY,orb_1276,YXyXXYxyx,YYXyxYXyxYXyxYXyxYXyxYXyx,34,
sol_013,solved,YXXyx,YYYYYYYYXyyyyyyyx,Xy,x,1,2,XXXXXXXXXyxxxxxxyXXXXXXYxxxxxxxx,YXXXXXXXXyxxxxxxx,orb_1020,YYXXXXXXyX,YXXXXXXXyxxxxxxxx,27,
sol_013,solved,YXXyx,YYYYYYYYXyyyyyyyx,Xy,y,0,2,XYYYYYYYYxyXyyyyyyxx,YXXyx,orb_0715,YXXXXXXyXYx,YXyxxxxxxxyx,23,
sol_013,solved,YXXyx,YYYYYYYYXyyyyyyyx,xy,x,1,2,YXXXXXXXYxyxxxxxxx,YXXXXXXXyxxxxxxxx,orb_1085,YYXXXXXXXyX,YXXXXXXXXyxxxxxxx,28,
sol_013,solved,YXXyx,YYYYYYYYXyyyyyyyx,xy,y,0,2,xYYYYYYYXYxyyyyyyy,YxxyX,orb_0751,YXXyx,YYYYYYYXYxyyyyyyyx,23,
sol_013,solved,YXXyx,YYYYYYYYXyyyyyyyx,yX,x,1,2,YxxxxxxxyyXXXXXX,YxxxxxxxxyXXXXXXX,orb_1253,YYXXXXXXXyxxxxxx,YXXXXXXXXyxxxxxxx,33,
sol_013,solved,YXXyx,YYYYYYYYXyyyyyyyx,yX,y,0,2,YYXXYXXYXXYXXYXXYXXYXyxxyxxyxxyxxyxxyxxy,YxxyX,orb_0591,YXXyx,YYYYYYYXyyyyyyxx,21,
sol_013,solved,YXXyx,YYYYYYYYXyyyyyyyx,yx,x,1,2,xxxxxxxYxxYXXXXXXy,YxxxxxxxyXXXXXXXX,orb_1253,YYXXXXXXXyxxxxxx,YXXXXXXXXyxxxxxxx,33,
sol_013,solved,YXXyx,YYYYYYYYXyyyyyyyx,yx,y,0,2,YxxYxxYxxYxxYxxYxxYxxYXyXXyXXyXXyXXyXXyy,YXXyx,orb_0591,YXXyx,YYYYYYYXyyyyyyxx,21,
sol_013,solved,YXXyx,YYYYYYYYXyyyyyyyx,yy,y,1,7,xYYYYXyyyXXYYYxyyyy,YYYYxyyyyXYYYxyyyyX,orb_1395,YYXXXYxxxxyXXXXyxxx,YXXXXyxxxYXXXXyxxxx,38,
sol_013,solved,YXXyx,YYYYYYYYXyyyyyyyx,yxY,x,1,2,yxxxxxxxYxYXXXXXX,YxxxxxxxyXXXXXXXX,orb_1253,YYXXXXXXXyxxxxxx,YXXXXXXXXyxxxxxxx,33,
sol_013,solved,YXXyx,YYYYYYYYXyyyyyyyx,yyyyyyy,y,1,2,yXYXXyxYx,YXyxYXyxYXyxYXyxYXyxYXyxYXyxY,orb_1390,YXyXXYxyx,YYXyxYXyxYXyxYXyxYXyxYXyxYXyx,38,
sol_014,solved,YYXyX,YXXyx,Xy,x,0,2,XYxxyXXy,YYxxx,orb_0020,YXXYx,YYXXyx,11,
sol_014,solved,YYXyX,YXXyx,Xy,y,1,2,XYYxyX,YXXyx,orb_0024,YXXyx,YYXyxx,11,solved_to_solved
sol_014,solved,YYXyX,YXXyx,xy,y,1,2,xYXYxyXX,YxxyX,orb_0013,YYXyx,YXXyx,10,solved_to_solved
sol_014,solved,YYXyX,YXXyx,yX,x,0,2,YxxYxxYx,YxxxY,orb_0008,X,YYYXyxyX,9,
sol_014,solved,YYXyX,YXXyx,yX,y,1,2,YXXYXXXy,YxxyX,orb_0000,X,YYXyx,6,solved_to_solved
sol_014,solved,YYXyX,YXXyx,yx,x,0,2,yyXy,YxxYX,orb_0008,X,YYYXyxyX,9,
sol_014,solved,YYXyX,YXXyx,yx,y,1,2,YYXy,YXXyx,orb_0000,X,YYXyx,6,solved_to_solved
sol_014,solved,YYXyX,YXXyx,yxY,x,0,2,yxyxy,YxYXX,orb_0008,X,YYYXyxyX,9,
sol_014,solved,YYXyX,YXXyx,yxY,y,0,2,yXX,YXYxyx,orb_0008,X,YYYXyxyX,9,
sol_015,solved,YYXyx,YXXyx,Xy,x,0,2,XXXyxx,YXXyx,orb_0000,X,YYXyx,6,solved_to_solved
sol_015,solved,YYXyx,YXXyx,Xy,y,1,2,XYYxyx,YXXyx,orb_0000,X,YYXyx,6,solved_to_solved
sol_015,solved,YYXyx,YXXyx,xy,x,0,2,YXYxyx,YXyxx,orb_0012,YYXyX,YXXyx,10,solved_to_solved
sol_015,solved,YYXyx,YXXyx,xy,y,1,2,xYXYxy,YxxyX,orb_0012,YYXyX,YXXyx,10,solved_to_solved
sol_015,solved,YYXyx,YXXyx,yX,x,0,2,Yxyy,YxxyX,orb_0000,X,YYXyx,6,solved_to_solved
sol_015,solved,YYXyx,YXXyx,yX,y,1,2,YYXy,YxxyX,orb_0000,X,YYXyx,6,solved_to_solved
sol_015,solved,YYXyx,YXXyx,yx,x,0,2,xYxx,YxyXX,orb_0000,X,YYXyx,6,solved_to_solved
sol_015,solved,YYXyx,YXXyx,yx,y,1,2,YxxYxy,YXXyx,orb_0000,X,YYXyx,6,solved_to_solved
sol_015,solved,YYXyx,YXXyx,Xyx,x,1,2,XXy,YxYxyX,orb_0000,X,YYXyx,6,solved_to_solved
sol_015,solved,YYXyx,YXXyx,Xyx,y,1,2,YxYxy,YXXyx,orb_0000,X,YYXyx,6,solved_to_solved
sol_015,solved,YYXyx,YXXyx,yxY,x,0,2,yxYxY,YxyXX,orb_0000,X,YYXyx,6,solved_to_solved
sol_015,solved,YYXyx,YXXyx,yxY,y,0,2,yXX,YXyxYx,orb_0000,X,YYXyx,6,solved_to_solved
sol_016,solved,YXXyx,YYXXyX,Xy,y,0,2,XYX,YXXyx,orb_0000,X,YYXyx,6,solved_to_solved
sol_016,solved,YXXyx,YYXXyX,xx,x,0,2,XXYYx,YXyyx,orb_0000,X,YYXyx,6,solved_to_solved
sol_016,solved,YXXyx,YYXXyX,xx,x,1,2,XYXYx,YXXYXYx,orb_0005,X,YYXYxyyx,9,
sol_016,solved,YXXyx,YYXXyX,xy,y,0,2,xYXXX,YxxyX,orb_0000,X,YYXyx,6,solved_to_solved
sol_016,solved,YXXyx,YYXXyX,yX,y,0,2,YXXYXXXXy,YxxyX,orb_0000,X,YYXyx,6,solved_to_solved
sol_016,solved,YXXyx,YYXXyX,yx,y,0,2,YYXXy,YXXyx,orb_0000,X,YYXyx,6,solved_to_solved
sol_016,solved,YXXyx,YYXXyX,XXy,x,0,2,XXyXy,YXyXyx,orb_0000,X,YYXyx,6,solved_to_solved
sol_016,solved,YXXyx,YYXXyX,XXy,x,1,2,XyXXy,YYxxYxxx,orb_0005,X,YYXYxyyx,9,
sol_016,solved,YXXyx,YYXXyX,XXy,y,0,2,XYXX,YXXyx,orb_0000,X,YYXyx,6,solved_to_solved
sol_016,solved,YXXyx,YYXXyX,xxy,x,0,2,XYxYx,YXyXyx,orb_0000,X,YYXyx,6,solved_to_solved
sol_016,solved,YXXyx,YYXXyX,xxy,x,1,2,YYx,YXYYxx,orb_0005,X,YYXYxyyx,9,
sol_016,solved,YXXyx,YYXXyX,xxy,y,0,2,xYXX,YxxyX,orb_0000,X,YYXyx,6,solved_to_solved
sol_016,solved,YXXyx,YYXXyX,yxY,y,1,2,yXX,YXXYxyxx,orb_0017,X,YYYYXyxyyX,11,
sol_017,solved,YXXyx,YYXXyx,Xy,y,0,2,XYx,YXXyx,orb_0000,X,YYXyx,6,solved_to_solved
sol_017,solved,YXXyx,YYXXyx,xx,x,0,2,X,YXyyx,orb_0000,X,YYXyx,6,solved_to_solved
sol_017,solved,YXXyx,YYXXyx,xx,x,1,2,x,YXyxyxx,orb_0001,X,YYXXyx,7,
sol_017,solved,YXXyx,YYXXyx,xy,y,0,2,xYX,YxxyX,orb_0000,X,YYXyx,6,solved_to_solved
sol_017,solved,YXXyx,YYXXyx,yX,y,0,2,YYXXy,YxxyX,orb_0000,X,YYXyx,6,solved_to_solved
sol_017,solved,YXXyx,YYXXyx,yx,y,0,2,Yxx,YXXyx,orb_0000,X,YYXyx,6,solved_to_solved
sol_017,solved,YXXyx,YYXXyx,XXy,x,0,2,X,YXyXyx,orb_0000,X,YYXyx,6,solved_to_solved
sol_017,solved,YXXyx,YYXXyx,XXy,x,1,2,x,YXXyXXyx,orb_0001,X,YYXXyx,7,
sol_017,solved,YXXyx,YYXXyx,XXy,y,0,2,XY,YXXyx,orb_0000,X,YYXyx,6,solved_to_solved
sol_017,solved,YXXyx,YYXXyx,Xyx,x,0,2,X,YxYxyX,orb_0000,X,YYXyx,6,solved_to_solved
sol_017,solved,YXXyx,YYXXyx,Xyx,x,1,2,x,YxxYxyXX,orb_0001,X,YYXXyx,7,
sol_017,solved,YXXyx,YYXXyx,Xyx,y,0,2,Yx,YXXyx,orb_0000,X,YYXyx,6,solved_to_solved
sol_017,solved,YXXyx,YYXXyx,xxy,x,1,2,x,YXyyxx,orb_0001,X,YYXXyx,7,
sol_017,solved,YXXyx,YYXXyx,xxy,y,0,2,xY,YxxyX,orb_0000,X,YYXyx,6,solved_to_solved
sol_017,solved,YXXyx,YYXXyx,yxY,y,1,2,yXX,YXXyxYxx,orb_0001,X,YYXXyx,7,
sol_018,solved,YXXyx,YYXyXX,Xy,y,0,2,XYYxyXX,YXXyx,orb_0035,YXXyx,YYXyxxx,12,solved_to_solved
sol_018,solved,YXXyx,YYXyXX,xx,x,0,2,XXXYxxY,YXyyx,orb_0036,YXXyx,YYYXyyX,12,solved_to_solved
sol_018,solved,YXXyx,YYXyXX,xx,x,1,2,XYxxYXX,YxYXYXX,orb_0075,YYXXYx,YXXXYxx,13,
sol_018,solved,YXXyx,YYXyXX,xy,y,0,2,xYXYxyXXX,YxxyX,orb_0024,YXXyx,YYXyxx,11,solved_to_solved
sol_018,solved,YXXyx,YYXyXX,yX,y,0,2,YXXYXXXyX,YxxyX,orb_0030,YXXyx,YYXXXyX,12,solved_to_solved
sol_018,solved,YXXyx,YYXyXX,yx,y,0,2,YYXyX,YXXyx,orb_0012,YYXyX,YXXyx,10,solved_to_solved
sol_019,solved,YXXyx,YYXyxx,Xy,y,0,2,XYYxyxx,YXXyx,orb_0012,YYXyX,YXXyx,10,solved_to_solved
sol_019,solved,YXXyx,YYXyxx,xx,x,0,2,XXXYxxy,YXyyx,orb_0037,YXXyx,YYYXyyx,12,solved_to_solved
sol_019,solved,YXXyx,YYXyxx,xx,x,1,2,XYxxyXX,YxyXyXX,orb_0083,YYXXyx,YXXXyxx,13,solved_to_solved
sol_019,solved,YXXyx,YYXyxx,xy,y,0,2,xYXYxyx,YxxyX,orb_0023,YXXyx,YYXyXX,11,solved_to_solved
sol_019,solved,YXXyx,YYXyxx,yX,y,0,2,YYXyx,YxxyX,orb_0013,YYXyx,YXXyx,10,solved_to_solved
sol_019,solved,YXXyx,YYXyxx,yx,y,0,2,YxxYxyx,YXXyx,orb_0012,YYXyX,YXXyx,10,solved_to_solved
sol_019,solved,YXXyx,YYXyxx,Xyx,x,0,2,XXyyX,YxYxyX,orb_0012,YYXyX,YXXyx,10,solved_to_solved
sol_019,solved,YXXyx,YYXyxx,Xyx,x,1,2,XXXyy,YXXyxYxx,orb_0020,YXXYx,YYXXyx,11,
sol_019,solved,YXXyx,YYXyxx,Xyx,y,0,2,YxYxyx,YXXyx,orb_0012,YYXyX,YXXyx,10,solved_to_solved
sol_020,solved,YYXXYx,YYYXyyx,Xy,x,1,2,XXXXXyXXyxY,YXXXyxx,orb_0194,YXXXyxx,YYXXXXXyx,16,
sol_020,solved,YYXXYx,YYYXyyx,xy,x,1,2,XYXXYXyxx,YXXyxxx,orb_0037,YXXyx,YYYXyyx,12,solved_to_solved
sol_020,solved,YYXXYx,YYYXyyx,yX,x,1,2,YxyyXXX,YxxxyXX,orb_0123,YYXXXyx,YXXyxxx,14,solved_to_solved
sol_020,solved,YYXXYx,YYYXyyx,yx,x,1,2,xYXYxyXXX,YxxyXXX,orb_0083,YYXXyx,YXXXyxx,13,solved_to_solved
sol_020,solved,YYXXYx,YYYXyyx,yy,y,0,3,YxxyXXyx,YxYXYXX,orb_0151,YXXyXYx,YYXXYXXX,15,
sol_020,solved,YYXXYx,YYYXyyx,yy,y,1,3,YXXyXYxx,YXyxYXyxY,orb_0268,YXXYxxyx,YYxyXYxyX,17,
sol_020,solved,YYXXYx,YYYXyyx,xyy,x,1,2,YXYXyx,YXXyxxx,orb_0037,YXXyx,YYYXyyx,12,solved_to_solved
sol_020,solved,YYXXYx,YYYXyyx,xyy,y,0,2,xyXYxYY,YxxYYX,orb_0060,YXXyx,YYXYxyyx,13,solved_to_solved
sol_020,solved,YYXXYx,YYYXyyx,yyX,x,1,2,YxyXyXXX,YxxxyXX,orb_0123,YYXXXyx,YXXyxxx,14,solved_to_solved
sol_020,solved,YYXXYx,YYYXyyx,yyX,y,0,2,YxxyXYXXYXX,YYXXYXXX,orb_0079,YYXXYx,YYYxyXX,13,
sol_021,solved,YYXXYx,YYYYXyyyx,Xy,x,1,2,XXXXXXyXXyxxY,YXXXXyxxx,orb_0491,YXXXXyxxx,YYXXXXXXyxx,20,
sol_021,solved,YYXXYx,YYYYXyyyx,xy,x,1,2,XYXXXYXyxxx,YXXXyxxxx,orb_0179,YYXXyx,YXXXXyxxx,15,solved_to_solved
sol_021,solved,YYXXYx,YYYYXyyyx,yX,x,1,2,YxxyyXXXX,YxxxxyXXX,orb_0347,YYXXXXyxx,YXXXyxxxx,18,
sol_021,solved,YYXXYx,YYYYXyyyx,yx,x,1,2,xxYXXYxxyXXXX,YxxxyXXXX,orb_0220,YYXXyxx,YXXXXyxxx,16,solved_to_solved
sol_021,solved,YYXXYx,YYYYXyyyx,yy,y,0,4,YYXyxYX,YxYXYXX,orb_0064,YXXyx,YYXyyXYx,13,solved_to_solved
