name,r1,r2
ms_077,YYXyx,YXyXXyxx
ms_078,YYXyx,YXXyXyxx
ms_079,YYXyx,YXXYXyxx
ms_080,YYXyx,YXYXXyxx
ms_081,YYXXXyxx,YYXyx
ms_082,YYXyx,YXYXYxxx
ms_083,YYXyx,YXYxxxyX
ms_084,YYYYXYxx,YYXyx
ms_085,YYYXYxYx,YYXyx
ms_086,YYYXYxyx,YYXyx
ms_087,YYXYxYYx,YYXyx
ms_088,YYXYxyyx,YYXyx
ms_089,YYYxYXYx,YYXyx
ms_090,YYYXyxyX,YYXyx
ms_091,YYXyx,YXyXYxxx
ms_092,YYXyx,YXXXyxYx
ms_093,YYYxyXYx,YYXyx
ms_094,YYYXyxYX,YYXyx
ms_095,YYXyx,YYXyyXyx
ms_096,YYXYYXyx,YYXyx
ms_097,YYYXyXyx,YYXyx
ms_098,YYYXYXyx,YYXyx
ms_099,YYYYXXyx,YYXyx
ms_100,YYXyx,YYxxxYXX
ms_101,YYXyx,YYxxxyXX
ms_102,YYYXYYxx,YYXyx
ms_103,YYXYYxYx,YYXyx
ms_104,YYXYYxyx,YYXyx
ms_105,YYXyx,YYxYXYYx
ms_106,YYXyx,YYXyyxyX
ms_107,YYXyx,YYxYYxyX
ms_108,YYXyx,YYXyyxYX
ms_109,YYXyXyyx,YYXyx
ms_110,YYXYXyyx,YYXyx
ms_111,YYYXXyyx,YYXyx
ms_112,YYYxxYYX,YYXyx
ms_113,YYYxYxYX,YYXyx
ms_114,YYYxyxYX,YYXyx
ms_115,YYYxYxyX,YYXyx
ms_116,YYYxyxyX,YYXyx
ms_117,YYYxxyyX,YYXyx
ms_118,YYYYxxYX,YYXyx
ms_119,YYYYxxyX,YYXyx
ms_120,YYYYYYYx,YYXyx
ms_121,YYYxYXyx,YYXyx
ms_122,YYYxyXyx,YYXyx
ms_123,YYXyxYYx,YYXyx
ms_124,YYXyx,YYXyyXYx
ms_125,YYXyx,YYxYXyyx
ms_126,YYXyx,YYxYXyyX
ms_127,YYXyx,YXXyxxYx
ms_128,YYXyx,YXyXXYxx
ms_129,YYXyx,YXXyxYxx
ms_130,YYXyx,YXXyXYxx
ms_131,YYYXyxYx,YYXyx
ms_132,YYYXyXYx,YYXyx
ms_133,YYXyx,YYXyyxYx
ms_134,YYXyXYYx,YYXyx
ms_135,YYYxyXyX,YYXyx
ms_136,YYYxYXyX,YYXyx
ms_137,YYXXyxxx,YYXyx
ms_138,YYXXXYxx,YYXyx
ms_139,YYXyx,YXYXyxxx
ms_140,YYXyx,YXXXYxyx
ms_141,YYXyx,YXyXyxxx
ms_142,YYXyx,YXXXYxYx
ms_143,YYXyx,YYxxyXXX
ms_144,YYXyx,YYxxYXXX
ms_145,YYXyx,YXXYxxyX
ms_146,YYXyx,YXYXXYxx
ms_147,YYYYXyxx,YYXyx
ms_148,YYYYXXYx,YYXyx
ms_149,YYXyx,YXYxxyXX
ms_150,YYXyx,YXYxxYXX
ms_151,YYYXyyxx,YYXyx
ms_152,YYYXXYYx,YYXyx
ms_153,YYYxyyXX,YYXyx
ms_154,YYYxYYXX,YYXyx
ms_155,YYYYxyXX,YYXyx
ms_156,YYYYxYXX,YYXyx
ms_157,YYYXyxyx,YYXyx
ms_158,YYXYxyyX,YYXyx
ms_159,YYYXYxyX,YYXyx
ms_160,YYYXYxYX,YYXyx
ms_161,YYXYYXYx,YYXyx
ms_162,YYYXYXYx,YYXyx
ms_163,YYXyx,YYXyyxyx
ms_164,YYXYXYYx,YYXyx
ms_165,YYYxyXYX,YYXyx
ms_166,YYYxYXYX,YYXyx
ms_167,YYXYYxyX,YYXyx
ms_168,YYXYYxYX,YYXyx
ms_169,YYYYYYYX,YYXyx
ms_170,YYYXyyx,Yx
ms_171,YYYXyyx,YX
ms_172,YYYXyyx,YYx
ms_173,YYYXyyx,YYX
ms_174,YYYXyyx,YYYx
ms_175,YYYX,YYYXyyx
ms_176,YYYXyyx,YXYxx
ms_177,YYYXyyx,YXXyx
ms_178,YYYYx,YYYXyyx
ms_179,YYYXyyx,YXyxx
ms_180,YYYXyyx,YXXYx
ms_181,YYYYX,YYYXyyx
ms_182,YYYXyyx,YYXYxx
ms_183,YYYXyyx,YXYxYx
ms_184,YYYXyyx,YXYxyx
ms_185,YYYXyyx,YXyXyx
ms_186,YYYXyyx,YXYXyx
ms_187,YYYXyyx,YYXXyx
ms_188,YYYXyyx,YYxxYX
ms_189,YYYXyyx,YYxxyX
ms_190,YYYYYx,YYYXyyx
ms_191,YYYXyyx,YXyxYx
ms_192,YYYXyyx,YXyXYx
ms_193,YYYXyyx,YYXyxx
ms_194,YYYXyyx,YYXXYx
ms_195,YYYXyyx,YYxyXX
ms_196,YYYXyyx,YYxYXX
ms_197,YYYXyyx,YXYxyX
ms_198,YYYXyyx,YXYXYx
ms_199,YYYYYX,YYYXyyx
ms_200,YYYXYxx,YYYXyyx
ms_201,YYYXyyx,YYXYxYx
ms_202,YYYXyyx,YYXYxyx
ms_203,YYYXyyx,YYxYXYx
ms_204,YYYXyyx,YYXyxyX
ms_205,YYYXyyx,YYxyXYx
ms_206,YYYXyyx,YYXyxYX
ms_207,YYYXyyx,YYXyXyx
ms_208,YYYXyyx,YYXYXyx
ms_209,YYYXXyx,YYYXyyx
ms_210,YYYXyyx,YYXYYxx
ms_211,YYYXyyx,YYxYxYX
ms_212,YYYXyyx,YYxyxYX
ms_213,YYYXyyx,YYxYxyX
ms_214,YYYXyyx,YYxyxyX
ms_215,YYYXyyx,YYXXyyx
ms_216,YYYXyyx,YYYxxYX
ms_217,YYYXyyx,YYYxxyX
ms_218,YYYYYYx,YYYXyyx
ms_219,YYYXyyx,YYxYXyx
ms_220,YYYXyyx,YYxyXyx
ms_221,YYYXyyx,YYXyxYx
ms_222,YYYXyyx,YYXyXYx
ms_223,YYYXyyx,YYxyXyX
ms_224,YYYXyyx,YYxYXyX
ms_225,YYYXyxx,YYYXyyx
ms_226,YYYXXYx,YYYXyyx
ms_227,YYYXyyx,YYXyyxx
ms_228,YYYXyyx,YYXXYYx
ms_229,YYYXyyx,YYYxyXX
ms_230,YYYXyyx,YYYxYXX
ms_231,YYYXyyx,YYXyxyx
ms_232,YYYXyyx,YYXYxyX
ms_233,YYYXyyx,YYXYxYX
ms_234,YYYXyyx,YYXYXYx
ms_235,YYYXyyx,YYxyXYX
ms_236,YYYXyyx,YYxYXYX
ms_237,YYYYYYX,YYYXyyx
ms_238,YYYYXYxx,YYYXyyx
ms_239,YYYXYxYx,YYYXyyx
ms_240,YYYXYxyx,YYYXyyx
ms_241,YYYXyyx,YYXYxYYx
ms_242,YYYXyyx,YYXYxyyx
ms_243,YYYXyyx,YYYxYXYx
ms_244,YYYXyxyX,YYYXyyx
ms_245,YYYXyyx,YYYxyXYx
ms_246,YYYXyxYX,YYYXyyx
ms_247,YYYXyyx,YYXyyXyx
ms_248,YYYXyyx,YYXYYXyx
ms_249,YYYXyXyx,YYYXyyx
ms_250,YYYXYXyx,YYYXyyx
ms_251,YYYYXXyx,YYYXyyx
ms_252,YYYXyyx,YYxxxYXX
ms_253,YYYXyyx,YYxxxyXX
ms_254,YYYXYYxx,YYYXyyx
ms_255,YYYXyyx,YYXYYxYx
ms_256,YYYXyyx,YYXYYxyx
ms_257,YYYXyyx,YYxYXYYx
ms_258,YYYXyyx,YYXyyxyX
ms_259,YYYXyyx,YYxYYxyX
ms_260,YYYXyyx,YYXyyxYX
ms_261,YYYXyyx,YYXyXyyx
ms_262,YYYXyyx,YYXYXyyx
ms_263,YYYXXyyx,YYYXyyx
ms_264,YYYXyyx,YYYxxYYX
ms_265,YYYXyyx,YYYxYxYX
ms_266,YYYXyyx,YYYxyxYX
ms_267,YYYXyyx,YYYxYxyX
ms_268,YYYXyyx,YYYxyxyX
ms_269,YYYXyyx,YYYxxyyX
ms_270,YYYYxxYX,YYYXyyx
ms_271,YYYYxxyX,YYYXyyx
ms_272,YYYYYYYx,YYYXyyx
ms_273,YYYXyyx,YYYxYXyx
ms_274,YYYXyyx,YYYxyXyx
ms_275,YYYXyyx,YYXyxYYx
ms_276,YYYXyyx,YYXyyXYx
ms_277,YYYXyyx,YYxYXyyx
ms_278,YYYXyyx,YYxYXyyX
ms_279,YYYXyxYx,YYYXyyx
ms_280,YYYXyXYx,YYYXyyx
ms_281,YYYXyyx,YYXyyxYx
ms_282,YYYXyyx,YYXyXYYx
ms_283,YYYXyyx,YYYxyXyX
ms_284,YYYXyyx,YYYxYXyX
ms_285,YYYXyyx,YYxxyXXX
ms_286,YYYXyyx,YYxxYXXX
ms_287,YYYYXyxx,YYYXyyx
ms_288,YYYYXXYx,YYYXyyx
ms_289,YYYXyyx,YYYXyyxx
ms_290,YYYXXYYx,YYYXyyx
ms_291,YYYXyyx,YYYxyyXX
ms_292,YYYXyyx,YYYxYYXX
ms_293,YYYYxyXX,YYYXyyx
ms_294,YYYYxYXX,YYYXyyx
ms_295,YYYXyxyx,YYYXyyx
ms_296,YYYXyyx,YYXYxyyX
ms_297,YYYXYxyX,YYYXyyx
ms_298,YYYXYxYX,YYYXyyx
ms_299,YYYXyyx,YYXYYXYx
ms_300,YYYXYXYx,YYYXyyx
ms_301,YYYXyyx,YYXyyxyx
ms_302,YYYXyyx,YYXYXYYx
ms_303,YYYXyyx,YYYxyXYX
ms_304,YYYXyyx,YYYxYXYX
ms_305,YYYXyyx,YYXYYxyX
ms_306,YYYXyyx,YYXYYxYX
ms_307,YYYYYYYX,YYYXyyx
ms_308,YYYYXyyyx,Yx
ms_309,YYYYXyyyx,YX
ms_310,YYYYXyyyx,YYx
ms_311,YYYYXyyyx,YYX
ms_312,YYYYXyyyx,YYYx
ms_313,YYYYXyyyx,YYYX
ms_314,YYYYXyyyx,YXXyx
ms_315,YYYYXyyyx,YYYYx
ms_316,YYYYXyyyx,YXyxx
ms_317,YYYYX,YYYYXyyyx
ms_318,YYYYXyyyx,YYXYxx
ms_319,YYYYXyyyx,YXyXyx
ms_320,YYYYXyyyx,YXYXyx
ms_321,YYYYXyyyx,YYXXyx
ms_322,YYYYXyyyx,YYxxYX
ms_323,YYYYYx,YYYYXyyyx
ms_324,YYYYXyyyx,YXyxYx
ms_325,YYYYXyyyx,YYXyxx
ms_326,YYYYXyyyx,YYXXYx
ms_327,YYYYXyyyx,YYxYXX
ms_328,YYYYXyyyx,YXYxyX
ms_329,YYYYYX,YYYYXyyyx
ms_330,YYYYXyyyx,YYYXYxx
ms_331,YYYYXyyyx,YYXYxYx
ms_332,YYYYXyyyx,YYXYxyx
ms_333,YYYYXyyyx,YYxyXYx
ms_334,YYYYXyyyx,YYXyxYX
ms_335,YYYYXyyyx,YYXyXyx
ms_336,YYYYXyyyx,YYXYXyx
ms_337,YYYYXyyyx,YYXYYxx
ms_338,YYYYXyyyx,YYxYxYX
ms_339,YYYYXyyyx,YYxyxYX
ms_340,YYYYXyyyx,YYXXyyx
ms_341,YYYYXyyyx,YYYxxYX
ms_342,YYYYXyyyx,YYYxxyX
ms_343,YYYYYYx,YYYYXyyyx
ms_344,YYYYXyyyx,YYxYXyx
ms_345,YYYYXyyyx,YYXyxYx
ms_346,YYYYXyyyx,YYXyXYx
ms_347,YYYYXyyyx,YYxYXyX
ms_348,YYYYXyyyx,YYYXXYx
ms_349,YYYYXyyyx,YYXyyxx
ms_350,YYYYXyyyx,YYXXYYx
ms_351,YYYYXyyyx,YYYxyXX
ms_352,YYYYXyyyx,YYYxYXX
ms_353,YYYYXyyyx,YYXyxyx
ms_354,YYYYXyyyx,YYXYxyX
ms_355,YYYYXyyyx,YYXYXYx
ms_356,YYYYXyyyx,YYxYXYX
ms_357,YYYYYYX,YYYYXyyyx
ms_358,YYYYXYxx,YYYYXyyyx
ms_359,YYYYXyyyx,YYYXYxyx
ms_360,YYYYXyyyx,YYXYxYYx
ms_361,YYYYXyyyx,YYXYxyyx
ms_362,YYYYXyyyx,YYYxyXYx
ms_363,YYYYXyyyx,YYYXyxYX
ms_364,YYYYXyyyx,YYXyyXyx
ms_365,YYYYXyyyx,YYXYYXyx
ms_366,YYYYXXyx,YYYYXyyyx
ms_367,YYYYXyyyx,YYXYYxYx
ms_368,YYYYXyyyx,YYXYYxyx
ms_369,YYYYXyyyx,YYxYXYYx
ms_370,YYYYXyyyx,YYXyyxyX
ms_371,YYYYXyyyx,YYXyXyyx
ms_372,YYYYXyyyx,YYXYXyyx
ms_373,YYYYXyyyx,YYYXXyyx
ms_374,YYYYXyyyx,YYYxxYYX
ms_375,YYYYXyyyx,YYYxYxYX
ms_376,YYYYXyyyx,YYYxyxYX
ms_377,YYYYXyyyx,YYYxYxyX
ms_378,YYYYXyyyx,YYYxyxyX
ms_379,YYYYXyyyx,YYYxxyyX
ms_380,YYYYXyyyx,YYYYxxyX
ms_381,YYYYYYYx,YYYYXyyyx
ms_382,YYYYXyyyx,YYYxYXyx
ms_383,YYYYXyyyx,YYXyxYYx
ms_384,YYYYXyyyx,YYXyyXYx
ms_385,YYYYXyyyx,YYxYXyyX
ms_386,YYYYXyyyx,YYYXyXYx
ms_387,YYYYXyyyx,YYXyyxYx
ms_388,YYYYXyyyx,YYXyXYYx
ms_389,YYYYXyyyx,YYYxyXyX
ms_390,YYYYXyyyx,YYYxYXyX
ms_391,YYYYXyxx,YYYYXyyyx
ms_392,YYYYXXYx,YYYYXyyyx
ms_393,YYYYXyyyx,YYYXyyxx
ms_394,YYYYXyyyx,YYYxyyXX
ms_395,YYYYXyyyx,YYYxYYXX
ms_396,YYYYXyyyx,YYYYxyXX
ms_397,YYYYXyyyx,YYXYxyyX
ms_398,YYYYXyyyx,YYYXYxyX
ms_399,YYYYXyyyx,YYXYYXYx
ms_400,YYYYXyyyx,YYXyyxyx
ms_401,YYYYXyyyx,YYXYXYYx
ms_402,YYYYXyyyx,YYYxyXYX
ms_403,YYYYXyyyx,YYYxYXYX
ms_404,YYYYXyyyx,YYXYYxYX
ms_405,YYYYYYYX,YYYYXyyyx
ms_406,YYYYYXyyyyx,Yx
ms_407,YYYYYXyyyyx,YX
ms_408,YYYYYXyyyyx,YYx
ms_409,YYYYYXyyyyx,YYX
ms_410,YYYYYXyyyyx,YYYx
ms_411,YYYYYXyyyyx,YYYX
ms_412,YYYYYXyyyyx,YXXyx
ms_413,YYYYYXyyyyx,YYYYx
ms_414,YYYYYXyyyyx,YXyxx
ms_415,YYYYYXyyyyx,YYYYX
ms_416,YYYYYXyyyyx,YXyXyx
ms_417,YYYYYXyyyyx,YXYXyx
ms_418,YYYYYXyyyyx,YYxxyX
ms_419,YYYYYXyyyyx,YYYYYx
ms_420,YYYYYXyyyyx,YXyxYx
ms_421,YYYYYXyyyyx,YYxyXX
ms_422,YYYYYXyyyyx,YXYxyX
ms_423,YYYYYX,YYYYYXyyyyx
ms_424,YYYYYXyyyyx,YYXyxYX
ms_425,YYYYYXyyyyx,YYXYYxx
ms_426,YYYYYXyyyyx,YYxyxYX
ms_427,YYYYYXyyyyx,YYxYxyX
ms_428,YYYYYXyyyyx,YYxyxyX
ms_429,YYYYYXyyyyx,YYXXyyx
ms_430,YYYYYYx,YYYYYXyyyyx
ms_431,YYYYYXyyyyx,YYxYXyx
ms_432,YYYYYXyyyyx,YYxyXyX
ms_433,YYYYYXyyyyx,YYxYXyX
ms_434,YYYYYXyyyyx,YYXyyxx
ms_435,YYYYYXyyyyx,YYXXYYx
ms_436,YYYYYXyyyyx,YYxyXYX
ms_437,YYYYYYX,YYYYYXyyyyx
ms_438,YYYYYXyyyyx,YYYXYYxx
ms_439,YYYYYXyyyyx,YYXYYxyx
ms_440,YYYYYXyyyyx,YYXyyxyX
ms_441,YYYYYXyyyyx,YYXyyxYX
ms_442,YYYYYXyyyyx,YYXyXyyx
ms_443,YYYYYXyyyyx,YYXYXyyx
ms_444,YYYYYXyyyyx,YYYXXyyx
ms_445,YYYYYXyyyyx,YYYYxxYX
ms_446,YYYYYXyyyyx,YYYYxxyX
ms_447,YYYYYYYx,YYYYYXyyyyx
ms_448,YYYYYXyyyyx,YYxYXyyx
ms_449,YYYYYXyyyyx,YYxYXyyX
ms_450,YYYYYXyyyyx,YYXyyxYx
ms_451,YYYYYXyyyyx,YYXyXYYx
ms_452,YYYYYXyyyyx,YYYXyyxx
ms_453,YYYYYXyyyyx,YYYXXYYx
ms_454,YYYYYXyyyyx,YYYYxyXX
ms_455,YYYYYXyyyyx,YYYYxYXX
ms_456,YYYYYXyyyyx,YYXyyxyx
ms_457,YYYYYYYX,YYYYYXyyyyx
ms_458,YYYYYYXyyyyyx,Yx
ms_459,YYYYYYXyyyyyx,YX
ms_460,YYYYYYXyyyyyx,YYx
ms_461,YYYYYYXyyyyyx,YYX
ms_462,YYYYYYXyyyyyx,YYYx
ms_463,YYYYYYXyyyyyx,YYYX
ms_464,YYYYYYXyyyyyx,YXXyx
ms_465,YYYYYYXyyyyyx,YYYYx
ms_466,YYYYYYXyyyyyx,YXyxx
ms_467,YYYYYYXyyyyyx,YYYYX
ms_468,YYYYYYXyyyyyx,YYYYYx
ms_469,YYYYYYXyyyyyx,YYYYYX
ms_470,YYYYYYXyyyyyx,YYYXYxx
ms_471,YYYYYYXyyyyyx,YYYXXyx
ms_472,YYYYYYXyyyyyx,YYXXyyx
ms_473,YYYYYYXyyyyyx,YYYYYYx
ms_474,YYYYYYXyyyyyx,YYYXyxx
ms_475,YYYYYYXyyyyyx,YYYXXYx
ms_476,YYYYYYXyyyyyx,YYXyyxx
ms_477,YYYYYYX,YYYYYYXyyyyyx
ms_478,YYYYYYXyyyyyx,YYYXYxyx
ms_479,YYYYYYXyyyyyx,YYYXyXyx
ms_480,YYYYYYXyyyyyx,YYYXYXyx
ms_481,YYYYYYXyyyyyx,YYXyXyyx
ms_482,YYYYYYXyyyyyx,YYXYXyyx
ms_483,YYYYYYXyyyyyx,YYYXXyyx
ms_484,YYYYYYYx,YYYYYYXyyyyyx
ms_485,YYYYYYXyyyyyx,YYYXyxYx
ms_486,YYYYYYXyyyyyx,YYYXyXYx
ms_487,YYYYYYXyyyyyx,YYXyyxYx
ms_488,YYYYYYXyyyyyx,YYYXyyxx
ms_489,YYYYYYXyyyyyx,YYYXXYYx
ms_490,YYYYYYXyyyyyx,YYYXyxyx
ms_491,YYYYYYXyyyyyx,YYXyyxyx
ms_492,YYYYYYYX,YYYYYYXyyyyyx
ms_493,YYYYYYYXyyyyyyx,Yx
ms_494,YYYYYYYXyyyyyyx,YX
ms_495,YYYYYYYXyyyyyyx,YYx
ms_496,YYYYYYYXyyyyyyx,YYX
ms_497,YYYYYYYXyyyyyyx,YYYx
ms_498,YYYYYYYXyyyyyyx,YYYX
ms_499,YYYYYYYXyyyyyyx,YYYYx
ms_500,YYYYYYYXyyyyyyx,YYYYX
ms_501,YYYYYYYXyyyyyyx,YYYYYx
ms_502,YYYYYYYXyyyyyyx,YYYYYX
ms_503,YYYYYYYXyyyyyyx,YYXXyyx
ms_504,YYYYYYYXyyyyyyx,YYYYYYx
ms_505,YYYYYYYXyyyyyyx,YYXyyxx
ms_506,YYYYYYYXyyyyyyx,YYYYYYX
ms_507,YYYYYYYXyyyyyyx,YYXyXyyx
ms_508,YYYYYYYXyyyyyyx,YYXYXyyx
ms_509,YYYYYYYXyyyyyyx,YYYxyxyX
ms_510,YYYYYYYXyyyyyyx,YYYxxyyX
ms_511,YYYYYYYXyyyyyyx,YYYYYYYx
ms_512,YYYYYYYXyyyyyyx,YYXyyxYx
ms_513,YYYYYYYXyyyyyyx,YYYxyXyX
ms_514,YYYYYYYXyyyyyyx,YYYxyyXX
ms_515,YYYYYYYXyyyyyyx,YYXyyxyx
ms_516,YYYYYYYX,YYYYYYYXyyyyyyx
ms_517,YYYYYYYYXyyyyyyyx,Yx
ms_518,YYYYYYYYXyyyyyyyx,YX
ms_519,YYYYYYYYXyyyyyyyx,YYx
ms_520,YYYYYYYYXyyyyyyyx,YYX
ms_521,YYYYYYYYXyyyyyyyx,YYYx
ms_522,YYYYYYYYXyyyyyyyx,YYYX
ms_523,YYYYYYYYXyyyyyyyx,YYYYx
ms_524,YYYYYYYYXyyyyyyyx,YYYYX
ms_525,YYYYYYYYXyyyyyyyx,YYYYYx
ms_526,YYYYYYYYXyyyyyyyx,YYYYYX
ms_527,YYYYYYYYXyyyyyyyx,YYXXyyx
ms_528,YYYYYYYYXyyyyyyyx,YYYYYYx
ms_529,YYYYYYYYXyyyyyyyx,YYXyyxx
ms_530,YYYYYYYYXyyyyyyyx,YYYYYYX
ms_531,YYYYYYYYXyyyyyyyx,YYYYYYYx
ms_532,YYYYYYYYXyyyyyyyx,YYYYYYYX
ms_533,YYYYXyyyx,YYYXYxYx
ms_534,YYYYXyyyx,YYYXYXYx
ms_535,YYYYYXyyyyx,YYxxYX
ms_536,YYYYYXyyyyx,YYxYXX
ms_537,YYYYYXyyyyx,YYxyXYx
ms_538,YYYYYXyyyyx,YYxYxYX
ms_539,YYYYYXyyyyx,YYYxxYX
ms_540,YYYYYXyyyyx,YYYxYXX
ms_541,YYYYYXyyyyx,YYXYxyX
ms_542,YYYYYXyyyyx,YYxYXYX
ms_543,YYYYYXyyyyx,YYYYXYxx
ms_544,YYYYYXyyyyx,YYYxyXYx
ms_545,YYYYYXyyyyx,YYYXyxYX
ms_546,YYYYYXyyyyx,YYXYYxYx
ms_547,YYYYYXyyyyx,YYxYXYYx
ms_548,YYYYYXyyyyx,YYxYYxyX
ms_549,YYYYYXyyyyx,YYYxYxYX
ms_550,YYYYYXyyyyx,YYYxyxYX
ms_551,YYYYYXyyyyx,YYYxYXyx
ms_552,YYYYYXyyyyx,YYYxYXyX
ms_553,YYYYYXyyyyx,YYYYXXYx
ms_554,YYYYYXyyyyx,YYYXYxyX
ms_555,YYYYYXyyyyx,YYXYXYYx
ms_556,YYYYYXyyyyx,YYYxYXYX
ms_557,YYYYYXyyyyx,YYXYYxyX
ms_558,YYYYYXyyyyx,YYXYYxYX
ms_559,YYYYYYXyyyyyx,YXyXyx
ms_560,YYYYYYXyyyyyx,YXYXyx
ms_561,YYYYYYXyyyyyx,YYXXyx
ms_562,YYYYYYXyyyyyx,YXyxYx
ms_563,YYYYYYXyyyyyx,YYXyxx
ms_564,YYYYYYXyyyyyx,YXYxyX
ms_565,YYYYYYXyyyyyx,YYxyXYx
ms_566,YYYYYYXyyyyyx,YYXyxYX
ms_567,YYYYYYXyyyyyx,YYXyXyx
ms_568,YYYYYYXyyyyyx,YYXYXyx
ms_569,YYYYYYXyyyyyx,YYxYXyx
ms_570,YYYYYYXyyyyyx,YYXyxYx
ms_571,YYYYYYXyyyyyx,YYXyxyx
ms_572,YYYYYYXyyyyyx,YYXYxyX
ms_573,YYYYYYXyyyyyx,YYYYXYxx
ms_574,YYYYYYXyyyyyx,YYYXYxYx
ms_575,YYYYYYXyyyyyx,YYYxyXYx
ms_576,YYYYYYXyyyyyx,YYYXyxYX
ms_577,YYYYYYXyyyyyx,YYXyyXyx
ms_578,YYYYYYXyyyyyx,YYXYYXyx
ms_579,YYYYYYXyyyyyx,YYYXYYxx
ms_580,YYYYYYXyyyyyx,YYYxxYYX
ms_581,YYYYYYXyyyyyx,YYYYxxYX
ms_582,YYYYYYXyyyyyx,YYYxYXyx
ms_583,YYYYYYXyyyyyx,YYXyxYYx
ms_584,YYYYYYXyyyyyx,YYYYXXYx
ms_585,YYYYYYXyyyyyx,YYYxYYXX
ms_586,YYYYYYXyyyyyx,YYYYxYXX
ms_587,YYYYYYXyyyyyx,YYXYxyyX
ms_588,YYYYYYXyyyyyx,YYYXYxyX
ms_589,YYYYYYXyyyyyx,YYYXYXYx
ms_590,YYYYYYYXyyyyyyx,YXXyx
ms_591,YYYYYYYXyyyyyyx,YXyxx
ms_592,YYYYYYYXyyyyyyx,YXyXyx
ms_593,YYYYYYYXyyyyyyx,YXYXyx
ms_594,YYYYYYYXyyyyyyx,YXyxYx
ms_595,YYYYYYYXyyyyyyx,YXYxyX
ms_596,YYYYYYYXyyyyyyx,YYxyXYx
ms_597,YYYYYYYXyyyyyyx,YYXyxYX
ms_598,YYYYYYYXyyyyyyx,YYYxxYX
ms_599,YYYYYYYXyyyyyyx,YYYxxyX
ms_600,YYYYYYYXyyyyyyx,YYxYXyx
ms_601,YYYYYYYXyyyyyyx,YYYxyXX
ms_602,YYYYYYYXyyyyyyx,YYYxYXX
ms_603,YYYYYYYXyyyyyyx,YYXYxyX
ms_604,YYYYYYYXyyyyyyx,YYYxyXYx
ms_605,YYYYYYYXyyyyyyx,YYYXyxYX
ms_606,YYYYYYYXyyyyyyx,YYYxxYYX
ms_607,YYYYYYYXyyyyyyx,YYYxYxYX
ms_608,YYYYYYYXyyyyyyx,YYYxyxYX
ms_609,YYYYYYYXyyyyyyx,YYYxYxyX
ms_610,YYYYYYYXyyyyyyx,YYYxYXyx
ms_611,YYYYYYYXyyyyyyx,YYYxYXyX
ms_612,YYYYYYYXyyyyyyx,YYYxYYXX
