name,r1,r2,canon_r1,canon_r2,len1,len2,total_len,max_len,n_members,S,MK,W,abelian_det,ex1,ey1,ex2,ey2,x_blocks1,y_blocks1,x_blocks2,y_blocks2,bs_general,bs_m,bs_donor_index,bs_preflight_status,stalled_stable_letters,T,route,prepass_charges,plain_charges,best_state_r1,best_state_r2,best_total_len,best_reduction,two_block_gate,primitive_one_occurrence1,primitive_one_occurrence2,cluster
ac19_986,YYXXXyx,YYXXYXyXX,YYXXXyx,YYXXYXyXX,7,9,16,9,18,1.4,3.0,1,-1,-2,-1,-5,-2,2,2,3,3,False,,,reject,,0,incumbent_restart,8,872,YYXXXyX,YXYxyXXX,15,1,False,False,False,non_bs_short_reduced
ac19_1007,YYXXXyX,YXYxyXXX,YYXXXyX,YXYxyXXX,7,8,15,8,21,1.2,3.0,0,1,-4,-1,-3,-1,2,2,3,3,False,,,reject,,0,incumbent_restart,13,872,YYXXXyX,YXYxyXXX,15,0,False,False,False,non_bs_short_stuck
ac19_1318,YXXyXyx,YYYXyxYxxyyX,YXXyXyx,YYYXyxYxxyyX,7,12,19,12,1,1.2857142857142858,4.0,1,1,-2,1,1,-1,3,3,4,4,False,,,reject,,0,incumbent_restart,13,872,YYXYxxx,YYxYxyX,14,5,False,False,False,non_bs_mid_reduced
ac19_1375,YXXyXYx,YYxyXyXYXYX,YXXyXYx,YYxyXyXYXYX,7,11,18,11,3,1.125,5.0,1,1,-2,-1,-3,-2,3,3,5,5,False,,,reject,,0,incumbent_restart,18,872,YXYXXyX,YYXyXyxxx,16,2,False,False,False,non_bs_short_reduced
ac19_1430,YXXyXyx,YYYxxxxyx,YXXyXyx,YYYxxxxyx,7,9,16,9,4,1.4,3.0,1,-1,-2,1,5,-2,3,3,2,2,False,,,reject,,0,incumbent_restart,13,872,YYXXyxx,YYxyXYX,14,2,False,False,False,non_bs_short_reduced
ac19_1518,YYXXyxx,YXYXyXYxx,YYXXyxx,YXYXyXYxx,7,9,16,9,6,1.1666666666666667,4.0,1,-1,0,-1,-1,-2,2,2,4,4,False,,,reject,,0,incumbent_restart,8,872,YYXXyx,YXYxyXX,13,3,False,False,False,non_bs_short_reduced
ac19_1595,YYXyxxxxyyX,YYXyXXYYXyxxyX,YYXyxxxxyyX,YYXyXXYYXyxxyX,11,14,25,14,2,1.5,5.0,2,1,2,1,-3,-1,3,3,5,5,False,,,reject,,0,incumbent_restart,8,872,YYXXyxx,YYxYxyX,14,11,False,False,False,non_bs_long_reduced
ac19_1670,YYXXyxx,YYxYxyX,YYXXyxx,YYxYxyX,7,7,14,7,26,1.4,3.0,1,1,0,-1,1,-2,2,2,3,3,False,,,reject,,0,incumbent_restart,13,872,YYXXyxx,YYxYxyX,14,0,False,False,False,non_bs_short_stuck
ac19_1715,YXXXYxx,YYYXYXXyxyyxx,YXXXYxx,YYYXYXXyxyyxx,7,13,20,13,3,1.5,4.0,1,1,-1,-2,0,-1,2,2,4,4,False,,,reject,,0,incumbent_restart,8,872,YXYxx,YYYXyyx,12,8,False,False,False,non_bs_mid_reduced
ac19_1725,YYXXXXYxyxx,YYXXXXyxxxx,YYXXXXYxyxx,YYXXXXyxxxx,11,11,22,11,9,1.4,3.0,1,1,-1,-2,0,-1,3,3,2,2,False,,,reject,,0,incumbent_restart,8,872,YYXXyxx,YYxyXYX,14,8,False,False,False,non_bs_long_reduced
ac19_1779,YXyxYXXyx,YYXYxyXYxyXyX,YXyxYXXyx,YYXYxyXYxyXyX,9,13,22,13,6,1.1,6.0,1,1,-1,0,-2,-1,4,4,6,6,False,,,reject,,0,incumbent_restart,8,872,YXXYxxx,YYXyxYXyx,16,6,False,False,False,non_bs_long_reduced
ac19_1837,YXXyXyx,YYxyXyxxYX,YXXyXyx,YYxyXyxxYX,7,10,17,10,3,1.1428571428571428,4.0,0,1,-2,1,1,-1,3,3,4,4,False,,,reject,,0,incumbent_restart,13,872,YYXXyx,YXYxyXX,13,4,False,False,False,non_bs_short_reduced
ac19_1880,YXXXXyXXyXX,YYXyyXXXXyXX,YXXXXyXXyXX,YYXyyXXXXyXX,11,12,23,12,1,1.3333333333333333,3.0,0,-1,-8,1,-7,1,3,3,3,3,False,,,reject,,0,incumbent_restart,18,872,YYXXyxx,YYxYxyX,14,9,False,False,False,non_bs_long_reduced
ac19_1997,YXXyXyx,YYYxxYxxyx,YXXyXyx,YYYxxYxxyx,7,10,17,10,3,1.3333333333333333,3.0,0,1,-2,1,5,-3,3,3,3,3,False,,,reject,,0,incumbent_restart,13,872,YYXXXYx,YYxyXYX,14,3,False,False,False,non_bs_short_reduced
ac19_2376,YYXXyxx,YXYxxYXyx,YYXXyxx,YXYxxYXyx,7,9,16,9,4,1.1666666666666667,4.0,1,1,0,-1,1,-2,2,2,4,4,False,,,reject,,0,incumbent_restart,8,872,YYXXyx,YYxYXXX,13,3,False,False,False,non_bs_short_reduced
ac19_2513,YYXXXYX,YYYXyXXyxx,YYXXXYX,YYYXyXXyxx,7,10,17,10,1,1.6,3.0,2,1,-4,-3,-1,-1,2,2,3,3,False,,,reject,,0,incumbent_restart,13,872,Yxxx,YXyxx,9,8,False,False,False,non_bs_short_reduced
ac19_2623,YYXYXyX,YYxyXXX,YYXYXyX,YYxyXXX,7,7,14,7,21,1.4,3.0,1,-1,-3,-2,-2,-1,3,3,2,2,False,,,reject,,0,incumbent_restart,13,872,YYXXyx,YYxYXXX,13,1,False,False,False,non_bs_short_reduced
ac19_2671,YXXYxYxx,YYXXXXyxxxx,YXXYxYxx,YYXXXXyxxxx,8,11,19,11,1,1.2,3.0,0,-1,1,-3,0,-1,3,3,2,2,False,,,reject,,0,incumbent_restart,13,872,YYXXXYx,YYxyXYX,14,5,False,False,False,non_bs_mid_reduced
ac19_2696,YYXXYxYXXXYx,YYXXXyxxYXXYx,YYXXYxYXXXYx,YYXXXyxxYXXYx,12,13,25,13,1,1.25,4.0,2,-1,-3,-5,-2,-3,4,4,4,4,False,,,reject,,0,incumbent_restart,8,872,YXYXXYxx,YYXyXyxyx,17,8,False,False,False,non_bs_long_reduced
ac19_2715,YXYXXYx,YYxYxyXYXyX,YXYXXYx,YYxYxyXYXyX,7,11,18,11,1,1.125,5.0,1,1,-2,-3,-1,-2,3,3,5,5,False,,,reject,,0,incumbent_restart,18,872,YXYXXyX,YYXyXXXX,15,3,False,False,False,non_bs_short_reduced
ac19_2744,YXyxYXXyx,YYXYXyxYXyXyX,YXyxYXXyx,YYXYXyxYXyXyX,9,13,22,13,1,1.1,6.0,1,1,-1,0,-4,-1,4,4,6,6,False,,,reject,,0,incumbent_restart,8,872,YYXXYxxx,YXYxxYxyX,17,5,False,False,False,non_bs_long_reduced
ac19_2748,YXXYxYxx,YYXyxYYxxYX,YXXYxYxx,YYXyxYYxxYX,8,11,19,11,1,1.2857142857142858,4.0,1,-1,1,-3,1,-4,3,3,4,4,False,,,reject,,0,incumbent_restart,13,872,YXXYxYxx,YYXyxYXyx,17,2,False,False,False,non_bs_mid_reduced
ac19_3129,YYXXXyxx,YYxyxxYXXXX,YYXXXyxx,YYxyxxYXXXX,8,11,19,11,2,1.4,3.0,1,1,-1,-1,-1,-2,2,2,3,3,False,,,reject,,0,incumbent_restart,8,872,YXXYxxyx,YYXyxxYxx,17,2,False,False,False,non_bs_mid_reduced
ac19_3175,YXXXyXyx,YYXyXyxyX,YXXXyXyx,YYXyXyxyX,8,9,17,9,3,1.1428571428571428,4.0,0,-1,-3,1,-2,1,3,3,4,4,False,,,reject,,0,incumbent_restart,13,872,YYXXyx,YXYxyXX,13,4,False,False,False,non_bs_short_reduced
ac19_3382,YXXYxxyx,YXXYxYxxYxxyX,YXXYxxyx,YXXYxYxxYxxyX,8,13,21,13,6,1.0,5.0,0,-1,1,-1,2,-3,3,3,5,5,False,,,reject,,0,incumbent_restart,23,872,YXYxxyx,YYXyxxxx,15,6,False,False,False,non_bs_mid_reduced
ac19_3432,YXXyXYx,YYXXXXyxxx,YXXyXYx,YYXXXXyxxx,7,10,17,10,8,1.2,3.0,0,1,-2,-1,-1,-1,3,3,2,2,False,,,reject,,0,incumbent_restart,13,872,YXXyXYx,YYxyXXXX,15,2,False,False,False,non_bs_short_reduced
ac19_3566,YYXXXYxx,YYYxxyXXX,YYXXXYxx,YYYxxyXXX,8,9,17,9,3,1.75,2.0,3,-1,-1,-3,-1,-2,2,2,2,2,False,,,reject,,0,incumbent_restart,8,872,YYXXXYxx,YYXYxxyXX,17,0,False,False,False,non_bs_short_stuck
ac19_3667,YYXXXyxxx,YYYYXXYXYxx,YYXXXyxxx,YYYYXXYXYxx,9,11,20,11,2,1.8,3.0,3,-1,0,-1,-1,-6,2,2,3,3,False,,,reject,,0,incumbent_restart,8,872,YXXyXyX,YYYXyyyxx,16,4,False,False,False,non_bs_mid_reduced
ac19_3794,YYXXYXYXX,YYXXyyXYxx,YYXXYXYXX,YYXXyyXYxx,9,10,19,10,2,1.5,3.0,1,1,-5,-4,-1,-1,3,3,3,3,False,,,reject,,0,incumbent_restart,23,872,YYXXYXYXX,YYXXyyXYxx,19,0,False,False,False,non_bs_mid_stuck
ac19_3797,YYXXYx,YYYxyXYxyyX,YYXXYx,YYYxyXYxyyX,6,11,17,11,10,1.1666666666666667,4.0,1,1,-1,-3,0,-1,2,2,4,4,False,,,reject,,0,incumbent_restart,8,872,YXYxxyx,YYXyxxxx,15,2,False,False,False,non_bs_short_reduced
ac19_3820,YXXXyxx,YYXyXYxyxYXXyx,YXXXyxx,YYXyXYxyxYXXyx,7,14,21,14,4,1.125,6.0,1,1,-1,0,-1,-1,2,2,6,6,True,2,0,reject,7,6,incumbent_restart,8,872,YXXXyxx,YYXyXYxyXYxyx,20,1,False,False,False,bs_stalled_hi
ac19_3995,YXXyXyx,YYYxxxxx,YXXyXyx,YYYxxxxx,7,8,15,8,10,1.5,3.0,0,1,-2,1,5,-3,3,3,1,1,False,,,reject,,0,incumbent_restart,13,872,YYXXyxx,YYxYxyX,14,1,False,False,False,non_bs_short_reduced
ac19_4076,YYYXXXXyyx,YYYYXXyyxyX,YYYXXXXyyx,YYYYXXyyxyX,10,11,21,11,6,1.8,3.0,3,1,-3,-1,-2,-1,2,2,3,3,False,,,reject,,0,incumbent_restart,8,872,YYXXyxx,YYxYxyX,14,7,False,False,False,non_bs_mid_reduced
ac19_4342,YXXYxYxx,YYxyXYxyX,YXXYxYxx,YYxyXYxyX,8,9,17,9,18,1.1428571428571428,4.0,0,-1,1,-3,0,-1,3,3,4,4,False,,,reject,,0,incumbent_restart,13,872,YXXYxxx,YYXyxYXyx,16,1,False,False,False,non_bs_short_reduced
ac19_4395,YYXXXYX,YYYxyXXXX,YYXXXYX,YYYxyXXXX,7,9,16,9,17,1.75,2.0,1,-1,-4,-3,-3,-2,2,2,2,2,False,,,reject,,0,incumbent_restart,13,872,YXXyx,Yxxxx,10,6,False,False,False,non_bs_short_reduced
ac19_4433,YXXyXyx,YYYxyXYxxyyX,YXXyXyx,YYYxyXYxxyyX,7,12,19,12,1,1.2857142857142858,4.0,1,1,-2,1,1,-1,3,3,4,4,False,,,reject,,0,incumbent_restart,13,872,YYXXyxx,YYxyXYX,14,5,False,False,False,non_bs_mid_reduced
ac19_4740,YXXYxxyxx,YYxxyXYXyx,YXXYxxyxx,YYxxyXYXyx,9,10,19,10,1,1.1428571428571428,4.0,0,-1,2,-1,1,-1,3,3,4,4,False,,,reject,,0,incumbent_restart,18,872,YYXXYYx,YYYXyXyxx,16,3,False,False,False,non_bs_mid_reduced
ac19_4894,YXXyXyx,YYXyxxyXX,YXXyXyx,YYXyxxyXX,7,9,16,9,4,1.1666666666666667,3.0,1,1,-2,1,-1,0,3,3,3,3,False,,,reject,,0,incumbent_restart,13,872,YYXYxxx,YYxYxyX,14,2,False,False,False,non_bs_short_reduced
ac19_4974,YYXXYYxyX,YYXXYYXXYx,YYXXYYxyX,YYXXYYXXYx,9,10,19,10,2,1.5,3.0,1,1,-2,-3,-3,-5,3,3,3,3,False,,,reject,,0,incumbent_restart,8,872,YYXXyx,YXXYxYXXX,15,4,False,False,False,non_bs_mid_reduced
ac19_5016,YXXXYxx,YYXYXYYXXyyxx,YXXXYxx,YYXYXYYXXyyxx,7,13,20,13,3,1.5,4.0,1,-1,-1,-2,-2,-3,2,2,4,4,False,,,reject,,0,incumbent_restart,8,872,YXYxx,YYYYxYx,12,8,False,False,False,non_bs_mid_reduced
ac19_5159,YYXXXXX,YXyXXYxyXYx,YYXXXXX,YXyXXYxyXYx,7,11,18,11,2,1.1666666666666667,5.0,1,1,-5,-2,-2,-1,1,1,5,5,False,,,reject,,0,incumbent_restart,13,872,YXXXYxx,YYXyxYXyx,16,2,False,False,False,non_bs_short_reduced
ac19_5174,YXXyXYx,YYXXXYXXyxx,YXXyXYx,YYXXXYXXyxx,7,11,18,11,9,1.1666666666666667,3.0,1,1,-2,-1,-3,-2,3,3,3,3,False,,,reject,,0,incumbent_restart,13,872,YXXyXYx,YYxyXXXX,15,3,False,False,False,non_bs_short_reduced
ac19_5230,YXXyXyx,YYxxYYxxyx,YXXyXyx,YYxxYYxxyx,7,10,17,10,2,1.3333333333333333,3.0,0,1,-2,1,5,-3,3,3,3,3,False,,,reject,,0,incumbent_restart,13,872,YYXXyx,YXXYxYXXX,15,2,False,False,False,non_bs_short_reduced
ac19_5250,YXXyXyx,YYxyXYxyxx,YXXyXyx,YYxyXYxyxx,7,10,17,10,2,1.1428571428571428,4.0,0,-1,-2,1,3,-1,3,3,4,4,False,,,reject,,0,incumbent_restart,13,872,YYXXyxx,YYxyXYX,14,3,False,False,False,non_bs_short_reduced
ac19_5478,YYYXXXyxx,YYYXYXXXYxx,YYYXXXyxx,YYYXYXXXYxx,9,11,20,11,2,1.8,3.0,3,1,-1,-2,-2,-5,2,2,3,3,False,,,reject,,0,incumbent_restart,8,872,YYYxxyyx,YYXXXyyxx,17,3,False,False,False,non_bs_mid_reduced
ac19_5535,YXyxYXXyx,YYXXXyxYXyXyyX,YXyxYXXyx,YYXXXyxYXyXyyX,9,14,23,14,1,1.2222222222222223,5.0,1,-1,-1,0,-5,1,4,4,5,5,False,,,reject,,0,incumbent_restart,8,872,YXXXYxx,YYXyxYXyx,16,7,False,False,False,non_bs_long_reduced
ac19_5542,YYXXXYx,YXYxYxYXXXX,YYXXXYx,YXYxYxYXXXX,7,11,18,11,4,1.1666666666666667,4.0,1,-1,-2,-3,-3,-4,2,2,4,4,False,,,reject,,0,incumbent_restart,8,872,YYXXXYx,YYxyXYX,14,4,False,False,False,non_bs_short_reduced
ac19_5593,YXXyXyx,YYXyxyXXyX,YXXyXyx,YYXyxyXXyX,7,10,17,10,1,1.1428571428571428,4.0,0,1,-2,1,-3,1,3,3,4,4,False,,,reject,,0,incumbent_restart,13,872,YYXXyxx,YYxyXYX,14,3,False,False,False,non_bs_short_reduced
ac19_5622,YXYXyXYxx,YYxxyXYXyX,YXYXyXYxx,YYxxyXYXyX,9,10,19,10,4,1.125,4.0,1,-1,-1,-2,-1,-1,4,4,4,4,False,,,reject,,0,incumbent_restart,8,872,YYXXyx,YXYxyXX,13,6,False,False,False,non_bs_mid_reduced
ac19_5652,YYXXyxx,YYYYXYxyx,YYXXyxx,YYYYXYxyx,7,9,16,9,13,1.4,3.0,1,1,0,-1,1,-4,2,2,3,3,False,,,reject,,0,incumbent_restart,13,872,YYXXyx,YYxYXXX,13,3,False,False,False,non_bs_short_reduced
ac19_5981,YXXYxxyX,YYYXXyxyx,YXXYxxyX,YYYXXyxyx,8,9,17,9,3,1.3333333333333333,3.0,0,1,-1,-1,0,-1,3,3,3,3,False,,,reject,,0,incumbent_restart,18,872,YXyxx,YXYXXyX,12,5,False,False,False,non_bs_short_reduced
ac19_6385,YYXXyxx,YYXYYXXYxyx,YYXXyxx,YYXYYXXYxyx,7,11,18,11,12,1.5,4.0,1,-1,0,-1,-1,-4,2,2,4,4,False,,,reject,,0,incumbent_restart,13,872,YYXXyxx,YYxyXYX,14,4,False,False,False,non_bs_short_reduced
ac19_6512,YXyxYXXyx,YYXyXyXYXYXyx,YXyxYXXyx,YYXyXyXYXYXyx,9,13,22,13,1,1.1,6.0,1,1,-1,0,-4,-1,4,4,6,6,False,,,reject,,0,incumbent_restart,8,872,YXyxYXXyx,YYXyXyXYXX,19,3,False,False,False,non_bs_long_reduced
ac19_6540,YXYXXYx,YYYXYxxyXyX,YXYXXYx,YYYXYxxyXyX,7,11,18,11,2,1.2857142857142858,4.0,1,1,-2,-3,-1,-2,3,3,4,4,False,,,reject,,0,incumbent_restart,13,872,YYXXyx,YXYxyXX,13,5,False,False,False,non_bs_short_reduced
ac19_6554,YYXyxYXXyx,YXyxYXyxxyXyx,YYXyxYXXyx,YXyxYXyxxyXyx,10,13,23,13,1,1.1,6.0,1,-1,-1,-1,1,2,4,4,6,6,False,,,reject,,0,incumbent_restart,8,872,YXYXXYxx,YYXyXyxyx,17,6,False,False,False,non_bs_long_reduced
ac19_6618,YXXXYxx,YYYXYYYXYX,YXXXYxx,YYYXYYYXYX,7,10,17,10,2,1.6,3.0,0,1,-1,-2,-3,-7,2,2,3,3,False,,,reject,,0,incumbent_restart,23,872,YXXXYxx,YYYXYYYXYX,17,0,False,False,False,non_bs_short_stuck
ac19_6678,YYXXyXyxx,YXYxxyXXYxyXX,YYXXyXyxx,YXYxxyXXYxyXX,9,13,22,13,2,1.125,5.0,1,1,-1,0,-2,-1,3,3,5,5,False,,,reject,,0,incumbent_restart,13,872,YYXYxxx,YYxYxyX,14,8,False,False,False,non_bs_long_reduced
ac19_6800,YXyxYXXyx,YYXyxYXyyxYxx,YXyxYXXyx,YYXyxYXyyxYxx,9,13,22,13,8,1.2222222222222223,5.0,1,1,-1,0,2,-1,4,4,5,5,False,,,reject,,0,incumbent_restart,8,872,YXYxxYXX,YYXyxYXyx,17,5,False,False,False,non_bs_long_reduced
ac19_6847,YYXXXXYX,YYXXYXyyx,YYXXXXYX,YYXXYXyyx,8,9,17,9,4,1.6,3.0,0,-1,-5,-3,-2,-1,2,2,3,3,False,,,reject,,0,incumbent_restart,13,872,YYXXXYx,YYxyXYX,14,3,False,False,False,non_bs_short_reduced
ac19_6939,YYXXXYX,YYYYXXyxyXX,YYXXXYX,YYYYXXyxyXX,7,11,18,11,1,1.8,3.0,1,-1,-4,-3,-3,-2,2,2,3,3,False,,,reject,,0,incumbent_restart,13,872,YXYxyX,YYXXXYx,13,5,False,False,False,non_bs_short_reduced
ac19_7037,YYXXXyX,YYXXXXyxyxx,YYXXXyX,YYXXXXyxyxx,7,11,18,11,1,1.4,3.0,1,-1,-4,-1,-1,0,2,2,3,3,False,,,reject,,0,incumbent_restart,8,872,YYXXXyX,YXYxyXXX,15,3,False,False,False,non_bs_short_reduced
ac19_7078,YXXXyXXyx,YYXyXXyxyX,YXXXyXXyx,YYXyXXyxyX,9,10,19,10,4,1.1428571428571428,4.0,0,-1,-4,1,-3,1,3,3,4,4,False,,,reject,,0,incumbent_restart,18,872,YYXXyxx,YYxyXYx,14,5,False,False,False,non_bs_mid_reduced
ac19_7248,YYXXXXX,YXYxYXXyXyx,YYXXXXX,YXYxYXXyXyx,7,11,18,11,1,1.1666666666666667,5.0,1,1,-5,-2,-2,-1,1,1,5,5,False,,,reject,,0,incumbent_restart,13,872,YXXXYxx,YYxyXYxyX,16,2,False,False,False,non_bs_short_reduced
ac19_7284,YYXXXyXX,YXyxYXXXyxx,YYXXXyXX,YXyxYXXXyxx,8,11,19,11,3,1.1666666666666667,4.0,1,-1,-5,-1,-1,0,2,2,4,4,False,,,reject,,0,incumbent_restart,8,872,YYXXXXyx,YXXyXXXYx,17,2,False,False,False,non_bs_mid_reduced
ac19_7301,YXXYxYxx,YYXyxYXyx,YXXYxYxx,YYXyxYXyx,8,9,17,9,11,1.1428571428571428,4.0,0,-1,1,-3,0,-1,3,3,4,4,False,,,reject,,0,incumbent_restart,13,872,YXXYxYxx,YYXyxYXyx,17,0,False,False,False,non_bs_short_stuck
ac19_7302,YXXXXyXyx,YYYxxyxxyX,YXXXXyXyx,YYYxxyxxyX,9,10,19,10,1,1.3333333333333333,3.0,2,1,-4,1,3,-1,3,3,3,3,False,,,reject,,0,incumbent_restart,13,872,YYXXXyxx,YYYXYXXXX,17,2,False,False,False,non_bs_mid_reduced
ac19_7496,YYXXXXXXyxx,YXXXXXyxxxxxx,YYXXXXXXyxx,YXXXXXyxxxxxx,11,13,24,13,6,1.25,2.0,1,1,-4,-1,1,0,2,2,2,2,True,5,1,reject,3,2,incumbent_restart,8,872,YYXyxxyXX,YXYXyXXXX,18,6,False,False,False,bs_stalled_lo
ac19_8222,YYXXXyx,YXYXXXyXXYx,YYXXXyx,YXYXXXyXXYx,7,11,18,11,2,1.1666666666666667,4.0,1,-1,-2,-1,-5,-2,2,2,4,4,False,,,reject,,0,incumbent_restart,8,872,YYXXXyX,YXYxyXXX,15,3,False,False,False,non_bs_short_reduced
ac19_8412,YYXXyxx,YYXYxxYXyx,YYXXyxx,YYXYxxYXyx,7,10,17,10,8,1.3333333333333333,4.0,2,1,0,-1,1,-3,2,2,4,4,False,,,reject,,0,incumbent_restart,8,872,YYXXyyx,YXyxYxx,14,3,False,False,False,non_bs_short_reduced
ac19_8690,YYXXyx,YYXYxYXXX,YYXXyx,YYXYxYXXX,6,9,15,9,16,1.4,3.0,1,1,-1,-1,-3,-4,2,2,3,3,False,,,reject,,0,incumbent_restart,8,872,YYXXyxx,YYxyXYX,14,1,False,False,False,non_bs_short_reduced
ac19_8721,YXXYXXyx,YXXXyXXYx,YXXYXXyx,YXXXyXXYx,8,9,17,9,2,1.0,3.0,0,-1,-3,-1,-4,-1,3,3,3,3,False,,,reject,,0,incumbent_restart,23,872,YYXXyx,YXXYxYXXX,15,2,False,False,False,non_bs_short_reduced
ac19_8792,YXXyXyxx,YYXYxxyxYxx,YXXyXyxx,YYXYxxyxYxx,8,11,19,11,2,1.1428571428571428,4.0,0,-1,-1,1,4,-3,3,3,4,4,False,,,reject,,0,incumbent_restart,13,872,YYXXyxx,YYxYYxYX,15,4,False,False,False,non_bs_mid_reduced
