index,name,r1,r2,nodes_explored,route,elementary_count
30448,ac19_30448,YYXXXYXX,YYYYXyyXX,954,incumbent_restart,653
30524,ac19_30524,YXXyxYx,YYxYXYXYYxx,974,incumbent_restart,692
30555,ac19_30555,YYXXXYXYx,YYXXyyxxyx,969,incumbent_restart,540
31369,ac19_31369,YXXYXXyx,YYXyyXYxxyX,978,incumbent_restart,717
31936,ac19_31936,YYXXyx,YYYXXXYYxyX,987,incumbent_restart,1078
31991,ac19_31991,YYXXXyx,YXyxxYXXyxYXXyx,964,incumbent_restart,1744
32248,ac19_32248,YYXXXYX,YYYXyXXXYYX,958,incumbent_restart,1012
32269,ac19_32269,YYXXXYXyx,YYXyxYXXXyx,972,incumbent_restart,1414
32367,ac19_32367,YYXXXyX,YYYxyyxxyyxx,971,incumbent_restart,719
32949,ac19_32949,YYYXXXXyX,YYXXyyxYXX,961,incumbent_restart,1729
33052,ac19_33052,YXYxyx,YYXyXyxxYXXyx,957,incumbent_restart,608
33435,ac19_33435,YXXyXyx,YYxxYXyxyx,995,incumbent_restart,2242
33879,ac19_33879,YXYxyx,YYXyXyxxxYXyx,954,incumbent_restart,583
34047,ac19_34047,YYXXXyX,YYXXyXXYXXX,977,incumbent_restart,785
34433,ac19_34433,YYXXXyX,YYXyyxxxyx,978,incumbent_restart,797
34580,ac19_34580,YYXXXYX,YXYxxxYXyXyX,954,incumbent_restart,1138
34666,ac19_34666,YXYxyx,YYXXyxxxYxx,959,incumbent_restart,611
35047,ac19_35047,YYXXYx,YYYXYXyXYxx,954,incumbent_restart,749
35247,ac19_35247,YYYXyxyyX,YYxxxxxyx,979,incumbent_restart,7449
35267,ac19_35267,YYXXyXyxx,YXyXXXYXX,993,incumbent_restart,1145
35292,ac19_35292,YYXXXXyx,YYXYXXyxyyx,999,incumbent_restart,2339
35457,ac19_35457,YXXyxYx,YYXXyXyxyx,976,incumbent_restart,674
35481,ac19_35481,YXXyXyx,YYxyxyXYxyX,980,incumbent_restart,708
35969,ac19_35969,YXXYxxyx,YYYxxyXYxyX,970,incumbent_restart,938
36201,ac19_36201,YXXYxxyX,YYXXXXYYxyX,950,incumbent_restart,654
36231,ac19_36231,YYXXXYxYX,YXXXXYxYx,977,incumbent_restart,864
36473,ac19_36473,YYXXXyX,YYXYXyxxyyX,970,incumbent_restart,792
36880,ac19_36880,YXYXXYx,YXYxYxyXXXyx,995,incumbent_restart,1088
36884,ac19_36884,YXYxyx,YYYXXYxyXyxxx,951,incumbent_restart,565
37314,ac19_37314,YYXXYXXyXYx,YYXXyXYXyXYxx,968,incumbent_restart,1784
37568,ac19_37568,YXXXYxx,YYYXYXXYx,959,incumbent_restart,2381
37815,ac19_37815,YYXXXXyX,YXYxxyXyx,985,incumbent_restart,3372
38860,ac19_38860,YXXXyXyX,YYYxxxyxxyX,998,incumbent_restart,918
38883,ac19_38883,YXXYxxyX,YYXyxYXXXyx,982,incumbent_restart,1370
38944,ac19_38944,YYXXXyx,YYYYYXyyXyX,975,incumbent_restart,839
39040,ac19_39040,YYXXXXXyX,YYXXXXyXyxYX,956,incumbent_restart,8440
39777,ac19_39777,YYXXXXXXyx,YYXyXYxyxyx,982,incumbent_restart,11413
39793,ac19_39793,YYXXXXXyX,YXYXXXXyXX,962,incumbent_restart,3930
40327,ac19_40327,YXXYxxyx,YXXXyxxxYxx,961,incumbent_restart,2890
40569,ac19_40569,YXXXXyxxYx,YXXYxxYXXXX,960,incumbent_restart,1444
40585,ac19_40585,YYXYYXXYx,YYXYxxyXX,966,incumbent_restart,1268
40625,ac19_40625,YXXyXyx,YYXyxxYxyx,995,incumbent_restart,2239
40771,ac19_40771,YYXXYxxyx,YYXyxYXyxYXyx,999,incumbent_restart,792
41136,ac19_41136,YYXXyxx,YYYYXYxYX,967,incumbent_restart,1268
41614,ac19_41614,YXYxxyXyx,YYXXyxxxxx,968,incumbent_restart,3677
41622,ac19_41622,YXyXYxx,YYYYxYXXyxx,992,incumbent_restart,847
42013,ac19_42013,YXXyXyX,YYxyxxyxYXXyX,954,incumbent_restart,681
42162,ac19_42162,YXXXyXYx,YXXYxxyXX,957,incumbent_restart,1202
43057,ac19_43057,YXYxyx,YYXYXXyyXyxxx,958,incumbent_restart,468
43298,ac19_43298,YYXXXYXX,YYYYXyyyX,960,incumbent_restart,1914
43752,ac19_43752,YXXyXYx,YYXXXyxxyxx,988,incumbent_restart,956
43761,ac19_43761,YYXXXXyxxx,YYXyXXXYxYx,952,incumbent_restart,780
43944,ac19_43944,YYXXXyX,YYXXXXyxxyx,977,incumbent_restart,754
44456,ac19_44456,YXXYxxyX,YYYYXXYXXXX,963,incumbent_restart,697
44623,ac19_44623,YXXYxxyX,YYYXXyXYYXX,983,incumbent_restart,1278
44718,ac19_44718,YXXXyxYx,YYXYXXYXXyx,956,incumbent_restart,3458
44796,ac19_44796,YXXyXyxx,YYYxxYXYxxx,984,incumbent_restart,1939
44913,ac19_44913,YXXyXyx,YYXyxYxyxyX,977,incumbent_restart,792
45019,ac19_45019,YXXYXXyxx,YYXyXyxxxyxx,978,incumbent_restart,3864
45323,ac19_45323,YYXXXyX,YYYXXyxyyxx,971,incumbent_restart,695
45362,ac19_45362,YXYxyx,YYXyXXyXYxyyx,963,incumbent_restart,547
46038,ac19_46038,YXXyxYx,YYXYxxYXyx,976,incumbent_restart,682
46288,ac19_46288,YXYxyx,YYXYXyyXyxYxx,955,incumbent_restart,488
46944,ac19_46944,YXyXXXyX,YYXXyXYxyxyxx,952,incumbent_restart,621
47157,ac19_47157,YXYxyx,YYYXXYYxyyxxx,954,incumbent_restart,622
47452,ac19_47452,YYXXXXYX,YYXyXXXYx,961,incumbent_restart,1438
47454,ac19_47454,YXXYxxyX,YYxxyxyXXyx,982,incumbent_restart,1453
48255,ac19_48255,YXYxyx,YYYXXYxyyxxxx,958,incumbent_restart,451
48401,ac19_48401,YYXXXyx,YYXXYXyXXYxyX,963,incumbent_restart,2008
48635,ac19_48635,YXXYxxyX,YYYxxyyXXyx,986,incumbent_restart,1300
48956,ac19_48956,YXXYxxyX,YYXyXYYXXyx,985,incumbent_restart,1542
49504,ac19_49504,YXYxyx,YYYxxYYxxYxyx,958,incumbent_restart,360
49730,ac19_49730,YXYXXyxYXyxx,YYxyXYxyXYxyX,971,incumbent_restart,727
50246,ac19_50246,YXyXYxx,YYXYYXXyxx,979,incumbent_restart,1020
50439,ac19_50439,YYXXyXYXyx,YXYXyxYXXyx,994,incumbent_restart,2875
50497,ac19_50497,YYXXXYX,YYYXyXXYxyX,977,incumbent_restart,1807
50543,ac19_50543,YXYxyx,YYXXYxyXyyXyx,963,incumbent_restart,539
51017,ac19_51017,YYXXyx,YYYXXYxYXXX,992,incumbent_restart,1123
51065,ac19_51065,YXXyxYXXyxx,YYXXyxYXyXYxyX,993,incumbent_restart,942
51316,ac19_51316,YXyXXXyX,YYXXXyyxx,995,incumbent_restart,522
51356,ac19_51356,YYXXXYX,YYXyXXyxYx,959,incumbent_restart,1253
51394,ac19_51394,YXXYxxyX,YYYXXXXyxxYXX,985,incumbent_restart,1539
51651,ac19_51651,YYXXXyX,YYxyxxxyXXX,978,incumbent_restart,824
52080,ac19_52080,YXXYXXyx,YYYXXXyyX,956,incumbent_restart,403
52279,ac19_52279,YXXXXyxYx,YXXyxxxxyx,961,incumbent_restart,1811
52387,ac19_52387,YYXYXXXyX,YYYXXXyXyx,952,incumbent_restart,2252
52433,ac19_52433,YXXyxYx,YYXYXXyyxyx,982,incumbent_restart,692
52893,ac19_52893,YXXYxxyX,YYXXXXXYx,982,incumbent_restart,1529
52896,ac19_52896,YYXXXyX,YYYxyyXyx,985,incumbent_restart,671
52975,ac19_52975,YXyXYxx,YYYXXyyxYXyx,982,incumbent_restart,1112
53533,ac19_53533,YYXXYYXXX,YYXYxyXXYYXyX,950,incumbent_restart,982
53802,ac19_53802,YXXXXyXXXyX,YYxxyxYxxxyx,962,incumbent_restart,1409
54075,ac19_54075,YXXYXXyxx,YYxyxYXyXX,955,incumbent_restart,778
54273,ac19_54273,YXXyXyX,YYYxxxxyxxx,953,incumbent_restart,645
54299,ac19_54299,YYXYXXXyX,YYXyXYxyX,998,incumbent_restart,2319
54349,ac19_54349,YYXXyxxyX,YYxxyxYxyX,981,incumbent_restart,2260
55008,ac19_55008,YXXXyXyX,YYxxxYxyxyx,979,incumbent_restart,1432
55062,ac19_55062,YYXXXXyxxxx,YYXXXXYxxyxxx,974,incumbent_restart,1287
55069,ac19_55069,YXYXXYx,YYYxxyyXYXX,950,incumbent_restart,696
55987,ac19_55987,YYXXYx,YYYXYxxyXXYYX,959,incumbent_restart,921
56339,ac19_56339,YXXYxxyx,YXYxxyXyXyX,957,incumbent_restart,2915
56633,ac19_56633,YXYxyx,YYXXyxxxYxYxx,958,incumbent_restart,1474
56960,ac19_56960,YYXXyx,YXXyxxxxxyXyX,972,incumbent_restart,928
57294,ac19_57294,YYYXXyxxyyX,YYXXyxxxxxx,983,incumbent_restart,2732
57551,ac19_57551,YYXXXXXyX,YYxyXXXXXX,960,incumbent_restart,8491
57915,ac19_57915,YXXYxxyX,YYXXyyXYxYX,983,incumbent_restart,1549
58079,ac19_58079,YYYXXXyyxx,YYYYXYxyyyXXYYX,978,incumbent_restart,3039
58098,ac19_58098,YYXXXYXyX,YYXyXYxyXX,975,incumbent_restart,1090
58348,ac19_58348,YXXyXyX,YYYxxyXyxx,953,incumbent_restart,602
58411,ac19_58411,YYXXyx,YYXXXXYxxxYXX,992,incumbent_restart,1154
59157,ac19_59157,YXXXyXYx,YYXYxxyyXyx,952,incumbent_restart,769
60044,ac19_60044,YYXXyx,YYYXXXXYxYXyx,972,incumbent_restart,949
60633,ac19_60633,YYYXXXXyxyX,YYXXXXXXXXX,958,incumbent_restart,2559
60734,ac19_60734,YYXXyxx,YYYXYxYYXXYx,962,incumbent_restart,1284
60771,ac19_60771,YYXXYxYXyyx,YYxyXYYxyXYX,964,incumbent_restart,1373
61283,ac19_61283,YXYxyx,YYXYXyxxxYYxx,950,incumbent_restart,462
61852,ac19_61852,YXXyXyX,YYXyyxYxxx,958,incumbent_restart,600
61881,ac19_61881,YXYxYXXYx,YYXYYXYxyXyx,964,incumbent_restart,1530
62156,ac19_62156,YXXYxxyx,YYYxxyxyXYXyX,971,incumbent_restart,964
62507,ac19_62507,YXXYxxyX,YYYYXYXXyXX,963,incumbent_restart,721
62584,ac19_62584,YYXXyxx,YYxYxyXXX,979,incumbent_restart,4281
62676,ac19_62676,YYXXXXXyX,YYYXXXXXXyyX,956,incumbent_restart,8461
63266,ac19_63266,YXXyXYx,YYXXXYYXXXX,966,incumbent_restart,761
63744,ac19_63744,YYXXXYYxYXX,YYXYxyXyyxxYXX,974,incumbent_restart,1724
63938,ac19_63938,YYYXXXYXX,YYYYXXyyyx,953,incumbent_restart,1000
63971,ac19_63971,YXXyXyxx,YYYYxxyxx,970,incumbent_restart,1696
64009,ac19_64009,YXXXyXyX,YYxxyxYxxyX,983,incumbent_restart,946
64619,ac19_64619,YXXXXXyXyX,YYxxxxxxyxx,996,incumbent_restart,8598
64737,ac19_64737,YYXXyxx,YYxYxyxYXX,950,incumbent_restart,890
64749,ac19_64749,YXXXyXyX,YYXXyyxYxyx,986,incumbent_restart,1007
64878,ac19_64878,YYXYXXXYx,YYXyxyXyxx,954,incumbent_restart,3987
64902,ac19_64902,YXXyxYx,YYYYYXYXyx,966,incumbent_restart,2206
65219,ac19_65219,YXYXXXYXXXyxYx,YYxxxyxxxyXyXyX,960,incumbent_restart,2846
65392,ac19_65392,YYXXyxx,YYYXXYYxxxxYX,967,incumbent_restart,618
65415,ac19_65415,YXXyxYx,YYXXyxyXyyx,972,incumbent_restart,652
65496,ac19_65496,YXYxyx,YYYXyyxYxxx,961,incumbent_restart,442
65502,ac19_65502,YYXXXYXX,YYYXXYXXyyx,958,incumbent_restart,1875
65705,ac19_65705,YXyXYxx,YYXXyyxYxYX,980,incumbent_restart,1062
66001,ac19_66001,YXXYXXyX,YYXXXYXyXyX,956,incumbent_restart,851
66184,ac19_66184,YXXYXXyX,YYXXXyXYxyX,952,incumbent_restart,734
66208,ac19_66208,YYXXXXXyX,YXyXXYxyx,958,incumbent_restart,8486
66533,ac19_66533,YYXXXXYX,YYxyXXXYxyX,963,incumbent_restart,1621
66575,ac19_66575,YYXXXXyX,YXyxxyXYx,956,incumbent_restart,8745
66678,ac19_66678,YXYxyx,YYYXyXyxxxx,957,incumbent_restart,422
66732,ac19_66732,YXXYxxyX,YYYXXYXXyyx,952,incumbent_restart,1011
67077,ac19_67077,YYXXXXYX,YYXyxYXXXyx,961,incumbent_restart,1411
67798,ac19_67798,YXXyxYx,YYXYxyXYxyx,982,incumbent_restart,716
68535,ac19_68535,YXXXyXyX,YYYXyxxxxyx,998,incumbent_restart,925
68673,ac19_68673,YYXXXyX,YYYXXyXXyx,970,incumbent_restart,646
68854,ac19_68854,YXXXyXXyx,YYxyxxYXyx,955,incumbent_restart,3223
69378,ac19_69378,YXXyXyxx,YYxyxYXYx,973,incumbent_restart,4068
69661,ac19_69661,YXYXXXXYx,YYXXXYxxyXyx,976,incumbent_restart,1058
69883,ac19_69883,YYXXXYX,YXyXYxyXYx,973,incumbent_restart,1430
70485,ac19_70485,YYXXyxx,YYxxYXYxyX,956,incumbent_restart,863
70698,ac19_70698,YXYXXXXYx,YXyxxxyXyXYx,981,incumbent_restart,1053
70716,ac19_70716,YXyXYxx,YYYYXXyxxYX,965,incumbent_restart,9270
71218,ac19_71218,YXYXXYx,YXyXyXYxxyxx,996,incumbent_restart,1130
71329,ac19_71329,YYXYXXXyX,YXyXYXyXYx,966,incumbent_restart,1892
71593,ac19_71593,YXXyXyXyX,YYxxyxyxYX,963,incumbent_restart,1470
71901,ac19_71901,YYYXXXXYX,YYYxxyyXXX,983,incumbent_restart,2737
72113,ac19_72113,YXXYXXyxx,YYYXyXyxyxx,981,incumbent_restart,3906
72199,ac19_72199,YYXyxYXXXyx,YXXyXYxxxyXYxxxyX,973,incumbent_restart,1419
72241,ac19_72241,YXXyXyxx,YYYxxxyxxYX,972,incumbent_restart,3000
72387,ac19_72387,YXXyXyxx,YYxxYYxxxYX,958,incumbent_restart,2325
