index,name,r1,r2,cluster
17455,ac19_17455,YXXYxYxx,YYxyxxyXyXX,non_bs_mid_reduced
17550,ac19_17550,YYXyxxxyyx,YYXXXYXXyyx,non_bs_mid_reduced
17727,ac19_17727,YXYXXYx,YYXYXXyyxx,non_bs_short_reduced
18125,ac19_18125,YYXXYXYYXXX,YYYxyyxYXXyX,non_bs_long_reduced
18168,ac19_18168,YXYXXYx,YYxyXyxxxyXX,non_bs_mid_reduced
18221,ac19_18221,YYXXXYX,YYXYYxyXXyX,non_bs_short_reduced
18255,ac19_18255,YXXyXyx,YYXXyXYxxxyx,non_bs_mid_reduced
18375,ac19_18375,YXXYxxyX,YYXXyxxYXyX,non_bs_mid_reduced
18524,ac19_18524,YXXXYxxxyx,YYxYxxxyXXX,non_bs_mid_reduced
18718,ac19_18718,YYXXXXYX,YYXYxxyyXXX,non_bs_mid_reduced
18844,ac19_18844,YYXXXyX,YXyXXYxxxyx,non_bs_short_reduced
18936,ac19_18936,YYXXXXXyX,YXXXXXXyxxxxx,bs_stalled_lo
19026,ac19_19026,YYXXXyx,YXyxxxYXXyx,non_bs_short_reduced
19144,ac19_19144,YYXXYXXyX,YYxxyXXXX,non_bs_short_reduced
19168,ac19_19168,YYXXXYxx,YYYYYXYYX,non_bs_short_stuck
19674,ac19_19674,YXXyXyxx,YYxyXYxyx,non_bs_short_stuck
19700,ac19_19700,YXYxxyXyx,YYXXyXyyxx,non_bs_mid_stuck
19996,ac19_19996,YXXyXyX,YYYXXXyxyxyxx,non_bs_mid_reduced
20023,ac19_20023,YXYXXYx,YYXyyxxyXyx,non_bs_short_reduced
20270,ac19_20270,YYXXXYxx,YYYXXXyxyyxyx,non_bs_mid_reduced
20301,ac19_20301,YXyxYXXyx,YYXXyyXYXXYxyX,non_bs_long_reduced
20443,ac19_20443,YXXXYxYx,YYXyxYXyx,non_bs_short_stuck
20613,ac19_20613,YYXXyxx,YYYxxYxxYXXX,non_bs_mid_stuck
20653,ac19_20653,YXXyXyx,YYXyxYYxxyx,non_bs_short_reduced
20708,ac19_20708,YYXXXyX,YYXXyXyxx,non_bs_short_reduced
20858,ac19_20858,YXXYxxyx,YYxxYxYxyxyXX,non_bs_mid_reduced
21067,ac19_21067,YXXyXyx,YYXYxxYxyyx,non_bs_short_reduced
21098,ac19_21098,YXyxYXXyx,YYXXYXXyyX,non_bs_mid_reduced
21102,ac19_21102,YXXyXyx,YYYYxxyXyxyX,non_bs_mid_reduced
21215,ac19_21215,YXXXXYxxxxyx,YYYYxxxxyXYxx,non_bs_long_reduced
21293,ac19_21293,YXXYXXyx,YYxyXYXyX,non_bs_short_reduced
21522,ac19_21522,YXXXXXyXYx,YXXXyxYXXXX,non_bs_mid_reduced
21595,ac19_21595,YXYxyx,YYXXyxYxxYxYYxx,non_bs_mid_reduced
21855,ac19_21855,YXXXyxYx,YXYXyXYxYXX,non_bs_mid_reduced
21907,ac19_21907,YXXyXyx,YYXyxYXyxx,non_bs_short_reduced
22018,ac19_22018,YXXXyxYx,YYxyxyXyx,non_bs_short_reduced
22389,ac19_22389,YXXXyXYx,YYXXyXYXX,non_bs_short_reduced
22984,ac19_22984,YYXXyxx,YYXyXyxYXyx,non_bs_short_reduced
23080,ac19_23080,YYXXYxxyx,YYYYYxxYYx,non_bs_mid_reduced
23093,ac19_23093,YXyXYxx,YYYYYXXyxxx,non_bs_short_reduced
23233,ac19_23233,YYXXYXyyx,YYxyXXXYX,non_bs_short_reduced
23234,ac19_23234,YYXXYXyyxYXyx,YXyXYxyXYxYXX,non_bs_long_reduced
23409,ac19_23409,YXXXyXYx,YXyXYXXYxyx,non_bs_mid_reduced
23430,ac19_23430,YXYXXYx,YYYXXXyxx,non_bs_short_reduced
23763,ac19_23763,YYXXXyx,YYYxyxxyyXyx,non_bs_mid_reduced
23824,ac19_23824,YYXXXYxx,YYYXXyxxYYX,non_bs_mid_reduced
24058,ac19_24058,YXXyXyxx,YYYYxxxYx,non_bs_short_stuck
24097,ac19_24097,YXyxYXXyx,YYXyxYXyyxYxxx,non_bs_long_reduced
24135,ac19_24135,YXyxYXXyx,YYXYxyXYxyXXyX,non_bs_long_reduced
24328,ac19_24328,YYXXyxx,YYYYXyxYYX,non_bs_short_reduced
24447,ac19_24447,YXyxYXXyx,YYXyXXyxYXX,non_bs_mid_reduced
24481,ac19_24481,YYYXXXyxx,YYYXyxxYXX,non_bs_mid_reduced
24565,ac19_24565,YXXyXyx,YYXXXXyxxyx,non_bs_short_reduced
24622,ac19_24622,YYXXXyX,YYXYxyXyxyX,non_bs_short_reduced
24668,ac19_24668,YXXyXYx,YYxyxxxyXyXYX,non_bs_mid_reduced
25347,ac19_25347,YXXXyXXyx,YYXyxyXYxxxyX,non_bs_long_reduced
25941,ac19_25941,YYXXXyX,YXyXXYxxxyX,non_bs_short_reduced
25960,ac19_25960,YXXXYxx,YYYXYYXXyyxx,non_bs_mid_reduced
26073,ac19_26073,YXyxYXXyx,YYXXYxyXyX,non_bs_mid_reduced
26186,ac19_26186,YXyxYXXyx,YYXXyxyXXXyX,non_bs_mid_reduced
26438,ac19_26438,YXyxYXXyx,YYXXyxYXXyXyyX,non_bs_long_reduced
26498,ac19_26498,YYXXYYx,YYYXyXyxx,non_bs_short_stuck
26505,ac19_26505,YYXXXXYX,YYYYXyyXX,non_bs_short_reduced
26896,ac19_26896,YXXYxxyX,YYxYXXyyxyx,non_bs_mid_reduced
26921,ac19_26921,YYXXyxx,YYXXYYxYxxYXX,non_bs_mid_reduced
26942,ac19_26942,YXXyXyX,YYYxyXXyxyX,non_bs_short_reduced
27102,ac19_27102,YYXXXyx,YYYXXYXyxyyX,non_bs_mid_reduced
27114,ac19_27114,YYXXXyx,YYYxyyxyXXyx,non_bs_mid_reduced
27177,ac19_27177,YXXXyxYx,YYXXXyXYxYX,non_bs_mid_reduced
27178,ac19_27178,YXXYxxyx,YYXXyyxYxyx,non_bs_mid_reduced
27361,ac19_27361,YYYXXXYYXXX,YYXXyxxxyXyx,non_bs_long_reduced
27374,ac19_27374,YYXXyx,YYXYXXXXYxx,non_bs_short_reduced
27559,ac19_27559,YYYXXXYYx,YYYYxxyXXX,non_bs_mid_reduced
27623,ac19_27623,YXyXYxx,YYYYXyXyxxx,non_bs_short_reduced
28227,ac19_28227,YXyXYxx,YYYXyXXyxyxxx,non_bs_mid_reduced
28515,ac19_28515,YYXXyx,YXyXYXXXYxx,non_bs_short_reduced
28570,ac19_28570,YXXYxxyX,YYXXYYxYXXX,non_bs_mid_reduced
28816,ac19_28816,YYXXYXXyyx,YYxyXXYXXyX,non_bs_mid_reduced
28832,ac19_28832,YXyxYXXyx,YYXXyxYXXyyXYX,non_bs_long_reduced
28889,ac19_28889,YXYxxYxyx,YYxyxYYxyxYx,non_bs_mid_reduced
28956,ac19_28956,YYXXyxYxyx,YYxYXyXYxyx,non_bs_mid_reduced
29224,ac19_29224,YYXXyXyxyx,YYYXyXyxyyX,non_bs_mid_reduced
29491,ac19_29491,YYXXyxx,YYXyXXyxyx,non_bs_short_reduced
29624,ac19_29624,YXXyXyx,YYXXYxyXyyx,non_bs_short_reduced
29918,ac19_29918,YYXXyXyyx,YYYxYxxxYxyxx,non_bs_long_reduced
29936,ac19_29936,YYXXyxx,YXYXXyXyxxx,non_bs_short_reduced
30108,ac19_30108,YXXyXyx,YYXyxxYXyx,non_bs_short_reduced
30235,ac19_30235,YYXXXyxyx,YYXXXXXyX,non_bs_short_reduced
30256,ac19_30256,YXyxYXXyx,YYXyxyXXXyX,non_bs_mid_reduced
30382,ac19_30382,YXXyXyXX,YYxxxxxyx,non_bs_short_reduced
30814,ac19_30814,YXXYxxyX,YYXyXXYXXYx,non_bs_mid_reduced
30820,ac19_30820,YYYXXXYxx,YXXYxxxyX,non_bs_short_reduced
30890,ac19_30890,YXYxxYXyx,YYXyxYXyxYYx,non_bs_mid_reduced
31152,ac19_31152,YYXXyxx,YYXyXYxxYX,non_bs_short_reduced
31298,ac19_31298,YYXXYx,YYYXYYxYXyX,non_bs_short_stuck
31432,ac19_31432,YXXyXYxxx,YYYYYYxxyX,non_bs_mid_reduced
31470,ac19_31470,YYXXXXYX,YYXXXYXyyxx,non_bs_mid_reduced
31544,ac19_31544,YXYxYXXyx,YYXyyxYXyyx,non_bs_mid_stuck
31668,ac19_31668,YXyxYXXyx,YYXyyXXXXyx,non_bs_mid_reduced
31702,ac19_31702,YXXXyXYx,YYXyxxyyXYx,non_bs_mid_reduced
31704,ac19_31704,YYXXyxx,YYYYXXYYxxxxYX,non_bs_mid_reduced
32340,ac19_32340,YYXXYxxyyX,YYYXXXYYXXX,non_bs_mid_reduced
32559,ac19_32559,YXYxyx,YYXyXXyXyyXXyxx,non_bs_mid_reduced
32654,ac19_32654,YXyxYXXyx,YYYXyxxyXXX,non_bs_mid_reduced
33080,ac19_33080,YXYxxYXyxYXyx,YYxYXYxxYXyxyX,non_bs_long_reduced
33242,ac19_33242,YXXXyXYx,YYxxxyXYXXyXX,non_bs_mid_reduced
33405,ac19_33405,YXXXyXyxx,YYxyxYXyxx,non_bs_mid_reduced
33428,ac19_33428,YXXyXYx,YYXyXYXXX,non_bs_short_reduced
34019,ac19_34019,YXXXyxYx,YXYxxyXXX,non_bs_short_reduced
34916,ac19_34916,YYXXyxx,YXyxxxyXXyx,non_bs_short_reduced
35172,ac19_35172,YYXXXyX,YYXXyxyxx,non_bs_short_reduced
35223,ac19_35223,YXXXyXYx,YXyXYxyxxyx,non_bs_mid_reduced
35274,ac19_35274,YYXXyxx,YYYXXYYxxxYXX,non_bs_mid_reduced
35874,ac19_35874,YXXyXyX,YYYXyyyxx,non_bs_short_stuck
36109,ac19_36109,YXYxxYXyx,YYxxyXXyxYX,non_bs_mid_reduced
36146,ac19_36146,YXXYXXyx,YYxyxyXyx,non_bs_short_reduced
36259,ac19_36259,YYXXXyyxx,YYXyxxxyyx,non_bs_mid_reduced
36350,ac19_36350,YYXXXYxx,YYYYXXXyxyxYYYX,non_bs_long_reduced
36358,ac19_36358,YYXXXXYX,YYYXyyXYX,non_bs_short_reduced
36429,ac19_36429,YXXyXYx,YYxyxYxyXYXyXX,non_bs_mid_reduced
36962,ac19_36962,YXyxYXXyx,YYXyxyXXyX,non_bs_mid_reduced
37647,ac19_37647,YYXXXXYX,YYXyxYXyX,non_bs_short_reduced
37958,ac19_37958,YYXXXyx,YYYYXXXXXXX,non_bs_short_reduced
37966,ac19_37966,YYXXXXXXXyx,YXXXXXXyxxxxx,bs_stalled_lo
38316,ac19_38316,YYXXyxx,YYYxYxxYXXXX,non_bs_mid_stuck
38457,ac19_38457,YYXXXYx,YYXYYxYXXX,non_bs_short_reduced
38468,ac19_38468,YXyxYXXyx,YYXyyXXYXyxYX,non_bs_long_reduced
38497,ac19_38497,YXXXyxYx,YXXYxxyXX,non_bs_short_reduced
38695,ac19_38695,YXXyXyx,YYYxyXXyxyX,non_bs_short_reduced
38715,ac19_38715,YXyxYXXyx,YYXyxyxYxx,non_bs_mid_stuck
39209,ac19_39209,YXXYxYxx,YYXYxxYYx,non_bs_short_reduced
39319,ac19_39319,YXyXYxx,YYYYxYXXXyx,non_bs_short_reduced
39344,ac19_39344,YXXyXYx,YYXXXyxyxxx,non_bs_short_stuck
39368,ac19_39368,YXXYxYxxx,YYXXyXyyxx,non_bs_mid_reduced
39605,ac19_39605,YYXXyxx,YYYXYxyyX,non_bs_short_reduced
40258,ac19_40258,YXYXyxYXyx,YYXyxYXXYYxyXXX,non_bs_long_reduced
40312,ac19_40312,YXXXXyXyx,YXXYxxxyxx,non_bs_mid_reduced
40398,ac19_40398,YXXyXyx,YYxxyxYXYxxx,non_bs_mid_reduced
40684,ac19_40684,YXXyxYxYxxxyX,YYxYxxyxYYxxyx,non_bs_long_reduced
40826,ac19_40826,YYXXyXYXXyX,YYXyXYYXyXyX,non_bs_long_reduced
40945,ac19_40945,YXXyXyxx,YYYxxyXYxxx,non_bs_mid_reduced
40958,ac19_40958,YXXXXYxxxxyx,YXXXXyXXyxxxx,non_bs_long_reduced
41300,ac19_41300,YYXYxxyyX,YXyxxyXyx,non_bs_short_reduced
41600,ac19_41600,YXXXYxxxyx,YYxyXYxxxyX,non_bs_mid_reduced
41610,ac19_41610,YXXXYxx,YYxyXXYXyx,non_bs_short_reduced
42207,ac19_42207,YYXXYxxyx,YYxYXXYxyx,non_bs_mid_reduced
42326,ac19_42326,YXXyXYxxx,YYXyxYxYXYX,non_bs_mid_reduced
42333,ac19_42333,YYXXyxx,YYXXXyXyyxxx,non_bs_mid_reduced
42427,ac19_42427,YYXXyxxyX,YYxxyXXXXXX,non_bs_mid_reduced
42659,ac19_42659,YXYXXYx,YYXyxxyXyyx,non_bs_short_reduced
42715,ac19_42715,YXXXYxxxyX,YYxxxYXXXXX,non_bs_mid_reduced
42768,ac19_42768,YXXYxxyxx,YYXXyXyxxYxx,non_bs_mid_reduced
42792,ac19_42792,YYXyxxxxyyX,YYXyxxYXXXXXX,non_bs_long_reduced
43068,ac19_43068,YXXYxxyx,YYYxxYxyx,non_bs_short_reduced
43611,ac19_43611,YYXXXYx,YYxYxYXYXXXX,non_bs_mid_reduced
43615,ac19_43615,YXXYxxyx,YYxyXYxyxYxyX,non_bs_mid_reduced
43792,ac19_43792,YXXXyxYxx,YYXYxxxYXXX,non_bs_mid_reduced
43831,ac19_43831,YXyxYXXyx,YYXYxyyxxx,non_bs_mid_stuck
44079,ac19_44079,YXXXXyXXYx,YXYxxyXyxxyxx,non_bs_long_reduced
44381,ac19_44381,YXXYXXyxx,YXyXyxxxxx,non_bs_mid_reduced
44389,ac19_44389,YXXYxxyx,YXyXYXyxxYx,non_bs_mid_reduced
44391,ac19_44391,YYXXyyXyx,YYxxxYxyx,non_bs_short_reduced
44700,ac19_44700,YXyxYXXyx,YYYXyxyxxYXyx,non_bs_long_reduced
45056,ac19_45056,YXYXyXXYXyX,YYYXyXXYXYXyXyyx,non_bs_long_reduced
45173,ac19_45173,YXXYxxyx,YYxYxyxyX,non_bs_short_reduced
45473,ac19_45473,YXYXYx,YYYXyyyXyxYXXYYxYYx,non_bs_long_reduced
45978,ac19_45978,YXXYxxyxx,YYXXyxxYxxxxx,non_bs_long_reduced
46053,ac19_46053,YXXyXYx,YYXyXXyxYX,non_bs_short_reduced
46054,ac19_46054,YXXYxxyx,YYxxYxYxyXYxxyX,non_bs_long_reduced
46363,ac19_46363,YXXXyXyxxx,YYYXYxYxxxx,non_bs_mid_reduced
46365,ac19_46365,YXXyXyxx,YYYxxxYxyXX,non_bs_mid_reduced
46598,ac19_46598,YXXXXyXXYx,YYXXyXXYxxyXX,non_bs_long_reduced
46829,ac19_46829,YXXXXXXYx,YYXXXXXyxxx,non_bs_mid_reduced
46939,ac19_46939,YYXXXXX,YXYxYXyXXyx,non_bs_short_stuck
47154,ac19_47154,YXXyXyx,YYxyXYxxxyXX,non_bs_mid_reduced
47217,ac19_47217,YXyXYxx,YYXYXYYXYxx,non_bs_short_reduced
47251,ac19_47251,YYXXXXyx,YXyxxYXXXyx,non_bs_mid_reduced
47444,ac19_47444,YXXYxxyxx,YYXXyxyxYx,non_bs_mid_reduced
47465,ac19_47465,YYXyxYXXyx,YXXyxxYXXyxxx,non_bs_long_reduced
47828,ac19_47828,YXXYxYxx,YYXyyxxyX,non_bs_short_reduced
48281,ac19_48281,YYXXXyX,YYxyXXXyx,non_bs_short_reduced
48537,ac19_48537,YXXXyXYx,YYxxyxxyXyX,non_bs_mid_reduced
48645,ac19_48645,YYXXyxxyX,YYYXXyxyxx,non_bs_mid_reduced
48893,ac19_48893,YXXyXyx,YYXXYxxxyXyx,non_bs_mid_reduced
49095,ac19_49095,YYXXXYx,YYXyxYXYXyx,non_bs_short_reduced
49320,ac19_49320,YYXXXXYX,YXXXyXYxx,non_bs_short_reduced
49502,ac19_49502,YXXXyXYx,YYXXXXyXYXX,non_bs_mid_reduced
49526,ac19_49526,YYXXXYX,YYXYxxyXyX,non_bs_short_reduced
49604,ac19_49604,YXXyXyxx,YYxxxYXYxyx,non_bs_mid_reduced
49915,ac19_49915,YXYxxYXyx,YYxxyXyxYX,non_bs_mid_reduced
50080,ac19_50080,YXXyXyxx,YYYXXyxxyxx,non_bs_mid_reduced
50137,ac19_50137,YYXXYYx,YYXXyxyxxyX,non_bs_short_reduced
50480,ac19_50480,YXXyXyx,YYYYxxxxyyX,non_bs_short_reduced
50610,ac19_50610,YXYxxYXyxYXyx,YYxyXYxxYXyxYX,non_bs_long_reduced
50826,ac19_50826,YYXXyxx,YYYXYXYxxYYX,non_bs_mid_reduced
50841,ac19_50841,YXXyXyxx,YYYxxxYYx,non_bs_short_reduced
50848,ac19_50848,YYXXyXyyX,YXyxYXXyx,non_bs_short_reduced
50870,ac19_50870,YYXXXXyyXYX,YYXXXXYXXyyX,non_bs_long_reduced
50892,ac19_50892,YYXXXXyXX,YXXyXXYxxxxxxyX,non_bs_long_reduced
51039,ac19_51039,YXyxYXXyx,YYXXYXyxYXyyX,non_bs_long_reduced
51613,ac19_51613,YYXXyxx,YYXYYxxyXYX,non_bs_short_reduced
51878,ac19_51878,YYXXYx,YYYYYXXyxyyyx,non_bs_mid_reduced
51920,ac19_51920,YXyXYxx,YYYXXyyxxx,non_bs_short_reduced
51964,ac19_51964,YXXYxxyx,YYYxxYYxxyXYx,non_bs_mid_reduced
52290,ac19_52290,YYXYxYXXYx,YYxyXyxxYXX,non_bs_mid_reduced
52346,ac19_52346,YYXXyxx,YYxYXXYxYX,non_bs_short_reduced
52628,ac19_52628,YXyxYXXyx,YYXXyXYxyXyyX,non_bs_long_reduced
52757,ac19_52757,YYXXYxyxx,YXXYxxxYx,non_bs_short_reduced
52915,ac19_52915,YXXXyxYx,YYxYXYXXXYX,non_bs_mid_reduced
52981,ac19_52981,YXyxYXXyx,YYYXyxyXXX,non_bs_mid_stuck
52998,ac19_52998,YXXXyxYx,YYXXYXXXXYx,non_bs_mid_reduced
53283,ac19_53283,YYXXXYx,YYYXXXyxyx,non_bs_short_reduced
53527,ac19_53527,YYXXXXXyX,YXXyXYxxxxxyX,non_bs_long_reduced
53980,ac19_53980,YXyXYxx,YYYXXXyxYYx,non_bs_short_reduced
54212,ac19_54212,YYXXYYx,YYXXyxYxYX,non_bs_short_reduced
54514,ac19_54514,YXYXyXXYXyX,YYYXyXXyxYxyxyx,non_bs_long_reduced
54599,ac19_54599,YXyxYXXyx,YYXyxYXyyXXXyX,non_bs_long_reduced
54616,ac19_54616,YYXYYXXXyX,YYXYXXXYYXXXX,non_bs_long_reduced
54765,ac19_54765,YYXXXYx,YYYYXXYXYYYXX,non_bs_mid_reduced
54835,ac19_54835,YYXXYx,YYYXYxxyXyX,non_bs_short_stuck
55019,ac19_55019,YXXXXyxYx,YXXYXXyXYxYXXX,non_bs_long_reduced
55092,ac19_55092,YYXXyxYXXyxx,YYXXyxxYXXYXXyx,non_bs_long_reduced
55212,ac19_55212,YXXyXyx,YYYxxyxyXX,non_bs_short_reduced
55526,ac19_55526,YXXXYxxxyX,YYXXYYxYXXX,non_bs_mid_reduced
56259,ac19_56259,YXyxYXXyx,YYXXYXyXyX,non_bs_mid_reduced
56332,ac19_56332,YYXyXYxyX,YYXXXYXyx,non_bs_short_reduced
56581,ac19_56581,YXYXXYx,YYXyyXYxxYX,non_bs_short_reduced
56692,ac19_56692,YXXXyXyx,YYxyXYxyx,non_bs_short_reduced
56897,ac19_56897,YYXXXyxxx,YYXXXYxYXYxx,non_bs_mid_reduced
56970,ac19_56970,YYXXyxx,YYYYXXYxYYxYx,non_bs_mid_reduced
57064,ac19_57064,YXXyXyx,YYYXyxxyyXYx,non_bs_mid_reduced
57068,ac19_57068,YYXXYYx,YYYXyyxyXYx,non_bs_short_reduced
57192,ac19_57192,YXXyxYXXyxx,YYXXyxYXyXYXyX,non_bs_long_reduced
57273,ac19_57273,YXyxYXXyx,YYYXXXXyyX,non_bs_mid_stuck
57570,ac19_57570,YXyxYXXyx,YYXYXXyXyX,non_bs_mid_reduced
57622,ac19_57622,YYXXXXYX,YYYYXXyyX,non_bs_short_reduced
57862,ac19_57862,YYXXXYX,YYYXXYXXyyx,non_bs_short_reduced
57917,ac19_57917,YXXYxxyx,YYYxxYxxyXXYx,non_bs_mid_reduced
