ABaBAbaBBabAb,BAbbABabaBBa  -> INV 
bAbbbAbAA,AbbbbAA           -> CONJ BXb
AbbbAbAAb,AbbbbAA           -> INV 
BaaBaBBBa,AbbbbAA           -> MULT-L 
BaaBabAA,AbbbbAA            -> CONJ bXB
aaBabAAB,AbbbbAA            -> CONJ AXa
aBabAABa,AbbbbAA            -> MULT-L 
aBabAAbbbAA,AbbbbAA         -> CONJ AXa
BabAAbbbA,AbbbbAA           -> CONJ bXB
abAAbbbAB,AbbbbAA           -> CONJ AXa
bAAbbbABa,AbbbbAA           -> CONJ BXb
AAbbbABab,AbbbbAA           -> CONJ aXA
AbbbABabA,AbbbbAA           -> INV 
aBAbaBBBa,AbbbbAA           -> MULT-L 
aBAbabAA,AbbbbAA            -> CONJ AXa
BAbabA,AbbbbAA              -> CONJ AXa
ABAbab,AbbbbAA              -> CONJ bXB
bABAba,AbbbbAA              -> CONJ aXA
abABAb,AbbbbAA              -> MULT-L 
abABAbAbbbbAA,AbbbbAA       -> INV 
aaBBBBaBabaBA,AbbbbAA       -> MULT-R 
aaBBBBaBabaBA,BabaBA        -> INV 
abABAbAbbbbAA,BabaBA        -> CONJ AXa
bABAbAbbbbA,BabaBA          -> CONJ BXb
ABAbAbbbbAb,BabaBA          -> CONJ aXA
BAbAbbbbAbA,BabaBA          -> CONJ bXB
AbAbbbbAbAB,BabaBA          -> CONJ aXA
bAbbbbAbABA,BabaBA          -> CONJ BXb
AbbbbAbABAb,BabaBA          -> MULT-L 
AbbbbAA,BabaBA ??           -> CONJ aXA        
bbbbAAA,BabaBA              -> CONJ BXb
bbbAAAb,BabaBA              -> MULT-L 
bbbAAbaBA,BabaBA            -> CONJ AXa
AbbbAAbaB,BabaBA            -> CONJ BXb
BAbbbAAba,BabaBA            -> CONJ aXA
aBAbbbAAb,BabaBA            -> MULT-L 
aBAbbbAbaBA,BabaBA          -> CONJ AXa
BAbbbAbaB,BabaBA            -> CONJ BXb
BBAbbbAba,BabaBA            -> CONJ aXA
aBBAbbbAb,BabaBA            -> MULT-L 
aBBAbbbbaBA,BabaBA          -> CONJ AXa
BBAbbbbaB,BabaBA            -> CONJ bXB
BAbbbbaBB,BabaBA            -> CONJ bXB
AbbbbaBBB,BabaBA            -> CONJ aXA
bbbbaBBBA,BabaBA            -> CONJ BXb         
bbbaBBBAb,BabaBA            -> MULT-L 
bbbaBBaBA,BabaBA            -> CONJ BXb
bbaBBaBAb,BabaBA            -> MULT-L 
bbaBBaaBA,BabaBA            -> CONJ BXb
baBBaaBAb,BabaBA            -> MULT-L 
baBBaaaBA,BabaBA            -> CONJ BXb
aBBaaaBAb,BabaBA            -> MULT-L 
aBBaaaaBA,BabaBA            -> CONJ AXa
BBaaaaB,BabaBA              -> CONJ bXB
BaaaaBB,BabaBA              -> INV 
bbAAAAb,BabaBA              -> MULT-L 
bbAAAbaBA,BabaBA            -> INV 
abABaaaBB,BabaBA            -> MULT-R 
abABaaaBB,BaaaaBB           -> CONJ AXa
bABaaaBBa,BaaaaBB           -> CONJ BXb          
ABaaaBBab,BaaaaBB           -> CONJ aXA
BaaaBBabA,BaaaaBB           -> INV 
aBAbbAAAb,BaaaaBB           -> MULT-L 
aBAbbaBB,BaaaaBB            -> CONJ BXb
BaBAbbaB,BaaaaBB            -> CONJ BXb
BBaBAbba,BaaaaBB            -> CONJ aXA
aBBaBAbb,BaaaaBB            -> CONJ bXB
baBBaBAb,BaaaaBB            -> MULT-L 
baBBaBaaaBB,BaaaaBB         -> CONJ BXb
aBBaBaaaB,BaaaaBB           -> CONJ AXa
BBaBaaaBa,BaaaaBB           -> CONJ bXB
BaBaaaBaB,BaaaaBB           -> CONJ bXB 
aBaaaBaBB,BaaaaBB           -> CONJ AXa
BaaaBaBBa,BaaaaBB           -> INV 
AbbAbAAAb,BaaaaBB           -> MULT-L 
AbbAbaBB,BaaaaBB            -> CONJ aXA
bbAbaBBA,BaaaaBB            -> CONJ BXb
bAbaBBAb,BaaaaBB            -> MULT-L 
bAbaBBaaaBB,BaaaaBB         -> CONJ BXb
AbaBBaaaB,BaaaaBB           -> CONJ aXA
baBBaaaBA,BaaaaBB           -> CONJ BXb
aBBaaaBAb,BaaaaBB           -> CONJ AXa
BBaaaBAba,BaaaaBB           -> CONJ bXB
BaaaBAbaB,BaaaaBB           -> INV 
bABabAAAb,BaaaaBB           -> MULT-L 
bABabaBB,BaaaaBB            -> CONJ BXb
ABabaB,BaaaaBB              -> CONJ aXA
BabaBA,BaaaaBB              -> CONJ bXB
abaBAB,BaaaaBB              -> INV 
babABA,BaaaaBB              -> MULT-L 
babABABaaaaBB,BaaaaBB       -> INV 
bbAAAAbabaBAB,BaaaaBB       -> MULT-R
bbAAAAbabaBAB,abaBAB        -> INV 
babABABaaaaBB,abaBAB        -> CONJ BXb
abABABaaaaB,abaBAB          -> CONJ AXa
bABABaaaaBa,abaBAB          -> CONJ BXb
ABABaaaaBab,abaBAB          -> CONJ aXA
BABaaaaBabA,abaBAB          -> CONJ bXB
ABaaaaBabAB,abaBAB          -> CONJ aXA
BaaaaBabABA,abaBAB          -> MULT-L 
BaaaaBB,abaBAB              -> CONJ bXB
aaaaBBB,abaBAB              -> INV 
bbbAAAA,abaBAB              -> MULT-L 
bbbAAAbaBAB,abaBAB          -> INV 
babABaaaBBB,abaBAB          -> CONJ BXb
abABaaaBB,abaBAB            -> INV 
bbAAAbaBA,abaBAB            -> MULT-L 
bbAAAbaaBAB,abaBAB          -> INV 
babAABaaaBB,abaBAB          -> CONJ BXb
abAABaaaB,abaBAB            -> INV 
bAAAbaaBA,abaBAB            -> MULT-L 
bAAAbaaaBAB,abaBAB          -> INV 
babAAABaaaB,abaBAB          -> CONJ BXb
abAAABaaa,abaBAB            -> INV 
AAAbaaaBA,abaBAB            -> MULT-L 
AAAbaaaaBAB,abaBAB          -> INV 
babAAAABaaa,abaBAB          -> CONJ aXA
ababAAAABaa,abaBAB          -> INV 
AAbaaaaBABA,abaBAB          -> MULT-L 
AAbaaaaBBAB,abaBAB          -> INV 
babbAAAABaa,abaBAB          -> CONJ aXA
ababbAAAABa,abaBAB          -> INV 
AbaaaaBBABA,abaBAB          -> MULT-L 
AbaaaaBBBAB,abaBAB          -> INV 
babbbAAAABa,abaBAB          -> CONJ aXA
ababbbAAAAB,abaBAB          -> INV 
baaaaBBBABA,abaBAB          -> MULT-L 
baaaaBBBBAB,abaBAB          -> INV 
babbbbAAAAB,abaBAB          -> CONJ BXb
abbbbAAAA,abaBAB            -> CONJ AXa
bbbbAAA,abaBAB              -> INV 
aaaBBBB,abaBAB
