TABLE A - SOLVED: 113 distinct Aut(F2) orbits over the 640 trivial cells,,,,,,,,,TABLE B - UNSOLVED: 124 ACA classes over the 550 unsolved cells
aut_id,rep_r1,rep_r2,rep_len,n_cells,ms_r1,ms_r2,cells,,aca_id,r1,r2,rep_r1,rep_r2,rep_len,n_reps,n_cells,reps
sol_010,YXXyx,YYYYYXyyyyx,16,14,YXXyx,YYYYYXyyyyx,XYxy@4 YxyXY@4 YxyXYY@4 YxyXYYY@4 yXYxy@4 yxYX@4 yxYXY@4 yxYXYY@4 yxYXYYY@4 yxYXy@4 yxYXyy@4 yxYXyyy@4 yyXYxy@4 yyyXYxy@4,,aca_10,YXXXyxx,YYXYXyyX,YXXXyxx,YYXYXyyX,15,2,6,15_3 15_9
sol_011,YXXyx,YYYYYYXyyyyyx,18,14,YXXyx,YYYYYYXyyyyyx,XYxy@5 YxyXY@5 YxyXYY@5 YxyXYYY@5 yXYxy@5 yxYX@5 yxYXY@5 yxYXYY@5 yxYXYYY@5 yxYXy@5 yxYXyy@5 yxYXyyy@5 yyXYxy@5 yyyXYxy@5,,aca_11,YXXXyxx,YYYXyxyx,YXXXyxx,YYYXyxyx,15,2,4,15_4 15_7
sol_012,YXXyx,YYYYYYYXyyyyyyx,20,14,YXXyx,YYYYYYYXyyyyyyx,XYxy@6 YxyXY@6 YxyXYY@6 YxyXYYY@6 yXYxy@6 yxYX@6 yxYXY@6 yxYXYY@6 yxYXYYY@6 yxYXy@6 yxYXyy@6 yxYXyyy@6 yyXYxy@6 yyyXYxy@6,,aca_12,YXXXyxx,YYXYxyyX,YXXXyxx,YYXYxyyX,15,2,4,15_5 15_8
sol_013,YXXyx,YYYYYYYYXyyyyyyyx,22,14,YXXyx,YYYYYYYYXyyyyyyyx,XYxy@7 YxyXY@7 YxyXYY@7 YxyXYYY@7 yXYxy@7 yxYX@7 yxYXY@7 yxYXYY@7 yxYXYYY@7 yxYXy@7 yxYXyy@7 yxYXyyy@7 yyXYxy@7 yyyXYxy@7,,aca_13,YYXXYYx,YXXXyxxYx,YYXXYYx,YXXXyxxYx,16,2,8,16_4 16_5
sol_014,YYXyX,YXXyx,10,14,YYXyx,YXXYx,XYxY@1 YxYXY@1 YxYXYY@1 YxYXYYY@1 yXYxY@1 yxyX@1 yxyXY@1 yxyXYY@1 yxyXYYY@1 yxyXy@1 yxyXyy@1 yxyXyyy@1 yyXYxY@1 yyyXYxY@1,,aca_14,YXXyXyx,YYYXyyxx,YXXyXyx,YYYXyyxx,15,2,12,16_7 16_8
sol_015,YYXyx,YXXyx,10,14,YYXyx,YXXyx,XYxy@1 YxyXY@1 YxyXYY@1 YxyXYYY@1 yXYxy@1 yxYX@1 yxYXY@1 yxYXYY@1 yxYXYYY@1 yxYXy@1 yxYXyy@1 yxYXyyy@1 yyXYxy@1 yyyXYxy@1,,aca_15,YXXyXyxx,YYYYxyyyX,YXXyXyxx,YYYYxyyyX,17,2,2,17_10 17_18
sol_016,YXXyx,YYXXyX,11,10,YYXyx,YYXXYx,XYxYY@1 YxYYXY@1 YxYYXYY@1 yXYxYY@1 yxyyX@1 yxyyXY@1 yxyyXYY@1 yxyyXy@1 yxyyXyy@1 yyXYxYY@1,,aca_16,YYXXXyxx,YXyxxyXYx,YYXXXyxx,YXyxxyXYx,17,2,2,17_11 17_20
sol_017,YXXyx,YYXXyx,11,10,YYXyx,YYXXyx,XYxyy@1 YxyyXY@1 YxyyXYY@1 yXYxyy@1 yxYYX@1 yxYYXY@1 yxYYXYY@1 yxYYXy@1 yxYYXyy@1 yyXYxyy@1,,aca_17,YXXXYxYx,YYYYXyyyx,YXXXYxYx,YYYYXyyyx,17,2,2,17_12 17_25
sol_018,YXXyx,YYXyXX,11,10,YYXyx,YYxYXX,XYYxY@1 YXYYxY@1 YYxYXYY@1 yXYYxY@1 yyXYYxY@1 yyxyX@1 yyxyXY@1 yyxyXYY@1 yyxyXy@1 yyxyXyy@1,,aca_18,YXXXyxYx,YYYYxyyyX,YXXXyxYx,YYYYxyyyX,17,2,2,17_13 17_24
sol_019,YXXyx,YYXyxx,11,10,YYXyx,YYxxyX,XYYxy@1 YXYYxy@1 YYxyXYY@1 yXYYxy@1 yyXYYxy@1 yyxYX@1 yyxYXY@1 yyxYXYY@1 yyxYXy@1 yyxYXyy@1,,aca_19,YXyXYxxx,YYYYXyyyx,YXyXYxxx,YYYYXyyyx,17,2,2,17_14 17_23
sol_020,YYXXYx,YYYXyyx,13,10,YYXXYx,YYYXyyx,XYxYY@2 YxYYXY@2 YxYYXYY@2 yXYxYY@2 yxyyX@2 yxyyXY@2 yxyyXYY@2 yxyyXy@2 yxyyXyy@2 yyXYxYY@2,,aca_20,YXXXyxYx,YYYYXyyyx,YXXXyxYx,YYYYXyyyx,17,2,2,17_15 17_22
sol_021,YYXXYx,YYYYXyyyx,15,10,YYXXYx,YYYYXyyyx,XYxYY@3 YxYYXY@3 YxYYXYY@3 yXYxYY@3 yxyyX@3 yxyyXY@3 yxyyXYY@3 yxyyXy@3 yxyyXyy@3 yyXYxYY@3,,aca_21,YXXYxxyX,YYYYxyyyX,YXXYxxyX,YYYYxyyyX,17,2,4,17_16 17_9
sol_022,YYXXYx,YYYYYxyyyyX,17,10,YYxYXX,YYYYYXyyyyx,XYYxY@4 YXYYxY@4 YYxYXYY@4 yXYYxY@4 yyXYYxY@4 yyxyX@4 yyxyXY@4 yyxyXYY@4 yyxyXy@4 yyxyXyy@4,,aca_22,YXXYxxyx,YYYYxyyyX,YXXYxxyx,YYYYxyyyX,17,2,4,17_17 17_5
sol_023,YYXXYx,YYYYxyyyX,15,10,YYxYXX,YYYYXyyyx,XYYxY@3 YXYYxY@3 YYxYXYY@3 yXYYxY@3 yyXYYxY@3 yyxyX@3 yyxyXY@3 yyxyXYY@3 yyxyXy@3 yyxyXyy@3,,aca_23,YXXYxxyx,YYYYXyyyx,YXXYxxyx,YYYYXyyyx,17,2,2,17_19 17_6
sol_024,YYXXYx,YYYxyyX,13,10,YYxYXX,YYYXyyx,XYYxY@2 YXYYxY@2 YYxYXYY@2 yXYYxY@2 yyXYYxY@2 yyxyX@2 yyxyXY@2 yyxyXYY@2 yyxyXy@2 yyxyXyy@2,,aca_24,YYXXXYxx,YYYXXYXYx,YYXXXYxx,YYYXXYXYx,17,2,2,17_2 17_21
sol_025,YYXXyx,YXXXXXXyxxxxx,19,10,YYXXyx,YYYYYYXyyyyyx,XYxyy@5 YxyyXY@5 YxyyXYY@5 yXYxyy@5 yxYYX@5 yxYYXY@5 yxYYXYY@5 yxYYXy@5 yxYYXyy@5 yyXYxyy@5,,aca_25,YXXYxxyX,YYYYXyyyx,YXXYxxyX,YYYYXyyyx,17,2,2,17_26 17_7
sol_026,YYXXyx,YXXXXyxxx,15,10,YYXXyx,YYYYXyyyx,XYxyy@3 YxyyXY@3 YxyyXYY@3 yXYxyy@3 yxYYX@3 yxYYXY@3 yxYYXYY@3 yxYYXy@3 yxYYXyy@3 yyXYxyy@3,,aca_26,YXXYxYxx,YYYYxyyyX,YXXYxYxx,YYYYxyyyX,17,2,2,17_27 17_3
sol_027,YYXXyx,YXXXXyxxxxx,17,10,YYxxyX,YYYYYXyyyyx,XYYxy@4 YXYYxy@4 YYxyXYY@4 yXYYxy@4 yyXYYxy@4 yyxYX@4 yyxYXY@4 yyxYXYY@4 yyxYXy@4 yyxYXyy@4,,aca_27,YXXyXyxx,YYYYXyyyx,YXXyXyxx,YYYYXyyyx,17,2,2,17_28 17_8
sol_028,YYXXyx,YXXXyxx,13,10,YYXXyx,YYYXyyx,XYxyy@2 YxyyXY@2 YxyyXYY@2 yXYxyy@2 yxYYX@2 yxYYXY@2 yxYYXYY@2 yxYYXy@2 yxYYXyy@2 yyXYxyy@2,,aca_28,YXXYxYxx,YYYYXyyyx,YXXYxYxx,YYYYXyyyx,17,2,2,17_29 17_4
sol_029,YYXXyx,YXXyxxx,13,10,YYxxyX,YYYXyyx,XYYxy@2 YXYYxy@2 YYxyXYY@2 yXYYxy@2 yyXYYxy@2 yyxYX@2 yyxYXY@2 yyxYXYY@2 yyxYXy@2 yyxYXyy@2,,aca_29,YYXXXyx,YYxxyxyXyX,YYXXXyx,YYxxyxyXyX,17,2,16,17_30 17_33
sol_030,YXXyx,YYXXXyX,12,6,YYXyx,YYYXXYx,XYxYYY@1 YxYYYXY@1 yXYxYYY@1 yxyyyX@1 yxyyyXY@1 yxyyyXy@1,,aca_30,YYXXyx,YYYYYxyXXyX,YYXXyx,YYYYYxyXXyX,17,2,16,17_31 17_32
sol_031,YXXyx,YYXXXyx,12,6,YYXyx,YYYXXyx,XYxyyy@1 YxyyyXY@1 yXYxyyy@1 yxYYYX@1 yxYYYXY@1 yxYYYXy@1,,aca_31,YYXXyxx,YYYYYXyXyx,YYXXyxx,YYYYYXyXyx,17,2,10,17_34 17_36
sol_032,YXXyx,YYXXyXX,12,6,YYXyx,YYXXYYx,XYYxYY@1 YXYYxYY@1 yXYYxYY@1 yyxyyX@1 yyxyyXY@1 yyxyyXy@1,,aca_32,YXXYxxyx,YYYYXyxyx,YXXYxxyx,YYYYXyxyx,17,2,8,17_37 17_40
sol_033,YXXyx,YYXXyxx,12,6,YYXyx,YYXXyyx,XYYxyy@1 YXYYxyy@1 yXYYxyy@1 yyxYYX@1 yyxYYXY@1 yyxYYXy@1,,aca_33,YXXXyxYx,YYXyXyxyx,YXXXyxYx,YYXyXyxyx,17,2,8,17_38 17_39
sol_034,YXXyx,YYXyXXX,12,6,YYXyx,YYYxYXX,XYYYxY@1 YXYYYxY@1 yXYYYxY@1 yyyxyX@1 yyyxyXY@1 yyyxyXy@1,,aca_34,YXXXYxx,YYYYYXyyyyx,YXXXYxx,YYYYYXyyyyx,18,2,2,18_1 18_3
sol_035,YXXyx,YYXyxxx,12,6,YYXyx,YYYxxyX,XYYYxy@1 YXYYYxy@1 yXYYYxy@1 yyyxYX@1 yyyxYXY@1 yyyxYXy@1,,aca_35,YYXXXyx,YYYxxyxyXyX,YYXXXyx,YYYxxyxyXyX,18,2,6,18_10 18_8
sol_036,YYXXXyX,YXXXXXXyxxxxx,20,6,YYYXXYx,YYYYYYXyyyyyx,XYxYYY@5 YxYYYXY@5 yXYxYYY@5 yxyyyX@5 yxyyyXY@5 yxyyyXy@5,,aca_36,YYXYYXXyX,YYXyxYXXX,YYXYYXXyX,YYXyxYXXX,18,2,2,18_4 18_5
sol_037,YYXXXyX,YXXXXXXyxxxxxxx,22,6,YYYxYXX,YYYYYYYXyyyyyyx,XYYYxY@6 YXYYYxY@6 yXYYYxY@6 yyyxyX@6 yyyxyXY@6 yyyxyXy@6,,aca_37,YYXXXYxx,YYYYYXyyyyx,YYXXXYxx,YYYYYXyyyyx,19,2,2,19_1 19_22
sol_038,YYXXXyX,YXXXXyxxx,16,6,YYYXXYx,YYYYXyyyx,XYxYYY@3 YxYYYXY@3 yXYxYYY@3 yxyyyX@3 yxyyyXY@3 yxyyyXy@3,,aca_38,YYXXXyxx,YYYYYXyyyyx,YYXXXyxx,YYYYYXyyyyx,19,2,2,19_10 19_21
sol_039,YYXXXyX,YXXXXyxxxxx,18,6,YYYxYXX,YYYYYXyyyyx,XYYYxY@4 YXYYYxY@4 yXYYYxY@4 yyyxyX@4 yyyxyXY@4 yyyxyXy@4,,aca_39,YXXXYxYx,YYYYYXyyyyx,YXXXYxYx,YYYYYXyyyyx,19,2,2,19_11 19_26
sol_040,YYXXXyX,YXXXyxx,14,6,YYYXYxx,YYYXyyx,XYxYYY@2 YxYYYXY@2 yXYxYYY@2 yxyyyX@2 yxyyyXY@2 yxyyyXy@2,,aca_40,YXXXyxYx,YYYYYxyyyyX,YXXXyxYx,YYYYYxyyyyX,19,2,2,19_12 19_25
sol_041,YYXXXyX,YXXXyxxxx,16,6,YYYxYXX,YYYYXyyyx,XYYYxY@3 YXYYYxY@3 yXYYYxY@3 yyyxyX@3 yyyxyXY@3 yyyxyXy@3,,aca_41,YXyXYxxx,YYYYYXyyyyx,YXyXYxxx,YYYYYXyyyyx,19,2,2,19_13 19_24
sol_042,YYXXXyX,YXXyxxx,14,6,YYYXyyx,YYYxYXX,XYYYxY@2 YXYYYxY@2 yXYYYxY@2 yyyxyX@2 yyyxyXY@2 yyyxyXy@2,,aca_42,YXXXyxYx,YYYYYXyyyyx,YXXXyxYx,YYYYYXyyyyx,19,2,2,19_14 19_23
sol_043,YYXXXyx,YXXXXXXyxxxxx,20,6,YYYXXyx,YYYYYYXyyyyyx,XYxyyy@5 YxyyyXY@5 yXYxyyy@5 yxYYYX@5 yxYYYXY@5 yxYYYXy@5,,aca_43,YXXYxYxxx,YYXyyXXyxx,YXXYxYxxx,YYXyyXXyxx,19,2,2,19_15 19_28
sol_044,YYXXXyx,YXXXXXXyxxxxxxx,22,6,YYYxxyX,YYYYYYYXyyyyyyx,XYYYxy@6 YXYYYxy@6 yXYYYxy@6 yyyxYX@6 yyyxYXY@6 yyyxYXy@6,,aca_44,YYXXXyxx,YYYYYXXyXyx,YYXXXyxx,YYYYYXXyXyx,19,2,2,19_16 19_27
sol_045,YYXXXyx,YXXXyxx,14,6,YYYXyyx,YYYXXyx,XYxyyy@2 YxyyyXY@2 yXYxyyy@2 yxYYYX@2 yxYYYXY@2 yxYYYXy@2,,aca_45,YXXyXYxxx,YYYYXXXYxx,YXXyXYxxx,YYYYXXXYxx,19,2,2,19_17 19_9
sol_046,YYXXXyx,YXXXyxxxx,16,6,YYYxxyX,YYYYXyyyx,XYYYxy@3 YXYYYxy@3 yXYYYxy@3 yyyxYX@3 yyyxYXY@3 yyyxYXy@3,,aca_46,YXXYxxyx,YYYYYXyyyyx,YXXYxxyx,YYYYYXyyyyx,19,2,2,19_18 19_5
sol_047,YYXXXyx,YXXyxxx,14,6,YYYXyyx,YYYxxyX,XYYYxy@2 YXYYYxy@2 yXYYYxy@2 yyyxYX@2 yyyxYXY@2 yyyxYXy@2,,aca_47,YXXYxxyX,YYYYYxyyyyX,YXXYxxyX,YYYYYxyyyyX,19,2,2,19_19 19_8
sol_048,YYXXYYx,YYYYXyyyx,16,6,YYXXYYx,YYYYXyyyx,XYYxYY@3 YXYYxYY@3 yXYYxYY@3 yyxyyX@3 yyxyyXY@3 yyxyyXy@3,,aca_48,YXXXyxYxx,YYYYXXyxxx,YXXXyxYxx,YYYYXXyxxx,19,2,2,19_2 19_30
sol_049,YYXXYYx,YYYYYXyyyyx,18,6,YYXXYYx,YYYYYXyyyyx,XYYxYY@4 YXYYxYY@4 yXYYxYY@4 yyxyyX@4 yyxyyXY@4 yyxyyXy@4,,aca_49,YXXYxxyx,YYYYYxyyyyX,YXXYxxyx,YYYYYxyyyyX,19,2,2,19_20 19_4
sol_050,YYXXyXX,YXXXyxx,14,6,YYYXyyx,YYXXYYx,XYYxYY@2 YXYYxYY@2 yXYYxYY@2 yyxyyX@2 yyxyyXY@2 yyxyyXy@2,,aca_50,YXXYxxyX,YYYYYXyyyyx,YXXYxxyX,YYYYYXyyyyx,19,2,2,19_29 19_6
sol_051,YYXXyxx,YXXXXXXXXyxxxxxxx,24,6,YYXXyyx,YYYYYYYYXyyyyyyyx,XYYxyy@7 YXYYxyy@7 yXYYxyy@7 yyxYYX@7 yyxYYXY@7 yyxYYXy@7,,aca_51,YXXYxYxx,YYYYYXyyyyx,YXXYxYxx,YYYYYXyyyyx,19,2,2,19_3 19_32
sol_052,YYXXyxx,YXXXXXXXyxxxxxx,22,6,YYXXyyx,YYYYYYYXyyyyyyx,XYYxyy@6 YXYYxyy@6 yXYYxyy@6 yyxYYX@6 yyxYYXY@6 yyxYYXy@6,,aca_52,YXXyXyxx,YYYYYXyyyyx,YXXyXyxx,YYYYYXyyyyx,19,2,2,19_31 19_7
sol_053,YYXXyxx,YXXXXXXyxxxxx,20,6,YYXXyyx,YYYYYYXyyyyyx,XYYxyy@5 YXYYxyy@5 yXYYxyy@5 yyxYYX@5 yyxYYXY@5 yyxYYXy@5,,aca_53,YXXyxYx,YYXyyXyxyxx,YXXyxYx,YYXyyXyxyxx,18,2,10,19_33 19_34
sol_054,YYXXyxx,YXXXXXyxxxx,18,6,YYXXyyx,YYYYYXyyyyx,XYYxyy@4 YXYYxyy@4 yXYYxyy@4 yyxYYX@4 yyxYYXY@4 yyxYYXy@4,,aca_54,YYXXXXyxx,YYxxyXXXXX,YYXXXXyxx,YYxxyXXXXX,19,2,6,19_35 19_36
sol_055,YYXXyxx,YXXXXyxxx,16,6,YYXXyyx,YYYYXyyyx,XYYxyy@3 YXYYxyy@3 yXYYxyy@3 yyxYYX@3 yyxYYXY@3 yyxYYXy@3,,aca_55,YXXXyXYx,YYxyxYXXyyX,YXXXyXYx,YYxyxYXXyyX,19,2,6,19_39 19_41
sol_056,YYXXyxx,YXXXyxx,14,6,YYYXyyx,YYXXyyx,XYYxyy@2 YXYYxyy@2 yXYYxyy@2 yyxYYX@2 yyxYYXY@2 yyxYYXy@2,,aca_56,YYXXXyxx,YYXYYxxyXXX,YYXXXyxx,YYXYYxxyXXX,19,2,2,19_44 19_49
sol_057,YXXXyxx,YYXXXXyX,15,2,YYYXyyx,YYYYXXYx,XYxYYYY@2 yxyyyyX@2,,aca_57,YYXXXyxx,YYXYYxyXXXX,YYXXXyxx,YYXYYxyXXXX,19,2,2,19_45 19_50
sol_058,YXXXyxx,YYXXXXyx,15,2,YYYXyyx,YYYYXXyx,XYxyyyy@2 yxYYYYX@2,,aca_58,YXXXYxx,YYYYYYXyyyyyx,YXXXYxx,YYYYYYXyyyyyx,20,2,2,20_1 20_3
sol_059,YXXXyxx,YYXXXyXX,15,2,YYYXyyx,YYYXXYYx,XYYxYYY@2 yyxyyyX@2,,aca_59,YXXYxxyxx,YYYYxxxxxxx,YXXYxxyxx,YYYYxxxxxxx,20,2,6,20_10 20_11
sol_060,YXXXyxx,YYXXXyxx,15,2,YYYXyyx,YYYXXyyx,XYYxyyy@2 yyxYYYX@2,,aca_60,YXXXyxYxx,YYYYYXXyxxx,YXXXyxYxx,YYYYYXXyxxx,20,2,2,20_4 20_7
sol_061,YXXXyxx,YYXXyXXX,15,2,YYYXyyx,YYYxYYXX,XYYYxYY@2 yyyxyyX@2,,aca_61,YXXyXYxxx,YYYYYXXXYxx,YXXyXYxxx,YYYYYXXXYxx,20,2,2,20_5 20_6
sol_062,YXXXyxx,YYXXyxxx,15,2,YYYXyyx,YYYxxyyX,XYYYxyy@2 yyyxYYX@2,,aca_62,YXXXYxYx,YYYYYYXyyyyyx,YXXXYxYx,YYYYYYXyyyyyx,21,2,2,21_10 21_24
sol_063,YXXXyxx,YYXyXXXX,15,2,YYYXyyx,YYYYxYXX,XYYYYxY@2 yyyyxyX@2,,aca_63,YXXXyxYx,YYYYYYxyyyyyX,YXXXyxYx,YYYYYYxyyyyyX,21,2,2,21_11 21_23
sol_064,YXXXyxx,YYXyxxxx,15,2,YYYXyyx,YYYYxxyX,XYYYYxy@2 yyyyxYX@2,,aca_64,YXyXYxxx,YYYYYYXyyyyyx,YXyXYxxx,YYYYYYXyyyyyx,21,2,2,21_12 21_22
sol_065,YXXXyxx,YYYXyyXX,15,2,YYYXyyx,YYxxYXXX,XXYYxxY@2 yyxxyXX@2,,aca_65,YXXXyxYx,YYYYYYXyyyyyx,YXXXyxYx,YYYYYYXyyyyyx,21,2,2,21_13 21_21
sol_066,YXXXyxx,YYYXyyxx,15,2,YYYXyyx,YYxxxyXX,XXYYxxy@2 yyxxYXX@2,,aca_66,YYXXXYxx,YYYYYYxyyyyyX,YYXXXYxx,YYYYYYxyyyyyX,21,2,2,21_14 21_26
sol_067,YXXYx,YYYXYxyX,13,2,YYXyx,YXyXYxxx,XXYxyxY@1 yxYxyXX@1,,aca_67,YYXXXyxx,YYYYYYxyyyyyX,YYXXXyxx,YYYYYYxyyyyyX,21,2,2,21_15 21_25
sol_068,YXXyx,YYXXXXyX,13,2,YYXyx,YYYYXXYx,XYxYYYY@1 yxyyyyX@1,,aca_68,YXXYxxyx,YYYYYYXyyyyyx,YXXYxxyx,YYYYYYXyyyyyx,21,2,2,21_16 21_5
sol_069,YXXyx,YYXXXXyx,13,2,YYXyx,YYYYXXyx,XYxyyyy@1 yxYYYYX@1,,aca_69,YXXYxxyX,YYYYYYxyyyyyX,YXXYxxyX,YYYYYYxyyyyyX,21,2,2,21_17 21_8
sol_070,YXXyx,YYXXXyXX,13,2,YYXyx,YYYXXYYx,XYYxYYY@1 yyxyyyX@1,,aca_70,YXXYxxyx,YYYYYYxyyyyyX,YXXYxxyx,YYYYYYxyyyyyX,21,2,2,21_18 21_4
sol_071,YXXyx,YYXXXyxx,13,2,YYXyx,YYYXXyyx,XYYxyyy@1 yyxYYYX@1,,aca_71,YXXXyXyxx,YYYxyyXXXyx,YXXXyXyxx,YYYxyyXXXyx,20,2,2,21_19 21_9
sol_072,YXXyx,YYXXyXXX,13,2,YYXyx,YYYxYYXX,XYYYxYY@1 yyyxyyX@1,,aca_72,YXXYxYxxx,YYYxyyXXYxx,YXXYxYxxx,YYYxyyXXYxx,20,2,2,21_2 21_20
sol_073,YXXyx,YYXXyxxx,13,2,YYXyx,YYYxxyyX,XYYYxyy@1 yyyxYYX@1,,aca_73,YXXYxxyX,YYYYYYXyyyyyx,YXXYxxyX,YYYYYYXyyyyyx,21,2,2,21_27 21_6
sol_074,YXXyx,YYXYXyyX,13,2,YYXyx,YXXYxxYx,XYxxYXY@1 yxxyXyX@1,,aca_74,YXXyXyxx,YYYYYYXyyyyyx,YXXyXyxx,YYYYYYXyyyyyx,21,2,2,21_28 21_7
sol_075,YXXyx,YYXYXyyx,13,2,YYXyx,YXXyxxYx,yXXYxxy@1 yxxYXYX@1,,aca_75,YXXXyxYxx,YYYYYYXXXYxx,YXXXyxYxx,YYYYYYXXXYxx,21,2,2,21_29 21_3
sol_076,YXXyx,YYXYxyyX,13,2,YYXyx,YXXYxxyX,XYxxyXY@1 yxxYXyX@1,,aca_76,YXXXyxYxx,YYYYYYXXyxxx,YXXXyxYxx,YYYYYYXXyxxx,21,2,2,21_30 21_33
sol_077,YXXyx,YYXYxyyx,13,2,YYXyx,YXXYxxyx,yXXYxxY@1 yxxyXYX@1,,aca_77,YXXyXYxxx,YYYYYYXXXYxx,YXXyXYxxx,YYYYYYXXXYxx,21,2,2,21_31 21_32
sol_078,YXXyx,YYXyXXXX,13,2,YYXyx,YYYYxYXX,XYYYYxY@1 yyyyxyX@1,,aca_78,YYXXyx,YYYYYYYXyXyxyXX,YYXXyx,YYYYYYYXyXyxyXX,21,2,10,21_35 21_38
sol_079,YXXyx,YYXyxxxx,13,2,YYXyx,YYYYxxyX,XYYYYxy@1 yyyyxYX@1,,aca_79,YYXXXyyxx,YXXXXXyxxYxx,YYXXXyyxx,YXXXXXyxxYxx,21,2,2,21_39 21_41
sol_080,YXXyx,YYXyyXYX,13,2,YYXyx,YXXYxYxx,XYXYxxY@1 yxxyXXy@1,,aca_80,YXXXXyxxYx,YXYxYXyxyXX,YXXXXyxxYx,YXYxYXyxyXX,21,2,2,21_40 21_42
