line_idx,r1,r2,greedy_solved,greedy_path_length
129,xxyxYY,xyyXYxY,True,7
130,xxyXy,xxxyXXyy,True,6
131,xxyXy,xxxyXyXy,True,3
132,xxyXy,xxxyXyXY,True,3
133,xxyXy,xxxyXYXy,True,6
134,xxyXy,xxxyyXXY,True,4
135,xxyXy,xxxyyyyy,False,-1
136,xxyXy,xxyxyXXy,True,3
137,xxyXy,xxyxyXXY,True,8
138,xxyXy,xxyxyyyy,True,4
139,xxyXy,xxyxYXXy,True,3
140,xxyXy,xxyXXyxY,True,6
141,xxyXy,xxyyxyyy,True,8
142,xxyXy,xxyyyXYY,True,11
143,xxyXy,xxyyyyXY,True,10
144,xxyXy,xyxyxyyy,True,13
145,xxyXy,xyxyyxyy,True,11
146,xxyXy,xyxyyXYY,True,9
147,xxyXy,xyxyyyXY,True,7
148,xxyXy,xyXyXYYY,True,4
149,xxyXy,xyXyyxYY,True,6
150,xxyXy,xyXyyyxY,True,6
151,xxyXy,xyXYxyyy,True,8
152,xxyXy,xyXYYxyy,True,10
153,xxyXy,xyXYYXYY,True,6
154,xxyXy,xyXYYYXy,False,-1
155,xxyXy,xyyXyyxY,True,8
156,xxyXY,xxxxyxYY,True,8
157,xxyXY,xxxxyXYY,True,4
158,xxyXY,xxxxYxyy,True,18
159,xxyXY,xxxxYXyy,True,14
160,xxyXY,xxxyxxYY,True,10
161,xxyXY,xxxyxyxY,True,8
162,xxyXY,xxxyxyXY,True,4
163,xxyXY,xxxyxYxy,True,8
164,xxyXY,xxxyxYXy,True,6
165,xxyXY,xxxyxYXY,True,6
166,xxyXY,xxxyXXYY,True,4
167,xxyXY,xxxyXyXY,True,3
168,xxyXY,xxxyXYxy,True,4
169,xxyXY,xxxyXYXy,True,3
170,xxyXY,xxxYxxyy,True,6
171,xxyXY,xxxYxyxy,True,16
172,xxyXY,xxxYxyXy,True,10
173,xxyXY,xxxYxYXy,True,10
174,xxyXY,xxxYXXyy,True,4
175,xxyXY,xxxYXyXy,True,8
176,xxyXY,xxyxxyxY,True,6
177,xxyXY,xxyxxyXY,True,4
178,xxyXY,xxyxxYxy,True,14
179,xxyXY,xxyxxYxY,True,6
180,xxyXY,xxyxxYXy,True,8
181,xxyXY,xxyxxYXY,True,4
182,xxyXY,xxyxyXXY,True,3
183,xxyXY,xxyxYXXy,True,4
184,xxyXY,xxyxYXXY,True,3
185,xxyXY,xxyXXYxy,True,4
186,xxyXY,xxyXXYXy,True,6
187,xxyXY,xxyXXYXY,True,4
188,xxyXY,xxyyxYYY,True,6
189,xxyXY,xxyyXYYY,True,4
190,xxyXY,xxYYxyyy,True,20
191,xxyXY,xxYYXyyy,True,16
192,xxyXY,xyxyxYYY,True,12
193,xxyXY,xyxyXYYY,True,4
194,xxyXY,xyxyyxYY,True,12
195,xxyXY,xyxyyXYY,True,6
196,xxyXY,xyxYYxyy,True,14
197,xxyXY,xyxYYXyy,True,10
198,xxyXY,xyxYYYXy,True,10
199,xxyXY,xyXyxYYY,True,6
200,xxyXY,xyXyyxYY,True,8
201,xxyXY,xyXyyXYY,True,8
202,xxyXY,xyXYYxyy,True,4
203,xxyXY,xyXYYXyy,True,6
204,xxyXYY,xxxxYXY,True,13
205,xxyXYY,xxxxYYY,True,8
206,xxyXYY,xxxyXXY,True,7
207,xxyXYY,xxxyXYY,True,4
208,xxyXYY,xxxYxYY,True,8
209,xxyXYY,xxxYXXy,True,4
210,xxyXYY,xxxYXXY,True,5
211,xxyXYY,xxxYXYY,True,4
212,xxyXYY,xxxYYxY,True,13
213,xxyXYY,xxxYYXy,False,-1
214,xxyXYY,xxxYYXY,True,25
215,xxyXYY,xxyxYXY,True,7
216,xxyXYY,xxyXXYY,True,4
217,xxyXYY,xxyXyXY,True,4
218,xxyXYY,xxyXYxY,True,4
219,xxyXYY,xxyXYXy,True,4
220,xxyXYY,xxyXYXY,True,4
221,xxyXYY,xxyyXXY,True,7
222,xxyXYY,xxYxxYY,True,5
223,xxyXYY,xxYxyXY,True,7
224,xxyXYY,xxYxYxY,True,7
225,xxyXYY,xxYxYXy,True,26
226,xxyXYY,xxYxYXY,True,14
227,xxyXYY,xxYXyxY,True,14
228,xxyXYY,xxYXyXy,True,9
229,xxyXYY,xxYXyXY,True,8
230,xxyXYY,xxYXYxy,True,8
231,xxyXYY,xxYXYxY,True,7
232,xxyXYY,xxYXYXy,True,15
233,xyxyxY,xxxxxyy,False,-1
234,xyxyxY,xxxxyxy,True,4
235,xyxyxY,xxxyxxy,True,8
236,xyxyxY,xxxyXXY,True,13
237,xyxyxY,xxxyyxY,True,7
238,xyxyxY,xxxyyXY,True,5
239,xyxyxY,xxyxyxY,True,4
240,xyxyxY,xxyxyXY,True,7
241,xyxyxY,xxyxYxy,True,4
242,xyxyxY,xxyxYXy,True,7
243,xyxyxY,xxyXyxY,True,7
244,xyxyxY,xxyyxxY,True,9
245,xyxyxY,xxyyXYY,True,5
246,xyxyxY,xyxyXYY,True,4
247,xyxyxY,xyXyxYY,True,8
248,xyxyxY,xyXyXYY,True,4
249,xyxyxY,xyXYYXy,True,8
250,xyxyxY,xyyyxYY,True,5
251,xyxyXY,xxxxyXy,True,12
252,xyxyXY,xxxxyyy,True,19
253,xyxyXY,xxxyxyy,True,5
254,xyxyXY,xxxyXXy,True,9
255,xyxyXY,xxxyXXY,True,8
256,xyxyXY,xxxyXyy,True,14
257,xyxyXY,xxxyyxy,True,11
258,xyxyXY,xxxyyXy,True,12
259,xyxyXY,xxxyyXY,True,4
260,xyxyXY,xxxYXXy,True,8
261,xyxyXY,xxxYXyy,True,13
262,xyxyXY,xxyxxyy,True,9
263,xyxyXY,xxyxyxy,True,5
264,xyxyXY,xxyxyXy,True,4
265,xyxyXY,xxyxyXY,True,2
266,xyxyXY,xxyxYXy,True,5
267,xyxyXY,xxyXXYY,True,10
268,xyxyXY,xxyXyxy,True,8
269,xyxyXY,xxyXyxY,True,7
270,xyxyXY,xxyXyXY,True,5
271,xyxyXY,xxyXYxy,True,2
272,xyxyXY,xxyXYXy,True,4
273,xyxyXY,xxyXYXY,True,7
274,xyxyXY,xxyyXXY,True,8
275,xyxyXY,xxYxyXy,True,9
276,xyxyXY,xxYXyxy,True,7
277,xyxyXY,xxYXyXy,True,8
278,xyxyXY,xxYXyXY,True,7
279,xyxyXY,xxYXYXy,True,2
280,xyxYXY,xxxxYXY,True,5
281,xyxYXY,xxxxYYY,False,-1
282,xyxYXY,xxxyXXY,True,8
283,xyxYXY,xxxyXYY,True,6
284,xyxYXY,xxxYxYY,True,27
285,xyxYXY,xxxYXXY,False,-1
286,xyxYXY,xxxYXYY,True,4
287,xyxYXY,xxyxYXY,True,2
288,xyxYXY,xxyXXYY,True,6
289,xyxYXY,xxyXyXY,True,8
290,xyxYXY,xxyXYxY,True,5
291,xyxYXY,xxyXYXy,True,2
292,xyxYXY,xxyXYXY,True,5
293,xyxYXY,xxYxxYY,True,11
294,xyxYXY,xxYxyXY,True,7
295,xyxYXY,xxYxYxY,True,6
296,xyxYXY,xxYxYXY,True,5
297,xyxYXY,xxYXyXY,False,-1
298,xxxxxyy,xxxyyXY,True,5
299,xxxxxyy,xxyxyXY,True,21
300,xxxxxyy,xxyxYXy,True,17
301,xxxxxyy,xxyXyxY,True,19
302,xxxxxyy,xyyyxYY,True,6
303,xxxxyxy,xxxyyXY,True,5
304,xxxxyxy,xxyxyXY,True,5
305,xxxxyxy,xxyxYXy,True,7
306,xxxxyxy,xxyXyxY,True,11
307,xxxxyxy,xyyyxYY,True,34
308,xxxxyXy,xxxxyyy,True,4
309,xxxxyXy,xxxyxyy,True,12
310,xxxxyXy,xxxyyXY,True,13
311,xxxxyXy,xxyxxyy,True,6
312,xxxxyXy,xxyxyxy,True,8
313,xxxxyXy,xxyxyXY,True,6
314,xxxxyXy,xxyxYXy,True,14
315,xxxxyXy,xxyXyxY,True,4
316,xxxxyXy,xyyyxYY,False,-1
317,xxxxyyy,xxyyyxY,True,5
318,xxxxyyy,xyxyyxY,False,-1
319,xxxyxxy,xxxyyXY,True,10
320,xxxyxxy,xxyxyXY,True,9
321,xxxyxxy,xxyxYXy,True,5
322,xxxyxxy,xxyXyxY,True,8
323,xxxyxxy,xyyyxYY,True,8
324,xxxyxyy,xxyyyxY,True,16
325,xxxyxyy,xxYxyyy,True,12
326,xxxyxyy,xyxyyxY,True,5
327,xxxyxyy,xyxYxyy,True,14
328,xxxyxYY,xxxyXXY,True,5
329,xxxyxYY,xxxYXXy,True,18
330,xxxyxYY,xxyyXYY,True,9
331,xxxyxYY,xxYYXyy,True,12
332,xxxyxYY,xyxyXYY,True,20
333,xxxyxYY,xyxYYXy,True,5
334,xxxyxYY,xyXyxYY,True,5
335,xxxyxYY,xyXyXYY,True,22
336,xxxyxYY,xyXYYXy,True,33
337,xxxyxYY,xyyXYxY,True,8
338,xxxyXXy,xxxyXyy,True,3
339,xxxyXXy,xxyxyXy,True,9
340,xxxyXXy,xxyXXYY,True,7
341,xxxyXXy,xxyXyXY,True,10
342,xxxyXXy,xxyXYXy,False,-1
343,xxxyXXy,xxyXYXY,True,6
344,xxxyXXy,xxYXyXY,True,4
345,xxxyXXy,xyyXYYY,False,-1
346,xxxyXXY,xxxyXYY,True,3
347,xxxyXXY,xxxYXyy,True,13
348,xxxyXXY,xxyxxYY,True,7
349,xxxyXXY,xxyxyxY,True,15
350,xxxyXXY,xxyxyXY,True,8
351,xxxyXXY,xxyxYxy,True,16
352,xxxyXXY,xxyxYXy,True,11
353,xxxyXXY,xxyxYXY,True,9
354,xxxyXXY,xxyXXYY,True,3
355,xxxyXXY,xxyXyXY,True,8
356,xxxyXXY,xxyXYxy,True,8
357,xxxyXXY,xxyXYXy,True,8
358,xxxyXXY,xxYxyxy,True,8
359,xxxyXXY,xxYxyXy,True,6
360,xxxyXXY,xxYxYXy,True,5
361,xxxyXXY,xxYXyXy,True,3
362,xxxyXXY,xyyXYYY,False,-1
363,xxxyXyy,xxyyxyy,True,5
364,xxxyXyy,xxyyyXY,True,37
365,xxxyXyy,xxYXyyy,True,14
366,xxxyXyy,xyxyxyy,True,7
367,xxxyXyy,xyxyyXY,False,-1
368,xxxyXyy,xyxYXyy,True,26
369,xxxyXyy,xyXyyxY,True,4
370,xxxyXyy,xyXYxyy,True,30
371,xxxyXyy,xyXYYXY,True,24
372,xxxyXyy,xyyXyxY,True,23
373,xxxyXYY,xxyyXYY,True,5
374,xxxyXYY,xxYYXyy,True,10
375,xxxyXYY,xyxyXYY,True,5
376,xxxyXYY,xyxYxYY,True,47
377,xxxyXYY,xyxYYxY,True,17
378,xxxyXYY,xyxYYXy,True,40
379,xxxyXYY,xyXyxYY,True,15
380,xxxyXYY,xyXyXYY,True,5
381,xxxyXYY,xyXYYXy,True,5
382,xxxyXYY,xyyXYxY,False,-1
383,xxxyy,xxxxxyXyy,True,4
384,xxxyy,xxxxyxyXy,True,7
385,xxxyy,xxxxyXyXY,True,8
386,xxxyy,xxxxyXYXy,True,7
387,xxxyy,xxxxyyXXY,True,4
388,xxxyy,xxxyxxyXy,True,4
389,xxxyy,xxxyxyXXY,True,5
390,xxxyy,xxxyxYXXy,True,4
391,xxxyy,xxxyXXyxY,True,5
392,xxxyy,xxxyyyXYY,True,4
393,xxxyy,xxxyyyyxY,True,4
394,xxxyy,xxyxxyXXY,True,9
395,xxxyy,xxyxyyXYY,True,5
396,xxxyy,xxyxyyyxY,True,9
397,xxxyy,xxyxYxyyy,True,8
398,xxxyy,xxyxYYXyy,True,5
399,xxxyy,xxyXXyxxY,True,8
400,xxxyy,xxyXyyxYY,True,5
401,xxxyy,xxyXYYxyy,True,4
402,xxxyy,xxyyxyXYY,True,4
403,xxxyy,xxyyxyyxY,True,4
404,xxxyy,xxyyxYxyy,True,4
405,xxxyy,xxyyXyxYY,True,5
406,xxxyy,xxyyyxyxY,True,7
407,xxxyy,xxyyyxYXY,True,7
408,xxxyy,xxyyyXYxY,True,8
409,xxxyy,xxyyyyxxY,True,5
410,xxxyy,xxYxyyyXY,True,9
411,xxxyy,xyxyxyXYY,True,5
412,xxxyy,xyxyxyyxY,True,7
413,xxxyy,xyxyXyxYY,True,9
414,xxxyy,xyxyyxyxY,True,8
415,xxxyy,xyxyyxYXY,True,7
416,xxxyy,xyxyyXYxY,True,6
417,xxxyy,xyxYxyyXY,True,5
418,xxxyy,xyXyXYYXY,True,8
419,xxxyy,xyXyyxYxY,True,6
420,xxxyy,xyXYxyyxY,True,7
421,xxxyy,xyyyyxYYY,True,6
422,xxyxxyy,xyxyyxY,True,9
423,xxyxxYY,xxyyXYY,True,6
424,xxyxxYY,xyxyXYY,True,20
425,xxyxxYY,xyXyxYY,True,9
426,xxyxxYY,xyXyXYY,True,24
427,xxyxxYY,xyXYYXy,False,-1
428,xxyxy,xxxxxyXyy,True,10
429,xxyxy,xxxxyxyXy,True,4
430,xxyxy,xxxxyXyXY,True,8
431,xxyxy,xxxxyXYXy,True,5
432,xxyxy,xxxxyyXXY,True,8
433,xxyxy,xxxyxxyXy,True,4
434,xxyxy,xxxyxyXXY,True,4
435,xxyxy,xxxyxYXXy,True,8
436,xxyxy,xxxyXXyxY,True,10
437,xxyxy,xxxyyyXYY,True,6
438,xxyxy,xxxyyyyxY,True,6
439,xxyxy,xxyxxyXXY,True,4
440,xxyxy,xxyxyyXYY,True,4
441,xxyxy,xxyxyyyxY,True,4
442,xxyxy,xxyxYxyyy,True,4
443,xxyxy,xxyxYYXyy,True,4
444,xxyxy,xxyXXyxxY,True,10
445,xxyxy,xxyXyyxYY,True,9
446,xxyxy,xxyXYYxyy,True,8
447,xxyxy,xxyyxyXYY,True,10
448,xxyxy,xxyyxyyxY,True,8
449,xxyxy,xxyyxYxyy,True,6
450,xxyxy,xxyyXyxYY,True,6
451,xxyxy,xxyyyxyxY,True,8
452,xxyxy,xxyyyxYXY,True,8
453,xxyxy,xxyyyXYxY,True,6
454,xxyxy,xxyyyyxxY,True,9
455,xxyxy,xxYxyyyXY,True,8
456,xxyxy,xyxyxyXYY,True,4
457,xxyxy,xyxyxyyxY,True,4
458,xxyxy,xyxyXyxYY,True,8
459,xxyxy,xyxyyxyxY,True,5
460,xxyxy,xyxyyxYXY,True,5
461,xxyxy,xyxyyXYxY,True,6
462,xxyxy,xyxYxyyXY,True,7
463,xxyxy,xyXyXYYXY,True,10
464,xxyxy,xyXyyxYxY,True,7
465,xxyxy,xyXYxyyxY,True,10
466,xxyxy,xyyyyxYYY,True,9
467,xxyxyxy,xyxyyxY,True,6
468,xxyxyxY,xxyyXYY,True,5
469,xxyxyxY,xxYYXyy,True,14
470,xxyxyxY,xyxyXYY,True,10
471,xxyxyxY,xyxYYXy,True,5
472,xxyxyxY,xyXyxYY,True,15
473,xxyxyxY,xyXyXYY,True,5
474,xxyxyxY,xyXYYXy,True,16
475,xxyxyxY,xyyXYxY,True,18
476,xxyxyXy,xyxyyXY,True,8
477,xxyxyXy,xyxYXyy,True,8
478,xxyxyXy,xyXyyxY,True,7
479,xxyxyXy,xyXYxyy,True,15
480,xxyxyXy,xyXYYXY,True,16
481,xxyxyXy,xyyXyxY,True,9
482,xxyxyXY,xxyyXYY,True,6
483,xxyxyXY,xxYYXyy,False,-1
484,xxyxyXY,xyxyXYY,True,4
485,xxyxyXY,xyxYYXy,True,23
486,xxyxyXY,xyXyxYY,True,8
487,xxyxyXY,xyXyXYY,True,33
488,xxyxyXY,xyXYYXy,True,5
489,xxyxyXY,xyyXYxY,True,8
490,xxyxYxy,xxyyXYY,True,11
491,xxyxYxy,xyxyXYY,True,5
492,xxyxYxy,xyXyxYY,True,7
493,xxyxYxy,xyXyXYY,True,9
494,xxyxYxy,xyXYYXy,True,9
495,xxyxYXy,xxyyXYY,True,27
496,xxyxYXy,xxYYXyy,True,18
497,xxyxYXy,xyxyXYY,True,12
498,xxyxYXy,xyxYYXy,True,6
499,xxyxYXy,xyXyxYY,True,13
500,xxyxYXy,xyXyXYY,True,15
501,xxyxYXy,xyXYYXy,True,8
502,xxyxYXy,xyyXYxY,True,19
503,xxyxYXY,xxyyXYY,True,10
504,xxyxYXY,xxYYXyy,True,20
505,xxyxYXY,xyxyXYY,True,6
506,xxyxYXY,xyxYYXy,True,10
507,xxyxYXY,xyXyxYY,False,-1
508,xxyxYXY,xyXyXYY,False,-1
509,xxyxYXY,xyXYYXy,True,3
510,xxyxYXY,xyyXYxY,True,21
511,xxyXXYY,xxyyXYY,True,4
512,xxyXXYY,xyxyXYY,True,8
513,xxyXXYY,xyxYYXy,False,-1
514,xxyXXYY,xyXyxYY,True,15
515,xxyXy,xxxxyXXyy,True,7
516,xxyXy,xxxxyXyXy,True,3
517,xxyXy,xxxyxyXXy,True,7
518,xxyXy,xxxyXXXYY,True,4
519,xxyXy,xxxyXXyXY,True,4
520,xxyXy,xxxyXXYXy,True,7
521,xxyXy,xxxyXXYXY,True,4
522,xxyXy,xxxyXyXXY,True,3
523,xxyXy,xxxyXyyyy,True,6
524,xxyXy,xxxyXYXXY,True,3
525,xxyXy,xxxyyXyyy,True,7
526,xxyXy,xxxyyyyXY,True,5
527,xxyXy,xxxYXXyXY,True,7
528,xxyXy,xxyxxyXXy,True,3
529,xxyXy,xxyxyXyyy,True,4
530,xxyXy,xxyxyyXyy,True,4
531,xxyXy,xxyxyyyXy,True,6
532,xxyXy,xxyxyyyXY,True,12
533,xxyXy,xxyxYXyyy,True,7
534,xxyXy,xxyXyxyyy,True,6
535,xxyXy,xxyXyXYYY,True,6
536,xxyXy,xxyXyyxyy,True,6
537,xxyXy,xxyXyyXYY,True,3
538,xxyXy,xxyXyyyxY,True,3
539,xxyXy,xxyXYxyyy,True,3
540,xxyXy,xxyXYYXyy,True,3
541,xxyXy,xxyXYYYXy,True,6
542,xxyXy,xxyyxyXyy,True,4
543,xxyXy,xxyyxyyXY,True,10
544,xxyXy,xxyyxYXyy,True,7
545,xxyXy,xxyyXXYYY,True,11
546,xxyXy,xxyyXyXYY,True,5
547,xxyXy,xxyyXyyxY,True,7
548,xxyXy,xxyyXYXYY,True,8
549,xxyXy,xxyyXYYXY,True,7
550,xxyXy,xxyyyxyXY,True,12
551,xxyXy,xxyyyXyxY,True,7
552,xxyXy,xxyyyXYXY,True,8
553,xxyXy,xxYXyyXYY,True,10
554,xxyXy,xxYXyyyXY,True,8
555,xxyXy,xyxyxyXyy,True,4
556,xxyXy,xyxyxyyXY,True,12
557,xxyXy,xyxyXyxyy,True,6
558,xxyXy,xyxyXyXYY,True,7
559,xxyXy,xyxyXyyxY,True,4
560,xxyXy,xyxyXYxyy,True,11
561,xxyXy,xyxyXYXYY,True,7
562,xxyXy,xyxyXYYXy,False,-1
563,xxyXy,xyxyXYYXY,True,9
564,xxyXy,xyxyyxyXY,True,10
565,xxyXy,xyxyyXyxY,True,7
566,xxyXy,xyxYXyXYY,True,11
567,xxyXy,xyxYXyyXY,True,7
568,xxyXy,xyXyxyXYY,True,3
569,xxyXy,xyXyxyyxY,True,3
570,xxyXy,xyXyxYXYY,True,6
571,xxyXy,xyXyXyxYY,True,7
572,xxyXy,xyXyXYxYY,True,4
573,xxyXy,xyXyXYYxY,True,4
574,xxyXy,xyXyyxYXY,True,7
575,xxyXy,xyXYxyXYY,True,7
576,xxyXy,xyXYYXyxY,True,9
577,xxyXy,xyyyXYYYY,False,-1
578,xxyXy,xyyyyyxYY,False,-1
579,xxyXy,xyyyyyyxY,False,-1
580,xxyXyXY,xyxyXYY,False,-1
581,xxyXyXY,xyXyxYY,True,6
582,xxyXyXY,xyXyXYY,True,3
583,xxyXyXY,xyXYYXy,False,-1
584,xxyXyXY,xyyXYxY,True,9
585,xxyXY,xxxxxyxYY,True,9
586,xxyXY,xxxxxyXYY,True,5
587,xxyXY,xxxxxYxyy,True,23
588,xxyXY,xxxxxYXyy,True,19
589,xxyXY,xxxxyxxYY,True,7
590,xxyXY,xxxxyxyxY,True,9
591,xxyXY,xxxxyxyXY,True,5
592,xxyXY,xxxxyxYxy,True,9
593,xxyXY,xxxxyxYXy,True,7
594,xxyXY,xxxxyxYXY,True,7
595,xxyXY,xxxxyXXYY,True,4
596,xxyXY,xxxxyXyXY,True,3
597,xxyXY,xxxxyXYxy,True,5
598,xxyXY,xxxxyXYXy,True,3
599,xxyXY,xxxxYxxyy,True,7
600,xxyXY,xxxxYxyxy,True,21
601,xxyXY,xxxxYxyXy,True,15
602,xxyXY,xxxxYxYXy,True,15
603,xxyXY,xxxxYXXyy,True,5
604,xxyXY,xxxxYXyXy,True,11
605,xxyXY,xxxyxxxYY,True,15
606,xxyXY,xxxyxxyxY,True,9
607,xxyXY,xxxyxxyXY,True,5
608,xxyXY,xxxyxxYxy,True,17
609,xxyXY,xxxyxxYxY,True,13
610,xxyXY,xxxyxxYXy,True,9
611,xxyXY,xxxyxxYXY,True,9
612,xxyXY,xxxyxyXXY,True,4
613,xxyXY,xxxyxYxxy,True,7
614,xxyXY,xxxyxYXXy,True,5
615,xxyXY,xxxyxYXXY,True,5
616,xxyXY,xxxyXXXYY,True,7
617,xxyXY,xxxyXXyXY,True,3
618,xxyXY,xxxyXXYxy,True,4
619,xxyXY,xxxyXXYXy,True,5
620,xxyXY,xxxyXXYXY,True,7
621,xxyXY,xxxyXYxxy,True,5
622,xxyXY,xxxyXYXXy,True,3
623,xxyXY,xxxyyxYYY,True,11
624,xxyXY,xxxyyXYYY,True,5
625,xxyXY,xxxYxxyxy,True,7
626,xxyXY,xxxYxxyXy,True,5
627,xxyXY,xxxYxxYxy,True,17
628,xxyXY,xxxYxxYXy,True,13
629,xxyXY,xxxYxyXXy,True,9
630,xxyXY,xxxYxYXXy,True,5
631,xxyXY,xxxYXXyXy,True,3
632,xxyXY,xxxYXXYXy,True,7
633,xxyXY,xxxYYxyyy,True,31
634,xxyXY,xxxYYXyyy,True,27
635,xxyXY,xxyxxyxxY,True,7
636,xxyXY,xxyxxyXXY,True,3
637,xxyXY,xxyxxYXXy,True,5
638,xxyXY,xxyxxYXXY,True,3
639,xxyXY,xxyxyxYYY,True,5
640,xxyXY,xxyxyXYYY,True,4
641,xxyXY,xxyxyyxYY,True,5
642,xxyXY,xxyxyyXYY,True,4
643,xxyXY,xxyxYYxyy,True,19
644,xxyXY,xxyxYYXyy,True,15
645,xxyXY,xxyxYYYxy,True,17
646,xxyXY,xxyxYYYXy,True,13
647,xxyXY,xxyXyxYYY,True,3
648,xxyXY,xxyXyXYYY,True,3
649,xxyXY,xxyXyyxYY,True,3
