pres_id,kind,nodes_1M,klass,n_cov,n_relabel,n_moved,base_solved,base_nodes,base_path,n_cov_solved,relabel_solved,moved_solved,fewer,equal,more,cov_unsolved,best_z,best_class,best_nodes,best_path,min_path,node_cut,path_cut
624,ladder,,never,169,155,14,False,,,0,0,0,,,,,,,,,,,
623,ladder,,never,169,155,14,False,,,0,0,0,,,,,,,,,,,
634,ladder,,flip,138,116,22,False,,,1,0,1,,,,,YYxyy,moved,410,38,38,,
635,ladder,,flip,134,116,18,False,,,1,0,1,,,,,yyxYY,moved,410,38,38,,
637,ladder,,never,173,156,17,False,,,0,0,0,,,,,,,,,,,
639,ladder,,never,172,156,16,False,,,0,0,0,,,,,,,,,,,
638,ladder,,never,173,156,17,False,,,0,0,0,,,,,,,,,,,
636,ladder,,never,172,156,16,False,,,0,0,0,,,,,,,,,,,
14_1,reach,,never,50,40,10,False,,,0,0,0,,,,,,,,,,,
17_41,reach,,never,62,54,8,False,,,0,0,0,,,,,,,,,,,
19_40,reach,,never,56,54,2,False,,,0,0,0,,,,,,,,,,,
25_1,reach,,never,169,157,12,False,,,0,0,0,,,,,,,,,,,
25_17,reach,,never,174,165,9,False,,,0,0,0,,,,,,,,,,,
AK(3),reach,,never,34,30,4,False,,,0,0,0,,,,,,,,,,,
