name,r1,r2,source,form,note
aca_11,YXXXyxx,YYYXyxyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_11, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_12,YXXXyxx,YYXYxyyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_12, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_13,YYXXYYx,YXXXyxxYx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_13, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_14,YXXyXyx,YYYXyyxx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_14, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_15,YXXyXyxx,YYYYxyyyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_15, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_16,YYXXXyxx,YXyxxyXYx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_16, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_17,YXXXYxYx,YYYYXyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_17, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_18,YXXXyxYx,YYYYxyyyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_18, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_19,YXyXYxxx,YYYYXyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_19, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_20,YXXXyxYx,YYYYXyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_20, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_21,YXXYxxyX,YYYYxyyyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_21, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_22,YXXYxxyx,YYYYxyyyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_22, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_23,YXXYxxyx,YYYYXyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_23, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_24,YYXXXYxx,YYYXXYXYx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_24, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_25,YXXYxxyX,YYYYXyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_25, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_26,YXXYxYxx,YYYYxyyyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_26, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_27,YXXyXyxx,YYYYXyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_27, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_28,YXXYxYxx,YYYYXyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_28, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_29,YYXXXyx,YYxxyxyXyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_29, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_30,YYXXyx,YYYYYxyXXyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_30, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_31,YYXXyxx,YYYYYXyXyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_31, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_32,YXXYxxyx,YYYYXyxyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_32, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_33,YXXXyxYx,YYXyXyxyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_33, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_34,YXXXYxx,YYYYYXyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_34, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_35,YYXXXyx,YYYxxyxyXyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_35, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_36,YYXYYXXyX,YYXyxYXXX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_36, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_37,YYXXXYxx,YYYYYXyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_37, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_38,YYXXXyxx,YYYYYXyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_38, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_39,YXXXYxYx,YYYYYXyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_39, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_40,YXXXyxYx,YYYYYxyyyyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_40, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_41,YXyXYxxx,YYYYYXyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_41, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_42,YXXXyxYx,YYYYYXyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_42, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_43,YXXYxYxxx,YYXyyXXyxx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_43, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_44,YYXXXyxx,YYYYYXXyXyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_44, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_45,YXXyXYxxx,YYYYXXXYxx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_45, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_46,YXXYxxyx,YYYYYXyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_46, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_47,YXXYxxyX,YYYYYxyyyyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_47, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_48,YXXXyxYxx,YYYYXXyxxx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_48, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_49,YXXYxxyx,YYYYYxyyyyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_49, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_50,YXXYxxyX,YYYYYXyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_50, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_51,YXXYxYxx,YYYYYXyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_51, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_52,YXXyXyxx,YYYYYXyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_52, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_53,YXXyxYx,YYXyyXyxyxx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_53, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_54,YYXXXXyxx,YYxxyXXXXX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_54, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_55,YXXXyXYx,YYxyxYXXyyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_55, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_56,YYXXXyxx,YYXYYxxyXXX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_56, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_57,YYXXXyxx,YYXYYxyXXXX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_57, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_58,YXXXYxx,YYYYYYXyyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_58, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_59,YXXYxxyxx,YYYYxxxxxxx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_59, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_60,YXXXyxYxx,YYYYYXXyxxx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_60, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_61,YXXyXYxxx,YYYYYXXXYxx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_61, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_62,YXXXYxYx,YYYYYYXyyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_62, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_63,YXXXyxYx,YYYYYYxyyyyyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_63, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_64,YXyXYxxx,YYYYYYXyyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_64, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_65,YXXXyxYx,YYYYYYXyyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_65, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_66,YYXXXYxx,YYYYYYxyyyyyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_66, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_67,YYXXXyxx,YYYYYYxyyyyyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_67, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_68,YXXYxxyx,YYYYYYXyyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_68, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_69,YXXYxxyX,YYYYYYxyyyyyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_69, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_70,YXXYxxyx,YYYYYYxyyyyyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_70, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_71,YXXXyXyxx,YYYxyyXXXyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_71, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_72,YXXYxYxxx,YYYxyyXXYxx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_72, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_73,YXXYxxyX,YYYYYYXyyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_73, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_74,YXXyXyxx,YYYYYYXyyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_74, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_75,YXXXyxYxx,YYYYYYXXXYxx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_75, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_76,YXXXyxYxx,YYYYYYXXyxxx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_76, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_77,YXXyXYxxx,YYYYYYXXXYxx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_77, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_78,YYXXyx,YYYYYYYXyXyxyXX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_78, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_79,YYXXXyyxx,YXXXXXyxxYxx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_79, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_80,YXXXXyxxYx,YXYxYXyxyXX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_80, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_81,YXXXYxx,YYYYYYYXyyyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_81, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_82,YYYXXXXXyyx,YYXyxxyyxYX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_82, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_83,YXXyXYxxx,YYYYYYYXXyxxx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_83, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_84,YXXXyxYxx,YYYYYYYXXXYxx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_84, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_85,YXXXyxx,YYYYYYYXyyyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_85, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_86,YYYXXXXXyyX,YYXyxxyyXYx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_86, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_87,YYXXXYxx,YYYYYYYXyyyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_87, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_88,YYXXXyxx,YYYYYXXYxyXyXyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_88, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_89,YXXYxxyx,YYYYYYYXyyyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_89, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_90,YYXXXyxx,YYYYYYYXyyyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_90, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_91,YXXXyxYx,YYYYYYYXyyyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_91, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_92,YXyXYxxx,YYYYYYYXyyyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_92, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_93,YXXXyxYx,YYYYYYYxyyyyyyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_93, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_94,YXXXYxYx,YYYYYYYXyyyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_94, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_95,YXXYxYxxx,YYYXyyyXXyxx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_95, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_96,YXXYxxyX,YYYYYYYXyyyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_96, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_97,YXXXYxx,YYYYYYYYXyyyyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_97, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_98,YXXXyxx,YYYYYYYYXyyyyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_98, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_99,YYXXXYxx,YYYYYYYYXyyyyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_99, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_100,YYXXXyxx,YYYYYYYXXyXyXyXyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_100, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_101,YXXXYxYx,YYYYYYYYXyyyyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_101, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_102,YXXXyxYx,YYYYYYYYxyyyyyyyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_102, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_103,YXyXYxxx,YYYYYYYYXyyyyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_103, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_104,YXXXyxYx,YYYYYYYYXyyyyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_104, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_105,YYXXXYxx,YYYYYYYYxyyyyyyyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_105, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_106,YYXXXyxx,YYYYYYYYxyyyyyyyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_106, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_107,YXXyXyxx,YYYYYYYYxyyyyyyyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_107, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_108,YXXYxxyx,YYYYYYYYXyyyyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_108, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_109,YXXYxxyX,YYYYYYYYxyyyyyyyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_109, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_110,YXXYxYxx,YYYYYYYYxyyyyyyyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_110, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_111,YXXYxxyx,YYYYYYYYxyyyyyyyX,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_111, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_112,YXXYxxyX,YYYYYYYYXyyyyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_112, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_113,YXXYxYxx,YYYYYYYYXyyyyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_113, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_114,YXXyXyxx,YYYYYYYYXyyyyyyyx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_114, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_115,YXYxyx,YYYYxxx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_115, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_116,YYYXyyX,YXXXyxx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_116, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_117,YYYXyyx,YXXXyxx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_117, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_118,YXXyxYx,YYYYXyxx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_118, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
aca_119,YXXyxYx,YYYYYXyxx,benchmark/ladder/ladder_all.csv,aca_initial,"unsolved MS class aca_119, form first found (un-reduced); 0/261 greedy 1M, 0/124 S20_MK2 10M, 0/124 cascade probes 10k"
